ID,Collected,Sampled,Analysed,Site,Species,Round,Position,Treatment,Intensity,PAR,Time,Volume ,Salinity
0_1_L,NA,21.05.24,24.05.24,NA,NA,1,NA,Light,NA,NA,0,NA,34.7
B_1_L,NA,21.05.24,24.05.24,NA,NA,1,1,Light,66,551,2,NA,34.8
A_1_L,17.05.24,21.05.24,24.05.24,Peron,Amphiroa anceps,1,2,Light,66,551,2,NA,34.8
J_1_L,17.05.24,21.05.24,24.05.24,Peron,Jania rosea,1,3,Light,66,636,2,NA,34.8
M_1_L,17.05.24,21.05.24,24.05.24,Peron,Metamastophora flabellata,1,4,Light,66,606,2,NA,34.8
0_1_D,NA,21.05.24,24.05.24,NA,NA,1,NA,Dark,NA,NA,0,NA,34.7
B_1_D,NA,21.05.24,24.05.24,NA,NA,1,1,Dark,0,0,2,NA,34.8
A_1_D,17.05.24,21.05.24,24.05.24,Peron,Amphiroa anceps,1,2,Dark,0,0,2,NA,34.9
J_1_D,17.05.24,21.05.24,24.05.24,Peron,Jania rosea,1,3,Dark,0,0,2,NA,34.8
M_1_D,17.05.24,21.05.24,24.05.24,Peron,Metamastophora flabellata,1,4,Dark,0,0,2,NA,34.9
0_2_L,NA,29.05.24,30.05.24,NA,NA,2,NA,Light,NA,NA,0,NA,34.5
B_2_L,NA,29.05.24,30.05.24,NA,NA,2,1,Light,74,634,2,NA,34.8
A_2_L,17.05.24,29.05.24,30.05.24,Peron,Amphiroa anceps,2,3,Light,74,724,2,NA,34.6
J_2_L,17.05.24,29.05.24,30.05.24,Peron,Jania rosea,2,4,Light,74,681,2,NA,34.7
M_2_L,17.05.24,29.05.24,30.05.24,Peron,Metamastophora flabellata,2,2,Light,74,637,2,NA,34.7
0_2_D,NA,29.05.24,30.05.24,NA,NA,2,NA,Dark,NA,NA,0,NA,34.7
B_2_D,NA,29.05.24,30.05.24,NA,NA,2,1,Dark,0,0,2,NA,34.8
A_2_D,17.05.24,29.05.24,30.05.24,Peron,Amphiroa anceps,2,3,Dark,0,0,2,NA,34.9
J_2_D,17.05.24,29.05.24,30.05.24,Peron,Jania rosea,2,4,Dark,0,0,2,NA,34.9
M_2_D,17.05.24,29.05.24,30.05.24,Peron,Metamastophora flabellata,2,2,Dark,0,0,2,NA,34.9
0_3_L,NA,12.06.24,13.06.24,NA,NA,3,NA,Light,NA,NA,0,NA,34.7
B_3_L,NA,12.06.24,13.06.24,NA,NA,3,2,Light,67,618,2,176.93,34.8
A_3_L,17.05.24,12.06.24,13.06.24,Peron,Amphiroa anceps,3,1,Light,67,641,2,169.93,34.8
J_3_L,17.05.24,12.06.24,13.06.24,Peron,Jania rosea,3,4,Light,67,613,2,175.17,34.8
M_3_L,17.05.24,12.06.24,13.06.24,Peron,Metamastophora flabellata,3,3,Light,67,655,2,171.02,34.8
0_3_D,NA,12.06.24,13.06.24,NA,NA,3,NA,Dark,NA,NA,0,NA,34.7
B_3_D,NA,12.06.24,13.06.24,NA,NA,3,2,Dark,0,0,2,171.05,34.6
A_3_D,17.05.24,12.06.24,13.06.24,Peron,Amphiroa anceps,3,1,Dark,0,0,2,173.98,34.7
J_3_D,17.05.24,12.06.24,13.06.24,Peron,Jania rosea,3,4,Dark,0,0,2,172.34,34.7
M_3_D,17.05.24,12.06.24,13.06.24,Peron,Metamastophora flabellata,3,3,Dark,0,0,2,170.03,34.6
0_4_L,NA,20.06.24,21.06.24,NA,NA,4,,Light,NA,NA,0,NA,34.1
B_4_L,NA,20.06.24,21.06.24,NA,NA,4,,Light,85,795,2,178.47,34.2
A_4_L,17.06.24,20.06.24,21.06.24,Peron,Amphiroa anceps,4,,Light,85,772,2,168.25,34.2
