PreSens Measurement Studio 2,4.0.0.2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
05/29/2024,13:15:17,2,Pippa,197744265,POF2,0,min,212.054,μmol/L,Humid,29.703,deg,56193,µV,17.718,°C,1014,hPa,35,pmil,0,59.161,deg,19.058,°C,100,%a.s.,28.121,deg,18.748,°C,1012,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1370.82,5,46.5,34737.17,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,5/29/2024 09:31:34 AM,1534-01,0,no battery,V,36062,µV,16826,µV
05/29/2024,13:15:28,2,Pippa,197744265,POF2,0.17,min,212.092,μmol/L,Humid,29.701,deg,56268,µV,17.718,°C,1014,hPa,35,pmil,0,59.161,deg,19.058,°C,100,%a.s.,28.121,deg,18.748,°C,1012,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1370.82,5,46.5,34730.72,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,5/29/2024 09:31:34 AM,1534-01,0,no battery,V,36062,µV,16826,µV
05/29/2024,13:15:38,2,Pippa,197744265,POF2,0.336,min,211.796,μmol/L,Humid,29.719,deg,56330,µV,17.712,°C,1014,hPa,35,pmil,0,59.161,deg,19.058,°C,100,%a.s.,28.121,deg,18.748,°C,1012,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1370.82,5,46.5,34729.12,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,5/29/2024 09:31:34 AM,1534-01,0,no battery,V,36062,µV,16826,µV
05/29/2024,13:15:48,2,Pippa,197744265,POF2,0.503,min,211.377,μmol/L,Humid,29.741,deg,56385,µV,17.712,°C,1014,hPa,35,pmil,0,59.161,deg,19.058,°C,100,%a.s.,28.121,deg,18.748,°C,1012,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1370.82,5,46.5,34733.57,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,5/29/2024 09:31:34 AM,1534-01,0,no battery,V,36062,µV,16826,µV
05/29/2024,13:15:58,2,Pippa,197744265,POF2,0.67,min,211.092,μmol/L,Humid,29.756,deg,56435,µV,17.712,°C,1014,hPa,35,pmil,0,59.161,deg,19.058,°C,100,%a.s.,28.121,deg,18.748,°C,1012,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1370.82,5,46.5,34730.96,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,5/29/2024 09:31:34 AM,1534-01,0,no battery,V,36062,µV,16826,µV
05/29/2024,13:16:08,2,Pippa,197744265,POF2,0.836,min,210.816,μmol/L,Humid,29.773,deg,56470,µV,17.705,°C,1014,hPa,35,pmil,0,59.161,deg,19.058,°C,100,%a.s.,28.121,deg,18.748,°C,1012,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1370.82,5,46.5,34730.38,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,5/29/2024 09:31:34 AM,1534-01,0,no battery,V,36062,µV,16826,µV
05/29/2024,13:16:18,2,Pippa,197744265,POF2,1.004,min,210.22,μmol/L,Humid,29.802,deg,56515,µV,17.712,°C,1014,hPa,35,pmil,0,59.161,deg,19.058,°C,100,%a.s.,28.121,deg,18.748,°C,1012,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1370.82,5,46.5,34729.98,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,5/29/2024 09:31:34 AM,1534-01,0,no battery,V,36062,µV,16826,µV
05/29/2024,13:16:28,2,Pippa,197744265,POF2,1.17,min,210.088,μmol/L,Humid,29.809,deg,56552,µV,17.712,°C,1014,hPa,35,pmil,0,59.161,deg,19.058,°C,100,%a.s.,28.121,deg,18.748,°C,1012,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1370.82,5,46.5,34730.21,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,5/29/2024 09:31:34 AM,1534-01,0,no battery,V,36062,µV,16826,µV
05/29/2024,13:16:38,2,Pippa,197744265,POF2,1.337,min,210.049,μmol/L,Humid,29.816,deg,56578,µV,17.699,°C,1014,hPa,35,pmil,0,59.161,deg,19.058,°C,100,%a.s.,28.121,deg,18.748,°C,1012,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1370.82,5,46.5,34733.61,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,5/29/2024 09:31:34 AM,1534-01,0,no battery,V,36062,µV,16826,µV
05/29/2024,13:16:48,2,Pippa,197744265,POF2,1.504,min,209.814,μmol/L,Humid,29.826,deg,56611,µV,17.705,°C,1014,hPa,35,pmil,0,59.161,deg,19.058,°C,100,%a.s.,28.121,deg,18.748,°C,1012,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1370.82,5,46.5,34729.5,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,5/29/2024 09:31:34 AM,1534-01,0,no battery,V,36062,µV,16826,µV
