PreSens Measurement Studio 2,4.0.0.2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
9/4/2024,12:53:01,1,Pippa,506043763,POF1,0,min,242.853,μmol/L,Humid,28.74,deg,37396,µV,18.27,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38021.98,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:53:11,1,Pippa,506043763,POF1,0.16,min,243.308,μmol/L,Humid,28.727,deg,37299,µV,18.251,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38018.96,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:53:21,1,Pippa,506043763,POF1,0.326,min,243.138,μmol/L,Humid,28.742,deg,37227,µV,18.233,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38021.57,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:53:31,1,Pippa,506043763,POF1,0.493,min,243.325,μmol/L,Humid,28.741,deg,37171,µV,18.214,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38021.58,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:53:41,1,Pippa,506043763,POF1,0.659,min,243.656,μmol/L,Humid,28.736,deg,37119,µV,18.189,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38015.48,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:53:51,1,Pippa,506043763,POF1,0.827,min,243.543,μmol/L,Humid,28.746,deg,37071,µV,18.177,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38014.71,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:54:01,1,Pippa,506043763,POF1,0.993,min,243.74,μmol/L,Humid,28.747,deg,37029,µV,18.152,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38014.52,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:54:11,1,Pippa,506043763,POF1,1.16,min,243.718,μmol/L,Humid,28.748,deg,36980,µV,18.152,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38012.06,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:54:21,1,Pippa,506043763,POF1,1.326,min,243.91,μmol/L,Humid,28.747,deg,36956,µV,18.133,°C,1018,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38013.88,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:54:31,1,Pippa,506043763,POF1,1.493,min,243.983,μmol/L,Humid,28.746,deg,36930,µV,18.127,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38008.07,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:54:41,1,Pippa,506043763,POF1,1.66,min,243.881,μmol/L,Humid,28.753,deg,36895,µV,18.121,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38014.1,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:54:51,1,Pippa,506043763,POF1,1.827,min,244.238,μmol/L,Humid,28.742,deg,36871,µV,18.108,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38013.99,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:55:01,1,Pippa,506043763,POF1,1.993,min,244.214,μmol/L,Humid,28.748,deg,36854,µV,18.096,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38008.35,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:55:11,1,Pippa,506043763,POF1,2.16,min,243.766,μmol/L,Humid,28.768,deg,36819,µV,18.096,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38013.04,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:55:21,1,Pippa,506043763,POF1,2.327,min,244.167,μmol/L,Humid,28.755,deg,36820,µV,18.084,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38011.6,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:55:31,1,Pippa,506043763,POF1,2.493,min,244.123,μmol/L,Humid,28.757,deg,36816,µV,18.084,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38011.52,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:55:41,1,Pippa,506043763,POF1,2.659,min,244.033,μmol/L,Humid,28.761,deg,36808,µV,18.084,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38009.51,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:55:51,1,Pippa,506043763,POF1,2.827,min,244.121,μmol/L,Humid,28.762,deg,36813,µV,18.071,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38010.71,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:56:01,1,Pippa,506043763,POF1,2.993,min,244.222,μmol/L,Humid,28.755,deg,36800,µV,18.077,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38009.55,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:56:11,1,Pippa,506043763,POF1,3.159,min,244.154,μmol/L,Humid,28.763,deg,36783,µV,18.065,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38003.51,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:56:21,1,Pippa,506043763,POF1,3.327,min,244.188,μmol/L,Humid,28.759,deg,36779,µV,18.071,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38010.95,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:56:31,1,Pippa,506043763,POF1,3.493,min,244.143,μmol/L,Humid,28.761,deg,36777,µV,18.071,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38009.7,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:56:41,1,Pippa,506043763,POF1,3.659,min,244.245,μmol/L,Humid,28.754,deg,36780,µV,18.077,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38009.12,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:56:51,1,Pippa,506043763,POF1,3.826,min,244.188,μmol/L,Humid,28.759,deg,36769,µV,18.071,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38005.76,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:57:01,1,Pippa,506043763,POF1,3.993,min,244.21,μmol/L,Humid,28.758,deg,36777,µV,18.071,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38004.63,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:57:11,1,Pippa,506043763,POF1,4.16,min,244.111,μmol/L,Humid,28.76,deg,36775,µV,18.077,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38001.99,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:57:21,1,Pippa,506043763,POF1,4.327,min,244.429,μmol/L,Humid,28.746,deg,36783,µV,18.077,°C,1018,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38002.46,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:57:31,1,Pippa,506043763,POF1,4.493,min,244.345,μmol/L,Humid,28.752,deg,36785,µV,18.071,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38004.13,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:57:41,1,Pippa,506043763,POF1,4.66,min,244.327,μmol/L,Humid,28.753,deg,36781,µV,18.071,°C,1018,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38006.83,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
9/4/2024,12:57:51,1,Pippa,506043763,POF1,4.826,min,244.111,μmol/L,Humid,28.76,deg,36772,µV,18.077,°C,1017,hPa,35.6,pmil,0,58.925,deg,22.516,°C,100,%a.s.,27.924,deg,23.69,°C,1018,hPa,0.808,-0.0803,0.000433,0,0,29.87,Humid,1260.52,5,46,38006.48,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,000000-000,9/4/2024 9:52,0000-00,0,no battery,V,86781,µV,38699,µV
