# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac721cd7c6e.json
# init = 2 (Default)
# random
#   seed = 1215366849
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-0f1591.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-91c329.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.148572
# Diagonal elements of inverse mass matrix:
# 0.00010954, 0.224823, 0.00010873, 0.00053535
-2447.23,0.988858,0.148572,4,15,0,2449.68,403.879,21.1964,404.232,20.1179
-2448.07,0.572865,0.148572,2,3,0,2450.75,404.979,21.0879,405.004,20.187
-2448.63,0.991057,0.148572,4,31,0,2449.32,404.482,21.2884,405.119,19.745
-2450.07,0.949987,0.148572,5,31,0,2451.44,407.175,21.965,399.97,20.3636
-2449.63,0.99746,0.148572,4,15,0,2450.88,409.955,21.8785,397.719,20.2803
-2450.43,0.991635,0.148572,3,7,0,2450.76,409.701,22.1008,398.984,20.1905
-2447.99,0.856233,0.148572,4,15,0,2451.6,406.113,21.5368,401.774,20.2904
-2448.74,0.902249,0.148572,5,31,0,2450.05,401.861,21.0221,405.596,19.4546
-2447.96,0.99995,0.148572,5,31,0,2450.21,397.524,20.2925,411.002,19.9739
-2448.2,0.971779,0.148572,3,15,0,2449.79,399.507,20.2631,410.038,19.9917
-2447.98,0.921917,0.148572,3,15,0,2449.81,398.146,20.2699,410.745,20.3408
-2447.86,0.986194,0.148572,3,15,0,2448.52,398.849,20.3069,410.126,20.1819
-2447.92,1,0.148572,4,15,0,2448.16,398.751,20.2765,410.849,20.2335
-2448.06,0.999806,0.148572,3,11,0,2448.83,396.591,20.2075,412.342,20.3785
-2448.04,0.866897,0.148572,4,15,0,2449.53,396.035,20.4471,412.245,20.0452
-2448.94,0.985084,0.148572,5,31,0,2450.3,400.391,20.5272,408.959,19.1938
-2447.23,0.804532,0.148572,4,15,0,2450.21,399.376,20.7414,409.178,19.8574
-2447.9,0.988233,0.148572,4,31,0,2449.84,407.599,21.3871,401.504,20.0284
-2447.85,0.99267,0.148572,5,39,0,2448.4,397.809,20.2436,411.326,20.1992
-2447.36,0.944763,0.148572,5,31,0,2450.42,402.574,21.1458,406.053,20.4059
-2448.05,0.744196,0.148572,4,15,0,2451.52,406.67,21.5864,402.027,20.2599
-2448.17,0.960867,0.148572,4,15,0,2448.63,405.857,21.5506,402.917,20.3282
-2447.73,0.997391,0.148572,3,7,0,2448.4,405.854,21.4905,402.505,20.3321
-2447.18,0.983889,0.148572,4,15,0,2449.1,405.107,21.1591,403.765,20.114
-2447.6,0.849181,0.148572,2,3,0,2447.96,405.358,21.1219,404.24,20.1525
-2451.42,0.610845,0.148572,4,15,0,2453.46,401.621,21.3355,407.936,20.4847
-2447.62,1,0.148572,3,7,0,2451.04,401.094,21.0586,407.142,20.5203
-2452.62,0.926599,0.148572,4,31,0,2453.11,391.819,20.4785,415.636,19.7543
-2450.55,0.731187,0.148572,3,11,0,2456.57,392.539,20.0096,415.695,19.4747
-2449.04,0.993231,0.148572,5,31,0,2452.75,403.268,20.7179,406.044,21.0336
-2448.71,0.985286,0.148572,4,23,0,2451.24,397.469,20.8665,410.635,20.2241
-2447.39,0.954115,0.148572,3,11,0,2449.88,398.516,20.4941,410.06,20.3175
-2447.74,0.999015,0.148572,4,31,0,2448.2,400.758,20.6475,408.293,19.4876
-2447.13,0.993648,0.148572,4,31,0,2448.3,403.611,21.2012,405.068,20.0792
-2448.13,0.984024,0.148572,5,31,0,2449.07,397.514,20.5683,410.788,20.6823
-2448.79,0.879731,0.148572,5,31,0,2450.87,399.925,20.5277,408.149,19.5262
-2448.35,0.878964,0.148572,2,3,0,2450.03,400.56,20.4351,409.193,19.5644
-2447.64,0.975308,0.148572,4,31,0,2449.08,402.531,21.236,405.642,19.7801
-2448.04,0.717288,0.148572,4,31,0,2450.62,401.5,21.0323,407.422,19.5217
-2447.77,0.95515,0.148572,4,15,0,2448.62,401.656,20.7339,408.186,19.7929
-2448.86,0.890378,0.148572,4,31,0,2451.01,404.844,20.7818,405.64,20.088
-2448.06,0.998402,0.148572,3,15,0,2449.96,402.93,20.5942,406.458,20.0346
-2448.46,0.993724,0.148572,3,7,0,2449.07,403.879,20.6389,405.815,19.9204
-2447.21,0.969473,0.148572,3,15,0,2450.07,401.864,20.8404,407.356,20.4417
-2447.3,0.995747,0.148572,4,31,0,2448.02,399.169,20.7918,409.029,20.1324
-2448.76,0.69003,0.148572,3,15,0,2451.88,396.106,20.5507,412.823,20.0133
-2447.83,0.996146,0.148572,4,23,0,2452.51,399.225,20.5267,409.08,19.6905
-2448.22,0.898255,0.148572,4,31,0,2449.76,401.481,20.851,407.645,19.3096
-2447.05,1,0.148572,4,31,0,2449.58,403.924,21.169,404.52,20.1122
-2447.83,0.971214,0.148572,4,23,0,2448.77,407.099,21.4351,401.388,20.344
-2448.24,0.968007,0.148572,4,31,0,2449.38,401.162,21.0577,406.654,19.4618
-2447.47,0.93838,0.148572,3,15,0,2452.46,400.829,20.8693,407.812,20.6361
-2447.94,0.871371,0.148572,2,7,0,2449.25,400.936,20.7697,407.045,20.6243
-2449.36,0.984351,0.148572,3,15,0,2449.7,400.165,21.2079,406.802,20.5558
-2450.38,0.537506,0.148572,2,3,0,2452.05,401.189,21.2423,408.157,20.5792
