# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac75762de1b.json
# init = 2 (Default)
# random
#   seed = 2005463894
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-185a6f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-7e61b6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.182577
# Diagonal elements of inverse mass matrix:
# 0.000130865, 0.0820386, 0.000164298, 0.000657408
-2829.79,0.832753,0.182577,2,3,0,2832.56,415.614,9.25161,407.456,33.4189
-2830.15,0.99724,0.182577,3,11,0,2830.71,415.877,9.13581,408.059,32.2226
-2830.12,0.973187,0.182577,3,15,0,2831.82,419.76,9.09279,407.034,33.4403
-2831.52,0.997319,0.182577,4,15,0,2832.22,416.674,9.75081,400.37,33.5985
-2831.39,0.997231,0.182577,4,23,0,2833.3,415.176,9.66925,402.042,33.2562
-2830.99,0.964918,0.182577,3,15,0,2834.66,414.796,9.50821,402.61,33.9123
-2829.3,0.992895,0.182577,3,11,0,2832.42,420.33,9.43456,401.904,33.0344
-2829.59,0.832064,0.182577,4,19,0,2831.31,417.143,9.27683,405.045,32.3943
-2829.31,0.978333,0.182577,4,15,0,2829.86,419.769,9.37473,402.827,33.7185
-2829.66,0.998803,0.182577,4,15,0,2829.76,419.339,9.52161,401.151,33.8123
-2830.71,0.929044,0.182577,4,15,0,2831.51,425.285,9.68297,396.057,33.5897
-2829.48,0.98758,0.182577,4,15,0,2832.51,416.052,9.39717,404.485,33.4627
-2829.95,0.958782,0.182577,4,31,0,2833.32,415.407,8.98395,410.054,32.7522
-2830.79,0.965917,0.182577,2,7,0,2831.22,416.713,8.8377,409.934,32.7719
-2830.83,0.966113,0.182577,4,15,0,2831.75,411.086,9.13416,408.448,33.7563
-2829.92,0.999109,0.182577,3,11,0,2831.11,417.509,9.04063,406.509,33.5147
-2829.85,1,0.182577,4,15,0,2830.38,414.894,9.19849,407.393,34.1657
-2829.84,0.989396,0.182577,4,15,0,2832.21,415.57,9.27964,406.359,32.414
-2830.62,0.981417,0.182577,4,31,0,2831.08,420.649,9.30519,402.165,34.5508
-2830.33,0.891219,0.182577,4,15,0,2832.13,418.024,9.57638,401.537,34.1325
-2829.4,0.900398,0.182577,4,15,0,2831.65,418.504,9.22772,405.841,33.5037
-2832.72,0.772172,0.182577,3,11,0,2833.88,413.283,9.41602,402.974,34.0388
-2834.69,0.993763,0.182577,4,15,0,2837.46,419.031,8.68447,408.89,34.0981
-2832.22,0.997184,0.182577,4,15,0,2835.74,411.651,9.0101,408.296,32.8095
