# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac72dc3f7df.json
# init = 2 (Default)
# random
#   seed = 1753175574
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-18ea34.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-301b03.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.35945
# Diagonal elements of inverse mass matrix:
# 0.0512152, 26.942, 0.000267892, 0.000587482
-4006.09,0.984294,0.35945,2,7,0,4008.16,41.8627,-16.7026,612.221,129.484
-4006.12,0.913021,0.35945,2,3,0,4007.02,34.1279,-18.7532,616.168,129.311
-4008.03,0.912202,0.35945,3,7,0,4008.32,35.8222,-14.5012,603.012,127.052
-4007.83,1,0.35945,4,15,0,4008.51,36.0458,-14.119,603.174,135.262
-4006.44,0.924416,0.35945,2,7,0,4009,32.4763,-16.553,616.034,130.099
-4005.84,0.781025,0.35945,2,3,0,4009.89,45.4609,-16.0545,620.714,129.691
-4006.97,0.715166,0.35945,4,15,0,4009.61,39.8172,-21.1409,607.469,129.539
-4005.48,0.963066,0.35945,2,7,0,4007.63,37.3847,-20.3031,613.89,128.738
-4007.29,0.672339,0.35945,3,11,0,4009.06,28.2304,-15.6375,611.798,133.153
-4009.03,0.832665,0.35945,3,7,0,4012.47,52.154,-14.4135,620.738,134.334
-4005.21,1,0.35945,3,7,0,4009.67,36.2278,-16.6214,611.048,129.757
-4005.32,0.966862,0.35945,3,15,0,4005.75,36.7645,-17.8662,614.732,132.915
-4005.92,0.958112,0.35945,2,7,0,4007.84,39.2161,-21.5929,611.938,128.456
-4006.24,0.918128,0.35945,3,7,0,4006.88,42.3002,-17.8142,611.843,133.333
-4006.72,0.991158,0.35945,3,15,0,4008.29,43.7397,-16.3062,624.071,135.85
-4005.7,0.896535,0.35945,2,7,0,4010.71,47.4726,-19.6927,620.707,133.174
-4005.97,0.869663,0.35945,2,3,0,4006.68,39.2244,-21.5918,620.693,132.752
-4005.4,0.986421,0.35945,3,11,0,4006.78,32.5877,-14.6231,607.355,130.611
-4006.59,0.71876,0.35945,3,7,0,4007.97,28.4311,-12.4804,599.475,130.035
-4006.11,0.936036,0.35945,3,11,0,4008.58,35.2404,-12.0624,615.507,132.189
-4005.33,0.781424,0.35945,3,11,0,4008.48,40.7832,-19.3372,615.449,133.222
-4005.43,0.992515,0.35945,3,15,0,4005.81,45.3328,-21.5324,620.59,133.084
-4009.18,0.85714,0.35945,3,7,0,4009.97,30.1644,-28.4876,602.124,130.291
-4006.81,0.983865,0.35945,3,7,0,4009.93,43.703,-14.9413,627.103,130.982
-4008.02,0.738254,0.35945,2,3,0,4009.78,48.5331,-14.7496,616.524,131.031
-4006.32,1,0.35945,2,3,0,4008.04,35.3394,-16.7397,619.251,130.182
-4008.44,0.974431,0.35945,3,15,0,4008.96,20.661,-11.9674,601.959,130.128
-4009.24,0.979721,0.35945,3,7,0,4010.1,22.5237,-15.0111,590.655,129.39
-4007.17,0.861017,0.35945,3,11,0,4012.81,51.3836,-27.1908,620.814,132.031
-4005.67,0.890309,0.35945,4,15,0,4008.48,34.7268,-19.3799,614.992,131.357
-4005.93,0.993114,0.35945,4,15,0,4007.05,35.8706,-12.6315,608.808,129.917
-4006.91,0.953124,0.35945,2,3,0,4007.19,37.2925,-10.8173,610.001,129.662
-4006.47,0.661518,0.35945,3,7,0,4009.6,38.6764,-11.9023,612.896,129.25
-4005.86,0.921823,0.35945,3,15,0,4007.87,39.6091,-18.0198,621.918,129.681
-4007.19,0.963957,0.35945,4,15,0,4008.43,59.4648,-27.1982,632.541,133.134
-4005.47,0.927356,0.35945,2,7,0,4008.28,46.3187,-22.4785,623.658,129.647
-4005.5,0.943696,0.35945,4,15,0,4006.01,41.2057,-17.5752,615.96,133.972
-4005.83,0.919294,0.35945,3,7,0,4008.54,41.8295,-14.4581,621.023,132.377
-4005.53,0.99964,0.35945,4,15,0,4006.47,34.1751,-19.9981,610.766,130.238
-4007.02,0.943852,0.35945,4,15,0,4007.79,47.4054,-23.0772,629.776,135.341
-4007.11,0.887744,0.35945,3,7,0,4008.5,56.3216,-26.1144,627.769,133.726
-4007.05,0.992555,0.35945,3,15,0,4008.16,58.7019,-26.748,631.79,133.065
-4006.75,0.998355,0.35945,3,15,0,4008.57,39.8264,-24.2457,612.431,127.317
-4006.14,0.975267,0.35945,3,15,0,4008.19,34.8172,-11.0164,609.835,130.642
-4005.57,0.999848,0.35945,3,7,0,4006.32,31.6189,-17.1684,609.013,129.919
-4007.7,0.947147,0.35945,3,7,0,4008.23,34.2907,-20.4794,608.208,124.905
-4009.25,0.887537,0.35945,3,15,0,4012.45,19.3368,-7.70413,599.104,133.246
-4007.46,0.996591,0.35945,3,7,0,4009.7,22.2633,-9.88409,599.969,130.91
-4007.11,0.994028,0.35945,4,15,0,4008.75,52.5657,-23.4742,633.425,135.511
-4007.63,0.987966,0.35945,4,15,0,4009.81,25.5683,-10.0739,602.445,135.133
-4008.66,0.968872,0.35945,4,15,0,4009.81,59.6183,-28.8713,634.547,137.071
-4007.59,0.981542,0.35945,3,7,0,4010.48,53.1988,-32.3018,627.561,132.453
-4007.99,0.718406,0.35945,3,15,0,4012.61,53.257,-22.8996,638.324,134.648
-4008.27,0.991302,0.35945,3,15,0,4010.15,55.4693,-28.8034,625.957,135.601
-4008.05,0.920624,0.35945,4,15,0,4010.58,26.2975,-13.4906,607.746,135.745
-4006.47,0.974647,0.35945,3,7,0,4008.84,26.9533,-12.9633,605.242,128.493
-4005.77,0.901248,0.35945,3,11,0,4009.58,47.2727,-20.1565,624.51,128.516
-4006.39,0.79885,0.35945,3,11,0,4007.25,41.6485,-20.4296,610.644,129.523
-4007.82,0.935649,0.35945,3,15,0,4011,51.1953,-29.0492,635.127,132.663
-4006.59,1,0.35945,2,3,0,4007.62,55.0371,-26.498,627.72,132.081
-4005.87,0.98602,0.35945,3,11,0,4008.63,50.3701,-24.2118,623.744,130.978
-4005.81,0.999777,0.35945,3,15,0,4007.18,42.1053,-15.206,622.418,132.117
-4006.58,0.966267,0.35945,3,15,0,4007.72,34.7179,-19.2072,606.378,134.666
-4006.58,0.963527,0.35945,3,7,0,4007.32,34.1708,-11.8319,615.309,128.729
-4005.59,1,0.35945,2,3,0,4006.51,35.9742,-14.213,611.134,128.789
-4005.54,0.847968,0.35945,3,7,0,4007.51,34.614,-18.7276,608.795,129.32
-4007.52,0.95337,0.35945,3,15,0,4008.13,45.2572,-15.6018,626.206,126.782
-4005.29,0.895199,0.35945,2,7,0,4009.32,43.6616,-21.3933,622.436,130.799
-4006.03,0.904636,0.35945,2,7,0,4006.96,48.1173,-22.6183,627.563,128.57
-4006.97,0.955475,0.35945,4,15,0,4007.63,32.7256,-10.1078,614.083,129.996
-4006.01,0.998773,0.35945,3,15,0,4007.94,44.3583,-26.6365,621.585,131.378
-4006.4,0.736383,0.35945,3,15,0,4008.31,35.9559,-17.6194,619.331,133.44
-4005.91,0.814132,0.35945,2,7,0,4008.92,39.8317,-19.1687,610.358,132.832
-4005.87,0.922936,0.35945,3,7,0,4006.85,38.0655,-18.8817,610.929,134.217
-4007.49,0.837027,0.35945,2,3,0,4007.52,32.4847,-19.9169,615.788,134.737
-4005.97,1,0.35945,3,11,0,4009.02,32.9165,-19.4483,605.378,130.472
-4006.12,0.890259,0.35945,4,15,0,4007.2,38.2449,-12.3473,615.747,133.372
-4006.16,0.969958,0.35945,3,7,0,4007.76,30.3343,-15.3535,606.433,127.553
-4006.78,0.80544,0.35945,3,15,0,4009.34,34.9983,-20.956,604.829,133.121
-4006.01,0.940229,0.35945,3,7,0,4008.72,41.1088,-21.2376,620.742,134.53
-4008.73,0.95988,0.35945,4,15,0,4010.34,37.1873,-15.8707,614.628,139.723
-4007.12,0.978444,0.35945,3,11,0,4009.64,45.6792,-24.1879,625.603,126.22
-4007.57,0.846202,0.35945,3,7,0,4009.49,41.7876,-25.5035,625.814,127.937
-4007.32,0.949962,0.35945,1,3,0,4009.42,46.3839,-27.2155,622.661,126.301
-4009.3,0.968798,0.35945,3,7,0,4009.67,46.7175,-32.1486,621.722,125.288
-4011.86,0.889955,0.35945,4,15,0,4016.36,52.5166,-28.2987,623.358,141.404
-4008.36,0.941149,0.35945,3,7,0,4014.06,48.7526,-33.2184,620.163,132.295
-4006.1,0.715136,0.35945,3,15,0,4010.96,34.6745,-12.2951,607.523,129.251
-4007.93,0.896982,0.35945,3,7,0,4009.39,27.2481,-17.6988,600.366,135.416
-4006.33,0.978915,0.35945,4,15,0,4008.89,46.8347,-19.086,619.852,127.659
-4006.36,0.985401,0.35945,3,15,0,4007.23,44.4258,-18.0358,616.959,127.426
-4008.72,0.797828,0.35945,3,15,0,4009.47,30.2105,-18.9923,597.168,134.733
-4007.18,0.936956,0.35945,3,7,0,4011.05,33.2584,-9.14576,606.114,130.788
-4006.39,0.919638,0.35945,4,15,0,4009.52,29.7674,-11.3486,609.3,128.819
-4006.35,0.951766,0.35945,3,7,0,4007.6,33.9875,-18.2133,605.233,128.063
-4007.51,0.925944,0.35945,3,15,0,4009.03,57.7315,-24.5177,628.068,134.204
-4007.74,0.962431,0.35945,3,7,0,4008.88,58.0865,-28.0009,632.624,127.506
-4007.74,0.325632,0.35945,1,1,0,4009.34,58.0865,-28.0009,632.624,127.506
-4006.84,0.985162,0.35945,3,7,0,4008.04,56.3739,-25.1325,633.602,128.597
-4006.65,0.754772,0.35945,3,15,0,4008.87,42.0093,-22.5797,623.298,127.15
-4006.37,0.937441,0.35945,3,11,0,4008.19,38.3136,-22.0237,608.353,129.808
-4006.17,0.880412,0.35945,4,15,0,4008.54,45.443,-20.0241,628.352,132.486
-4006.13,0.929299,0.35945,3,15,0,4007.55,30.2215,-16.9798,610.427,132.273
-4006.81,0.99978,0.35945,3,7,0,4007,31.383,-10.1523,602.998,132.4
-4007.11,0.981453,0.35945,3,7,0,4007.59,25.4383,-15.777,606.024,131.833
-4006.26,0.978808,0.35945,3,7,0,4007.42,29.7045,-15.1428,601.337,131.96
-4006.35,0.879764,0.35945,3,15,0,4008.04,36.0985,-18.9775,619.722,129.682
-4005.25,0.97196,0.35945,3,15,0,4008.65,42.0142,-22.0143,619.216,130.58
-4007.25,0.947694,0.35945,4,15,0,4008.59,25.8205,-12.0433,600.515,134.6
-4007.79,0.972965,0.35945,3,15,0,4009.17,30.1582,-17.6114,605.044,136.876
-4006.67,0.993155,0.35945,4,15,0,4008.56,32.8941,-12.943,612.726,126.968
-4006.06,0.993989,0.35945,4,15,0,4007.44,41.9876,-16.7203,624.323,129.818
-4005.69,1,0.35945,3,7,0,4006.11,39.6371,-23.6898,616.126,132.041
-4005.29,0.998455,0.35945,3,7,0,4006,46.7901,-20.2068,622.569,130.861
-4006.23,0.768556,0.35945,4,15,0,4007.56,29.0523,-14.438,606.41,127.882
-4006.78,0.948336,0.35945,3,7,0,4009.22,33.8941,-15.8967,608.002,136.294
-4006.14,0.99942,0.35945,4,15,0,4007.15,34.0843,-14.8153,609.681,126.974
-4010.45,0.75402,0.35945,2,3,0,4011.02,29.2772,-10.3644,613.199,123.912
-4007.27,0.992463,0.35945,3,7,0,4011.46,35.4275,-16.0186,602.394,133.499
-4005.72,0.98128,0.35945,4,15,0,4009.47,38.5409,-18.8574,618.99,133.575
-4005.51,0.997994,0.35945,3,7,0,4006.15,40.9582,-21.2774,620.737,132.447
-4005.51,0.939661,0.35945,4,15,0,4006.33,34.4755,-15.6313,613.012,128.843
-4005.58,0.964248,0.35945,3,7,0,4007.55,38.3812,-22.6671,613.599,130.143
-4006.07,0.945856,0.35945,3,7,0,4009.12,30.6927,-10.7254,606.534,130.732
-4007.83,0.804977,0.35945,3,7,0,4010.08,28.8535,-17.0174,598.147,127.291
-4008.24,0.848814,0.35945,3,7,0,4009.81,32.6376,-8.8981,601.21,131.824
-4007.18,0.995456,0.35945,2,7,0,4010.86,34.4023,-9.2192,608.64,130.32
-4006.02,0.972217,0.35945,3,15,0,4008.3,40.2317,-25.2075,614.369,130.392
-4005.59,0.997998,0.35945,3,7,0,4006.75,39.9156,-21.323,617.412,128.379
-4006.27,0.823736,0.35945,3,15,0,4007.99,41.2733,-18.1767,611.402,134.167
-4007.42,0.985113,0.35945,4,15,0,4009.78,27.3476,-19.3737,604.36,127.164
-4011.92,0.9441,0.35945,3,7,0,4012.61,26.2415,-15.344,599.194,121.353
-4006.05,0.994463,0.35945,4,15,0,4013.06,31.581,-19.2234,610.054,132.598
-4008.66,0.815028,0.35945,3,15,0,4009.03,24.9963,-9.45839,610.373,129.516
-4006.88,0.996177,0.35945,3,7,0,4008.92,28.6887,-14.3125,598.18,130.664
-4007.05,0.899726,0.35945,3,15,0,4009.42,38.66,-13.6607,613.9,126.096
-4006.17,0.91481,0.35945,2,3,0,4008.07,36.5847,-15.3648,617.535,127.8
-4006.3,0.993323,0.35945,3,15,0,4007.2,28.9903,-13.8106,602.72,133.412
-4006.51,0.961263,0.35945,3,15,0,4011.38,53.6558,-24.7969,634.711,131.146
-4006.02,0.960903,0.35945,2,7,0,4007.15,53.7522,-24.4196,629.041,131.118
-4005.63,0.970831,0.35945,2,7,0,4006.74,41.4861,-23.7205,620.154,131.54
-4006.99,0.965041,0.35945,3,7,0,4007.62,45.5517,-21.8436,618.54,136.694
-4008.32,0.693615,0.35945,2,3,0,4008.83,38.7237,-20.2238,624.092,136.648
-4007.14,0.922446,0.35945,3,13,0,4012.73,23.5757,-14.3548,601.453,130.369
-4006.4,0.911878,0.35945,3,15,0,4011.45,28.0499,-13.3076,609.192,130.124
-4006.35,0.983097,0.35945,3,11,0,4008.1,39.6063,-22.4499,611.241,133.959
-4005.5,0.999549,0.35945,3,15,0,4006.82,44.5291,-23.5256,621.03,132.371
-4005.41,0.990522,0.35945,3,15,0,4005.97,39.1884,-18.0325,616.572,128.417
-4005.29,0.999622,0.35945,3,15,0,4005.88,43.4625,-19.9967,619.988,129.237
-4005.26,0.935281,0.35945,3,15,0,4008.09,37.5128,-20.2856,615.244,130.358
-4006.95,0.974693,0.35945,3,7,0,4007.09,45.7056,-17.2142,622.842,126.305
-4006.02,0.824784,0.35945,3,7,0,4009.56,43.1737,-19.0269,626.204,131.463
-4005.61,0.889437,0.35945,2,7,0,4007.07,48.3909,-20.7169,621.431,131.478
-4005.32,0.989303,0.35945,3,15,0,4006.08,42.0986,-20.3694,618.088,129.002
-4006.27,0.786958,0.35945,2,7,0,4008.37,40.1412,-16.9105,623.445,129.365
-4007.37,0.838732,0.35945,2,7,0,4009.15,45.7803,-26.3183,614.068,132.564
-4006.73,0.997642,0.35945,4,15,0,4009.26,37.5524,-15.6724,622.17,129.338
-4005.51,0.997635,0.35945,2,3,0,4006.67,41.2304,-15.3819,618.977,129.625
-4005.88,0.811237,0.35945,3,7,0,4007.7,38.3285,-20.7211,620.032,132.24
-4007.11,0.971698,0.35945,3,7,0,4008.06,34.5586,-17.3859,615.511,136.375
-4007.68,0.93049,0.35945,2,3,0,4009.09,45.8318,-16.3804,617.359,137.295
-4007.45,0.992297,0.35945,3,7,0,4009.72,50.0469,-18.0956,628.812,136.973
-4006.36,0.986961,0.35945,2,3,0,4008.22,49.0791,-18.8277,626.517,135.237
-4006.37,0.999749,0.35945,4,15,0,4006.81,42.4285,-25.1054,618.555,127.529
-4006.38,0.899625,0.35945,3,7,0,4009.17,44.3259,-25.5705,624.801,133.33
-4006.63,0.979587,0.35945,3,7,0,4007.59,55.6671,-23.5169,628.278,129.893
-4005.98,0.985766,0.35945,3,7,0,4007.28,51.1347,-19.3914,629.136,130.468
-4006.3,0.971791,0.35945,3,15,0,4007.66,42.8597,-16.9777,621.853,127.198
-4005.3,0.969794,0.35945,3,15,0,4007.16,36.8596,-14.6306,613.398,129.823
-4005.16,0.99778,0.35945,2,3,0,4005.35,36.6453,-16.1762,614.225,130.003
-4007.45,0.894235,0.35945,3,15,0,4009.61,62.2991,-25.4565,635.948,130.607
-4008.14,0.81145,0.35945,3,7,0,4009.39,45.6311,-29.828,630.049,130.156
-4009.55,0.750421,0.35945,4,15,0,4013.65,62.2183,-27.5388,628.848,134.808
-4007.29,1,0.35945,2,3,0,4008.74,56.7849,-28.2655,631.714,134.668
-4007.15,0.990469,0.35945,3,7,0,4008.23,51.4514,-29.1619,625.528,134.215
-4006.05,0.980368,0.35945,3,15,0,4008.61,37.3496,-21.4996,615.831,134.151
-4007.3,0.942251,0.35945,4,15,0,4008.95,55.8067,-26.8903,626.588,129.367
-4007.7,0.980487,0.35945,4,15,0,4010.96,56.8382,-28.0341,628.132,134.659
-4005.76,0.916513,0.35945,3,15,0,4008.99,41.9289,-21.5736,620.842,133.976
-4005.72,0.963771,0.35945,2,3,0,4006.32,43.4173,-18.9995,616.746,134.174
-4007.03,0.878814,0.35945,3,7,0,4007.9,41.5963,-25.2734,613.788,134.96
-4007.68,0.951003,0.35945,3,15,0,4009.23,45.9986,-30.4693,625.651,134.084
-4007,0.931113,0.35945,3,7,0,4008.37,49.5723,-30.1809,627.818,132.677
-4006.79,0.742152,0.35945,3,7,0,4010.6,38.6967,-16.1726,623.683,133.06
-4005.72,0.856854,0.35945,2,7,0,4008.07,42.8289,-15.6557,615.679,132.641
-4006.07,0.994326,0.35945,3,15,0,4006.73,39.8148,-23.6888,619.498,133.115
-4007.84,0.794387,0.35945,3,11,0,4008.58,43.4414,-21.9965,608.695,131.993
-4006.35,0.97612,0.35945,4,15,0,4008.83,53.4784,-23.9308,625.306,131.158
-4005.56,1,0.35945,3,15,0,4006.89,37.0631,-19.3942,609.391,130.074
-4005.78,0.957614,0.35945,2,7,0,4006.75,35.3182,-17.8508,616.093,133.046
-4005.71,0.98988,0.35945,4,15,0,4006.81,44.2291,-24.9799,622.187,131.458
-4006.66,0.642609,0.35945,3,15,0,4009.31,39.3069,-15.4658,621.857,127.807
-4008.19,0.976466,0.35945,4,15,0,4012.24,35.8252,-13.8154,611.018,124.144
-4010.57,0.930932,0.35945,4,15,0,4011.86,42.3691,-27.4629,620.995,140.184
-4006.07,1,0.35945,3,7,0,4011.61,42.6746,-21.5746,616.417,127.426
-4007.06,0.981823,0.35945,3,7,0,4008.05,46.5184,-25.9088,620.159,135.732
-4006.41,0.930403,0.35945,4,15,0,4009.45,47.6638,-15.6632,622.385,129.498
-4005.43,0.942923,0.35945,3,11,0,4007.52,39.0022,-16.2019,611.403,131.803
-4006.73,0.945565,0.35945,2,7,0,4009,34.4057,-19.5672,614.553,126.513
-4005.57,1,0.35945,3,7,0,4007.38,33.4024,-19.2928,609.274,131.737
-4006.19,0.957696,0.35945,4,15,0,4006.42,35.8474,-23.3302,615.928,131.02
-4006.08,0.998695,0.35945,3,15,0,4007.06,35.8133,-12.5629,607.563,132.06
-4005.75,0.91821,0.35945,3,15,0,4007.14,33.612,-13.0281,606.915,129.849
-4008.15,0.972718,0.35945,3,7,0,4008.65,20.9198,-10.3679,593.762,130.842
-4008.18,0.961503,0.35945,3,15,0,4010.33,26.0373,-10.1698,600.144,136.267
-4006.96,0.946854,0.35945,4,15,0,4008.95,57.0691,-26.4357,628.864,132.516
-4006.4,0.911549,0.35945,2,7,0,4013.13,50.7895,-20.3042,631.369,133.979
-4005.73,0.982341,0.35945,2,7,0,4006.95,48.0584,-23.5154,624.432,133.339
-4006.11,0.939086,0.35945,4,15,0,4006.89,31.1315,-11.6644,611.326,130.646
-4006.55,0.989639,0.35945,3,15,0,4007.72,37.3939,-13.0455,610.586,135.217
-4007.32,0.986118,0.35945,3,7,0,4008.05,29.705,-14.1507,606.754,136.516
-4008.85,0.797092,0.35945,4,15,0,4012.85,45.1668,-28.1073,632.281,129.56
-4006.65,0.981359,0.35945,1,3,0,4008.35,50.8139,-28.5246,629.136,129.366
-4006.94,0.700563,0.35945,4,15,0,4009.22,25.5712,-14.8105,600.691,128.089
-4006.58,0.993509,0.35945,3,7,0,4007.53,27.6044,-13.2811,601.744,127.909
-4007.18,0.913993,0.35945,2,3,0,4007.77,25.9845,-15.0917,604.169,127.138
-4007.23,1,0.35945,3,7,0,4007.58,27.7378,-13.4961,601.262,126.449
-4008.3,0.916369,0.35945,3,7,0,4009.85,24.0883,-19.7511,601.498,132.932
-4008.24,0.979586,0.35945,3,15,0,4011.07,47.319,-14.9555,625.832,126.104
-4009.21,0.736094,0.35945,3,15,0,4011.3,23.8435,-20.3414,604.06,134.239
-4005.81,1,0.35945,3,15,0,4010.04,45.4106,-17.7805,616.784,131.572
-4007.25,0.991438,0.35945,3,15,0,4008.01,26.5041,-11.6111,596.976,132.686
-4006.91,0.877708,0.35945,3,15,0,4010.24,45.1301,-26.3573,628.39,130.393
-4006.72,0.926024,0.35945,3,7,0,4008.04,48.1374,-25.4647,620.552,127.776
-4006.81,0.985076,0.35945,3,15,0,4008.78,32.4966,-10.1241,604.136,130.562
-4006.52,0.96345,0.35945,3,7,0,4007.86,28.0192,-10.7146,600.863,130.306
-4006.25,0.99777,0.35945,2,3,0,4006.64,27.1849,-12.3691,601.256,130.415
-4005.43,0.906946,0.35945,3,7,0,4009.52,38.3027,-18.31,610.981,132.447
-4005.64,0.993017,0.35945,4,15,0,4005.9,33.151,-18.8302,612.12,129.967
-4005.77,0.996289,0.35945,3,7,0,4006.59,33.0592,-12.5227,612.174,131.973
-4005.83,0.991949,0.35945,4,15,0,4006.16,48.3282,-22.0925,626.41,128.756
-4006.18,0.959438,0.35945,3,15,0,4006.96,37.6798,-24.7979,611.962,131.489
-4008.74,0.899529,0.35945,4,15,0,4009.87,52.4487,-18.6186,639.103,130.098
-4007.7,0.988486,0.35945,3,15,0,4010.75,26.6371,-21.646,601.352,131.531
-4007.35,0.940633,0.35945,3,7,0,4009.59,25.4956,-18.6728,604.896,130.653
-4008.9,0.959657,0.35945,3,15,0,4010.93,38.8186,-15.3129,614.622,123.237
-4005.93,0.810244,0.35945,3,15,0,4011.13,30.3398,-18.3065,607.153,129.658
-4008.2,0.87552,0.35945,3,11,0,4012.42,44.6218,-26.5041,616.494,137.046
-4005.85,0.997416,0.35945,3,15,0,4009.36,35.5669,-16.5529,612.305,134.748
-4007.21,0.922903,0.35945,3,7,0,4007.85,49.7059,-24.0276,625.223,126.011
-4008.64,0.856717,0.35945,3,11,0,4011.17,30.2046,-26.3271,601.237,131.437
-4007.39,0.987219,0.35945,3,7,0,4010.94,55.01,-19.3586,629.349,128.029
-4007.05,0.934235,0.35945,2,3,0,4007.75,49.7092,-19.4981,632.286,128.41
-4006.18,0.983551,0.35945,4,15,0,4009.43,44.5762,-23.6402,625.102,133.879
-4006.28,0.970317,0.35945,2,7,0,4008.01,55.6787,-24.6136,630.645,130.896
-4008.4,0.939778,0.35945,2,7,0,4009.96,52.7915,-16.1667,635.44,129.327
-4007,0.998227,0.35945,3,7,0,4009.07,47.4144,-29.6392,625.914,133.147
-4006.3,0.997176,0.35945,4,15,0,4008.41,46.1567,-14.7464,624.391,132.534
-4009.52,0.540768,0.35945,3,15,0,4010.63,32.2179,-17.9399,594.979,130.982
-4008.19,0.991921,0.35945,3,15,0,4011.03,50.535,-13.5207,623.526,130.305
-4006.75,1,0.35945,1,1,0,4007.8,47.4788,-14.27,624.405,130.449
-4006.3,0.962536,0.35945,3,7,0,4008.35,35.993,-22.1174,609.019,128.187
-4006.05,0.988651,0.35945,3,7,0,4007.06,45.4068,-14.6997,621.043,131.992
-4007.06,0.981475,0.35945,4,15,0,4007.97,30.1313,-23.339,607.286,129.739
-4006.32,0.855427,0.35945,3,7,0,4008.66,33.0033,-18.012,604.064,128.648
-4008.94,0.705549,0.35945,3,15,0,4011.64,34.9048,-16.0935,624.554,129.744
-4008.23,1,0.35945,2,3,0,4010,49.2421,-13.3129,619.804,131.194
-4007.81,0.990649,0.35945,3,11,0,4010.34,57.7885,-29.5212,627.819,131.456
-4007.26,0.847015,0.35945,2,7,0,4012.26,41.5205,-18.3775,621.572,137.443
-4005.39,0.975474,0.35945,2,7,0,4007.76,43.7094,-18.1248,616.685,131.898
-4007.49,0.866664,0.35945,3,7,0,4008.73,52.6374,-25.5211,635.168,135.073
-4005.82,0.976911,0.35945,3,15,0,4008.62,35.7164,-21.9826,613.328,129.153
-4007.72,0.869194,0.35945,2,7,0,4011.39,37.3318,-25.5653,609.105,126.701
-4005.83,0.998866,0.35945,3,7,0,4008.67,41.1016,-23.0505,620.578,128.889
-4005.65,0.926995,0.35945,4,15,0,4009.38,41.5269,-17.0355,613.386,129.744
-4006.27,0.998906,0.35945,4,15,0,4007.07,27.9312,-15.9047,607.46,131.308
-4006.08,0.931405,0.35945,3,15,0,4007.9,32.7283,-12.1123,613.118,132.351
-4005.66,0.882668,0.35945,3,11,0,4008.08,39.1643,-17.7834,612.256,128.328
-4006.01,0.955504,0.35945,3,15,0,4006.3,32.9,-17.8095,613.834,128.888
-4006.49,0.964307,0.35945,2,7,0,4009.52,34.6762,-17.7844,606.43,134.885
-4005.94,0.992181,0.35945,4,15,0,4009.71,48.8845,-22.4932,623.027,128.692
-4006.48,0.989004,0.35945,3,15,0,4007.13,56.4503,-24.3619,635.089,130.862
-4006.82,0.936535,0.35945,3,15,0,4009.24,46.7393,-14.8142,627.341,133.423
-4006.25,1,0.35945,2,3,0,4006.96,46.1369,-16.3386,626.953,133.1
