# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac733d55fa0.json
# init = 2 (Default)
# random
#   seed = 891331482
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-1a264b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-34bcd5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.342461
# Diagonal elements of inverse mass matrix:
# 0.0642578, 36.1488, 0.000230361, 0.000448194
-4265.96,0.949665,0.342461,2,3,0,4267.96,32.8444,-14.3864,791.883,166.196
-4264.91,0.655513,0.342461,3,15,0,4271.33,47.809,-26.5182,801.448,173.989
-4265.78,0.964685,0.342461,2,7,0,4267.03,39.4197,-27.5022,789.887,173.438
-4265.1,0.995882,0.342461,2,3,0,4266.11,37.2296,-24.8202,791.399,173.022
-4267.53,0.910482,0.342461,3,7,0,4269.13,44.9414,-17.2389,801.04,163.591
-4264.59,0.991261,0.342461,3,7,0,4268.58,50.0739,-24.0258,802.651,173.43
-4265.43,0.808857,0.342461,2,3,0,4266.3,52.9915,-24.7106,800.225,172.274
-4265.15,0.975051,0.342461,3,15,0,4266.67,38.1153,-23.1956,797.036,175.6
-4264.48,0.845928,0.342461,2,7,0,4267.15,42.0104,-16.4372,798.288,176.397
-4264.3,0.957643,0.342461,3,15,0,4265.06,38.7214,-19.5669,788.323,172.97
-4266.34,0.845526,0.342461,3,11,0,4267.89,26.6249,-10.7568,786.923,168.272
-4266.06,1,0.342461,3,7,0,4266.57,27.807,-11.3931,786.318,167.651
-4264.94,0.861689,0.342461,4,15,0,4269.49,52.0494,-19.1987,803.837,174.933
-4265.02,0.982892,0.342461,3,7,0,4265.65,41.1394,-24.4331,794.97,176.094
-4266.37,0.821202,0.342461,2,7,0,4267.93,39.8816,-19.5463,807.256,176.373
-4265.76,0.985206,0.342461,3,11,0,4267.58,35.7972,-16.9643,778.276,172.558
-4264.71,0.983056,0.342461,2,7,0,4266.48,33.7662,-18.6696,791.198,175.313
-4265.13,0.978269,0.342461,3,7,0,4265.78,40.378,-15.7238,788.752,168.735
-4265.07,0.993323,0.342461,3,15,0,4266.33,46.2841,-25.7994,802.109,175.944
-4265.4,0.944786,0.342461,3,11,0,4266.56,46.8607,-15.6329,798.112,169.516
-4264.6,0.83333,0.342461,3,7,0,4266.91,37.0493,-17.1735,797.916,170.806
-4264.29,1,0.342461,4,15,0,4264.89,33.9325,-16.3983,786.41,174.234
-4264.42,0.996479,0.342461,3,15,0,4264.85,40.2203,-17.4975,794.632,176.768
-4266.77,0.90761,0.342461,2,3,0,4267.23,38.7583,-9.78559,798.274,176.426
-4264.56,0.998907,0.342461,3,7,0,4267.3,39.3807,-17.2838,795.725,177.115
-4264.1,0.999167,0.342461,4,15,0,4264.76,35.6845,-16.6537,791.322,171.43
-4266.1,0.932163,0.342461,3,11,0,4268.44,55.7482,-26.1767,817.212,176.147
-4265.31,0.998616,0.342461,3,15,0,4267.43,41.552,-21.0741,798.55,166.943
-4265.43,0.988869,0.342461,3,15,0,4265.8,42.1524,-20.8769,794.628,166.561
-4266.96,0.699018,0.342461,3,15,0,4271.42,36.9141,-23.0995,804.999,173.617
-4265.07,0.959597,0.342461,2,7,0,4267.89,43.5872,-24.48,804.452,174.037
-4264.57,1,0.342461,3,15,0,4265.23,35.0511,-14.6939,795.182,173.909
-4264.58,1,0.342461,3,7,0,4264.89,33.2131,-16.6098,783.016,171.015
-4265.31,0.981213,0.342461,3,7,0,4265.55,35.05,-11.2523,793.395,170.341
-4269.04,0.513613,0.342461,2,7,0,4271.4,43.4281,-13.3113,779.408,172.229
-4264.48,0.861972,0.342461,2,7,0,4273.52,34.2159,-16.138,785.851,175.453
-4264.44,0.966181,0.342461,4,15,0,4265.15,31.9111,-16.1611,784.833,173.716
-4264.68,0.941658,0.342461,2,3,0,4266.52,32.8563,-11.846,785.114,173.257
-4265.21,0.986826,0.342461,3,7,0,4265.42,27.0902,-15.4393,782.471,172.969
