# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77924a6e5.json
# init = 2 (Default)
# random
#   seed = 1264721614
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-1ad573.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-3f6ed9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.189474
# Diagonal elements of inverse mass matrix:
# 3.36388e-05, 0.0113252, 0.000119993, 0.000777437
-2402.35,0.977283,0.189474,3,15,0,2407.52,573.155,8.9385,248.396,18.3621
-2401.64,0.980812,0.189474,4,15,0,2402.65,571.861,8.96033,247.875,18.9485
-2401.62,0.965505,0.189474,4,15,0,2402.11,571.945,9.04938,246.745,18.6584
-2401.72,0.971126,0.189474,4,15,0,2402.03,572.851,9.02973,245.78,18.9572
-2402.91,0.926553,0.189474,3,15,0,2404.42,571.651,8.94632,249.219,19.359
-2402.6,0.97631,0.189474,2,3,0,2403.31,571.339,8.94825,248.85,19.4324
-2402.4,0.988214,0.189474,4,15,0,2403.12,569.912,8.93997,248.755,19.0916
-2403.88,0.906935,0.189474,2,7,0,2404.29,569.171,8.95577,250.234,19.1554
-2403.78,0.961375,0.189474,4,15,0,2404.87,572.536,8.93287,249.745,18.619
-2403.13,0.992121,0.189474,2,7,0,2405.25,570.994,8.88732,249.373,18.3553
-2405.18,0.980487,0.189474,3,7,0,2405.85,574.392,8.83304,249.478,18.0862
-2403.97,0.856527,0.189474,4,15,0,2407.37,568.087,8.89453,250.158,19.2513
-2402.46,0.99499,0.189474,4,31,0,2405,575.763,9.07792,244.044,18.5731
-2403.05,0.998983,0.189474,4,15,0,2403.51,571.055,9.17681,244.081,19.2354
-2402.87,0.910882,0.189474,4,15,0,2404.73,574.224,9.1146,243.305,18.6017
-2404.93,0.871618,0.189474,2,3,0,2404.96,574.005,9.10255,242.84,18.5699
-2402.32,0.81485,0.189474,2,7,0,2407.67,575.017,9.11588,244.374,18.6453
-2404.25,0.960739,0.189474,4,15,0,2405.75,574.754,9.19781,241.606,19.3857
