# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac73f1258e0.json
# init = 2 (Default)
# random
#   seed = 491647836
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-1eefc1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-506cd3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.243948
# Diagonal elements of inverse mass matrix:
# 0.0484314, 29.9336, 0.000407673, 0.000557137
-3802.35,0.9964,0.243948,3,7,0,3802.9,42.17,-19.133,517.366,104.252
-3802.97,0.987337,0.243948,3,7,0,3803.17,43.1113,-24.5055,514.578,104.586
-3802.67,0.94356,0.243948,3,11,0,3805.84,42.999,-22.5231,518.642,105.418
-3805.87,0.958866,0.243948,4,15,0,3806.98,40.4217,-32.8725,515.372,104.858
-3806.23,0.909713,0.243948,3,15,0,3808.32,38.394,-31.3389,516.665,102.991
-3803.6,0.936104,0.243948,4,15,0,3808.47,59.7315,-30.4617,534.432,105.28
-3805.62,0.800076,0.243948,3,7,0,3808.41,60.4531,-35.6599,529.635,103.507
-3806.27,0.994268,0.243948,4,15,0,3808.05,30.0981,-23.7382,504.497,107.491
-3806.01,1,0.243948,2,3,0,3806.3,30.2338,-23.2992,504.619,107.36
-3806.5,0.994974,0.243948,3,15,0,3809.01,30.6649,-27.6655,502.889,103.977
-3805.06,0.826469,0.243948,3,11,0,3809.94,31.805,-11.6198,511.8,105.007
-3806.46,0.995084,0.243948,3,7,0,3807.16,28.3333,-17.5589,494.479,105.144
-3806.35,0.989946,0.243948,4,15,0,3807.03,28.0197,-17.4059,494.757,105.701
-3803.96,0.957726,0.243948,3,7,0,3807.51,36.841,-17.5578,504.569,104.994
-3803.66,0.994718,0.243948,3,15,0,3805.45,43.915,-15.9315,522.617,105.194
-3803.48,0.986688,0.243948,4,15,0,3805.25,47.4328,-26.4363,520.997,101.215
-3804.98,0.67938,0.243948,2,3,0,3805.61,42.6666,-25.422,523.269,101.509
-3806.98,0.904132,0.243948,3,11,0,3811.83,64.9085,-26.6468,530.313,108.569
-3803.97,0.97736,0.243948,3,15,0,3809.21,46.7268,-19.6179,514.141,102.692
-3805.89,0.914462,0.243948,3,15,0,3806.92,57.8533,-18.6846,524.649,103.438
-3803.73,1,0.243948,4,15,0,3805.37,54.3221,-18.7516,525.615,103.36
-3803.92,0.958962,0.243948,3,11,0,3806.34,54.769,-18.9274,524.54,104.622
-3803.32,0.974569,0.243948,4,31,0,3805.57,31.7179,-14.1886,505.194,104.115
-3804.26,0.93136,0.243948,4,15,0,3804.95,29.4831,-18.969,501.919,103.424
-3804.43,0.990348,0.243948,4,15,0,3804.75,30.1994,-18.9975,500.572,104.189
-3803.38,0.9601,0.243948,4,15,0,3805.19,32.6313,-15.163,504.036,103.464
-3805.98,0.933586,0.243948,3,7,0,3808.1,24.599,-8.33375,497.374,102.518
-3806.33,0.993942,0.243948,4,15,0,3808.78,32.3751,-17.4054,503.044,110.014
-3803.36,0.994548,0.243948,3,7,0,3806.61,34.3994,-16.4363,509.599,106.413
-3805.87,0.947737,0.243948,3,7,0,3806.22,28.8489,-19.5619,499.157,107.275
-3803.78,0.976247,0.243948,3,7,0,3807.43,32.642,-12.696,504.381,105.599
-3803.99,0.984251,0.243948,2,3,0,3804.16,32.2517,-12.9218,503.157,105.945
-3802.96,0.994643,0.243948,3,15,0,3804.74,39.3757,-21.6971,510.955,105.143
-3803.51,0.95866,0.243948,4,19,0,3804.94,55.4475,-26.9693,533.747,103.662
-3802.79,0.998886,0.243948,4,15,0,3803.94,42.5812,-17.7226,519.803,104.921
-3803.34,0.904846,0.243948,3,15,0,3807.56,55.5737,-26.3292,525.501,105.271
-3803.09,0.922314,0.243948,2,7,0,3806.13,54.7742,-25.2025,531.213,106.035
-3804.43,0.758869,0.243948,3,15,0,3805.84,41.1011,-22.2582,522.241,105.721
-3809.21,0.845847,0.243948,4,15,0,3811.6,26.3272,-11.5245,492.1,99.0065
-3807.33,1,0.243948,2,3,0,3809.26,23.0232,-11.87,500.708,99.8186
-3807.33,0.994363,0.243948,4,15,0,3808.81,22.186,-9.95425,489.911,102.952
-3807.56,1,0.243948,3,7,0,3808.48,19.8805,-7.3167,494.97,102.098
-3807.5,0.971251,0.243948,4,15,0,3810.32,20.8904,-8.58087,498.07,101.21
-3806.66,0.985101,0.243948,2,3,0,3807.86,21.506,-9.31028,495.661,101.529
-3805.96,0.991447,0.243948,3,7,0,3807.97,23.1065,-10.9932,496.02,101.589
-3806.79,0.891532,0.243948,2,3,0,3807.43,23.8093,-10.3783,492.644,101.445
-3806.05,1,0.243948,2,3,0,3806.85,22.5185,-10.5588,496.608,101.817
-3806.62,0.970827,0.243948,2,3,0,3806.71,21.8945,-9.47197,498.497,101.828
-3803.33,0.944706,0.243948,4,23,0,3809.36,48.7977,-22.1276,524.329,107.763
-3803.78,0.882001,0.243948,4,15,0,3804.81,44.4144,-23.9776,524.247,103.025
-3802.93,0.994116,0.243948,3,15,0,3803.99,46.1955,-23.7673,516.991,102.686
-3803.58,0.982609,0.243948,4,15,0,3804,46.1219,-26.9172,517.333,106.122
-3803.69,0.902527,0.243948,3,15,0,3806.32,36.1685,-20.5671,508.989,106.935
-3803.14,0.995402,0.243948,3,7,0,3803.84,36.9849,-18.6453,509.035,106.248
-3802.7,0.989993,0.243948,4,23,0,3805.24,51.7566,-23.3246,526.789,106.019
-3803.33,0.887111,0.243948,4,15,0,3805.68,61.352,-27.1124,533.768,104.894
-3804.83,0.859204,0.243948,3,11,0,3805.46,60.678,-28.6365,541.292,104.636
-3802.94,0.993759,0.243948,4,15,0,3806.41,50.5764,-21.3557,524.032,101.861
-3803.13,0.982982,0.243948,4,15,0,3803.62,42.0141,-17.1539,513.701,106.862
-3802.96,0.98761,0.243948,4,31,0,3806.18,45.1454,-17.3727,519.126,106.633
-3802.58,0.906212,0.243948,4,19,0,3804.89,49.4463,-22.6454,525.149,105.629
-3802.78,0.984895,0.243948,4,15,0,3803.15,54.4607,-23.297,530.47,104.133
-3802.83,0.963434,0.243948,4,31,0,3803.56,40.0187,-17.9459,510.532,104.918
-3803.65,0.895459,0.243948,2,3,0,3804.08,35.8045,-19.6261,514.662,104.381
-3802.89,0.773318,0.243948,2,7,0,3807.33,41.2212,-17.7407,511.251,103.963
-3804.83,0.981924,0.243948,4,15,0,3805.38,43.507,-13.423,521.261,102.359
-3803.19,0.99798,0.243948,3,7,0,3805.28,43.0646,-17.806,514.507,101.614
-3802.83,0.987796,0.243948,4,15,0,3803.93,35.3651,-17.2695,509.418,104.978
-3803.62,0.987208,0.243948,4,23,0,3805.48,58.22,-23.3065,535.299,106.305
-3803.4,0.927144,0.243948,4,15,0,3804.75,51.6672,-28.7535,526.806,105.945
-3804.16,0.846111,0.243948,4,23,0,3806.5,52.9747,-29.3116,521.665,105.065
-3808.01,0.990378,0.243948,3,7,0,3808.86,60.9557,-34.3031,529.406,110.257
-3804.69,0.793196,0.243948,4,31,0,3809.72,46.706,-17.2311,525.291,100.809
-3805.49,0.854139,0.243948,1,1,0,3805.53,45.6994,-16.9001,526.264,100.782
-3804.41,1,0.243948,4,15,0,3806.08,41.8504,-28.2152,512.583,105.576
-3804.28,0.997583,0.243948,3,15,0,3806.13,42.1513,-22.7549,517.851,108.709
-3803.54,0.997951,0.243948,4,23,0,3805.45,34.3108,-12.9875,510.514,105.103
-3804.21,0.981437,0.243948,4,31,0,3805.51,51.8696,-31.6661,523.156,102.828
-3803.72,1,0.243948,3,15,0,3804.42,49.0423,-30.302,524.717,103.974
-3804.43,0.733064,0.243948,4,15,0,3806.83,60.6649,-21.2697,530.695,106.36
-3805.11,0.804866,0.243948,2,3,0,3806.05,54.6637,-22.6289,536.833,105.945
-3808.55,0.784394,0.243948,4,31,0,3809.43,48.2747,-28.2243,510.853,100.986
-3804.27,1,0.243948,2,3,0,3808.04,42.5515,-26.1657,519.225,100.75
-3804.32,0.915022,0.243948,4,15,0,3807.05,35.7386,-15.9985,514.294,100.943
-3805.28,0.910898,0.243948,3,7,0,3806.73,36.3981,-16.2552,514.72,99.398
-3805.63,0.965903,0.243948,4,15,0,3807.39,32.7606,-16.3296,504.164,98.8766
-3804.89,0.865323,0.243948,4,15,0,3807.8,49.5726,-21.4133,523.674,110.182
-3805.9,0.99229,0.243948,4,15,0,3806.34,52.4387,-24.2262,526.637,111.132
-3803.27,0.999196,0.243948,4,15,0,3806.49,58.332,-25.0039,532.464,102.461
-3804,0.969647,0.243948,4,23,0,3805.08,48.6957,-22.8826,523.478,99.8496
-3802.91,0.963801,0.243948,4,15,0,3805.18,39.6643,-19.4026,510.252,102.967
-3804.77,0.913845,0.243948,2,7,0,3806.98,35.9985,-24.627,505.273,102.629
-3805.43,0.943909,0.243948,3,7,0,3807.04,47.807,-12.8201,519.785,103.937
-3803.94,1,0.243948,2,3,0,3805.61,46.3038,-14.4211,521.692,103.914
-3802.9,0.990314,0.243948,3,11,0,3805.01,36.5811,-18.2373,507.862,104.171
-3803.35,0.963169,0.243948,4,15,0,3806.26,52.7998,-18.3174,527.631,104.029
-3805.37,0.70883,0.243948,2,3,0,3805.74,56.4912,-17.0992,525.468,104.19
-3804.64,0.940927,0.243948,4,15,0,3808.64,60.2187,-27.3625,533.468,108.854
-3802.36,0.983902,0.243948,4,15,0,3807.05,45.7236,-20.1082,519.712,103.152
-3802.73,0.857555,0.243948,3,11,0,3804.97,42.5859,-20.578,514.681,106.149
-3803.9,0.804322,0.243948,3,15,0,3806.95,32.8496,-14.1279,511.069,105.361
-3803.31,0.922389,0.243948,3,7,0,3805.07,33.1181,-18.4376,508.988,104.384
-3802.66,0.999613,0.243948,4,15,0,3804.01,45.0222,-17.3606,517.114,104.502
-3802.93,0.895454,0.243948,3,11,0,3804.11,39.6991,-20.7598,512.674,101.876
-3803.69,0.86919,0.243948,4,15,0,3806.56,53.6398,-25.9347,533.019,103.707
-3804.32,0.982815,0.243948,4,15,0,3805.26,59.7058,-24.4611,529.032,102.039
-3804.13,1,0.243948,4,15,0,3805,42.0896,-24.0098,520.726,107.016
-3803.82,0.976259,0.243948,3,7,0,3804.74,48.6889,-22.1985,515.822,104.807
-3803.53,0.987078,0.243948,2,7,0,3807.58,49.1714,-18.9203,517.853,105.434
-3804.47,0.985908,0.243948,4,15,0,3806.23,49.7326,-25.9745,529.982,106.882
-3804.62,0.989593,0.243948,4,31,0,3805.96,33.5923,-11.5114,504.088,102.054
-3803.32,1,0.243948,4,15,0,3805.54,33.9874,-16.2744,510.2,105.753
-3803.79,0.998118,0.243948,4,15,0,3804.63,33.2067,-16.1733,504.931,101.367
-3806.32,0.685417,0.243948,2,3,0,3807.24,36.2615,-16.0225,501.344,100.998
-3803.47,0.987623,0.243948,3,7,0,3806.43,33.8551,-15.797,508.333,101.54
-3803.35,0.908696,0.243948,4,31,0,3804.96,46.2024,-19.6563,516.042,106.906
-3807.22,0.958576,0.243948,4,15,0,3808.9,43.2179,-24.2575,520.492,97.2412
-3803.51,0.876164,0.243948,4,15,0,3810.45,48.9337,-17.8862,518.805,103.032
-3806.44,0.859484,0.243948,4,15,0,3806.92,53.9136,-27.872,519.039,101.137
-3803.87,1,0.243948,3,15,0,3809.56,40.4804,-14.0296,518.828,103.924
-3803.35,0.932074,0.243948,3,15,0,3806.71,51.8228,-19.0969,521.815,104.833
-3804.17,0.962083,0.243948,3,11,0,3804.64,54.4188,-28.6386,522.83,105.547
