# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac75bc9507c.json
# init = 2 (Default)
# random
#   seed = 170979092
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-3c7a9b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-1e89ae.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.370507
# Diagonal elements of inverse mass matrix:
# 0.0569321, 26.1084, 0.000296891, 0.000542409
-4235.16,0.906468,0.370507,2,7,0,4238.55,42.4979,-21.6105,674.121,170.584
-4237.76,0.932878,0.370507,2,7,0,4238.6,40.0522,-28.5351,671.101,171.727
-4237.98,0.989613,0.370507,4,15,0,4240.89,30.6571,-24.0208,660.421,169.242
-4238.43,0.965403,0.370507,3,7,0,4239.76,31.033,-27.1635,671.714,168.309
-4236.3,0.995683,0.370507,3,7,0,4239.84,57.0693,-22.9236,681.649,168.115
-4234.95,0.970185,0.370507,2,7,0,4237.54,47.9699,-23.8731,679.881,169.394
-4234.39,0.999336,0.370507,3,15,0,4235.53,39.1922,-18.6274,676.694,168.372
-4235.35,0.866015,0.370507,2,7,0,4237.21,38.4914,-16.7412,684.092,166.775
-4235.32,0.918296,0.370507,3,11,0,4237.99,53.727,-27.9813,690.749,167.828
-4234.16,0.995748,0.370507,3,15,0,4236.01,44.6556,-16.2668,682.601,166.354
-4234.09,0.998226,0.370507,3,11,0,4234.32,46.2858,-19.1256,683.309,168.316
-4234.79,0.92043,0.370507,3,15,0,4235.12,41.3649,-14.5505,684.161,167.581
-4234.4,0.987446,0.370507,2,7,0,4235.55,39.9326,-16.9426,676.776,169.808
-4234.57,0.961892,0.370507,3,7,0,4235.72,48.5558,-16.1077,680.614,166.377
-4235.58,0.983586,0.370507,3,15,0,4236.41,53.7783,-17.3488,698.056,168.753
-4234.65,0.965524,0.370507,3,7,0,4236.06,47.7191,-24.0385,685.069,165.764
-4234.5,0.94826,0.370507,3,15,0,4236.41,40.185,-19.037,679.044,164.814
-4234.68,0.970107,0.370507,4,23,0,4235.16,38.5883,-16.028,680.523,168.455
-4235.17,0.963672,0.370507,3,11,0,4236.06,37.4715,-19.145,671.629,162.924
-4235.1,0.990033,0.370507,2,3,0,4235.6,38.7321,-19.3508,673.761,162.672
-4234.65,0.9066,0.370507,4,15,0,4236.43,47.43,-18.8399,684.399,163.219
-4234.36,0.949956,0.370507,3,15,0,4235.98,37.1851,-16.2789,671.882,167.497
-4234.51,0.970889,0.370507,2,7,0,4236.34,38.941,-19.0149,672.673,165.678
-4234.92,0.917642,0.370507,2,7,0,4235.84,41.1775,-16.5729,669.692,165.743
-4237.8,0.801582,0.370507,2,7,0,4238.56,35.0924,-18.4803,683.661,161.58
-4237.61,0.981782,0.370507,3,11,0,4241.58,43.4084,-20.2374,694.987,170.94
-4237.31,1,0.370507,2,3,0,4238.45,66.992,-21.2517,692.443,168.685
-4235.84,0.559294,0.370507,4,15,0,4240.87,43.6152,-16.0886,672,172.903
-4236.23,0.98577,0.370507,3,7,0,4237.12,37.8335,-22.5602,678.75,171.686
-4237.15,0.9912,0.370507,4,15,0,4239.88,60.9987,-28.5796,701.496,161.511
-4235.72,0.977707,0.370507,3,7,0,4237.63,59.0336,-26.3547,701.962,167.731
-4234.21,0.999455,0.370507,4,15,0,4235.91,39.997,-15.1443,676.037,168.26
-4235.8,0.962649,0.370507,3,11,0,4236.41,54.9648,-22.8568,692.412,161.534
-4236.05,0.999423,0.370507,4,15,0,4236.44,58.1744,-24.7556,696.361,161.908
-4235.22,0.995794,0.370507,4,15,0,4236.28,47.3279,-18.6388,683.094,173.268
-4238.46,0.681584,0.370507,2,7,0,4241.86,45.9615,-17.4519,694.571,176.272
-4236.71,1,0.370507,2,3,0,4238.87,57.6641,-19.2053,683.246,172.131
-4236.86,0.954965,0.370507,4,15,0,4241.14,39.8197,-23.5578,683.767,161.604
-4235.23,0.977392,0.370507,4,15,0,4237.98,61.0304,-21.299,698.652,165.94
-4235.68,0.343612,0.370507,3,7,0,4239.82,37.785,-23.723,674.084,169.268
-4235.7,0.999479,0.370507,3,15,0,4236.56,60.406,-20.5291,703.05,166.769
-4235.92,0.961081,0.370507,3,7,0,4237.05,60.6338,-25.239,704.653,167.339
-4235.41,0.978565,0.370507,2,3,0,4236.33,62.3494,-23.3835,693.739,167.431
-4237.76,0.956586,0.370507,2,7,0,4238.43,61.873,-32.592,706.725,165.258
-4237.73,0.597385,0.370507,3,7,0,4242.15,63.8763,-25.1824,709.146,174.009
-4234.47,1,0.370507,4,15,0,4239.31,37.8398,-16.14,670.751,165.621
-4234.97,0.9637,0.370507,3,15,0,4235.78,48.5975,-17.4416,691.527,165.143
-4234.93,0.939413,0.370507,3,7,0,4238.78,34.6885,-17.4111,667.215,167.568
-4235.76,0.955628,0.370507,2,3,0,4235.9,30.5029,-18.5334,668.042,166.052
-4234.93,0.973209,0.370507,3,7,0,4236.19,33.451,-16.4155,672.829,166.047
-4238.17,0.915801,0.370507,4,15,0,4240.27,49.1913,-33.3112,693.804,165.053
