# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7248d85b3.json
# init = 2 (Default)
# random
#   seed = 74347103
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-3ddec7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-7e5689.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.190115
# Diagonal elements of inverse mass matrix:
# 0.00228978, 5.36988, 0.0195588, 0.000481429
-4492.38,0.883187,0.190115,2,7,0,4494.37,658.755,19.8053,278.168,229.874
-4489.06,1,0.190115,2,7,0,4492.25,660.024,19.4028,248.971,230.262
-4489.21,0.853613,0.190115,3,15,0,4491.13,678.622,20.3062,252.457,224.498
-4489.64,0.99489,0.190115,4,31,0,4490.39,683.983,19.3234,229.996,227.138
-4489.27,0.994896,0.190115,3,15,0,4490.52,669.02,21.1927,240.618,231.671
-4489.66,0.94547,0.190115,4,27,0,4491.61,724.371,23.3489,198.335,225.592
-4489.81,0.860345,0.190115,2,3,0,4491.57,721.608,22.8029,189.059,225.661
-4489.78,0.87507,0.190115,4,31,0,4493.36,714.835,20.2412,214.653,222.65
-4491.99,0.845919,0.190115,2,3,0,4494.67,732.165,19.7659,215.27,222.523
-4490.22,0.979785,0.190115,4,15,0,4495.32,737.442,22.7914,188.577,225.108
-4491.06,0.850581,0.190115,3,11,0,4493.51,689.505,24.7755,199.322,223.669
-4489.19,0.998564,0.190115,4,15,0,4491.2,704.86,23.3192,202.137,222.109
-4488.53,0.955024,0.190115,5,31,0,4490.12,673.036,21.2614,241.969,227.318
-4488.04,0.985414,0.190115,5,31,0,4488.79,671.466,19.8368,244.325,223.321
-4488.37,0.997229,0.190115,4,15,0,4488.63,658.815,19.9359,254.12,220.856
-4492.72,0.78063,0.190115,5,31,0,4493.59,758.13,25.694,168.181,229.182
-4491.61,0.998806,0.190115,3,7,0,4492.87,746.418,25.6028,167.221,230.045
-4493,0.995253,0.190115,4,15,0,4494.37,741.461,25.9948,163.056,216.469
-4489.42,0.99223,0.190115,4,31,0,4493.32,713.134,23.7545,193.114,224.444
-4490.03,0.924083,0.190115,4,31,0,4491.65,690.724,23.2946,209.978,231.233
-4489.49,0.990172,0.190115,5,31,0,4492.68,695.138,18.7388,242.868,222.736
-4488.41,0.995723,0.190115,3,7,0,4490.11,679.41,19.8352,244.944,220.869
-4488.52,0.990994,0.190115,4,15,0,4489,640.955,18.9121,274.286,226.37
-4490.18,0.977228,0.190115,4,15,0,4490.71,630.44,20.7849,268.771,224.906
-4490.62,0.771722,0.190115,3,11,0,4493.17,643.36,15.9336,302.336,226.547
-4490.23,0.641943,0.190115,4,15,0,4494.02,655.417,22.7511,241.232,226.501
-4488.71,0.998706,0.190115,4,23,0,4491.19,669.025,18.4397,255.976,220.707
-4488.79,0.934871,0.190115,4,15,0,4489.54,638.218,19.3481,266.715,222.759
-4488.45,1,0.190115,4,15,0,4488.89,645.414,18.6751,274.872,222.966
-4491.96,0.441527,0.190115,1,3,0,4492.25,651.225,19.1237,286.472,222.796
-4490.47,1,0.190115,2,3,0,4492.06,652.882,19.0545,281.038,222.9
-4488.91,1,0.190115,2,7,0,4490.43,642.669,18.3703,265.012,224.37
-4488.43,0.999218,0.190115,4,27,0,4489.49,677.687,20.8873,232.459,221.023
-4488.77,0.997431,0.190115,5,31,0,4489,695.187,22.0414,222.777,228.291
-4489.28,0.883293,0.190115,3,11,0,4490.2,694.831,21.5815,233.178,223.513
-4489.15,0.99764,0.190115,4,31,0,4490.49,660.208,21.3776,249.65,220.937
-4488.27,0.990898,0.190115,3,7,0,4489.85,674.066,21.0291,241.197,222.629
-4490.12,0.930919,0.190115,4,23,0,4492.04,635.555,16.319,298.361,230.201
-4488.38,0.996323,0.190115,4,31,0,4491.96,661.103,20.2369,252.826,221.189
-4489.33,0.990331,0.190115,4,15,0,4490.03,668.409,20.2142,247.496,232.748
-4490.4,0.829807,0.190115,2,3,0,4490.73,666.888,20.6719,256.336,232.803
