# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77cbb9fc5.json
# init = 2 (Default)
# random
#   seed = 1201230202
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-4b9b82.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-159eb4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.167644
# Diagonal elements of inverse mass matrix:
# 4.09633e-05, 0.0106565, 8.53477e-05, 0.000692908
-2438.24,1,0.167644,4,15,0,2443.81,551.731,8.21249,290.356,20.1811
-2438.73,0.953682,0.167644,3,15,0,2439.76,552.33,8.17087,290.908,19.3796
-2439.17,0.980307,0.167644,4,23,0,2440.33,548.782,8.28611,289.76,20.4121
-2439.84,0.973441,0.167644,4,31,0,2440.15,553.331,8.11712,292.255,19.2724
-2439,0.933462,0.167644,4,31,0,2441.19,551.1,8.0819,293.045,19.4983
-2440.87,0.786981,0.167644,4,31,0,2443.27,555.912,8.2109,289.957,20.3842
-2440.85,0.957117,0.167644,4,31,0,2444,548.938,8.41006,287.562,20.097
-2440.11,1,0.167644,2,3,0,2440.94,548.931,8.39442,287.396,20.0656
-2442.36,0.933589,0.167644,4,19,0,2443.76,552.054,7.9545,296.864,19.814
-2441.88,0.999591,0.167644,5,31,0,2445.07,549.745,8.17267,290.549,21.2505
-2443.23,0.997602,0.167644,4,15,0,2445.86,548.982,8.18427,291.751,21.6554
-2440.52,0.902775,0.167644,4,15,0,2446.02,552.126,8.32844,288.709,20.3784
-2440.27,0.983867,0.167644,4,31,0,2443.64,552.337,8.14658,291.943,19.0299
-2439.59,0.998455,0.167644,4,15,0,2441.59,546.048,8.15983,292.724,19.9432
-2438.59,0.999621,0.167644,4,31,0,2440.52,550.372,8.25312,289.191,20.2991
-2440.39,0.994273,0.167644,4,15,0,2440.7,547.804,8.3788,287.284,20.0433
-2441.76,0.996783,0.167644,4,15,0,2442.56,558.432,8.29216,286.466,19.826
-2439.8,1,0.167644,4,31,0,2442.7,551.236,8.35292,287.148,20.5626
-2440.01,0.930084,0.167644,2,3,0,2440.54,550.99,8.32819,287.113,20.5931
-2440.89,0.987777,0.167644,4,15,0,2442.2,551.006,8.42572,285.873,19.4704
-2441.42,0.982688,0.167644,4,15,0,2443.11,556.89,8.32654,285.375,19.6802
-2441.15,0.996745,0.167644,5,31,0,2445.67,549.959,8.07188,293.436,21.0966
-2439.51,0.986987,0.167644,4,15,0,2442.54,554.181,8.06066,292.889,19.7596
-2440.59,0.72715,0.167644,5,31,0,2444.52,549.296,8.26623,291.187,20.2579
-2438.78,1,0.167644,2,3,0,2440.62,548.438,8.24364,290.728,20.2677
-2440.97,0.956229,0.167644,4,15,0,2441.21,554.495,8.34545,285.362,19.6061
-2439.47,0.960434,0.167644,5,31,0,2445.3,548.109,8.11397,293.107,20.5121
-2440.45,0.999552,0.167644,4,15,0,2441.39,550.491,7.98534,295.894,19.8406
-2439.24,0.849664,0.167644,5,31,0,2442.67,552.033,8.19492,291.196,20.4727
-2439.78,0.956207,0.167644,3,15,0,2441.03,553.046,8.19264,290.939,20.6448
-2439.16,0.998036,0.167644,5,31,0,2441.13,552.876,8.18015,289.62,20.4104
-2440.29,0.999277,0.167644,3,7,0,2440.58,553.512,8.21056,290.246,20.8602
-2440.89,0.99585,0.167644,5,31,0,2443,554.019,8.1778,290.525,18.9032
-2439.12,0.935477,0.167644,4,15,0,2441.97,550.919,8.26318,290.235,19.8925
-2440.45,0.99739,0.167644,4,15,0,2442.91,546.49,8.2298,291.066,20.7483
-2444.68,0.98513,0.167644,4,15,0,2447.03,540.865,8.22038,293.806,20.488
-2440.15,1,0.167644,4,15,0,2445.6,546.213,8.27527,290.681,20.4618
-2438.27,0.997091,0.167644,3,15,0,2440.94,549.23,8.18588,291.633,20.0176
-2439.88,0.956058,0.167644,4,15,0,2441.36,551.366,8.37917,287.133,20.2636
-2440.07,0.987152,0.167644,5,31,0,2441.06,551.274,8.00581,294.424,19.5857
-2439.24,0.977375,0.167644,4,15,0,2440.87,552.25,8.08215,292.051,20.2419
-2440.11,0.909918,0.167644,4,15,0,2441.41,548.999,8.1394,293.792,20.2084
-2440.75,0.983254,0.167644,4,15,0,2443.11,550.198,8.00471,295.933,20.3121
-2440.74,0.929563,0.167644,4,15,0,2442.7,550.859,8.02067,293.442,20.3808
-2439.82,0.975663,0.167644,2,3,0,2441.26,551.663,8.03352,293.447,20.3727
-2438.55,0.999559,0.167644,4,31,0,2441.99,549.09,8.21121,291.272,20.2509
-2438.09,0.995958,0.167644,4,15,0,2438.7,550.642,8.22134,289.987,20.0037
-2438.45,0.982333,0.167644,4,19,0,2438.75,551.24,8.16819,290.652,19.6254
-2438.35,0.997931,0.167644,3,15,0,2440.98,550.595,8.22436,290.612,20.1771
-2438.71,0.999459,0.167644,3,15,0,2438.77,549.207,8.22466,290.11,20.3185
-2438.76,0.823453,0.167644,4,23,0,2441.77,551.677,8.09366,292.812,20.2742
-2439,0.968002,0.167644,4,31,0,2440.65,550.092,8.1159,292.117,19.4941
-2439.7,0.962764,0.167644,4,15,0,2441.54,547.565,8.16203,292.169,20.6358
-2439.1,0.938957,0.167644,4,15,0,2440.6,549.563,8.16979,290.906,20.4315
-2439.37,0.951898,0.167644,4,19,0,2440.45,551.455,8.16451,289.99,19.7983
-2439.77,0.990421,0.167644,4,15,0,2442.66,547.053,8.32509,289.15,19.7672
-2439.02,0.9935,0.167644,4,15,0,2440.71,547.582,8.25032,290.457,20.2531
-2438.49,0.995797,0.167644,2,7,0,2439.23,549.096,8.2468,290.403,20.1638
-2439.75,0.979065,0.167644,4,31,0,2441.41,548.991,8.06214,294.323,20.5172
-2439.56,0.772901,0.167644,3,7,0,2442.28,548.516,8.11219,293.679,20.5283
-2438.63,0.976562,0.167644,4,31,0,2441.32,548.321,8.26003,290.209,19.8642
-2440.31,0.861451,0.167644,5,31,0,2441.12,553.013,8.05152,292.079,20.1919
-2441.57,0.930884,0.167644,4,15,0,2443.41,551.603,8.18478,292.175,20.9137
-2443.54,0.973176,0.167644,4,31,0,2446.32,547.357,7.96538,295.827,20.9015
-2441.17,1,0.167644,4,15,0,2444.05,546.419,8.04919,294.281,20.1779
-2440.25,0.998447,0.167644,4,31,0,2442.69,547.096,8.17723,291.297,19.4631
-2439.48,0.934925,0.167644,1,3,0,2441.3,547.125,8.20063,291.928,19.4162
-2439.9,0.885098,0.167644,4,27,0,2441.67,551.34,8.11884,293.336,19.4946
-2441.2,0.920349,0.167644,4,27,0,2442.98,550.185,8.19773,291.88,18.912
-2439.05,0.994159,0.167644,3,7,0,2441.5,549.598,8.18767,290.534,19.4534
-2439.55,0.979983,0.167644,4,15,0,2440.92,546.412,8.25639,290.573,20.1597
-2440.12,0.864571,0.167644,5,31,0,2443.1,553.813,8.34003,286.737,19.3593
-2439.43,0.906838,0.167644,4,23,0,2442.33,550.209,8.16106,292.835,20.0158
-2438.36,0.88534,0.167644,2,7,0,2441.99,549.646,8.14406,291.825,19.908
-2438.36,0.996304,0.167644,3,15,0,2439.03,552.396,8.16473,291.363,19.9312
-2439.4,0.984149,0.167644,4,15,0,2439.67,548.823,8.28982,288.757,19.4827
-2442.6,0.883553,0.167644,4,15,0,2443.54,554.128,8.37908,284.145,20.2199
-2442.42,1,0.167644,3,7,0,2442.96,554.851,8.41977,285.79,20.3897
-2440.24,1,0.167644,4,15,0,2442.68,551.152,8.31638,289.275,20.3153
-2439.45,1,0.167644,2,7,0,2440.79,550.978,8.32129,288.701,20.3467
-2440.6,0.979539,0.167644,5,31,0,2441.6,553.966,8.04362,292.095,19.612
-2439.9,0.974222,0.167644,5,31,0,2441.65,551.687,8.08766,291.609,20.2192
-2439.11,0.99952,0.167644,3,15,0,2441.74,549.443,8.15744,292.605,19.4389
-2439.18,0.97804,0.167644,5,31,0,2440.46,548.194,8.29082,289.27,20.3142
-2443.9,0.96164,0.167644,4,15,0,2445.24,560.176,8.16043,288.581,19.2844
-2443.03,0.999044,0.167644,4,23,0,2445.49,543.666,8.15533,293.967,20.9964
-2444.77,0.996192,0.167644,4,31,0,2447.11,557.737,7.88362,295.743,19.8696
-2445.13,0.994147,0.167644,3,7,0,2445.98,557.445,7.86323,296.383,20.0487
-2447.78,0.815077,0.167644,2,3,0,2448.06,557.029,7.81192,296.191,20.0592
-2444.32,0.993341,0.167644,2,7,0,2448.04,556.099,7.86385,296.416,20.0997
-2441.25,0.999801,0.167644,4,15,0,2445.6,544.79,8.07355,295.543,19.8217
-2442.77,0.872773,0.167644,5,31,0,2443.15,545.393,8.07585,296.458,19.8383
-2439.33,0.980635,0.167644,5,31,0,2444.38,555.545,8.19064,289.039,20.155
-2438.43,0.998922,0.167644,4,15,0,2439.82,549.024,8.14154,292.233,19.9953
-2442.5,0.686663,0.167644,2,7,0,2443.63,549.85,8.09789,291.014,19.9401
-2438.99,0.990445,0.167644,3,7,0,2443.03,549.085,8.10808,293.05,20.3836
-2440.33,0.99686,0.167644,4,15,0,2440.89,552.726,8.26304,288.537,18.9582
-2440.19,0.957876,0.167644,5,31,0,2441.79,552.049,8.1937,291.01,20.9324
-2440.29,0.969314,0.167644,4,31,0,2442.43,553.57,8.218,290.166,19.136
-2439.92,0.999705,0.167644,4,31,0,2441.58,547.449,8.25809,289.57,19.5563
-2440.86,0.984368,0.167644,4,15,0,2441.39,547.043,8.32773,290.17,19.7397
-2439.65,0.996608,0.167644,5,31,0,2441.79,552.694,8.17555,291.664,20.3987
-2440.53,0.899967,0.167644,3,15,0,2442.2,550.812,8.12367,290.707,20.2467
-2440.18,1,0.167644,3,11,0,2441.94,549.752,8.15238,293.254,20.4666
-2440,0.999259,0.167644,5,31,0,2440.68,552.373,8.17744,289.394,19.4321
-2442.77,0.71776,0.167644,2,7,0,2444.5,553.455,8.24323,290.99,19.6726
-2438.3,1,0.167644,2,3,0,2442.36,552.115,8.2083,289.929,19.5846
-2441.51,0.676111,0.167644,3,15,0,2447.94,547.518,8.37507,288.627,19.2957
-2440.63,0.989548,0.167644,5,31,0,2447.21,552.619,8.41819,285.034,20.215
-2442.05,0.992963,0.167644,5,31,0,2443.55,557.654,8.28131,286.377,20.7559
-2441.08,0.996029,0.167644,4,15,0,2444.84,547.001,8.26036,290.446,18.9791
-2439.02,0.993049,0.167644,4,15,0,2442.03,554.172,8.10846,291.852,19.7703
-2439.42,0.993777,0.167644,4,15,0,2440.48,553.648,8.05414,292.695,20.172
-2439.05,0.872138,0.167644,4,31,0,2443.14,553.384,8.25376,287.93,19.7414
-2439.81,0.99922,0.167644,4,15,0,2440.41,552.002,8.27095,288.262,19.1328
-2440.14,0.99939,0.167644,4,15,0,2441.9,550.322,8.40349,286.627,19.6857
-2441.42,0.887029,0.167644,3,7,0,2441.6,550.139,8.42542,287.037,19.6577
-2447.76,0.973165,0.167644,4,15,0,2449.77,557.936,8.13275,288.516,21.8382
-2443.93,0.976732,0.167644,4,31,0,2451.94,560.427,8.06522,289.989,20.2405
-2438.81,1,0.167644,4,15,0,2445.3,551.048,8.0902,292.798,20.3137
-2439.68,0.985857,0.167644,3,15,0,2440.67,549.615,8.08486,293.532,20.667
-2438.54,0.999904,0.167644,4,15,0,2440.05,551.121,8.11026,292.463,19.6192
-2438.34,0.91507,0.167644,5,31,0,2439.56,551.062,8.22267,290.353,20.2757
-2440.31,0.878233,0.167644,4,23,0,2440.92,547.418,8.11793,292.262,19.8597
-2442.75,0.961787,0.167644,4,31,0,2443,556.417,8.06355,293.5,20.1486
-2442.41,0.948401,0.167644,4,31,0,2445.94,551.275,8.14075,293.608,19.2666
-2439.58,0.859491,0.167644,4,23,0,2446.48,546.831,8.26093,290.914,20.3137
-2441.09,0.948542,0.167644,4,15,0,2442.18,547.098,8.32134,289.768,20.7947
-2442.95,0.948572,0.167644,3,7,0,2443.88,546.103,8.35424,289.739,20.9897
-2442.51,0.878833,0.167644,3,7,0,2445.32,546.247,8.26802,288.87,20.367
-2441.03,1,0.167644,2,3,0,2442.47,546.619,8.27143,289.161,20.3201
-2439.49,0.978007,0.167644,2,7,0,2442.91,549.163,8.2699,290.508,20.395
-2439.59,0.984866,0.167644,4,15,0,2440.28,553.069,8.1776,291.376,19.464
-2438.83,0.997711,0.167644,3,15,0,2441,549.428,8.20625,290.059,19.8368
-2443.42,0.989479,0.167644,4,31,0,2445.78,546.461,8.45181,285.965,19.4826
-2439.9,0.999835,0.167644,4,15,0,2444.15,547.295,8.33683,288.718,19.6764
-2439.64,0.999224,0.167644,4,27,0,2441.04,554.665,8.32409,286.462,19.8972
-2440.68,0.994531,0.167644,4,31,0,2442.39,549.363,8.23637,290.359,18.8398
-2439.87,0.923905,0.167644,2,7,0,2441.42,549.727,8.2284,290.662,19.0309
-2440.26,0.969646,0.167644,2,3,0,2440.33,549.373,8.21714,290.061,19.0157
-2440.83,0.989146,0.167644,4,15,0,2442.22,546.18,8.28626,289.495,19.4496
-2439.36,0.96031,0.167644,4,15,0,2442.09,548.206,8.18848,290.726,20.1682
-2440.13,0.926838,0.167644,2,7,0,2441.59,547.092,8.19188,290.897,20.3165
-2438.95,0.976697,0.167644,3,7,0,2440.58,547.986,8.2339,291.239,20.2205
-2441.35,0.931856,0.167644,4,15,0,2442.71,547.473,8.10504,292.964,20.9553
-2439.82,0.97688,0.167644,4,15,0,2442.25,553.097,8.09441,293.012,19.4479
-2439.14,0.999974,0.167644,4,31,0,2440.67,551.387,8.16057,291.985,20.5178
-2439.47,0.993698,0.167644,4,15,0,2440.02,554.508,8.13838,291.582,20.1875
-2439.09,0.996048,0.167644,4,15,0,2441.14,553.265,8.22248,288.5,19.736
-2438.77,0.999769,0.167644,4,15,0,2439.34,552.589,8.22154,290.37,19.7597
