# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac742097c31.json
# init = 2 (Default)
# random
#   seed = 1161794825
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-5061c0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-735d4a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.236343
# Diagonal elements of inverse mass matrix:
# 6.64508e-05, 0.0562637, 0.000262722, 0.000700429
-3000.22,0.998797,0.236343,4,15,0,3000.97,671.124,12.1906,331.48,43.1068
-2998.96,0.988572,0.236343,3,15,0,3002.47,673.122,12.1974,331.022,41.8691
-2999.86,0.941197,0.236343,5,31,0,3000.89,672.302,11.9639,333.654,41.2295
-3000.57,0.967705,0.236343,4,15,0,3001.32,672.293,12.0172,333.296,43.2075
-2999.24,0.997877,0.236343,3,15,0,3001.54,677.837,12.0835,331.358,41.6793
-2999.85,0.940413,0.236343,3,15,0,3001.4,674.242,12.0583,331.512,40.4212
-3003.04,0.984309,0.236343,4,31,0,3003.95,688.133,12.8938,312.558,42.9438
-3002.28,0.99261,0.236343,4,15,0,3004.91,689.168,12.7921,314.216,40.8221
-3000.17,0.977265,0.236343,4,15,0,3004.7,673.797,12.5585,325.275,42.5863
-3001.35,0.687028,0.236343,4,15,0,3005.34,669.433,12.4181,330.41,40.5149
-3001.27,0.922954,0.236343,3,15,0,3002.58,669.437,12.314,327.675,41.1023
-3000.46,0.998005,0.236343,4,15,0,3001.82,678.811,11.9547,330.71,41.4066
-3000.67,0.763403,0.236343,2,3,0,3002.64,676.444,12.0814,333.949,41.4524
-2999.39,0.807665,0.236343,2,3,0,3001.85,677.649,12.0351,332.073,41.4196
-2999.33,0.991891,0.236343,4,23,0,3000.66,681.797,12.2772,326.523,40.9849
-3000.17,0.982122,0.236343,3,15,0,3000.82,684.222,12.1457,326.575,41.6775
-3003.45,0.647321,0.236343,4,15,0,3006.69,660.645,11.9451,338.464,41.3171
-3005.92,0.991589,0.236343,4,15,0,3008.15,684.603,11.7811,334.885,44.0475
-3000.33,1,0.236343,4,15,0,3007.7,674.401,12.1968,331.234,39.9
-2999.25,0.988753,0.236343,4,15,0,3001.06,672.77,12.3808,328.175,41.0685
-3000.34,0.996183,0.236343,4,15,0,3001.33,674.523,11.85,336.349,41.7423
-3001.52,0.923103,0.236343,4,15,0,3002.33,666.13,12.3335,332.836,41.4321
-3001.9,0.772846,0.236343,2,3,0,3003.85,665.209,12.2755,334.392,41.4827
-3002.29,0.914656,0.236343,3,7,0,3003.29,663.079,12.2597,334.339,41.4857
-3004.73,0.801368,0.236343,4,15,0,3006.17,689.229,12.0426,323.928,42.4988
-3003.57,1,0.236343,1,1,0,3004.52,689.402,12.0647,324.676,42.4924
-3001.89,0.775957,0.236343,3,7,0,3005.29,687.959,12.1926,325.954,42.5345
-3001.36,0.998665,0.236343,4,23,0,3002.61,687.644,12.2679,323.537,42.7043
-3000.68,0.877848,0.236343,3,7,0,3002.42,684.986,12.2978,324.445,42.988
-3002.35,0.965354,0.236343,4,15,0,3005.78,688.966,12.7733,313.951,40.8602
-2999.65,0.84092,0.236343,4,23,0,3005.78,672.978,12.3536,326.522,41.289
-2999.5,0.960731,0.236343,3,11,0,3000.32,675.958,12.1149,332.49,41.404
-2999.54,0.99625,0.236343,4,15,0,2999.88,674.669,12.1936,328.462,42.3578
-2999.7,0.858659,0.236343,3,15,0,3002.18,677.17,12.4846,326.301,42.013
-3003.85,0.988632,0.236343,4,15,0,3004.22,668.133,11.6482,344.191,41.5809
-2999.32,0.986164,0.236343,4,15,0,3004.68,674.656,12.0978,332.502,40.8997
-2999.03,0.939529,0.236343,2,7,0,3000.97,672.82,12.2294,329.856,42.0125
-3000.24,0.947803,0.236343,4,15,0,3001.15,682.852,12.5073,322.724,40.3168
-2999.97,0.999386,0.236343,4,15,0,3000.5,683.114,12.4928,321.206,40.5215
-2999.37,0.994519,0.236343,4,15,0,3000.71,680.856,12.3291,325.803,42.5695
-3001.38,0.881098,0.236343,4,15,0,3002.42,678.926,12.6522,319.328,43.1874
-3002.39,0.819993,0.236343,2,3,0,3003.85,679.328,12.6313,318.815,43.5795
-3002.65,0.998079,0.236343,4,15,0,3004.33,685.448,12.6187,318.634,39.3604
-2999.71,0.998604,0.236343,4,15,0,3003.08,679.759,12.6381,320.718,42.1963
-3000.66,0.975611,0.236343,4,15,0,3001.66,683.107,12.5013,321.088,39.9931
-3000.76,0.99682,0.236343,4,15,0,3001.81,682.372,12.352,324.838,39.7375
-2999.96,0.812272,0.236343,4,15,0,3004.3,683.244,12.3277,324.357,42.7679
-3001.47,0.955854,0.236343,4,15,0,3003.12,676.571,12.6675,320.673,43.3342
-3001,0.935104,0.236343,4,15,0,3005.95,678.566,11.9227,332.853,40.2256
-3001.06,0.97317,0.236343,4,15,0,3001.89,674.216,12.6079,323.007,43.164
-3001.76,0.945766,0.236343,4,15,0,3002.42,675.407,12.6658,322.825,43.6083
-3000.79,0.871894,0.236343,3,7,0,3003.02,677.592,12.6558,323.401,42.6671
-2999.25,0.817185,0.236343,4,15,0,3002.62,681.099,12.3355,325.016,40.7083
-2999.24,0.939662,0.236343,4,15,0,3000.89,674.454,12.2329,330.706,42.2416
-2999.61,0.99934,0.236343,4,15,0,2999.97,681.498,12.4869,321.658,40.7527
-2999.39,0.998921,0.236343,4,15,0,3000.68,681.912,12.1976,327.172,41.98
-3000.07,0.988751,0.236343,4,15,0,3001.32,677.339,12.0472,331.808,40.2501
-2999.76,0.96347,0.236343,4,15,0,3000.5,675.521,12.1076,330.035,40.3936
-2998.83,0.999868,0.236343,4,15,0,3000.11,676.63,12.3923,325.714,41.9529
-2999.41,0.994326,0.236343,3,15,0,2999.8,671.499,12.3078,329.193,42.1894
-3001.12,0.976326,0.236343,4,15,0,3003.1,668.165,11.8293,338.656,40.9662
-2999.03,0.975303,0.236343,4,15,0,3001.95,676.832,12.3495,325.751,42.1988
-2998.81,0.995182,0.236343,3,7,0,3000.7,678.41,12.3083,326.032,41.8665
-2999.29,0.965477,0.236343,4,15,0,3000.1,682.422,12.3289,324.809,40.9917
-2999.79,0.82388,0.236343,4,15,0,3001.28,671.267,12.242,329.637,42.5325
-2999.09,0.981053,0.236343,4,15,0,3000.1,671.851,12.1762,331.577,41.779
-2999.66,0.983844,0.236343,4,15,0,2999.8,673.448,12.0162,334.319,40.9226
-3000.09,0.991612,0.236343,4,15,0,3000.59,669.667,11.9586,336.521,41.3635
-3002.15,0.887711,0.236343,4,15,0,3002.32,665.349,11.9822,335.464,40.5704
-3002.52,0.996006,0.236343,4,15,0,3004.74,673.183,11.7144,339.615,40.3299
-3000.33,0.963096,0.236343,3,7,0,3004.65,670.078,11.8973,335.865,41.8631
-3003.9,0.810322,0.236343,4,15,0,3005.18,678.887,11.8813,336.693,40.0856
-3001.65,0.984648,0.236343,4,15,0,3004.8,680.42,12.6876,317.855,43.0648
-2999.05,0.998866,0.236343,4,31,0,3003.38,672.395,12.1382,331.531,41.4618
-3000.81,0.581857,0.236343,2,7,0,3002.54,673.271,12.0057,330.951,41.6421
-2999.17,0.895534,0.236343,2,7,0,3001.72,672.499,12.0856,332.73,41.2508
-2999.58,0.971441,0.236343,4,15,0,3001.26,671.73,12.3036,329.876,42.5087
-3000.03,0.902264,0.236343,3,15,0,3002.11,681.916,12.1599,329.379,41.7251
-2999.44,0.989387,0.236343,4,15,0,3000.69,673.158,12.168,332.246,42.2907
-3001.1,0.78621,0.236343,2,3,0,3001.29,673.913,12.2266,333.016,42.3136
-2999.09,0.991186,0.236343,3,11,0,3002.5,681.045,12.2363,326.909,41.2168
-2999.39,0.983116,0.236343,3,7,0,2999.62,681.773,12.2263,327.343,41.0764
-2999.29,0.999516,0.236343,4,31,0,3000.7,682.376,12.333,324.03,41.2538
-2998.9,0.990961,0.236343,4,15,0,2999.47,673.528,12.204,330.861,41.7456
-2999.72,0.956326,0.236343,5,31,0,3001.15,682.313,12.6119,321.321,41.7078
-2999.68,0.890701,0.236343,4,15,0,3001.43,675.367,12.1631,328.443,40.8562
-3001.12,0.764213,0.236343,4,15,0,3003.75,670.35,11.8755,338.813,41.2395
-3002.56,0.872517,0.236343,2,3,0,3002.74,670.146,11.9053,339.844,41.33
-3003.53,0.857685,0.236343,3,11,0,3005.89,668.693,11.9427,332.507,41.2474
-3000.08,1,0.236343,2,3,0,3002.96,669.838,12.0023,334.067,41.0452
-2999.97,0.962247,0.236343,3,15,0,3002.88,670.669,12.2455,332.613,41.6127
-2999.87,1,0.236343,4,15,0,3000.37,670.776,12.1541,333.721,42.1182
-3000.28,0.993132,0.236343,4,15,0,3000.8,676.555,11.9234,333.036,40.7197
-3002.26,0.687198,0.236343,4,15,0,3004.45,676.943,12.8005,321.83,42.8183
-3003.84,0.995907,0.236343,4,15,0,3006.32,688.565,12.9905,313.579,42.8137
-2999.44,0.983025,0.236343,4,15,0,3005.71,671.419,12.1698,332.116,40.7943
-3000.74,0.972955,0.236343,3,7,0,3001.57,668.735,12.2485,331.099,40.2252
-2998.9,0.919976,0.236343,3,7,0,3001.52,677.831,12.2873,327.814,40.862
-3001.09,0.947385,0.236343,4,15,0,3003.83,685.846,12.424,321.278,40.1184
-3005.33,0.970201,0.236343,4,15,0,3006.33,678.153,12.7201,319.731,45.2171
-3003.18,0.976118,0.236343,4,15,0,3007.84,682.101,12.9974,315.63,43.0384
-3000.63,0.99728,0.236343,4,15,0,3003.99,686.023,12.4446,322.847,42.4115
-3003.19,0.75785,0.236343,3,15,0,3004.95,682.381,12.2597,329.841,43.0472
-3000.02,1,0.236343,4,15,0,3004.07,675.582,12.5148,325.01,40.2438
-3003.23,0.903493,0.236343,4,15,0,3006.69,691.424,12.2437,321.831,40.9125
-3000.18,1,0.236343,4,15,0,3003.6,685.809,12.5169,320.556,40.9431
-3000.01,0.979173,0.236343,4,15,0,3001.41,669.521,12.1068,334.696,42.1029
-3000.59,0.966873,0.236343,4,15,0,3001.29,668.836,12.2133,333.753,40.8623
-2999.82,0.996054,0.236343,3,7,0,3000.8,669.951,12.2099,332.314,40.7745
-3000.27,0.704075,0.236343,4,15,0,3003.43,678.859,11.9597,332.084,42.5146
-3000.45,0.986845,0.236343,2,3,0,3000.5,679.392,11.9602,332.572,42.5476
-3001.38,0.984233,0.236343,3,7,0,3002.3,678.567,12.0794,331.153,43.7823
-3001.72,0.995415,0.236343,4,15,0,3003.94,669.228,12.1989,332.226,39.5086
-3000.65,0.839345,0.236343,3,7,0,3002.84,670.838,12.1072,330.889,40.6194
-3000.14,0.987632,0.236343,4,15,0,3001.62,669.376,11.9663,335.267,42.0861
-3000.22,0.949522,0.236343,4,23,0,3003.77,681.572,12.5817,319.647,40.7079
-3000.44,0.988055,0.236343,3,15,0,3001.42,685.176,12.6101,319.122,40.6644
-3000.2,0.8817,0.236343,3,7,0,3001.18,685.348,12.5352,319.597,40.966
-3000.28,0.974022,0.236343,4,31,0,3001.95,668.497,12.1813,333.831,42.2813
-2999.12,0.693801,0.236343,4,15,0,3002.64,678.797,12.2736,327.826,40.7102
-3002.57,0.762264,0.236343,4,31,0,3003.53,685.011,12.8329,318.496,42.3221
-3002.11,0.894478,0.236343,2,3,0,3004.2,680.745,12.6401,317.339,42.5328
-3001.33,0.997206,0.236343,4,15,0,3002.67,679.132,12.106,332.726,40.9116
-2999.95,0.784717,0.236343,4,15,0,3006.6,673.618,12.5045,324.218,41.1091
-2999.08,0.958662,0.236343,4,15,0,3001.59,678.416,12.4909,323.322,41.0622
-2998.84,1,0.236343,4,15,0,2999.18,678.978,12.3044,326.219,42.0592
-2999.99,0.786773,0.236343,2,3,0,3000.23,678.509,12.2402,325.402,42.0746
-3001.32,0.993672,0.236343,4,15,0,3003.04,668.972,11.9933,333.658,40.4603
-3000.51,0.776021,0.236343,2,7,0,3005.11,671.558,12.129,334.516,40.7537
-3003.61,0.998135,0.236343,4,15,0,3004.76,671.782,11.6235,342.963,41.3769
-3002.6,0.857744,0.236343,4,15,0,3006.83,675.491,12.9021,317.885,42.4258
-3002.07,0.998129,0.236343,4,15,0,3003.54,689.985,12.3238,322.333,40.8885
-3000.67,0.528276,0.236343,4,15,0,3006.91,676.914,12.3811,323.882,40.2333
-2999.92,0.989594,0.236343,2,7,0,3001.44,679.26,12.4455,326.306,40.9182
-2999.09,0.721588,0.236343,3,11,0,3002.81,678.943,12.1419,328.735,41.188
-2999.1,0.967276,0.236343,2,7,0,3002.99,672.107,12.2646,330.113,41.1692
-2999.51,0.987567,0.236343,3,7,0,2999.67,671.391,12.2553,330.508,40.6782
-2999.3,0.967604,0.236343,4,15,0,3000.04,672.241,12.2824,328.818,40.9905
-2999.01,0.985694,0.236343,4,15,0,2999.62,677.63,12.2504,326.756,41.1922
-3001.43,0.814098,0.236343,4,15,0,3003.9,671.492,12.0418,331.738,40.0021
-3000.63,0.999503,0.236343,4,15,0,3005.75,683.6,12.2312,328.078,41.8528
-3000.98,0.877781,0.236343,3,7,0,3002.56,684.183,12.2009,327.853,42.7006
-3001.84,0.843157,0.236343,4,15,0,3003.2,669.627,12.3177,326.979,42.1321
-3000.19,0.998206,0.236343,4,15,0,3001.79,677.71,11.9137,332.885,41.1341
-3000.25,0.995383,0.236343,4,15,0,3000.97,679.033,11.978,331.44,40.635
-2999.16,0.865414,0.236343,3,7,0,3001.33,673.898,12.2882,329.347,40.7039
-2999.63,0.867625,0.236343,4,15,0,3000.46,675.466,12.3939,328.578,41.5109
-2999.4,0.994247,0.236343,4,15,0,3001.01,681.248,12.3746,324.231,42.5598
-2999.58,0.969653,0.236343,4,15,0,3000.08,679.351,12.4337,325.266,42.7344
-3002.05,0.97282,0.236343,3,7,0,3003.2,689.31,12.2351,322.515,42.1223
-3002.18,0.988611,0.236343,4,15,0,3004.75,663.905,12.2589,334.114,40.8701
-3000.07,0.997167,0.236343,4,15,0,3003.32,682.887,12.1084,327.48,41.9675
-2999.36,0.98259,0.236343,4,15,0,3000.9,678.765,12.2589,326.223,40.6531
-2998.99,0.999098,0.236343,3,15,0,2999.98,679.241,12.2562,328.272,41.6156
-2999.77,0.822295,0.236343,3,11,0,3001.39,676.68,12.5531,322.223,42.1201
-2999.9,0.997991,0.236343,4,15,0,3000.99,678.158,12.1671,329.425,40.0686
-3005.6,0.671963,0.236343,4,15,0,3008.09,664.463,12.7317,327.668,41.7899
-3001.27,0.983888,0.236343,3,15,0,3008.83,673.359,12.1761,328.786,43.4872
-3001.61,0.833196,0.236343,4,15,0,3006.9,674.796,12.7607,319.588,41.2511
-3000.13,0.994955,0.236343,4,15,0,3002.46,680.257,12.6293,322.213,42.4797
-3003.18,0.782585,0.236343,4,15,0,3003.93,681.319,12.7411,322.407,42.7577
-3000.16,0.987702,0.236343,3,11,0,3003.77,677.908,12.4999,321.656,41.0787
-3003.9,0.691454,0.236343,4,15,0,3006.35,670.366,12.3908,325.057,40.0056
-3001.15,0.978855,0.236343,3,15,0,3004.53,670.761,12.5127,326.603,40.1914
-3000.68,0.915675,0.236343,4,15,0,3005.22,679.554,12.562,320.943,43.2
-3000.46,0.907646,0.236343,3,7,0,3001.81,682.23,12.4974,324.528,42.2012
-2999.55,0.993964,0.236343,3,15,0,3001.92,673.794,12.3896,325.858,41.0264
-2999.92,0.998165,0.236343,4,15,0,3000.25,683.967,12.4131,321.83,42.3554
-3002.35,0.850133,0.236343,3,7,0,3002.48,687.953,12.3517,324.619,42.6708
-3001.42,0.801749,0.236343,4,15,0,3005.34,677.618,12.7397,318.101,41.8985
-3001.15,0.955484,0.236343,3,7,0,3003.94,681.345,12.858,317.264,42.2328
-2999.51,0.999617,0.236343,4,15,0,3002.56,677.108,11.9903,332.735,41.6566
-3000.24,0.98826,0.236343,4,23,0,3001.45,676.056,12.4065,325.881,39.8027
-2999.65,0.985665,0.236343,4,31,0,3001.37,682.861,12.4757,321.522,40.8205
-2999.89,0.973303,0.236343,3,15,0,3001.57,683.103,12.3251,325.587,42.5109
-2999.11,0.999161,0.236343,4,23,0,3000.54,674.704,12.2158,330.714,42.158
-2998.88,0.956763,0.236343,4,15,0,3001.45,680.597,12.4151,324.31,41.4658
-2998.9,0.995742,0.236343,4,15,0,2999.29,679.609,12.2881,326.869,41.0263
-2998.91,0.99718,0.236343,3,7,0,2999.04,678.693,12.3278,325.838,40.8821
-2999.45,0.996329,0.236343,4,31,0,2999.9,679.115,12.0866,329.62,40.9183
-2999.87,0.958953,0.236343,4,15,0,3000.53,674.687,12.5785,324.252,42.3288
-2999.81,0.942619,0.236343,4,15,0,3003.77,674.324,12.5609,323.433,41.602
-2999.13,0.999679,0.236343,4,15,0,3000.73,676.631,12.0614,331.753,41.4844
-3002.67,0.915316,0.236343,3,15,0,3003.56,668.433,12.6479,326.037,42.8618
-3002.78,0.99826,0.236343,3,7,0,3004.08,670.234,12.5929,325.056,43.7311
-3000.31,0.964013,0.236343,4,15,0,3003.53,683.589,12.1912,328.192,41.5511
-3000.89,0.999292,0.236343,4,23,0,3003.59,684.869,12.6955,319.17,42.5472
-3000.49,0.991705,0.236343,3,11,0,3005.6,678.902,12.4365,323.848,39.7208
-2999.51,0.924008,0.236343,3,15,0,3003.22,681.06,12.4825,321.93,40.7861
-2999.96,0.94216,0.236343,4,15,0,3000.54,680.443,12.6518,321.748,41.1847
-2999.53,0.826408,0.236343,3,11,0,3002.09,682.364,12.2088,327.233,42.0396
-2998.99,0.998414,0.236343,3,15,0,3000.11,676.338,12.1451,330.849,41.1167
-3000.44,0.977358,0.236343,4,15,0,3000.73,671.099,12.48,327.861,40.6926
-3001.93,0.933034,0.236343,4,15,0,3004.02,683.521,11.9983,331.333,42.8969
-3002.33,0.956059,0.236343,3,15,0,3004.61,687.236,12.0332,328.188,42.5992
-3001.02,0.878174,0.236343,3,15,0,3003.74,683.198,12.1187,330.155,41.7152
-3000.55,0.995328,0.236343,3,15,0,3002.53,671.318,12.1826,333.881,42.3985
-3000.5,0.9911,0.236343,4,15,0,3001.34,670.895,12.2251,333.135,42.5154
-3000.53,0.910104,0.236343,3,7,0,3001.47,669.312,12.1062,332.071,42.6021
-3001.04,0.924004,0.236343,4,31,0,3001.91,684.716,12.4557,319.835,40.5591
-2999.68,0.99746,0.236343,2,7,0,3001.8,682.149,12.5356,322.789,41.0383
-2999.73,0.861323,0.236343,3,15,0,3002.32,672.633,12.2935,329.191,40.2792
-2999.63,0.999502,0.236343,3,7,0,3000.04,672.255,12.2214,330.848,40.3914
-2999.85,0.993701,0.236343,4,15,0,3000.97,673.288,11.9532,335.169,42.1737
-3000.07,0.898018,0.236343,2,3,0,3000.48,673.72,11.9815,335.191,42.3582
-2999.91,0.603434,0.236343,4,19,0,3005.18,680.215,12.6489,321.081,40.7645
-3000.63,0.995611,0.236343,3,7,0,3000.78,678.591,12.7365,319.298,40.752
-3003.44,0.940297,0.236343,4,19,0,3006.18,670.725,12.5396,325.143,39.2578
-3000.05,1,0.236343,4,15,0,3005.02,673.78,11.9084,335.83,42.0012
-3000.2,0.958659,0.236343,4,15,0,3001.01,668.81,12.2744,332.442,41.5607
-3001.29,0.927082,0.236343,4,15,0,3001.84,678.997,11.903,331.322,42.5093
-2999.01,0.916608,0.236343,4,15,0,3001.92,676.446,12.0827,331.197,41.6463
-2999.61,0.895469,0.236343,4,15,0,3000.49,679.657,12.074,330.677,41.0109
-3000.01,0.744628,0.236343,2,3,0,3000.97,680.049,12.1304,330.692,40.9871
-3000.15,0.86403,0.236343,4,15,0,3002.24,677.611,12.6868,322.319,41.6993
-3000.47,0.993015,0.236343,4,15,0,3001.52,684.185,12.708,317.361,41.1436
-2998.87,0.998665,0.236343,4,15,0,3001.46,674.044,12.1608,330.691,41.8077
