# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac72974c23c.json
# init = 2 (Default)
# random
#   seed = 219746980
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-5227b4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-18c641.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.207956
# Diagonal elements of inverse mass matrix:
# 3.87292e-05, 0.0186449, 0.000118454, 0.000715198
-2528.72,1,0.207956,2,7,0,2531.4,576.633,10.4484,284.098,22.2492
-2528.42,0.944048,0.207956,3,15,0,2529.46,576.352,10.4627,283.778,22.4486
-2528.55,0.965488,0.207956,4,15,0,2528.97,571.829,10.5039,284.141,22.6793
-2528.55,0.420977,0.207956,1,3,0,2532.6,571.829,10.5039,284.141,22.6793
-2529.44,0.95836,0.207956,4,31,0,2530.73,569.418,10.3738,286.834,22.6041
-2531.15,0.978635,0.207956,3,7,0,2531.8,568.069,10.4455,287.965,23.0449
-2530.98,0.969196,0.207956,4,15,0,2533.14,578.054,10.4217,284.456,23.1981
-2528.77,0.998756,0.207956,4,15,0,2531.59,570.802,10.373,286.499,22.6746
-2528.46,0.962336,0.207956,4,15,0,2529.59,574.664,10.3546,285.351,22.3265
-2529.11,0.980472,0.207956,4,15,0,2529.93,574.467,10.4104,284.696,21.5478
-2530.23,0.740126,0.207956,4,15,0,2531.54,574.469,10.6071,282.994,23.2138
-2531.24,0.992148,0.207956,4,15,0,2532.13,578.916,10.6581,277.895,22.2286
-2530.85,0.998994,0.207956,4,15,0,2532.23,580.051,10.6042,280.647,22.4476
-2530.96,0.904237,0.207956,3,7,0,2532.01,577.419,10.5445,279.887,22.5166
-2530.04,0.982823,0.207956,2,7,0,2534.7,579.677,10.5367,280.443,22.5254
-2529.45,0.991969,0.207956,3,7,0,2530.44,578.38,10.5829,281.042,22.7741
-2529.46,0.999675,0.207956,3,7,0,2529.71,578.484,10.5795,280.61,22.8172
-2531.23,0.964,0.207956,3,15,0,2532.75,569.317,10.6422,283.56,22.0336
-2531.01,0.986768,0.207956,3,15,0,2534.12,567.322,10.504,286.216,22.4049
-2528.73,0.882069,0.207956,3,15,0,2533.61,576.889,10.5517,281.388,22.6874
