# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac73feac168.json
# init = 2 (Default)
# random
#   seed = 858498946
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-7ef1da.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-397c6f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.313427
# Diagonal elements of inverse mass matrix:
# 0.0617158, 36.987, 0.000359113, 0.000471457
-4241.24,0.981908,0.313427,4,15,0,4243.48,63.4797,-20.3717,694.637,164.197
-4239.73,0.998149,0.313427,3,7,0,4241.96,56.343,-18.2913,686.688,168.296
-4239.48,0.949951,0.313427,4,15,0,4240.33,53.7208,-20.6971,682.514,166.141
-4239.52,0.970132,0.313427,2,7,0,4241.18,49.1737,-22.6593,676.681,169.838
-4240.95,0.875655,0.313427,4,15,0,4242.83,48.7889,-12.483,671.342,172.298
-4241.56,0.974515,0.313427,3,7,0,4242.68,37.8588,-17.4326,667.689,175.667
-4240.94,0.95246,0.313427,4,15,0,4242.81,45.971,-21.6531,683.009,164.627
-4239.51,0.994288,0.313427,3,7,0,4241.09,51.1709,-22.6117,676.462,166.792
-4239.43,0.869497,0.313427,3,11,0,4241.06,43.9547,-19.6883,670.551,165.732
-4239.89,0.92408,0.313427,4,15,0,4241.05,36.9818,-17.7321,666.353,170.154
-4239.68,0.994781,0.313427,3,15,0,4240.48,46.9392,-14.1721,677.37,169.787
-4239.79,0.992861,0.313427,3,7,0,4239.92,46.0993,-14.7083,679.137,169.699
-4239.32,0.968343,0.313427,3,15,0,4242.06,52.0415,-17.4642,678.423,168.43
-4239.69,0.983909,0.313427,4,15,0,4240.72,51.5673,-23.8365,675.973,168.502
-4239.8,0.796315,0.313427,3,15,0,4242.31,42.8364,-13.4019,667.273,165.814
-4240.36,0.958428,0.313427,3,15,0,4241.67,44.8196,-20.1179,667.568,173.023
-4239.52,1,0.313427,3,7,0,4240.74,51.6049,-15.8832,678.544,168.618
-4239.32,0.997646,0.313427,3,15,0,4240.54,44.2412,-16.6837,672.101,170.72
