# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac737bcc1ae.json
# init = 2 (Default)
# random
#   seed = 743763481
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-8e3880.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-3dbfef.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.349884
# Diagonal elements of inverse mass matrix:
# 0.0510288, 30.6898, 0.000332249, 0.000536385
-4135.91,0.897611,0.349884,3,7,0,4136.98,36.8284,-12.0882,668.512,150.726
-4135.25,0.992506,0.349884,3,7,0,4136.59,43.0109,-25.3164,671.836,151.31
-4134.57,1,0.349884,2,7,0,4135.24,50.7051,-24.0547,666.686,150.77
-4134.98,0.97123,0.349884,4,15,0,4135.63,42.5281,-20.6423,657.638,148.146
-4135.09,0.993865,0.349884,3,7,0,4136.05,57.1995,-18.286,678.049,146.356
-4134.37,0.416925,0.349884,3,7,0,4138.52,51.6337,-19.9857,672.469,145.75
-4133.65,0.998653,0.349884,4,15,0,4134.52,49.5358,-19.5991,671.497,147.957
-4138.3,0.657165,0.349884,3,7,0,4139.3,49.058,-25.8737,657.4,154.02
-4135.28,0.976944,0.349884,2,7,0,4139.65,40.9715,-23.9684,660.624,152.74
-4135.34,0.980333,0.349884,3,15,0,4136.89,33.9268,-19.9695,658.433,151.549
-4134.85,0.963705,0.349884,3,7,0,4137.44,35.1665,-19.1292,661.564,148.509
-4138.29,0.908917,0.349884,2,7,0,4139.18,34.0522,-25.0425,646.889,150.014
-4135.94,0.951227,0.349884,3,7,0,4139.89,35.1037,-13.6567,665.148,153.902
-4135.32,0.965387,0.349884,2,3,0,4136.55,36.0614,-12.3832,662.619,153.21
-4133.69,0.966618,0.349884,4,15,0,4137.92,49.9097,-19.9708,676.438,148.962
-4134.38,0.750483,0.349884,3,11,0,4136.12,49.9065,-16.8259,669.054,152.623
-4134.18,0.986763,0.349884,4,15,0,4135.45,45.5248,-16.9987,671.554,152.997
-4134.3,0.727246,0.349884,4,15,0,4138.2,58.1642,-25.5962,681.655,146.63
-4134.19,0.963754,0.349884,1,3,0,4134.56,59.3322,-24.9726,680.423,147.374
-4133.91,0.609862,0.349884,2,3,0,4136.28,53.7823,-23.9575,673.796,148.058
-4136.71,0.68674,0.349884,3,11,0,4138.04,35.2359,-15.8144,667.787,144.952
-4137.43,0.995904,0.349884,3,7,0,4138.24,39.2883,-11.3992,654.399,144.671
-4136.62,0.885744,0.349884,3,7,0,4140.04,32.4346,-16.942,647.111,152.771
-4136.55,0.974917,0.349884,4,15,0,4137.92,34.3139,-19.9393,651.116,153.968
-4137.15,0.899418,0.349884,4,31,0,4138.24,57.1412,-33.5695,672.717,146.31
-4133.49,1,0.349884,3,7,0,4137.49,47.6954,-20.3809,669.971,150.199
-4134.96,0.834222,0.349884,2,7,0,4136.07,47.6974,-20.409,663.953,154.048
-4134.48,0.955342,0.349884,4,15,0,4135.47,43.9971,-19.3561,668.28,154.312
-4134.23,0.968051,0.349884,3,15,0,4135.4,39.3041,-14.8001,665.273,148.307
-4135.21,0.963748,0.349884,3,15,0,4135.97,33.5879,-11.9425,652.851,148.696
-4137.47,0.82322,0.349884,3,7,0,4139.05,32.0919,-11.0976,661.335,143.708
-4137.06,1,0.349884,3,7,0,4138.67,31.3995,-18.1365,646.212,146.231
-4135.63,0.999404,0.349884,3,7,0,4137.71,29.2663,-12.1211,655.114,148.809
-4135.21,0.996685,0.349884,3,7,0,4135.84,32.0253,-11.3547,655.841,149.535
-4139.26,0.866354,0.349884,3,7,0,4139.89,23.2497,-15.3108,640.904,144.684
-4137.01,0.913516,0.349884,4,15,0,4141.71,69.5258,-30.6184,685.981,155.856
-4135.5,0.848777,0.349884,3,7,0,4137.7,70.3976,-26.1411,694.709,154.199
-4134.32,0.995543,0.349884,4,15,0,4136.43,52.3039,-21.3034,674.866,145.522
-4135.46,0.839232,0.349884,3,11,0,4136.44,47.3256,-17.3211,665.056,155.835
-4137.06,0.980776,0.349884,3,15,0,4139,67.1775,-31.7815,685.68,143.961
-4137.04,0.76341,0.349884,3,7,0,4140.17,78.4336,-24.1272,696.59,149.941
-4136.76,0.974385,0.349884,2,7,0,4140.1,66.5521,-34.1474,697.95,150.143
-4134.62,1,0.349884,3,15,0,4138,60.3712,-25.8468,678.921,147.19
-4134.07,0.970959,0.349884,4,15,0,4135.63,46.4769,-19.8637,674.191,152.201
-4134.13,0.998419,0.349884,3,7,0,4134.75,41.6613,-16.8576,668.476,151.917
-4134.9,0.868404,0.349884,3,7,0,4135.9,40.2642,-21.1616,658.716,152.527
-4136.39,0.938368,0.349884,3,7,0,4137.81,35.6779,-15.4748,657.65,156.769
-4138.22,0.660024,0.349884,2,3,0,4139.45,41.8898,-15.0057,652.609,157.003
-4137.45,0.831895,0.349884,3,7,0,4141.31,50.4999,-15.7097,661.259,155.083
-4133.93,0.981681,0.349884,3,11,0,4137.5,51.3916,-21.5448,674.944,153.142
-4134.43,0.818178,0.349884,3,15,0,4135.81,54.0563,-26.8488,680.792,151.911
-4138.36,0.916329,0.349884,3,15,0,4141.11,36.1578,-25.8598,650.02,153.703
-4139.22,0.969562,0.349884,3,7,0,4140.76,67.3022,-21.0592,699.755,143.405
-4136.1,1,0.349884,2,3,0,4139.45,71.4193,-23.3093,693.513,146.667
-4135.83,0.704646,0.349884,2,3,0,4137.29,64.6174,-23.1559,695.01,146.768
-4136.19,0.985686,0.349884,4,15,0,4138.64,37.5167,-9.59311,657.335,149.98
