# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac741600f09.json
# init = 2 (Default)
# random
#   seed = 1371584941
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-9291a0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-4229f8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.220063
# Diagonal elements of inverse mass matrix:
# 0.000110025, 0.0488752, 0.000378538, 0.000568892
-3353.9,0.9868,0.220063,4,15,0,3354.54,683.402,9.40509,305.929,51.1769
-3352.7,0.999797,0.220063,4,15,0,3355.09,681.793,9.42341,305.32,49.0202
-3351.19,0.996178,0.220063,4,15,0,3353.45,666.641,9.22225,313.788,50.4831
-3352.2,0.930913,0.220063,4,31,0,3353.47,669.351,9.71996,301.627,49.0797
-3351.63,0.980685,0.220063,4,31,0,3354.31,662.812,9.37704,311.736,50.6935
-3353.25,0.978904,0.220063,3,7,0,3353.49,660.835,9.54224,309.176,51.5385
-3353.27,0.918953,0.220063,4,15,0,3354.49,659.568,9.5381,310.592,51.0381
-3354.29,0.990419,0.220063,3,7,0,3355.21,657.01,9.62527,308.293,51.2236
-3356.52,0.717335,0.220063,4,15,0,3358.91,676.66,8.75815,318.605,49.7377
-3352.43,0.971778,0.220063,4,15,0,3357.34,658.72,9.17258,318.957,49.952
-3351.95,0.935708,0.220063,4,15,0,3353.57,663.632,9.12541,318.205,50.5879
-3351.65,0.655928,0.220063,4,15,0,3356.78,665.487,9.32591,313.916,49.3115
-3352.66,0.995913,0.220063,2,7,0,3353.15,660.178,9.24903,313.55,48.5857
-3352.12,1,0.220063,4,15,0,3353.55,673.2,9.13758,313.894,51.2052
-3352.82,0.880466,0.220063,4,15,0,3353.52,660.94,9.36555,310.044,48.7758
-3352.04,0.925289,0.220063,2,3,0,3353.61,659.969,9.39142,311.673,48.9853
-3351.84,0.989616,0.220063,4,15,0,3354.89,679.584,9.34148,306.362,49.615
-3351.81,0.996253,0.220063,4,31,0,3353.1,663.616,9.14712,317.243,50.6819
-3354.11,0.900702,0.220063,4,15,0,3355.62,678.359,9.69318,296.714,48.3774
-3351.8,1,0.220063,4,15,0,3354.96,668.929,9.4515,309.756,48.6753
-3353.43,0.908691,0.220063,4,15,0,3354.35,665.875,9.66116,307.267,50.2969
-3352.77,0.752408,0.220063,3,11,0,3359.78,674.86,9.30872,311.714,48.366
-3354.04,0.902795,0.220063,5,31,0,3355.12,669.092,9.78887,302.753,51.152
-3354.08,0.924491,0.220063,2,7,0,3356.03,669.768,9.84072,300.389,51.3806
-3353.33,1,0.220063,4,31,0,3358.2,667.592,9.74462,302.667,51.3875
-3352.75,0.970805,0.220063,4,15,0,3354.83,682.674,9.29865,307.775,49.7233
-3356.75,0.723062,0.220063,4,15,0,3359.44,654.851,9.24357,321.668,48.505
-3354.78,1,0.220063,4,15,0,3359.06,664.364,9.05256,314.738,48.3256
-3354.97,0.955308,0.220063,4,15,0,3356.05,665.331,9.15904,320.527,49.146
-3351.84,0.922854,0.220063,2,7,0,3355.84,665.252,9.03567,318.374,49.2549
-3350.9,1,0.220063,4,15,0,3352.06,670.613,9.46677,307.061,49.7943
-3351.02,0.998049,0.220063,3,7,0,3351.06,672.099,9.47924,305.782,49.9948
-3351.34,0.968271,0.220063,3,15,0,3351.72,670.598,9.57197,304.505,50.2513
-3351.59,0.9849,0.220063,4,15,0,3352.73,669.649,9.21759,313.936,48.4246
-3352.69,0.959392,0.220063,4,15,0,3355.29,661.857,9.138,318.94,51.1118
-3352.66,0.937958,0.220063,4,15,0,3360.72,682.357,9.28621,306.435,50.0341
-3352.05,0.995873,0.220063,4,15,0,3354.75,675.757,9.42169,306.782,48.1484
-3352.86,0.976679,0.220063,4,31,0,3354.9,678.864,9.04228,313.157,50.0417
-3352.33,0.959135,0.220063,3,15,0,3354.86,673.772,9.10587,316.5,49.7592
-3352.04,0.929346,0.220063,4,15,0,3355.1,660.438,9.39126,311.832,48.7498
-3351.28,0.998087,0.220063,4,15,0,3352.58,664.856,9.27332,313.749,50.4894
-3352.64,0.98383,0.220063,3,15,0,3353.2,676.574,9.24261,310.811,47.8948
-3351.37,0.960306,0.220063,4,15,0,3353.17,674.878,9.33661,309.645,49.1364
-3351.2,0.976656,0.220063,4,31,0,3351.97,670.687,9.17136,312.784,49.5271
-3352.15,0.969962,0.220063,4,15,0,3356.24,667.338,9.45001,309.144,47.8779
-3351.82,0.993994,0.220063,3,7,0,3352.55,666.603,9.43853,308.98,48.093
-3351.44,0.999931,0.220063,4,15,0,3352.42,677.42,9.30766,308.178,49.7796
-3351.08,0.986478,0.220063,4,31,0,3351.87,670.472,9.25399,311.016,49.037
-3351.16,0.998481,0.220063,3,15,0,3352.41,665.362,9.25388,314.555,49.7669
-3353.16,0.85019,0.220063,4,19,0,3353.56,678.04,9.47077,301.133,49.7867
-3352.25,0.870697,0.220063,4,15,0,3354.82,670.801,9.69804,302.065,50.7515
-3352.65,0.931987,0.220063,4,31,0,3353.89,667.516,9.13277,313.607,48.1762
-3351.55,0.992111,0.220063,3,15,0,3357.53,662.249,9.23704,316.008,49.5118
-3353.18,0.995749,0.220063,4,15,0,3353.62,676.818,9.09505,313.358,51.615
-3351.45,0.988735,0.220063,3,15,0,3355.16,661.72,9.3142,313.946,49.7129
-3352.67,0.981286,0.220063,4,15,0,3352.9,674.249,8.99477,316.169,48.7092
