# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac744b765de.json
# init = 2 (Default)
# random
#   seed = 848898171
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-961134.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-81a594.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.429183
# Diagonal elements of inverse mass matrix:
# 0.0563521, 30.917, 0.000253339, 0.000499464
-4387.46,0.814124,0.429183,3,7,0,4388.98,41.2287,-23.8605,814.217,189.276
-4385.96,1,0.429183,4,15,0,4388.45,41.168,-22.2858,800.579,197.293
-4387.39,0.923289,0.429183,2,7,0,4388.19,35.3491,-24.8716,803.569,192.12
-4386.64,0.773638,0.429183,3,7,0,4390.45,48.1072,-14.3743,804.193,191.892
-4386.4,0.985265,0.429183,2,3,0,4387.21,35.5858,-18.7375,808.915,193.238
-4386.08,0.973492,0.429183,2,7,0,4388.32,39.5364,-21.4036,803.633,199.432
-4386.12,0.992586,0.429183,2,7,0,4386.69,37.5928,-20.2792,796.561,197.728
-4385.84,0.936127,0.429183,3,11,0,4387.63,48.8074,-21.5846,804.712,196.875
-4386,0.983131,0.429183,3,7,0,4386.84,38.8256,-11.8767,803.781,199.506
-4385.96,0.983875,0.429183,3,7,0,4387.09,46.3368,-20.4831,805.968,200.756
-4386.32,0.858891,0.429183,3,15,0,4388.4,32.6001,-13.0246,805.489,195.372
-4386.08,0.850581,0.429183,2,3,0,4387.48,38.1356,-10.5504,800.454,194.921
-4386.03,0.893348,0.429183,3,7,0,4387.41,45.462,-23.2879,803.842,198.254
-4385.49,0.99643,0.429183,2,7,0,4386.5,50.3304,-23.7918,814.373,197.539
-4385.18,0.976331,0.429183,4,15,0,4386.42,40.7022,-16.6367,806.831,192.631
-4386.79,0.903947,0.429183,2,3,0,4387.07,40.6645,-14.8083,798.341,188.692
-4385.74,1,0.429183,3,7,0,4387.38,53.0031,-20.9542,809.777,196.747
-4386.88,0.83584,0.429183,3,7,0,4387.85,37.9871,-25.0129,806.362,192.769
-4386.08,0.992361,0.429183,3,15,0,4387.79,54.7217,-22.6449,810.963,193.723
-4385.37,0.973875,0.429183,3,11,0,4386.87,37.2395,-16.5801,799.209,197.027
-4385.22,0.915427,0.429183,3,15,0,4386.56,42.6019,-18.6488,805.189,192.392
-4386.35,0.949061,0.429183,3,15,0,4387.14,53.6336,-26.7638,824.109,197.503
-4385.84,1,0.429183,2,3,0,4386.41,57.965,-24.6025,818.559,195.322
-4385.2,1,0.429183,4,15,0,4385.84,52.6898,-21.7107,815.957,195.29
-4386.02,0.92295,0.429183,3,7,0,4388.49,54.5496,-26.6482,822.138,196.722
-4386.13,0.980515,0.429183,3,15,0,4387.15,30.1815,-12.3572,796.722,193.991
-4385.9,0.977209,0.429183,2,3,0,4386.55,32.6178,-14.6803,792.686,194.431
-4385.02,0.990973,0.429183,3,7,0,4386.51,48.382,-19.546,811.221,194.277
-4386.13,0.722013,0.429183,3,7,0,4387.25,50.747,-18.057,806.275,199.248
-4385.73,1,0.429183,2,7,0,4386.3,36.9755,-16.5816,808.827,196.124
-4386.41,0.983285,0.429183,3,7,0,4387.71,34.7028,-13.5537,800.849,201.254
-4385.83,0.978848,0.429183,2,7,0,4388.15,47.5755,-18.0356,808.976,190.19
-4386.43,0.980596,0.429183,3,15,0,4387.07,50.1201,-18.4121,823.523,191.035
-4386.91,0.890912,0.429183,3,15,0,4388.25,64.7562,-20.8322,822.402,195.767
-4387.23,0.973813,0.429183,2,3,0,4388.03,59.3841,-23.8465,836.056,194.636
-4386.42,0.980369,0.429183,2,7,0,4388.6,57.8928,-24.3844,815.924,199.586
