# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac76bf324cb.json
# init = 2 (Default)
# random
#   seed = 59678787
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-1-97b29a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-1-0c09a7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.208205
# Diagonal elements of inverse mass matrix:
# 6.23418e-05, 0.0198858, 0.00020615, 0.000551451
-2686.6,0.880296,0.208205,4,31,0,2688.82,477.633,8.04629,236.991,27.3406
-2685.51,0.998606,0.208205,3,7,0,2686.72,477.281,8.01193,236.739,27.3657
-2683.44,0.999697,0.208205,4,15,0,2686.79,483.659,7.94469,234.834,27.2837
-2684.36,0.881099,0.208205,3,15,0,2686.21,482.534,7.93681,237.362,27.5314
-2684.43,0.855137,0.208205,2,3,0,2686.98,483.58,7.95283,236.702,27.3507
-2684.95,0.940506,0.208205,3,11,0,2685.89,484.234,7.85585,234.765,27.0775
-2684.34,0.948499,0.208205,5,31,0,2686.76,481.916,8.01376,234.638,27.837
-2684.49,0.84635,0.208205,2,7,0,2687.14,482.237,7.94552,234.44,27.7445
-2683.81,0.929655,0.208205,3,15,0,2686.57,485.013,7.77342,239.433,27.4274
-2683.89,0.996386,0.208205,3,15,0,2685.78,486.421,7.69078,238.42,27.0929
-2683.69,0.869557,0.208205,3,15,0,2686.38,486.712,7.90627,234.755,27.595
-2685.16,0.982589,0.208205,4,15,0,2685.41,486.029,8.09431,231.993,27.4636
-2687.51,0.931505,0.208205,4,15,0,2690.14,493.443,7.77217,235.619,27.9964
-2687.36,0.613009,0.208205,3,7,0,2692.09,492.402,7.8308,235.981,27.4399
-2685.56,1,0.208205,4,15,0,2687.82,474.698,7.76523,243.017,27.5134
-2685.2,0.939427,0.208205,3,7,0,2686.73,474.84,7.6661,242.778,27.3893
-2683.78,0.963269,0.208205,4,15,0,2686.93,484.334,7.83389,238.505,27.5754
-2683.95,0.999802,0.208205,4,15,0,2684.76,483.067,7.62242,240.578,27.0934
-2684.38,0.902159,0.208205,4,15,0,2686.34,486.444,7.7588,236.486,26.9457
-2684.39,0.648204,0.208205,2,7,0,2690.54,486.155,7.85282,237.723,27.1652
-2684.56,0.974669,0.208205,4,15,0,2686.31,481.441,7.78012,240.317,28.4144
-2686.8,0.997926,0.208205,4,15,0,2690.08,489.571,8.12368,230.651,27.5704
-2688.1,0.944806,0.208205,4,15,0,2689.03,491.08,8.04726,228.943,27.4933
-2683.97,0.999948,0.208205,4,15,0,2688.43,480.618,7.8101,240.418,27.0465
-2684.07,0.987943,0.208205,3,15,0,2685.64,480.17,7.86989,236.593,27.1323
-2683.52,0.999997,0.208205,4,15,0,2684.65,481.526,7.68075,239.969,27.0987
-2683.83,0.955478,0.208205,4,15,0,2685.76,483.628,7.76989,240.137,27.4168
-2684.23,0.982219,0.208205,3,15,0,2686.13,485.468,7.65415,239.03,27.4084
-2683.26,0.756867,0.208205,3,15,0,2688.62,485.193,7.8302,237.65,27.0345
-2684.04,0.957205,0.208205,2,7,0,2684.43,486.051,7.82963,237.95,27.0198
-2683.77,0.876091,0.208205,4,15,0,2686.69,482.659,7.97477,235.742,27.1323
-2685.17,0.905208,0.208205,2,3,0,2685.34,481.007,7.95706,234.288,27.1432
-2684.58,0.7853,0.208205,2,7,0,2687.8,481.633,8.01529,235.69,27.0342
-2683.6,0.979028,0.208205,4,15,0,2685.2,482.342,7.82189,239.451,27.3738
-2683.63,0.994766,0.208205,4,19,0,2684.8,481.64,7.67336,240,27.4498
-2683.95,0.999875,0.208205,4,31,0,2684.47,484.11,7.89353,234.757,27.368
-2684.44,0.971418,0.208205,3,11,0,2687.63,483.036,7.93528,234.18,27.1749
-2685.85,0.91625,0.208205,3,11,0,2687.19,485.441,8.05704,233.678,26.4782
-2685.82,0.988095,0.208205,4,15,0,2688.31,481.451,8.02886,232.954,27.8052
-2685.18,0.989375,0.208205,2,3,0,2686.29,481.45,8.07008,233.233,27.7067
-2684.08,0.994387,0.208205,4,15,0,2687.16,485.123,7.98446,233.935,26.7434
-2684.15,0.98963,0.208205,4,23,0,2685.88,479.029,7.88878,238.122,26.5178
-2684.58,0.974402,0.208205,3,7,0,2684.92,479.236,7.89523,237.189,26.3867
-2685.2,0.929189,0.208205,4,15,0,2685.93,487.555,7.68823,237.595,27.9856
-2683,0.998532,0.208205,4,15,0,2685.29,480.801,7.73707,239.653,27.4965
-2683.34,0.998137,0.208205,3,7,0,2683.48,479.902,7.76916,240.657,27.72
-2684.74,0.985324,0.208205,4,31,0,2685.59,481.827,7.95092,236.579,28.3403
-2683.91,0.996683,0.208205,5,31,0,2685.51,486.429,7.94807,234.066,27.6801
-2682.85,0.986263,0.208205,4,15,0,2684.76,480.85,7.71407,240.793,27.3911
-2683.18,0.899826,0.208205,4,31,0,2683.92,482.771,7.71899,239.325,26.7581
-2683,0.989154,0.208205,3,11,0,2683.39,482.182,7.77683,238.168,27.3057
-2683.79,0.998899,0.208205,3,15,0,2684.55,481.152,7.9386,236.328,27.8874
-2683.25,0.967656,0.208205,4,15,0,2684.82,484.501,7.84711,236.018,27.176
-2683.21,0.940676,0.208205,4,23,0,2684.74,483.465,7.64719,241.319,27.2995
-2684.53,0.816966,0.208205,4,15,0,2685.62,477.822,7.80318,241.386,26.9412
-2683.88,0.998498,0.208205,5,31,0,2685.04,486.147,7.72338,239.662,27.0015
-2683.82,0.992194,0.208205,4,15,0,2685.48,486.014,7.64917,240.634,27.4383
