# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac721cd7c6e.json
# init = 2 (Default)
# random
#   seed = 1215366849
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-2-0f1591.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-2-91c329.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.117155
# Diagonal elements of inverse mass matrix:
# 0.00013717, 0.283058, 0.000137974, 0.000663372
-2447.94,0.997949,0.117155,4,31,0,2449.08,405.389,20.9328,404.283,20.2811
-2447.89,0.996545,0.117155,4,15,0,2449.2,406.893,21.4996,402.078,20.2498
-2448.92,0.851997,0.117155,3,15,0,2450.62,404.728,21.3434,402.387,19.919
-2449.47,0.959629,0.117155,2,7,0,2451.21,405.211,21.2613,401.932,19.9008
-2449.85,0.990657,0.117155,5,39,0,2451.69,395.413,20.077,412.526,20.5881
-2449.32,0.874854,0.117155,2,3,0,2451.9,397.542,20.1081,412.772,20.5545
-2448.55,0.995915,0.117155,2,7,0,2449.99,396.428,20.2502,411.828,20.5438
-2451.37,0.826557,0.117155,5,31,0,2452.09,393,20.0093,414.271,19.7522
-2448.36,0.978831,0.117155,5,31,0,2454.31,400.577,20.5527,409.38,20.6954
-2449.39,0.980867,0.117155,3,11,0,2450.14,397.847,20.8822,409.725,20.8532
-2448.6,0.927095,0.117155,5,31,0,2450.91,400.764,20.4441,408.99,19.4692
-2447.29,0.977418,0.117155,4,31,0,2451.98,404.244,20.9704,405.181,20.0016
-2447.9,0.989485,0.117155,4,31,0,2449.14,402.191,20.8174,407.275,19.4818
-2448.02,0.99974,0.117155,5,31,0,2449.21,398.34,20.4597,410.047,19.5911
-2449.09,0.644056,0.117155,2,3,0,2450.48,399.139,20.4444,411.08,19.5592
-2449.73,0.959662,0.117155,5,31,0,2450.27,405.947,21.3225,401.274,20.6057
-2449.65,0.999095,0.117155,5,31,0,2451.16,406.632,21.7307,402.478,20.4405
-2447.44,0.981593,0.117155,5,31,0,2449.97,402.444,21.0204,406.658,19.7078
-2447.09,0.999058,0.117155,5,31,0,2448.48,403.135,20.9963,405.43,19.8276
-2447.97,0.978285,0.117155,4,15,0,2448.24,403.289,21.1759,404.699,19.5026
-2448.42,0.995983,0.117155,3,7,0,2448.7,402.625,21.3161,405.611,19.5469
-2448.43,0.984699,0.117155,4,15,0,2448.88,405.957,20.9948,403.613,19.6315
-2447.86,0.999077,0.117155,4,31,0,2449.74,399.029,20.9186,408.828,20.2822
-2447.43,0.988835,0.117155,4,15,0,2448.88,401.538,20.6267,407.253,20.2287
-2449.36,0.93328,0.117155,4,23,0,2451.2,401.818,21.41,405.336,20.6094
-2447.41,0.999968,0.117155,4,15,0,2449.88,403.675,21.3012,404.665,20.2879
-2448.27,0.929496,0.117155,5,31,0,2449.17,405.768,21.0936,403.851,19.57
-2448.6,0.978083,0.117155,3,7,0,2448.66,406.015,21.0914,403.839,19.5644
-2450.94,0.999973,0.117155,4,31,0,2453.53,398.379,20.4707,411.26,21.4859
-2454.22,0.91939,0.117155,4,15,0,2455.14,398.381,20.7907,411,21.9586
-2453.39,0.9832,0.117155,4,15,0,2456.94,403.446,20.3228,407.651,21.3664
-2451.1,1,0.117155,2,3,0,2453.78,401.833,20.4658,407.098,21.3652
-2448.93,0.983011,0.117155,4,31,0,2452.47,400.111,21.1413,407.044,20.557
-2449.18,0.990503,0.117155,4,23,0,2449.76,404.343,20.7771,404.161,19.7276
