# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac75762de1b.json
# init = 2 (Default)
# random
#   seed = 2005463894
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-2-185a6f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-2-7e61b6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.190498
# Diagonal elements of inverse mass matrix:
# 0.000133391, 0.066723, 0.000138636, 0.000557422
-2829.85,0.998834,0.190498,5,31,0,2831.52,420.07,9.23556,403.349,33.998
-2829.8,0.995414,0.190498,3,15,0,2831.34,416.415,9.41805,404.542,33.8405
-2831.86,0.91148,0.190498,4,15,0,2832.7,425.679,9.32368,401.629,32.6678
-2830.24,0.998562,0.190498,4,15,0,2832.66,415.279,9.43188,405.413,32.9542
-2830.42,0.885905,0.190498,4,15,0,2831.61,418.184,9.22016,407.229,33.3188
-2829.27,0.958298,0.190498,3,15,0,2833.31,417.594,9.16095,406.026,33.6533
-2830.63,0.850383,0.190498,5,31,0,2833.15,422.326,9.74277,397.171,32.7338
-2832.15,0.946625,0.190498,4,31,0,2834.24,415.498,9.65724,402.054,32.1671
-2831.71,0.852057,0.190498,4,15,0,2834.11,421.256,9.41509,399.445,32.1697
-2833.13,0.990741,0.190498,3,15,0,2835.64,411.063,9.52019,403.935,33.4932
-2830.63,0.930894,0.190498,3,15,0,2835.73,412.794,9.29043,408.182,33.8893
-2831.02,0.993742,0.190498,2,3,0,2831.16,411.981,9.28939,406.46,34.0206
-2830.81,0.997808,0.190498,3,7,0,2831.16,412.33,9.27509,406.413,33.9856
-2831.3,0.953574,0.190498,4,23,0,2839.76,427.307,9.56291,396.898,33.0948
-2831.57,0.792925,0.190498,2,3,0,2833.25,427.078,9.54664,396.115,33.0796
-2830.95,0.998819,0.190498,3,7,0,2831.69,426.263,9.60513,397.404,32.9593
-2829.89,0.925012,0.190498,3,15,0,2833.99,423.075,9.36049,400.775,33.1796
-2829.6,1,0.190498,4,15,0,2830.16,419.515,9.51261,401.034,33.7501
