# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac73feac168.json
# init = 2 (Default)
# random
#   seed = 858498946
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-2-7ef1da.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-2-397c6f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.192171
# Diagonal elements of inverse mass matrix:
# 4.09973e-05, 0.0025484, 4.44651e-05, 0.000599201
-2197.46,0.999779,0.192171,4,31,0,2199.3,757.283,7.42212,258.689,13.8325
-2197.58,0.965605,0.192171,3,7,0,2198.71,758.259,7.44444,258.252,13.8736
-2196.73,0.987762,0.192171,5,31,0,2198.16,744.441,7.47871,258.916,14.7897
-2197.02,0.996463,0.192171,4,15,0,2198.99,748.754,7.50881,257.284,15.1288
-2198.25,0.916977,0.192171,4,31,0,2199.02,751.583,7.50184,257.516,15.2868
-2197.89,0.862679,0.192171,4,15,0,2201.46,755.834,7.48129,258.162,14.148
-2195.51,1,0.192171,2,3,0,2197.85,754.569,7.46312,257.988,14.1828
-2197.41,0.960178,0.192171,5,31,0,2198.64,759.506,7.40111,259.011,14.4126
-2196.41,0.998542,0.192171,3,7,0,2197.78,756.965,7.41699,259.597,14.5172
-2196.75,0.999709,0.192171,4,15,0,2197.44,758.597,7.41888,258.933,14.2007
-2197.18,0.845631,0.192171,4,15,0,2199.27,755.773,7.40758,259.701,13.8061
-2195.2,0.999061,0.192171,4,15,0,2198.74,752.466,7.46473,258.401,14.0996
-2195.48,0.999408,0.192171,4,15,0,2195.77,749.544,7.43998,259.807,14.332
-2195.93,0.93378,0.192171,4,31,0,2198.45,745.729,7.49322,258.823,14.6401
-2196.65,0.993598,0.192171,4,31,0,2199.84,746.9,7.57896,255.361,14.5903
-2197.52,0.804721,0.192171,4,15,0,2199.62,750.062,7.55826,254.76,14.5804
-2199.79,0.923504,0.192171,3,7,0,2200.26,753.87,7.58008,254.469,14.6119
-2198.71,1,0.192171,4,15,0,2200.13,742.123,7.47927,260.35,14.3257
-2195.88,0.991487,0.192171,4,23,0,2202.2,751.565,7.41829,259.959,14.1373
-2195.72,0.918831,0.192171,5,31,0,2198.3,745.166,7.53512,257.118,14.6483
-2195.84,0.985881,0.192171,2,3,0,2195.87,745.266,7.53742,257.2,14.6634
-2196.53,0.761769,0.192171,2,3,0,2197.41,744.775,7.52496,256.789,14.6459
-2198.14,0.991446,0.192171,3,11,0,2199.4,746.28,7.58725,255.388,14.9993
-2197.7,0.969237,0.192171,3,7,0,2198.74,744.457,7.558,255.72,14.9146
-2198.88,0.830587,0.192171,3,7,0,2199.96,744.689,7.59496,256.144,14.6881
-2197.46,0.963145,0.192171,4,31,0,2200.16,743.522,7.55315,257.202,14.9465
-2196.15,0.987241,0.192171,4,15,0,2198.36,753.501,7.47952,256.94,14.3616
-2195.29,0.999819,0.192171,3,15,0,2196.78,751.452,7.46079,258.482,14.6452
-2195.48,0.972188,0.192171,2,3,0,2195.53,751.349,7.45676,258.394,14.6309
-2198.36,0.725031,0.192171,3,11,0,2199.55,746.978,7.46478,257.897,14.1891
-2198.14,0.999522,0.192171,2,7,0,2199.11,748.091,7.50616,258.947,14.4447
-2196.3,1,0.192171,2,3,0,2198.49,747.976,7.47748,257.743,14.537
-2195.6,0.999174,0.192171,2,7,0,2197.74,746.715,7.49865,258.255,14.7135
-2195.42,0.848265,0.192171,3,11,0,2197.77,750.985,7.50855,257.431,14.4367
-2197.39,0.830392,0.192171,3,11,0,2199.77,746.363,7.48576,257.433,14.4228
-2201.46,0.855955,0.192171,3,11,0,2203.59,753.444,7.55226,256.574,14.0764
-2206.32,0.937504,0.192171,4,15,0,2208.4,742.155,7.46868,261.912,14.0379
-2204.43,0.873973,0.192171,4,15,0,2211.36,748.576,7.42546,258.307,13.8049
-2197.2,1,0.192171,2,3,0,2203.48,748.56,7.44451,259.006,13.823
-2195.92,1,0.192171,4,15,0,2198.39,748.75,7.53092,257.054,14.6778
-2196.2,0.992497,0.192171,4,15,0,2196.58,748.073,7.52844,257.04,14.8767
-2197.15,0.988853,0.192171,4,23,0,2198.3,751.295,7.48359,257.684,13.5822
-2195.6,0.998705,0.192171,4,15,0,2198.37,747.041,7.46732,259.179,14.0946
-2196,0.998742,0.192171,4,31,0,2196.38,751.009,7.50377,257.02,14.842
-2196.49,0.994671,0.192171,4,15,0,2197.33,743.732,7.51519,258.072,14.8131
-2197.13,0.97719,0.192171,5,31,0,2199.37,746.347,7.44284,260.567,14.6452
-2196.61,0.902264,0.192171,4,31,0,2198.48,752.252,7.50886,256.102,14.1268
-2196.69,0.999941,0.192171,4,31,0,2197.59,748.433,7.4141,260.756,14.4249
-2195.67,0.973719,0.192171,5,31,0,2197.31,753.394,7.48126,257.923,14.5907
-2196.75,0.99776,0.192171,3,7,0,2197.01,757.097,7.46851,257.376,14.6354
-2195.72,0.982449,0.192171,3,7,0,2196.98,753.745,7.4738,257.436,14.5801
-2196.4,0.795384,0.192171,3,7,0,2197.95,754.123,7.48706,256.65,14.511
-2195.78,0.952047,0.192171,4,15,0,2198.21,749.922,7.51831,257.427,14.5418
-2195.95,0.940851,0.192171,4,31,0,2197.55,748.111,7.47218,258.963,14.8265
-2195.94,0.899771,0.192171,2,7,0,2198.1,748.495,7.47164,258.048,14.614
-2196.19,0.970881,0.192171,4,19,0,2196.65,747.808,7.49785,257.05,14.4112
-2196.4,0.935754,0.192171,3,15,0,2198.83,753.451,7.51222,257.041,14.3128
-2198.44,0.994118,0.192171,3,15,0,2199.38,741.105,7.49128,259.882,14.2257
-2195.88,0.988905,0.192171,3,15,0,2199.59,745.684,7.46714,259.077,14.3676
-2198.83,0.959505,0.192171,4,15,0,2200.58,748.417,7.52368,257.133,13.3795
-2196.53,0.999268,0.192171,4,15,0,2200.89,752.476,7.49796,256.753,14.8657
-2195.15,0.99824,0.192171,4,31,0,2197.11,747.589,7.52366,257.308,14.3251
-2198.14,0.983138,0.192171,3,15,0,2198.71,741.611,7.48374,259.899,14.6492
-2195.27,0.993596,0.192171,4,15,0,2199.68,747.178,7.51135,257.504,14.6219
-2195.39,0.943625,0.192171,3,11,0,2196.92,748.964,7.49944,257.142,14.466
-2200.8,0.665227,0.192171,2,7,0,2201.92,748.568,7.53144,258.437,14.3262
-2196.23,1,0.192171,3,11,0,2201.94,744.337,7.57461,255.897,14.2912
-2195.29,0.998549,0.192171,4,31,0,2197.76,748.294,7.47661,258.743,14.0572
-2195.58,0.950075,0.192171,5,31,0,2196.12,752.66,7.4734,258.368,14.6192
-2198.81,0.887297,0.192171,4,23,0,2199.43,742.85,7.61505,255.578,14.3968
-2197.44,1,0.192171,2,3,0,2198.89,741.979,7.60498,255.385,14.3995
-2197.58,0.972413,0.192171,4,15,0,2197.9,742.011,7.59163,255.135,14.4676
-2197.17,0.988624,0.192171,4,15,0,2198.45,741.799,7.5861,255.697,14.5939
-2195.15,0.94513,0.192171,5,31,0,2197.73,750.731,7.51161,256.969,14.3921
-2196.69,0.828615,0.192171,4,15,0,2198.21,751.268,7.45283,259.49,13.8109
-2198.1,0.936228,0.192171,5,31,0,2199.42,746.07,7.5436,257.453,13.7297
-2196.43,0.849512,0.192171,3,11,0,2200.58,745.197,7.51417,256.973,14.3143
-2196.63,1,0.192171,4,19,0,2197.86,756.617,7.4427,259.008,14.5252
-2196.35,0.981606,0.192171,4,19,0,2197.9,744.462,7.47014,259.2,14.4901
-2195.1,0.997391,0.192171,3,7,0,2196.54,748.012,7.47505,258.42,14.2869
-2197.66,0.730802,0.192171,3,15,0,2199.94,744.607,7.47225,258.337,14.41
-2198.54,0.960968,0.192171,5,31,0,2199.81,746.256,7.46379,258.229,13.9144
-2195.91,1,0.192171,2,3,0,2198.62,746.942,7.47101,258.718,13.9713
-2197.17,0.833613,0.192171,4,31,0,2199.22,742.964,7.50803,257.916,13.9158
-2197.43,0.970369,0.192171,4,15,0,2198.74,751.977,7.54542,256.03,13.9617
-2197,0.738257,0.192171,3,7,0,2200.19,753.029,7.51138,255.997,13.9908
-2197.92,0.923348,0.192171,4,31,0,2199.62,757.126,7.49879,256.72,14.0505
-2197.32,0.997678,0.192171,3,15,0,2201.06,743.023,7.49549,259.475,14.5374
-2195.69,0.875945,0.192171,3,15,0,2198.92,744.45,7.51223,258.271,14.3262
-2195.49,0.966891,0.192171,4,31,0,2196.8,750.288,7.48662,257.857,13.91
-2196.92,0.878648,0.192171,5,31,0,2198.82,750.153,7.42266,260.192,13.8129
-2196.75,0.987154,0.192171,4,15,0,2197.7,750.796,7.43213,259.999,13.7959
-2198.76,0.910912,0.192171,4,23,0,2200.01,748.438,7.5362,257.085,15.291
-2197.04,0.998305,0.192171,4,15,0,2200.86,755.047,7.51946,256.136,14.241
