# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac75bc9507c.json
# init = 2 (Default)
# random
#   seed = 170979092
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-4-3c7a9b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-4-1e89ae.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.221443
# Diagonal elements of inverse mass matrix:
# 7.09949e-05, 0.0220544, 0.000266756, 0.000647524
-2807.46,0.840528,0.221443,2,3,0,2810.78,654.734,9.08916,239.725,33.8481
-2806.68,0.994637,0.221443,4,15,0,2808.58,662.833,9.29673,232.26,31.1816
-2807.93,0.982048,0.221443,3,7,0,2808.91,665.483,9.33736,231.332,30.6531
-2808.89,0.987055,0.221443,4,15,0,2809.89,649.569,9.13694,240.661,34.2518
-2805.85,0.98731,0.221443,3,7,0,2809.36,653.783,9.07855,240.615,32.8623
-2806.37,0.999016,0.221443,4,15,0,2807.51,665.952,8.99827,240.335,32.485
-2809.52,0.920711,0.221443,4,15,0,2812.13,661.817,8.8178,247.564,31.7757
-2809.39,0.778865,0.221443,4,15,0,2813.48,652.93,9.05518,245.234,31.044
-2806.75,0.90859,0.221443,4,15,0,2811.44,661.051,9.07771,241.333,31.0733
-2807.57,0.960126,0.221443,4,15,0,2808.08,662.491,8.99851,239.499,31.1694
-2806.49,0.989119,0.221443,2,3,0,2807.65,664.067,9.02968,240.864,31.3145
-2807.33,0.98645,0.221443,4,15,0,2810.48,650.492,9.42531,234.933,33.6375
-2807.44,0.988202,0.221443,4,15,0,2810.22,668.773,8.98341,239.444,32.0818
-2806.02,0.802154,0.221443,5,31,0,2810.91,656.405,9.47177,233.36,32.0814
-2807.08,0.96862,0.221443,4,31,0,2808.85,650.945,9.41549,235.193,33.586
-2805.35,0.998577,0.221443,4,15,0,2807.98,657.763,9.44825,231.907,32.7903
-2805.24,0.976996,0.221443,4,15,0,2807.77,660.924,9.43681,231.52,32.2999
-2805.78,0.954539,0.221443,4,15,0,2806.18,657.27,9.49168,232.107,32.3866
