# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac741600f09.json
# init = 2 (Default)
# random
#   seed = 1371584941
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-4-9291a0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-4-4229f8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.186119
# Diagonal elements of inverse mass matrix:
# 0.000110045, 0.0512519, 0.000397445, 0.000647434
-3353.86,0.955508,0.186119,4,15,0,3357.47,682.867,9.10439,310.902,48.559
-3357.08,0.840579,0.186119,2,7,0,3358.34,686.059,9.02854,309.759,47.9688
-3355.52,1,0.186119,4,15,0,3359.95,687.081,9.24993,303.729,49.1716
-3357.72,0.883545,0.186119,2,3,0,3358.02,686.885,9.23716,302.275,49.0748
-3358.07,0.891849,0.186119,4,15,0,3361.89,682.729,9.27538,301.584,50.9912
-3357.49,1,0.186119,3,7,0,3358.58,683.716,9.46547,307.509,51.6099
-3354.66,0.99211,0.186119,3,15,0,3360.34,673.054,9.14171,308.99,49.9536
-3352.1,0.997359,0.186119,4,19,0,3355.54,678.102,9.3511,307.377,50.9974
-3351.14,0.957733,0.186119,4,15,0,3352.96,664.212,9.39808,310.819,49.9058
-3351.09,0.971196,0.186119,3,15,0,3352.85,671.027,9.33521,310.258,48.7452
-3352.79,0.874016,0.186119,4,15,0,3354.74,669.876,9.60037,301.41,48.9288
-3351.28,0.999211,0.186119,4,31,0,3353.22,666.132,9.52808,307.014,49.422
-3351.56,0.973743,0.186119,5,31,0,3351.89,664.849,9.51957,308.657,49.2486
-3352.28,0.810983,0.186119,2,3,0,3353.51,665.339,9.48305,305.819,49.1855
-3351.49,0.995914,0.186119,3,7,0,3352.56,667.138,9.48925,306.944,48.6259
-3352.9,0.9783,0.186119,4,15,0,3355.39,668.244,8.87691,321.557,49.3773
-3351.36,0.991809,0.186119,4,15,0,3353.96,673.858,9.3119,310.281,50.5486
-3352.24,0.991142,0.186119,4,15,0,3353.53,663.135,9.58131,306.776,48.7138
-3352.23,0.985908,0.186119,4,15,0,3353.14,680.726,9.24459,308.503,49.6453
-3351.21,0.975012,0.186119,4,15,0,3353.36,665.325,9.25352,313.171,48.8898
-3352.67,0.996947,0.186119,4,31,0,3353.38,682.416,9.52526,301.834,50.1347
-3351.93,0.888977,0.186119,4,31,0,3355.83,667.559,9.06551,318.82,49.9837
-3351.89,0.995369,0.186119,4,31,0,3352.48,668.538,9.07959,317.777,48.8485
-3353.57,0.994229,0.186119,4,15,0,3355.35,679.654,9.00338,314.378,50.9242
-3351.65,0.851542,0.186119,4,15,0,3356.42,670.585,9.28375,312.673,48.5196
-3352.62,0.999323,0.186119,4,15,0,3353.59,660.42,9.20782,315.408,48.1953
-3352.2,0.981091,0.186119,5,31,0,3353.75,666.085,9.12063,315.094,51.0832
-3352.77,0.940735,0.186119,4,31,0,3354.39,669.957,9.72033,303.427,48.9928
-3352.24,0.99878,0.186119,4,15,0,3353.08,676.808,9.33998,305.34,50.0078
-3351.34,0.999684,0.186119,5,31,0,3352.49,665.471,9.41959,309.941,48.6968
-3352.66,0.846757,0.186119,3,15,0,3355.35,665.358,9.21768,311.398,48.8758
-3351.92,0.946344,0.186119,3,15,0,3355.31,663.419,9.44949,311.318,50.4847
-3352.04,0.99968,0.186119,4,31,0,3352.51,678.966,9.26991,309.888,49.3961
-3352.92,0.984702,0.186119,4,31,0,3354.51,674.056,8.99396,318.969,49.6648
-3353.42,0.893876,0.186119,5,31,0,3355.31,673.928,8.98096,315.02,48.7613
-3351.84,0.99931,0.186119,4,23,0,3355.28,673.413,9.61983,301.153,49.9615
-3351.49,0.95041,0.186119,2,7,0,3352.43,672.761,9.60545,302.754,50.1106
-3353.07,0.958898,0.186119,3,15,0,3353.46,672.152,9.83422,299.331,49.4024
-3355.35,0.993227,0.186119,3,15,0,3357.55,678.827,9.95765,291.044,50.3923
-3355.94,0.926377,0.186119,4,15,0,3357.77,669.85,9.99375,292.832,49.6545
-3355.7,0.994583,0.186119,5,31,0,3357.46,655.22,8.99959,326.007,48.8271
-3356.09,0.953847,0.186119,4,15,0,3357.74,661.706,8.85798,328.188,50.0695
-3356.83,0.998943,0.186119,4,15,0,3357.68,660.046,8.68474,326.371,49.0015
-3353.08,0.991827,0.186119,4,15,0,3357.9,674.718,9.32119,311.925,51.0678
-3352.12,0.926965,0.186119,4,15,0,3354.48,668.755,9.39758,310.968,51.2251
-3352.55,0.988643,0.186119,4,15,0,3355.01,659.904,9.43945,309.659,48.8955
-3354.05,0.973786,0.186119,3,7,0,3354.72,654.582,9.52334,311.95,49.1814
-3352.2,0.998078,0.186119,5,31,0,3355.91,662.67,9.50771,307.988,48.5256
-3351.66,0.940777,0.186119,3,15,0,3354.37,668.379,9.3229,313.046,50.439
-3352.2,0.974554,0.186119,2,7,0,3353.71,664.065,9.26345,311.788,50.9426
-3352.4,0.953842,0.186119,4,23,0,3353.81,666.852,9.53627,309.279,50.2915
-3353.85,0.836559,0.186119,3,9,0,3356.06,667.966,9.32906,306.485,49.8448
-3350.95,0.992994,0.186119,2,3,0,3354.31,670.402,9.34745,308.574,49.6379
-3351.31,0.996361,0.186119,4,19,0,3351.44,664.679,9.35809,312.489,49.1078
-3352.88,0.989293,0.186119,4,31,0,3354.44,672.831,9.80334,299.744,50.3138
-3355.07,0.993677,0.186119,4,31,0,3356.6,683.801,9.66749,298.216,47.7195
-3353.21,1,0.186119,3,7,0,3355.49,683.274,9.56928,300.148,48.9281
-3352.02,0.922369,0.186119,4,23,0,3354.92,677.41,9.36691,308.621,48.9847
-3351.26,0.99872,0.186119,4,15,0,3352.62,671.989,9.4358,307.801,50.63
-3352.09,0.982628,0.186119,4,31,0,3353.24,666.351,9.03068,319.689,50.2594
-3351.74,0.994857,0.186119,2,7,0,3352.65,666.678,9.04183,318.329,50.1635
-3352.29,0.952864,0.186119,3,15,0,3357.62,659.418,9.17635,316.299,50.43
-3352.7,0.910125,0.186119,3,7,0,3353.41,660.497,9.12578,316.143,50.5051
-3351.36,0.998919,0.186119,4,15,0,3352.87,673.137,9.22469,310.778,48.9184
-3351.95,0.991555,0.186119,5,31,0,3352.66,666.414,9.56367,306.004,50.9915
-3353.27,0.994343,0.186119,5,31,0,3353.64,675.526,9.27724,309.302,47.3068
-3352.79,0.937402,0.186119,3,7,0,3354.09,675.016,9.24558,309.032,47.8335
-3352.49,0.998302,0.186119,4,15,0,3354.21,663.023,9.53526,306.27,48.7363
-3352.71,0.930648,0.186119,2,3,0,3353.59,663.97,9.55309,305.171,48.6641
-3352.71,0.999691,0.186119,5,63,0,3353.47,677.658,9.24678,307.81,51.0698
-3352.63,0.971673,0.186119,5,31,0,3354.31,671.955,9.28963,311.164,51.9684
-3353.88,0.96657,0.186119,4,15,0,3355,662.691,9.21234,313.809,52.3113
-3351.93,0.981959,0.186119,4,15,0,3355.27,662.637,9.38242,312.654,48.5913
-3351.97,0.934516,0.186119,4,15,0,3353.62,665.08,9.32348,313.339,51.1687
-3351.17,0.89703,0.186119,3,15,0,3355.26,663.731,9.38893,311.099,49.572
-3354.21,0.948821,0.186119,4,15,0,3354.73,682.839,9.66617,296.229,50.8366
-3351.92,0.967278,0.186119,4,23,0,3357.51,662.37,9.10006,318.781,49.1261
-3353.43,0.981328,0.186119,3,15,0,3354.95,659.623,8.91051,323.339,49.1515
-3352.12,0.852514,0.186119,4,31,0,3355.56,673.424,9.29374,308.443,51.2558
-3352.03,0.997605,0.186119,4,15,0,3353.58,668.214,9.29994,310.047,48.0664
-3351.99,0.99927,0.186119,4,31,0,3353.05,678.656,9.42564,306.566,50.0869
-3352.73,0.997779,0.186119,5,31,0,3353.79,678.715,9.06863,314.634,49.2832
-3353.46,0.974649,0.186119,5,31,0,3354.37,654.809,9.27971,314.984,50.2299
-3351.86,0.996399,0.186119,4,31,0,3354.29,670.734,9.09912,313.77,49.1656
-3352.32,0.994121,0.186119,3,15,0,3355.48,677.823,9.1268,313.722,49.331
-3353.92,0.78893,0.186119,2,7,0,3355.01,674.534,9.09373,310.529,49.6274
-3356.17,0.99531,0.186119,5,31,0,3359.78,659.505,9.92889,301.34,51.0382
-3353.66,0.997203,0.186119,3,7,0,3357.04,661.129,9.73311,304.988,50.7461
-3352.81,0.967371,0.186119,4,15,0,3354.98,682.48,9.24231,307.922,49.1304
-3353.12,0.991451,0.186119,4,15,0,3353.53,657.493,9.4798,312.098,50.6796
-3351.29,0.970222,0.186119,5,31,0,3355.4,672.962,9.21723,310.728,49.9408
-3350.94,0.747358,0.186119,3,15,0,3356.24,669.16,9.41859,307.672,49.3602
-3351.08,0.937332,0.186119,4,23,0,3351.79,665.86,9.32727,310.714,49.2982
-3352.21,0.897526,0.186119,4,15,0,3353.37,680.518,9.45566,303.05,50.1884
-3351.12,0.953407,0.186119,4,15,0,3352.85,664.96,9.40609,309.757,50.0252
-3351.47,0.923012,0.186119,5,31,0,3352.54,672.056,9.36424,309.951,48.5427
-3352.5,0.832045,0.186119,4,31,0,3353.98,672.959,9.64518,304.501,49.4486
-3351.69,0.97625,0.186119,5,31,0,3353.7,672.326,9.65849,302.285,49.9522
-3351.77,0.928841,0.186119,3,11,0,3352.69,672.622,9.51978,307.095,49.4214
-3351.99,0.998755,0.186119,3,15,0,3353.97,676.57,9.27035,307.436,49.6722
-3352.76,0.997092,0.186119,3,7,0,3353.3,682.898,9.27087,306.916,49.6254
-3352.91,0.696682,0.186119,3,15,0,3357.41,668.956,9.60387,307.482,49.2738
-3352.58,1,0.186119,2,7,0,3352.92,667.781,9.45834,304.894,49.2547
-3355.31,0.954882,0.186119,3,11,0,3358.97,684.778,9.35,308.442,49.0734
-3353.08,0.9547,0.186119,5,31,0,3357.87,676.543,9.48644,301.748,51.0461
-3352.63,1,0.186119,3,7,0,3353.16,677.745,9.52439,305.358,50.6418
-3353.18,0.989257,0.186119,4,31,0,3354.46,664.949,9.00163,317.323,48.6694
-3352.45,1,0.186119,4,31,0,3353.61,670.095,9.01584,315.573,49.9267
-3353.47,0.997069,0.186119,4,31,0,3354.63,657.718,9.43768,312.698,48.1469
-3351.72,0.994033,0.186119,4,15,0,3355.53,666.873,9.4686,307.875,51.1135
-3351.61,0.991588,0.186119,4,31,0,3352.35,672.244,9.48727,304.95,50.8755
-3352.31,0.961129,0.186119,4,31,0,3353.34,679.217,9.47783,302.754,48.7221
-3353.47,0.907141,0.186119,4,15,0,3354.6,679.407,9.41934,302.414,48.4432
-3352.83,1,0.186119,5,31,0,3354.29,663.363,9.62798,304.245,50.7083
-3353.87,0.992811,0.186119,4,15,0,3354.61,674.891,8.95926,316.067,48.1061
-3353.3,0.978251,0.186119,4,15,0,3355.84,680.645,9.02139,313.656,49.316
-3354.48,0.96041,0.186119,5,31,0,3355.53,652.554,9.45535,312.205,49.8604
-3354.65,0.929504,0.186119,4,15,0,3356.45,678.785,8.80619,320.351,49.6531
-3351.24,0.983058,0.186119,5,31,0,3358.68,668.387,9.51154,305.563,49.7583
-3351.32,0.990945,0.186119,4,15,0,3351.48,671.089,9.48838,304.747,49.8545
-3351.79,0.997917,0.186119,4,23,0,3352.31,673.697,9.26765,309.503,48.3178
-3352.17,0.859107,0.186119,4,15,0,3354.21,670.61,9.33188,310.029,47.6705
-3353.7,0.955502,0.186119,5,31,0,3355.05,660.903,8.94583,321.491,51.3353
-3352.37,0.999005,0.186119,4,15,0,3355.25,679.186,9.16945,312.026,49.1945
-3353.87,0.762549,0.186119,4,31,0,3355.92,676.187,9.57433,306.437,49.5256
-3351.48,0.985376,0.186119,3,15,0,3354.46,676.075,9.48756,305.611,49.5378
-3351.24,0.94019,0.186119,4,31,0,3353.2,673.157,9.1835,313.213,49.801
-3350.92,0.999784,0.186119,5,31,0,3351.79,665.944,9.35807,311.365,49.6363
