# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 5
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7241b0d6a.json
# init = 2 (Default)
# random
#   seed = 134518345
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-5-10cea8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-5-3a8c06.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.18129
# Diagonal elements of inverse mass matrix:
# 2.72964e-05, 0.00781194, 6.18352e-05, 0.000579346
-2413.74,0.751055,0.18129,3,7,0,2414.52,453.394,8.566,269.223,15.6094
-2408.68,0.995985,0.18129,4,31,0,2414.48,449.992,8.58547,271.596,14.9879
-2409.16,0.998037,0.18129,4,31,0,2411.08,447.71,8.53341,273.736,14.8732
-2409.98,0.984232,0.18129,4,15,0,2415.27,447.598,8.65479,272.124,15.4052
-2408.54,0.966093,0.18129,2,3,0,2410.43,448,8.63908,272.466,15.3895
-2408.23,0.984433,0.18129,3,15,0,2410.23,448.47,8.65905,272.495,15.4663
-2407.66,0.997691,0.18129,3,15,0,2412.14,449.992,8.69038,271.198,15.3113
-2406.69,0.994384,0.18129,4,31,0,2409.06,450.868,8.47501,273.68,15.6698
-2407.7,0.96097,0.18129,3,15,0,2408.84,448.167,8.59468,272.991,15.7563
-2410.99,0.989282,0.18129,4,15,0,2411.74,446.959,8.66306,273.103,16.0332
-2406.99,0.998337,0.18129,3,15,0,2412.16,452.442,8.55347,271.837,15.1607
-2406.97,0.996598,0.18129,5,63,0,2407.94,450.563,8.67754,271.085,15.5109
-2406.94,0.960238,0.18129,4,31,0,2408.16,451.775,8.56562,271.607,15.8649
-2407.13,0.787146,0.18129,3,7,0,2409.43,452.301,8.52908,272.062,15.7966
-2408.6,0.889931,0.18129,3,15,0,2409.84,449.932,8.57527,271.922,16.1678
-2409.13,0.94368,0.18129,4,23,0,2410.56,451.121,8.52134,274.034,16.0977
-2407.74,0.999805,0.18129,4,15,0,2409.32,449.558,8.59497,273.466,15.1479
-2406.78,0.983775,0.18129,4,15,0,2408.34,451.2,8.50753,273.005,15.1394
