# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 5
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77924a6e5.json
# init = 2 (Default)
# random
#   seed = 1264721614
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-5-1ad573.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-5-3f6ed9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.194486
# Diagonal elements of inverse mass matrix:
# 2.90142e-05, 0.0108017, 0.000112413, 0.000603042
-2402.05,0.767789,0.194486,4,15,0,2404.36,573.656,8.94757,247.613,18.4745
-2403.17,0.822196,0.194486,4,15,0,2404.51,570.864,9.0588,247.085,19.5977
-2402.39,0.977467,0.194486,4,15,0,2404.01,575.437,8.98003,246.994,18.7893
-2402.33,0.9736,0.194486,2,3,0,2402.79,575.644,8.97663,246.774,18.8376
-2403.48,0.992309,0.194486,4,15,0,2404.99,577.527,8.97541,245.911,19.0107
-2403.33,0.949401,0.194486,3,7,0,2404.27,577.002,8.99651,246.12,19.1447
-2402.17,0.984944,0.194486,4,15,0,2404.33,574.116,9.11915,244.73,18.9349
-2403.32,0.925857,0.194486,4,31,0,2405.39,573.619,8.99256,247.994,18.3728
-2404.35,0.955578,0.194486,2,7,0,2405.55,572.204,8.94031,247.146,18.1333
-2403.17,0.998145,0.194486,4,15,0,2405.23,569.467,8.95309,249.812,18.4522
-2402.99,0.899452,0.194486,5,31,0,2404.99,572.137,9.00832,247.821,18.1464
-2402.82,0.99985,0.194486,5,31,0,2404.46,573.111,9.02492,246.758,19.6294
-2402.83,0.979971,0.194486,4,31,0,2404.44,572.917,9.17688,242.862,18.8116
-2402.19,0.993585,0.194486,4,15,0,2403.09,574.383,9.08915,244.021,18.9388
-2401.95,0.997215,0.194486,4,23,0,2405.13,571.318,8.94735,248.266,18.5279
-2405.09,0.497846,0.194486,2,3,0,2405.66,571.646,9.00448,249.103,18.5269
-2402.66,1,0.194486,2,7,0,2404.55,570.795,8.96553,247.46,18.5152
-2402.86,0.988327,0.194486,4,23,0,2404.39,573.024,9.08847,244.05,19.0506
-2403.21,1,0.194486,3,11,0,2404.26,570.097,9.17785,244.378,19.074
-2403.49,0.996732,0.194486,4,15,0,2405.22,577.064,9.02374,244.865,18.332
-2403.17,0.999318,0.194486,2,3,0,2403.53,576.713,9.02127,245.152,18.353
-2401.7,0.913098,0.194486,4,15,0,2405,571.066,9.01693,247.339,19.1303
-2402.19,0.604363,0.194486,2,3,0,2406.06,569.788,9.0373,247.527,19.1517
-2402.03,0.999949,0.194486,4,31,0,2403.29,569.716,8.96489,248.634,18.7494
-2405.94,0.562746,0.194486,2,7,0,2407.41,571.32,9.01772,249.224,18.7928
-2402.66,1,0.194486,3,11,0,2406.55,572.675,8.93812,248.709,19.405
-2404.45,0.984299,0.194486,4,31,0,2406.15,574.269,9.26625,240.872,19.0509
-2403.56,0.938628,0.194486,4,15,0,2405.95,576.209,9.0893,243.354,19.3993
-2404.32,0.939573,0.194486,4,15,0,2405.69,574.743,9.21755,242.917,19.2739
-2402.68,1,0.194486,4,15,0,2404.73,572.433,9.08421,244.557,19.2646
-2403.8,0.668254,0.194486,3,11,0,2407.44,571.511,9.18128,242.95,19.1899
-2407.09,0.744222,0.194486,2,3,0,2407.31,572.7,9.22952,244.466,19.1399
-2405.33,0.99746,0.194486,4,23,0,2411.42,568.128,8.95683,249.513,19.9714
-2404.07,0.973456,0.194486,3,7,0,2406.56,568.876,8.98124,249.282,19.6632
-2403.66,0.996263,0.194486,4,15,0,2406.27,571.911,9.0939,245.818,19.8085
-2402.73,0.999329,0.194486,3,7,0,2403.89,571.357,9.0814,245.48,19.5161
-2402.54,0.851748,0.194486,5,31,0,2405.01,572.702,9.10126,244.335,19.3045
-2405.73,0.988454,0.194486,4,23,0,2407.59,565.412,9.04339,248.569,19.4122
-2402.52,0.994128,0.194486,3,7,0,2406.19,568.646,9.01258,247.824,18.8761
-2403.28,0.904629,0.194486,4,31,0,2404.53,570.012,9.07549,245.375,19.1256
-2403.73,0.995796,0.194486,4,15,0,2405.38,572.53,8.93788,248.692,19.7863
-2406.79,0.949849,0.194486,4,15,0,2408.77,572.481,9.25894,241.73,17.8058
-2404.16,0.885242,0.194486,4,31,0,2408.61,575.262,9.24039,241.136,18.5762
-2401.77,0.986282,0.194486,4,15,0,2404.5,572.767,9.0984,245.431,18.6408
-2402.99,0.929211,0.194486,4,15,0,2403.51,573.536,8.9181,247.515,19.1533
-2404.25,0.97222,0.194486,4,15,0,2405.83,566.848,9.03882,247.559,18.7899
-2402.97,0.910624,0.194486,4,15,0,2406.31,571.488,8.93228,248.048,18.2881
