# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 5
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77fd443d6.json
# init = 2 (Default)
# random
#   seed = 826061809
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-5-27f167.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-5-6cdbbb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.270851
# Diagonal elements of inverse mass matrix:
# 0.0606984, 33.537, 0.000292481, 0.000528819
-3840.62,0.998592,0.270851,2,7,0,3844.81,22.8953,-15.1167,541.374,112.606
-3840.29,0.982406,0.270851,3,7,0,3842.25,29.2607,-8.05254,546.402,109.568
-3838.88,0.982869,0.270851,4,15,0,3841.81,37.1799,-21.51,550.708,111.118
-3838.06,0.999588,0.270851,3,7,0,3839.36,32.7299,-18.2741,555.272,108.84
-3837.69,0.998418,0.270851,3,11,0,3838.84,35.9303,-15.4065,554.066,107.553
-3837.92,0.996837,0.270851,4,15,0,3838.7,41.2842,-21.6336,559.795,106.359
-3837.82,0.997268,0.270851,3,11,0,3838.33,35.9303,-19.5555,553.753,110.389
-3838.44,0.912716,0.270851,3,7,0,3838.98,34.0902,-22.6585,554.028,110.492
-3839.21,0.939346,0.270851,3,15,0,3839.91,37.4675,-18.7863,561.655,111.337
-3840.15,0.949292,0.270851,3,7,0,3842.18,40.971,-12.2595,556.067,108.88
-3838.84,0.996329,0.270851,3,15,0,3842.24,27.568,-12.1876,550.774,108.343
-3840.31,0.844078,0.270851,2,7,0,3841.73,24.4068,-15.2045,550.476,108.481
-3839.18,0.975472,0.270851,3,7,0,3840.63,28.1722,-16.0198,553.129,107.228
-3837.59,0.951323,0.270851,2,3,0,3839.86,30.526,-15.2856,548.965,107.376
-3837.66,0.997551,0.270851,4,15,0,3837.75,30.7824,-16.253,547.475,108.808
-3838,0.987344,0.270851,3,15,0,3838.68,44.1755,-20.9162,561.052,109.095
-3841.11,0.850958,0.270851,3,15,0,3842.22,57.0123,-28.7885,570.861,111.346
-3840.19,0.92482,0.270851,3,7,0,3841.74,53.2791,-26.7643,574.3,111.479
-3840.19,0.393908,0.270851,1,3,0,3843.32,53.2791,-26.7643,574.3,111.479
-3840.44,0.848069,0.270851,4,15,0,3843.57,36.8681,-23.1826,555.389,114.161
-3842.44,0.935722,0.270851,4,15,0,3845.25,46.7267,-18.7626,564.508,101.877
-3841.39,1,0.270851,2,3,0,3842.77,43.6366,-18.3564,564.34,102.435
-3840.12,0.999314,0.270851,4,15,0,3842.33,39.4353,-21.931,557.479,114.141
-3839.41,0.968668,0.270851,3,15,0,3842.85,29.83,-15.3238,545.324,103.58
-3842.01,0.84427,0.270851,4,15,0,3843.84,17.9993,-10.3638,529.87,109.443
-3842.57,0.993269,0.270851,3,7,0,3843.61,15.2638,-13.8188,535.712,108.425
-3843.02,0.900141,0.270851,2,7,0,3844.85,21.1993,-11.0761,528.655,107.529
-3840.98,1,0.270851,2,3,0,3843.28,19.1807,-10.6169,531.884,107.649
-3840.05,0.952823,0.270851,2,7,0,3842.88,24.2171,-11.1252,535.745,107.783
-3841.08,0.877058,0.270851,4,15,0,3844.17,29.3673,-24.7168,555.82,107.519
-3838.01,1,0.270851,2,3,0,3840.66,33.9015,-22.6907,550.526,107.18
-3839.95,0.823829,0.270851,3,15,0,3842.56,24.5408,-17.8409,544.579,103.911
-3837.71,0.985203,0.270851,3,7,0,3841.27,34.0567,-16.9807,550.572,106.398
-3838.3,0.999029,0.270851,4,15,0,3838.65,25.2716,-14.2255,543.64,108.817
-3837.87,0.987811,0.270851,4,15,0,3839.86,30.7241,-14.5992,548.865,106.171
-3837.89,0.989812,0.270851,4,15,0,3838.49,29.6661,-15.323,545.453,108.916
-3838.45,0.965968,0.270851,3,7,0,3839.01,27.5207,-12.061,549.068,108.29
-3842.48,0.965193,0.270851,4,15,0,3844.82,51.3674,-36.5675,572.148,104.553
-3842.14,0.981301,0.270851,2,3,0,3842.73,51.4255,-36.1048,570.493,104.561
-3838.27,0.997463,0.270851,3,15,0,3843.22,41.8932,-19.0074,561.378,105.99
-3838.04,0.979,0.270851,3,15,0,3840.02,28.2227,-14.8079,547.246,109.746
-3838.01,0.970835,0.270851,3,15,0,3839.03,39.5613,-20.3671,553.757,108.289
-3840.03,0.983503,0.270851,3,7,0,3840.44,44.3281,-16.1842,568.32,109.914
-3838.72,0.566345,0.270851,3,7,0,3844.11,42.6004,-20.9573,560.205,111.964
-3838.4,0.964925,0.270851,4,15,0,3839.42,44.2634,-23.4372,560.927,106.109
-3839.51,0.913538,0.270851,3,7,0,3840.96,34.404,-25.9265,548.262,105.81
-3840.22,0.99606,0.270851,3,7,0,3841.07,28.7003,-8.01282,547.661,107.291
