# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 5
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7625f897e.json
# init = 2 (Default)
# random
#   seed = 615913256
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-5-33c5f4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-5-70d6ef.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.193889
# Diagonal elements of inverse mass matrix:
# 5.13843e-05, 0.138332, 0.000850505, 0.000698997
-2970.06,0.87187,0.193889,2,7,0,2970.96,878.998,26.1269,185.386,39.7191
-2973.32,0.990655,0.193889,4,31,0,2974.9,890.447,27.042,175.557,40.755
-2973.1,0.996925,0.193889,4,15,0,2976.42,888.913,27.0801,175.77,40.4423
-2972.29,0.973131,0.193889,4,15,0,2974.66,890.907,26.5679,176.311,40.927
-2971.27,0.981786,0.193889,4,15,0,2976.64,879.021,26.1962,186.672,42.002
-2971.49,0.91363,0.193889,4,31,0,2973.61,875.61,25.7576,192.806,38.2117
-2970.91,0.879558,0.193889,4,23,0,2974.17,878.12,26.0712,185.4,39.6482
-2969.34,0.994027,0.193889,4,19,0,2972.39,877.223,25.9584,189.523,39.7082
-2970.15,0.954157,0.193889,4,15,0,2970.41,879.748,26.0578,187.996,38.9383
-2969.37,0.961477,0.193889,4,15,0,2970.88,879.284,26.0853,186.944,39.8925
-2970.96,0.940431,0.193889,4,15,0,2972.65,870.833,25.4054,197.39,41.23
-2971.41,0.986771,0.193889,4,31,0,2974.54,872.532,25.4442,196.261,41.6253
-2973.72,0.699149,0.193889,4,23,0,2977.29,878.05,26.2973,182.692,41.2333
-2972.42,0.995558,0.193889,3,15,0,2974.83,878.744,26.2067,183.583,41.3438
-2971.85,0.934906,0.193889,4,31,0,2977.27,868.143,25.2906,199.116,41.6162
-2971.75,0.889512,0.193889,2,7,0,2973.86,868.989,25.4136,199.53,41.3936
-2971.73,0.850834,0.193889,2,3,0,2973.52,866.243,25.4107,199.106,41.375
-2976.79,0.855797,0.193889,3,7,0,2977.69,877.16,24.9492,197.759,40.7891
-2976.44,1,0.193889,2,3,0,2977.03,876.57,24.9197,197.679,40.7433
-2970.75,0.981341,0.193889,3,7,0,2977.09,871.239,25.323,197.9,40.2963
-2971.94,0.975148,0.193889,3,7,0,2972.75,865.803,25.7475,197.445,40.6912
-2975.95,0.632629,0.193889,3,15,0,2981.63,862.037,25.3637,198.743,41.2542
-2970.51,1,0.193889,4,31,0,2976.11,883.178,26.022,185.595,39.22
-2970.94,0.89973,0.193889,4,15,0,2972.34,875.053,26.1879,187.862,39.0052
-2970.68,0.998766,0.193889,4,15,0,2971.61,881.07,25.8822,188.116,38.9586
-2971.33,0.985032,0.193889,5,31,0,2973.81,875.369,26.4335,187.369,40.2867
