# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 5
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7248d85b3.json
# init = 2 (Default)
# random
#   seed = 74347103
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-5-3ddec7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-5-7e5689.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.3816
# Diagonal elements of inverse mass matrix:
# 0.0590252, 27.6774, 0.000373928, 0.000465397
-4720.37,0.953758,0.3816,4,15,0,4722.41,72.0806,-16.1726,856.829,266.018
-4720.4,0.887377,0.3816,3,15,0,4721.69,60.7281,-18.3428,848.928,262.228
-4722.62,0.801216,0.3816,4,15,0,4726.95,78.7172,-32.7923,867.706,267.625
-4727.85,0.853055,0.3816,3,7,0,4728.8,96.4695,-21.8676,911.719,277.69
-4725.36,1,0.3816,2,3,0,4727.49,101.345,-21.7377,902.557,278.473
-4722.02,0.96717,0.3816,3,7,0,4726.23,96.876,-23.5064,876.436,268.258
-4720.14,0.998861,0.3816,3,15,0,4722.46,57.543,-20.4669,837.524,268.813
-4720.77,0.955286,0.3816,4,15,0,4721.78,82.2676,-22.636,866.286,265.316
-4720.71,0.994928,0.3816,4,15,0,4721.45,56.6608,-11.0817,844.942,271.049
-4720.54,0.930938,0.3816,3,11,0,4722.75,69.0384,-22.5539,862.03,266.257
-4721.85,0.924971,0.3816,3,7,0,4723.76,85.0797,-27.5128,876.621,264.573
-4722.46,0.982602,0.3816,4,15,0,4722.97,36.2413,-11.3626,819.252,260.845
-4725.44,0.767882,0.3816,2,3,0,4726.47,27.948,-13.0838,820.552,259.464
-4726.51,0.976893,0.3816,2,3,0,4726.68,25.8345,-12.4975,821.98,259.405
-4725.39,1,0.3816,2,3,0,4726.77,27.4182,-11.7559,816.029,258.789
-4720.46,0.992844,0.3816,3,7,0,4727.14,52.1752,-16.3685,826.467,266.681
-4720.26,0.956916,0.3816,3,7,0,4721.15,47.9327,-13.7763,835.238,270.281
-4720.86,0.959287,0.3816,3,15,0,4721.16,52.4629,-12.3374,826.007,265.097
-4722.18,0.97962,0.3816,2,7,0,4723.32,47.582,-12.9892,832.166,257.344
-4720.5,0.951957,0.3816,4,15,0,4724.92,64.6035,-16.4997,852.407,275.587
-4722.48,0.733491,0.3816,3,15,0,4724.59,58.5303,-26.9146,853.845,273.318
-4720.69,0.994504,0.3816,3,7,0,4723.1,78.2098,-21.1521,854.175,272.434
-4721.09,0.986437,0.3816,2,7,0,4722.4,77.2443,-21.4716,873.633,266.695
