# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac733d55fa0.json
# init = 2 (Default)
# random
#   seed = 891331482
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-6-1a264b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-6-34bcd5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.367035
# Diagonal elements of inverse mass matrix:
# 0.0590544, 32.7159, 0.0002266, 0.000389412
-4264.48,0.967288,0.367035,4,15,0,4265.07,49.9464,-21.6904,806.486,172.762
-4266.36,0.818512,0.367035,3,7,0,4267.24,56.6713,-25.4624,801.843,175.808
-4269.42,0.994463,0.367035,4,15,0,4270.36,77.6619,-28.1341,831.103,172.032
-4267.72,1,0.367035,3,7,0,4271.12,66.9265,-29.9582,819.977,178.284
-4266.67,0.944101,0.367035,3,7,0,4268.13,62.5489,-28.4801,820.803,176.094
-4270.68,0.943961,0.367035,3,7,0,4272.16,63.6015,-24.415,821.696,185.838
-4269.24,0.706673,0.367035,3,15,0,4275.87,37.9835,-21.2758,779.224,182.679
-4265.4,0.967279,0.367035,3,7,0,4271.04,28.7964,-16.2399,789.595,171.208
-4265.6,0.997496,0.367035,4,15,0,4266.15,36.0027,-16.0187,799.155,177.385
-4265.77,0.949628,0.367035,3,11,0,4268.46,46.3707,-14.342,796.121,170.01
-4264.79,0.942578,0.367035,3,7,0,4266.89,32.5233,-15.9051,793.368,171.69
-4264.65,0.979725,0.367035,3,13,0,4265.31,32.5848,-14.5515,781.467,172.603
-4264.38,0.975076,0.367035,3,15,0,4265.26,36.9355,-19.4254,796.069,172.621
-4267.11,0.947935,0.367035,4,15,0,4268.74,55.6554,-31.0253,802.05,176.14
-4268.59,0.976514,0.367035,3,7,0,4271.48,49.4758,-34.2869,794.892,177.032
-4268.79,0.887365,0.367035,3,15,0,4270.57,42.1033,-34.2891,798.839,178.344
-4267.31,0.793366,0.367035,2,7,0,4273.26,60.5812,-17.3824,814.236,175.959
-4266.23,0.823127,0.367035,3,15,0,4271.09,31.809,-22.9141,784.979,176.924
-4266.11,0.99598,0.367035,3,15,0,4269.08,25.7562,-17.7895,777.179,173.554
-4265.3,0.894754,0.367035,3,15,0,4267.42,49.5347,-16.028,799.82,172.733
-4264.8,0.99352,0.367035,4,15,0,4266.77,36.8062,-12.7148,796.07,173.491
-4264.9,0.932955,0.367035,2,7,0,4268.25,32.1025,-13.8878,790.99,175.769
-4264.87,0.934684,0.367035,3,15,0,4267.71,48.344,-22.9099,808.98,172.141
-4264.29,0.99939,0.367035,3,15,0,4265.28,37.7365,-20.1428,791.368,174.721
-4265.77,0.929735,0.367035,2,3,0,4265.95,33.2065,-23.7757,787.161,175.392
-4266.65,0.890691,0.367035,2,7,0,4268.01,37.2813,-26.3615,782.943,175.04
-4266.16,0.992601,0.367035,4,15,0,4267.61,38.6611,-28.9491,793.073,170.977
-4264.81,0.995963,0.367035,3,15,0,4267.3,35.1683,-15.4279,787.323,168.273
-4265.53,0.899528,0.367035,3,15,0,4267.03,41.727,-14.8947,789.65,168.593
-4265.5,0.897633,0.367035,4,15,0,4267.28,40.9634,-20.1815,804.839,169.429
-4265.7,0.864596,0.367035,3,7,0,4269.64,52.8636,-16.7487,804.474,175.629
-4265.22,1,0.367035,2,3,0,4266.42,41.1737,-16.6124,804.675,175.545
-4264.65,0.903085,0.367035,3,7,0,4266.33,43.4043,-19.9036,790.389,173.441
-4268.13,0.988384,0.367035,3,7,0,4269.43,22.0554,-6.80837,779.657,177.641
-4264.89,0.901202,0.367035,3,7,0,4269.6,28.3512,-12.785,781.074,172.484
-4264.72,0.953053,0.367035,3,15,0,4266.9,41.9527,-13.8178,796.46,171.662
-4265.56,0.929239,0.367035,3,11,0,4266.44,43.8677,-26.6912,805.227,172.96
-4265.2,0.998387,0.367035,3,11,0,4266.92,34.0791,-12.1945,794.548,170.421
-4264.39,0.999837,0.367035,3,7,0,4265.47,39.0029,-20.2093,789.31,174.582
-4264.83,0.947528,0.367035,3,15,0,4265.37,39.0418,-20.9817,800.499,174.177
-4264.29,0.983192,0.367035,3,15,0,4268.37,47.622,-20.8501,803.135,171.826
-4265.53,0.795588,0.367035,2,3,0,4266.29,53.2814,-23.6351,800.04,171.655
-4264.97,1,0.367035,3,7,0,4265.88,46.0165,-20.163,791.896,172.412
-4266.3,0.958487,0.367035,3,7,0,4267.66,37.544,-20.6529,793.165,164.889
-4266.53,0.995077,0.367035,3,7,0,4266.59,36.2712,-20.4005,793.731,164.739
-4266.07,0.967053,0.367035,3,7,0,4269.26,47.5224,-25.5681,800.697,166.533
-4263.98,0.674938,0.367035,4,15,0,4268.74,37.8268,-17.4258,791.747,173.555
-4266.68,0.762446,0.367035,2,7,0,4267.79,35.965,-22.4943,803.148,171.542
-4265.23,0.974341,0.367035,3,7,0,4267.85,35.238,-18.1254,780.205,173.172
-4265.83,0.991136,0.367035,3,11,0,4266.71,50.066,-19.6387,803.978,167.11
-4268.34,0.690023,0.367035,4,15,0,4269.19,46.1367,-22.6338,784.883,179.63
-4265.84,1,0.367035,3,7,0,4269.91,33.4772,-16.159,791.806,179.452
-4267.4,0.922055,0.367035,3,15,0,4270.35,49.8088,-23.0008,809.904,182.317
-4266.86,0.752221,0.367035,3,7,0,4270.69,51.5455,-27.8596,794.969,175.903
-4264.67,1,0.367035,3,15,0,4267.04,36.5234,-12.2438,792.289,174.086
-4264.69,0.983737,0.367035,3,15,0,4266.31,37.8369,-16.6126,794.088,168.287
-4264.79,0.957659,0.367035,3,15,0,4265.34,34.066,-17.8192,788.772,176.716
-4267.92,0.872688,0.367035,4,15,0,4269.46,26.5336,-21.5819,773.489,167.917
-4271.01,0.869014,0.367035,3,7,0,4273.56,23.4937,-5.90167,783.907,163.73
-4268.67,1,0.367035,2,3,0,4271.2,25.3761,-8.20697,784.779,164.707
-4265.79,1,0.367035,3,7,0,4269.03,27.5686,-15.789,774.669,172.629
-4266.26,0.975645,0.367035,2,7,0,4267.39,27.493,-19.2215,775.345,172.74
-4266.84,0.977859,0.367035,3,7,0,4268.58,23.2221,-14.9378,777.252,176.244
-4266,0.970745,0.367035,3,15,0,4268.11,39.2466,-10.3262,789.909,173.698
-4264.89,1,0.367035,2,3,0,4265.91,37.9456,-11.8144,791.967,173.131
-4264.04,0.998823,0.367035,3,7,0,4265.11,40.1642,-19.928,792.953,173.314
-4264.21,0.983947,0.367035,2,7,0,4264.67,44.2526,-18.0421,796.956,174.947
-4265.27,0.924676,0.367035,2,7,0,4266.51,40.8998,-25.7398,791.712,174.858
-4264.8,0.978768,0.367035,2,7,0,4265.99,35.5792,-22.1608,792.856,173.242
-4266.27,0.994113,0.367035,3,7,0,4266.9,27.0983,-7.80394,779.575,172.453
-4265.88,0.901212,0.367035,3,11,0,4268.64,40.0659,-27.1429,799.99,174.653
-4265.61,0.989661,0.367035,3,7,0,4266.39,41.5382,-28.1353,796.343,174.07
-4265.79,0.983496,0.367035,4,15,0,4267.76,31.6168,-21.9239,782.296,169.281
-4266.17,0.975682,0.367035,3,11,0,4266.62,33.7061,-23.0697,780.283,169.883
-4265.17,0.981657,0.367035,3,7,0,4267.86,49.226,-22.6093,809.826,176.183
-4264.83,0.9999,0.367035,4,15,0,4265.87,44.5094,-22.5096,797.911,168.566
-4265.4,0.960904,0.367035,3,15,0,4267.83,49.1404,-26.0852,804.781,177.186
-4265.43,0.903825,0.367035,3,15,0,4267.2,48.314,-19.8654,795.862,177.741
-4264.58,0.99331,0.367035,4,15,0,4267.82,31.7826,-14.5249,790.431,171.723
-4265.85,0.870211,0.367035,3,15,0,4268.63,60.2416,-26.4457,817.047,174.016
-4266.16,0.809409,0.367035,1,3,0,4267.07,52.7043,-25.6948,817.116,173.63
