# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac73f1258e0.json
# init = 2 (Default)
# random
#   seed = 491647836
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-6-1eefc1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-6-506cd3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.177979
# Diagonal elements of inverse mass matrix:
# 3.66979e-05, 0.00485654, 7.15739e-05, 0.000765362
-2198.04,0.910259,0.177979,5,31,0,2199.18,407.456,5.6713,223.43,14.5674
-2196.07,0.999338,0.177979,4,31,0,2198.28,403.896,5.63153,226.437,14.3971
-2198.67,0.962064,0.177979,4,15,0,2199.36,404.223,5.72766,223.353,14.8865
-2198.95,0.822937,0.177979,4,15,0,2202.6,401.233,5.73558,224.869,14.6215
-2196.73,0.928061,0.177979,4,15,0,2200.37,403.392,5.68431,225.429,14.0214
-2196.69,0.989105,0.177979,4,15,0,2198.24,406.212,5.61274,225.573,13.8579
-2197.5,0.971555,0.177979,5,31,0,2199.31,407.016,5.51501,228.076,13.9409
-2196.26,0.978221,0.177979,4,15,0,2198.13,404.786,5.62455,225.854,14.5788
-2196.26,0.531381,0.177979,2,3,0,2200.87,404.786,5.62455,225.854,14.5788
-2196.62,0.964026,0.177979,4,15,0,2197.89,403.094,5.67928,225.474,14.0401
-2198.55,0.943043,0.177979,4,15,0,2199.62,409.252,5.50641,227.694,14.5216
-2197.6,0.96626,0.177979,4,15,0,2200.73,404.004,5.59453,227.016,14.9331
-2196.86,0.970025,0.177979,4,15,0,2199.12,404.883,5.68742,225.031,14.5975
-2198.86,0.996434,0.177979,5,31,0,2200.17,401.186,5.58989,227.651,14.8462
-2197.13,0.883292,0.177979,4,19,0,2201.87,403.691,5.64623,226.703,14.3987
-2197.93,0.943848,0.177979,4,15,0,2200.67,404.167,5.72368,223.722,14.801
-2200.09,0.837347,0.177979,4,15,0,2202.41,406.932,5.7185,223.999,13.5355
-2197.9,0.94805,0.177979,2,7,0,2201.25,406.214,5.70039,224.228,13.6807
-2197.28,0.953788,0.177979,4,15,0,2198.98,403.319,5.67505,224.627,14.3407
-2198.6,0.937462,0.177979,5,31,0,2199.11,408.769,5.6363,225.618,14.4387
-2196.32,0.996061,0.177979,2,7,0,2198.97,407.513,5.61784,225.507,14.3918
-2196.32,0.98736,0.177979,4,15,0,2197.24,404.698,5.66531,225.01,14.5565
-2196.02,0.998718,0.177979,4,31,0,2197.73,405.772,5.60332,226.509,14.4714
-2197.88,0.948721,0.177979,4,15,0,2199.16,404.913,5.49697,228.978,14.6076
-2198.71,0.786365,0.177979,2,3,0,2200.26,405.244,5.51038,229.601,14.5612
-2196.11,0.993837,0.177979,4,15,0,2199.06,406.328,5.65432,225.25,14.187
-2196.59,0.859905,0.177979,4,19,0,2198.44,405.963,5.60087,225.703,14.1282
-2197.43,0.943173,0.177979,4,19,0,2198.61,405.226,5.69553,223.522,14.3307
-2197.4,0.953878,0.177979,5,31,0,2199.07,407.034,5.53828,227.87,13.8848
-2197.04,0.995267,0.177979,5,31,0,2198.42,403.017,5.70601,224.432,14.3984
-2196.37,0.988263,0.177979,4,15,0,2197.86,406.446,5.5806,227.106,14.134
-2200.71,0.843048,0.177979,5,31,0,2201.43,409.775,5.61643,223.743,14.732
-2198.63,0.983252,0.177979,4,31,0,2203.11,405.254,5.77932,221.895,14.2118
-2199.09,0.940969,0.177979,4,15,0,2200.93,409.289,5.71105,223.335,14.1013
-2204.03,0.953309,0.177979,4,15,0,2205,400.348,5.82126,221.983,14.8274
-2198.96,0.999127,0.177979,4,15,0,2205.05,408.054,5.71746,223.613,13.8607
-2196.92,1,0.177979,5,31,0,2199.35,407.002,5.53107,227.941,14.1441
-2196.39,0.88875,0.177979,4,31,0,2198.26,404.723,5.58479,227.421,14.522
-2196.37,0.97408,0.177979,2,7,0,2196.75,404.696,5.5882,227.425,14.4625
-2196.14,0.985053,0.177979,3,15,0,2198.02,405.017,5.59305,226.371,14.2888
-2197.3,0.948806,0.177979,3,15,0,2197.74,407.41,5.61623,224.782,14.3194
-2196.83,0.9283,0.177979,3,7,0,2198.1,407.624,5.61136,225.079,14.3227
-2199.87,0.980691,0.177979,4,15,0,2200.91,404.614,5.5071,229.733,13.6433
-2198.43,0.975365,0.177979,4,15,0,2201.92,402.048,5.66579,225.168,14.654
-2198.69,0.98964,0.177979,4,19,0,2199.31,407.372,5.51226,227.303,13.9835
-2197.03,0.991479,0.177979,5,31,0,2200.44,405.26,5.67382,225.441,13.9359
-2196.6,1,0.177979,2,5,0,2197.19,405.112,5.66953,225.309,13.8925
-2197,0.912349,0.177979,4,23,0,2201.18,404.39,5.52634,228.493,14.474
-2197.06,0.980014,0.177979,4,15,0,2197.68,404.834,5.51649,228.892,14.1709
-2198.34,0.997217,0.177979,4,15,0,2198.38,404.637,5.4794,229.848,14.0144
-2198.19,0.948793,0.177979,5,31,0,2200.94,408.185,5.72821,222.876,14.5244
-2198.46,0.956248,0.177979,4,31,0,2200.53,401.484,5.70913,225.534,13.9458
-2197.75,0.805524,0.177979,5,31,0,2201.73,408.678,5.61566,225.627,14.6623
-2198.66,0.900537,0.177979,2,3,0,2199.22,408.185,5.59005,225.163,14.7743
-2196.75,0.998563,0.177979,3,15,0,2200.99,405.053,5.61796,226.949,14.3292
-2197.27,0.999658,0.177979,4,19,0,2198.17,404.621,5.5435,227.497,14.4987
-2197.3,0.948225,0.177979,5,31,0,2199.3,407.703,5.65579,224.885,14.6637
-2196.78,0.994753,0.177979,4,31,0,2198.38,406.014,5.58462,227.15,14.6335
-2197,0.964621,0.177979,4,31,0,2198.98,403.576,5.70555,224.917,14.4911
-2198.98,0.983532,0.177979,4,15,0,2199.74,409.839,5.5355,227.243,13.9691
-2197.31,0.830188,0.177979,4,19,0,2201.57,406.263,5.64203,226.176,14.2147
