# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77cbb9fc5.json
# init = 2 (Default)
# random
#   seed = 1201230202
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-6-4b9b82.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-6-159eb4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.203652
# Diagonal elements of inverse mass matrix:
# 3.46858e-05, 0.0124535, 9.28702e-05, 0.000710088
-2438.81,0.963006,0.203652,4,15,0,2440.34,550.815,8.31071,288.7,19.7807
-2438.48,1,0.203652,4,15,0,2439.02,549.598,8.2576,290.214,19.8503
-2442.36,0.712859,0.203652,3,15,0,2444.03,545.97,8.21792,293.336,19.5019
-2440.01,0.972913,0.203652,2,3,0,2442.65,545.971,8.19643,292.093,19.4626
-2438.67,1,0.203652,4,15,0,2440.2,552.496,8.12,292,20.3005
-2441.27,0.974391,0.203652,4,15,0,2441.76,545.73,8.04949,295.311,20.5243
-2440.72,0.848658,0.203652,4,15,0,2443.25,546.786,8.04151,294.642,20.2272
-2441.26,0.952111,0.203652,4,15,0,2443.66,555.06,8.14959,289.389,19.1547
-2442.27,0.97702,0.203652,4,15,0,2443.67,553.538,8.19118,289.248,18.6606
-2442.56,0.999518,0.203652,3,7,0,2442.93,554.432,8.19386,289.971,18.6021
-2442.39,0.980092,0.203652,4,15,0,2444.06,555.051,8.16448,289.692,18.6943
-2439.6,0.844164,0.203652,4,15,0,2444.27,552.477,8.31712,288.034,19.3775
-2440.12,0.992907,0.203652,4,15,0,2441.1,548.599,8.21537,290.564,20.8916
-2440.75,0.851566,0.203652,4,31,0,2442.79,548.052,8.30949,288.19,20.6333
-2440.05,0.999425,0.203652,4,15,0,2442.66,555.524,8.19957,288.176,19.962
-2441.46,0.892583,0.203652,4,15,0,2443.4,545.913,8.13073,292.578,20.6309
-2439.51,0.761753,0.203652,4,15,0,2444.69,551.025,8.10262,292.283,19.236
-2438.93,0.979356,0.203652,5,31,0,2440,551.944,8.30546,288.529,20.1819
-2439.35,0.9997,0.203652,3,7,0,2439.54,551.778,8.3122,288.215,20.5298
-2438.54,0.644274,0.203652,3,15,0,2444.75,552.39,8.18916,289.68,20.0452
-2438.74,0.982195,0.203652,2,3,0,2438.83,552.373,8.18965,289.521,20.0411
-2440.05,0.79422,0.203652,3,11,0,2442.18,554.813,8.25864,289.083,19.659
-2441.28,0.939713,0.203652,4,31,0,2442.78,546.739,8.07762,293.212,19.9543
-2440.75,0.887421,0.203652,3,15,0,2446.61,554.525,8.1974,291.025,19.956
-2439.47,0.998834,0.203652,4,15,0,2442.03,550.124,8.03471,294.705,20.1411
-2439.37,0.996357,0.203652,4,31,0,2440.82,553.542,8.32866,287.075,19.6414
-2439.72,0.924744,0.203652,3,7,0,2440.19,553.229,8.31749,286.84,19.4441
-2439.23,0.989531,0.203652,4,15,0,2441.49,551.165,8.29898,288.698,20.5433
-2439.73,0.972914,0.203652,4,15,0,2440.23,551.462,8.07799,292.447,19.3352
-2439.48,1,0.203652,4,31,0,2440.78,552.586,8.32886,286.976,20.4281
-2440.36,0.845278,0.203652,2,3,0,2440.47,552.536,8.3111,286.543,20.4218
-2442.03,0.888785,0.203652,4,15,0,2445.13,545.692,8.21806,290.866,20.9083
-2439.41,0.989706,0.203652,4,15,0,2443.48,554.367,8.27016,287.89,20.4608
-2438.72,0.992688,0.203652,4,15,0,2440.38,553.927,8.14503,291.125,19.7585
-2440.29,0.993951,0.203652,3,15,0,2441.09,557.027,8.12995,289.913,19.9011
-2438.55,0.997248,0.203652,3,15,0,2442.19,549.349,8.13638,292.327,20.2488
-2439.2,0.702159,0.203652,3,15,0,2442.05,549.358,8.20086,291.443,20.6295
-2439.4,0.886082,0.203652,4,15,0,2441.4,547.399,8.25774,289.785,19.8096
-2439.47,0.942373,0.203652,3,15,0,2446.22,551.582,8.18357,291.301,20.7308
-2439.31,0.997532,0.203652,4,15,0,2440.83,547.388,8.25567,290.437,19.5144
-2439.07,0.978776,0.203652,4,15,0,2440.2,554.839,8.16656,290.003,19.6158
-2440.46,0.895742,0.203652,4,15,0,2442.51,548.304,8.37694,287.144,19.6073
-2441.31,0.995021,0.203652,3,7,0,2441.59,548.102,8.42512,286.955,19.5433
