# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac737bcc1ae.json
# init = 2 (Default)
# random
#   seed = 743763481
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-6-8e3880.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-6-3dbfef.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.196927
# Diagonal elements of inverse mass matrix:
# 2.50086e-05, 0.013816, 0.000163072, 0.000702107
-2332.8,0.980834,0.196927,3,11,0,2333.45,597.174,13.1023,177.835,16.7823
-2332.83,0.8173,0.196927,3,7,0,2334.72,596.083,13.1144,178.502,16.6213
-2333.21,0.971108,0.196927,3,7,0,2333.48,595.63,13.1241,178.73,16.5273
-2332.59,0.992455,0.196927,4,15,0,2334.13,596.485,13.0871,178.828,17.5785
-2334.06,0.931619,0.196927,2,7,0,2335.47,598.023,13.0484,178.548,17.7768
-2336.33,0.999457,0.196927,4,15,0,2337.45,596.962,13.1553,177.347,18.4365
-2336.1,0.950978,0.196927,4,31,0,2338.5,597.835,13.2322,175.431,18.0279
-2334.86,0.996975,0.196927,4,31,0,2339.01,592.223,12.9593,182.248,16.0426
-2339.06,0.460896,0.196927,2,3,0,2339.78,590.969,12.9404,181.566,15.9123
-2337.02,1,0.196927,4,15,0,2340.82,594.351,12.7796,181.67,16.576
-2332.04,0.999767,0.196927,5,31,0,2338.44,593.396,12.942,182.274,17.5845
-2331.8,0.946566,0.196927,2,7,0,2332.72,593.9,12.9346,182.027,17.4836
-2333.42,0.985804,0.196927,4,15,0,2334.86,590.502,12.9849,182.693,16.6978
-2334.32,0.873146,0.196927,4,31,0,2335.21,596.387,12.9001,179.657,17.2294
-2332.38,0.99187,0.196927,3,11,0,2336.82,593.634,12.976,181.583,16.5194
-2333.34,0.995161,0.196927,4,15,0,2334.33,594.139,12.9735,180.55,18.0344
-2332.59,0.906762,0.196927,4,19,0,2335.45,592.334,12.8459,184.278,17.0424
-2332.11,0.989226,0.196927,3,15,0,2335.3,591.586,12.8889,183.932,17.0942
-2332.72,0.942895,0.196927,4,19,0,2335.08,596.556,13.0225,179.98,17.2429
-2333.13,0.993625,0.196927,3,15,0,2335.44,594.997,13.0515,178.758,16.6802
-2334.62,0.996986,0.196927,5,31,0,2335.57,591.783,12.8009,183.394,18.0969
-2335.84,0.937382,0.196927,4,15,0,2340.08,591.645,12.6417,185.691,17.868
-2334.52,0.913606,0.196927,4,15,0,2337.05,589.735,12.6829,186.389,17.8278
-2332.82,0.963672,0.196927,4,15,0,2335.28,590.683,12.8207,184.017,17.6647
-2335.22,0.875224,0.196927,4,15,0,2336.41,591.461,12.9538,183.725,18.0379
-2333.17,1,0.196927,2,7,0,2337.54,592.074,12.9253,183.226,17.8713
-2333.33,0.968449,0.196927,3,15,0,2338.48,598.139,13.0748,177.977,16.8645
-2333.53,0.949502,0.196927,3,7,0,2335.46,597.085,13.0171,178.528,16.609
-2333.03,0.998805,0.196927,4,31,0,2334.71,594.167,12.9138,181.253,17.9212
-2335.14,0.986111,0.196927,4,15,0,2335.9,594.52,13.0499,180.333,18.3712
-2335.06,0.99398,0.196927,3,7,0,2335.42,594.374,13.0567,180.11,18.3734
-2333.97,0.814933,0.196927,3,7,0,2336.99,593.586,13.022,179.766,17.9475
-2334.53,0.968588,0.196927,5,31,0,2335.21,595.749,13.1045,179.661,16.4463
-2332.53,0.868651,0.196927,5,31,0,2337.36,593.982,12.8044,182.869,17.2189
-2333.3,0.988293,0.196927,4,23,0,2334.7,593.608,13.1309,179.523,16.7117
-2332.96,0.968088,0.196927,4,23,0,2336.92,591.993,12.7658,184.319,17.6681
-2334.44,0.779532,0.196927,5,31,0,2337.45,591.527,12.954,183.887,16.8304
-2332.29,1,0.196927,4,31,0,2335.67,591.846,12.9411,181.826,17.4511
-2331.67,0.996517,0.196927,5,31,0,2332.42,594.119,12.9395,180.806,17.145
-2332.69,0.937743,0.196927,4,15,0,2334.71,595.746,13.0126,179.805,16.5087
-2332.79,0.865324,0.196927,4,15,0,2334.95,594.507,13.0195,179.329,16.7921
-2332.88,0.99213,0.196927,3,11,0,2334.03,595.574,13.0998,179.717,17.2714
-2333.25,0.979543,0.196927,2,7,0,2334.27,595.27,13.1218,179.702,17.1942
-2332.51,0.828483,0.196927,1,3,0,2335.17,594.383,13.1064,178.745,17.1496
-2333.36,0.959344,0.196927,3,15,0,2334.04,596.73,12.9784,178.817,17.4196
-2334.56,0.932914,0.196927,4,15,0,2336.01,596.644,12.9356,178.98,17.0392
-2333.34,0.872371,0.196927,3,7,0,2336.11,596.456,12.9279,179.605,17.1254
-2332.21,0.969302,0.196927,4,15,0,2334.64,593.77,12.9619,180.469,16.8882
-2332.73,0.963224,0.196927,3,15,0,2333.5,595.318,12.9436,179.826,17.2427
-2332.29,0.93966,0.196927,4,23,0,2334.1,590.016,12.8641,184.364,17.2298
-2332.93,0.818928,0.196927,2,3,0,2333.53,590.682,12.88,184.687,17.2539
-2333.41,0.996711,0.196927,4,15,0,2334.01,589.27,12.862,184.053,16.9991
-2332.88,0.901654,0.196927,2,3,0,2334.61,590.048,12.8733,184.811,16.9693
-2333.05,0.795722,0.196927,4,31,0,2336.09,597.082,13.1692,177.651,17.3584
-2332.45,0.976788,0.196927,4,15,0,2333.64,595.469,13.1147,179.298,17.0727
-2334.05,0.95486,0.196927,4,15,0,2335.2,596.252,13.1152,177.707,17.9499
-2335.52,0.91915,0.196927,5,31,0,2338.17,599.234,13.2587,175.996,17.3402
-2333.4,0.934145,0.196927,4,27,0,2338.34,594.439,13.0918,180.516,17.4803
-2334.93,0.999691,0.196927,4,15,0,2335.27,598.018,13.0613,178.848,17.89
-2332,0.955631,0.196927,4,31,0,2336.63,590.705,12.9138,183.399,17.1802
-2334.19,0.946105,0.196927,3,11,0,2335.12,593.538,12.7841,184.028,17.8993
-2332.63,0.99032,0.196927,2,7,0,2336.07,591.268,12.8382,184.057,17.7654
-2332.54,0.982457,0.196927,4,19,0,2333.25,593.933,12.9875,180.737,16.4435
-2333.34,0.986283,0.196927,3,7,0,2333.56,592.771,13.0292,181.319,16.4064
-2332,0.964489,0.196927,4,15,0,2334.38,594.25,13.0235,180.174,17.638
-2332.07,0.910196,0.196927,4,15,0,2334.14,596.637,13.071,178.539,17.2233
-2333.97,0.971073,0.196927,4,15,0,2334.19,594.127,13.1626,178.682,17.7791
-2333.88,0.999378,0.196927,4,15,0,2335.11,597.341,13.0057,178.77,16.5215
-2334.06,0.833094,0.196927,4,31,0,2337.42,597.417,13.1059,178.75,16.7408
-2332.49,0.995618,0.196927,4,15,0,2334.62,594.303,13.0734,178.973,17.2455
-2331.95,0.918827,0.196927,3,15,0,2334.21,594.02,13.0273,179.813,17.3437
-2331.91,0.995439,0.196927,4,31,0,2333.33,594.259,13.0054,179.994,17.4551
-2336.67,0.924748,0.196927,4,15,0,2338.9,587.567,12.8132,185.73,16.3235
-2332.34,0.998375,0.196927,4,15,0,2337.31,593.184,12.9121,181.548,17.6564
-2333.67,0.895563,0.196927,4,27,0,2335.14,594.306,12.7845,182.847,16.7263
-2332.42,0.998795,0.196927,4,15,0,2335.37,589.844,12.8681,184.205,17.117
-2332.07,0.968426,0.196927,3,7,0,2334.71,591.021,12.843,184.15,16.7945
-2331.48,0.996672,0.196927,4,15,0,2332.65,593.472,12.8758,182.429,17.004
-2332.96,0.892755,0.196927,4,15,0,2334.22,594.034,13.0815,180.007,17.8092
-2333.11,0.994361,0.196927,4,15,0,2333.95,597.414,13.0559,177.935,16.8226
-2332.22,0.994319,0.196927,4,15,0,2334.67,595.318,12.962,180.187,17.5967
-2334.08,0.815228,0.196927,3,15,0,2336.03,597.72,12.9363,180.078,17.3273
-2332.1,0.953239,0.196927,3,11,0,2335.52,596.326,13.0073,179.871,17.2496
-2331.88,0.989849,0.196927,3,11,0,2333.14,595.107,13.0574,179.101,16.9621
-2333.11,0.996963,0.196927,4,19,0,2333.9,592.77,12.8973,182.947,17.973
-2334.54,0.961285,0.196927,4,31,0,2335.82,593.82,12.7532,183.771,17.8912
-2332.23,0.99461,0.196927,3,7,0,2334.75,591.601,12.8085,183.967,17.5368
-2332.45,0.717763,0.196927,2,3,0,2335.05,591.612,12.7839,184.393,17.5562
-2332.3,0.966659,0.196927,4,15,0,2333.12,594.909,12.931,180.54,16.7723
-2332.84,0.998589,0.196927,4,15,0,2333.74,594.205,13.1195,179.486,16.7204
-2332.33,0.886639,0.196927,4,15,0,2334.13,595.67,13.0032,179.902,17.6914
-2332.42,0.988538,0.196927,4,23,0,2336.18,590.875,12.7639,185.326,17.076
-2331.67,0.998643,0.196927,5,31,0,2333.69,594.998,13.0015,180.378,16.8024
-2333.42,0.821829,0.196927,4,31,0,2335.29,594.396,13.1332,178.58,17.7119
-2332.89,0.999125,0.196927,4,15,0,2334.03,594.003,13.0977,179.964,17.6872
-2333.48,0.998858,0.196927,4,15,0,2334.8,594.415,12.8843,181.758,16.3375
-2331.65,0.967801,0.196927,2,7,0,2336.57,592.795,12.9297,181.976,16.7412
-2331.97,0.949395,0.196927,3,7,0,2332.35,593.224,12.9041,182.489,16.6358
-2331.58,0.986861,0.196927,2,7,0,2333.13,592.22,12.9211,182.256,16.8856
-2331.5,0.959031,0.196927,3,7,0,2331.93,592.511,12.9195,182.079,16.9337
-2331.96,0.788463,0.196927,3,11,0,2333.56,593.871,12.9165,181.038,17.1422
-2333.97,0.941797,0.196927,4,19,0,2334.91,597.296,13.1784,177.946,17.0035
-2333.53,0.978078,0.196927,4,15,0,2334.8,597.435,13.1833,177.457,17.4316
-2335.42,0.984564,0.196927,3,7,0,2335.61,594.425,13.2408,177.125,17.509
-2332.83,0.807452,0.196927,3,15,0,2339.18,594.269,13.15,179.165,17.1966
-2332.91,0.883721,0.196927,3,15,0,2335.19,593.851,13.0951,179.222,17.6056
-2333.63,0.98739,0.196927,3,7,0,2333.88,593.377,13.1217,180.279,17.6133
-2332.56,0.999199,0.196927,4,23,0,2333.97,594.693,12.8409,181.883,17.2137
-2334.07,0.978876,0.196927,3,15,0,2335.88,595.221,12.7919,183.003,16.9419
-2332.51,0.995723,0.196927,3,15,0,2335.23,593.596,12.8303,182.343,17.425
-2331.98,0.956433,0.196927,4,15,0,2333.18,592.283,13.0025,181.805,16.8716
-2331.74,0.986958,0.196927,4,15,0,2332.57,592.956,12.982,181.773,17.4872
-2331.98,0.923195,0.196927,3,15,0,2333.26,593.056,12.9762,181.007,17.5501
-2333.37,0.969934,0.196927,3,7,0,2333.58,594.205,12.8681,181.454,17.7928
-2332.72,0.984858,0.196927,4,15,0,2334.57,594.55,13.0905,179.858,16.6446
-2334.93,0.868829,0.196927,4,31,0,2335.82,598.834,13.0817,178.339,16.941
-2336.03,1,0.196927,3,15,0,2339.5,598.802,13.1921,174.886,16.9864
-2336.16,0.985922,0.196927,3,7,0,2337.69,599.41,13.3161,174.684,16.8128
-2331.8,0.991246,0.196927,4,23,0,2337.97,595.352,13.0171,179.884,16.7782
-2331.69,0.995757,0.196927,4,15,0,2332.21,594.372,13.0644,179.633,17.0291
-2333.19,0.813579,0.196927,4,19,0,2333.75,593.836,12.9191,180.553,16.9605
-2331.7,0.948344,0.196927,2,3,0,2333.99,594.721,12.9253,180.873,17.0598
-2332.61,0.979684,0.196927,4,15,0,2333.12,595.258,13.155,178.335,17.3384
-2331.34,0.985285,0.196927,4,31,0,2334.43,593.124,12.9624,181.771,17.3258
-2331.85,0.9872,0.196927,3,7,0,2332.17,595.515,12.9638,180.351,17.4199
-2332.2,0.923334,0.196927,3,15,0,2333.42,592.153,13.0125,181.058,17.2604
-2334.71,0.984434,0.196927,4,31,0,2336.03,599.387,13.1568,176.701,16.8494
-2333.76,1,0.196927,4,15,0,2335.13,597.803,13.1552,176.3,17.1393
-2333.09,0.978881,0.196927,4,15,0,2334.35,597.749,13.1421,177.619,17.3227
-2332.11,0.997258,0.196927,4,31,0,2333.71,594.965,13.0729,179.18,17.5369
-2331.83,0.987768,0.196927,4,31,0,2332.54,594.506,12.992,180.859,16.7036
-2332.01,0.954781,0.196927,4,31,0,2333.01,596.007,13.0706,179.035,16.8565
-2334.42,0.953617,0.196927,4,15,0,2335.5,598.235,13.2484,175.682,16.876
-2333.1,0.997032,0.196927,3,7,0,2334.7,597.153,13.1738,177.018,16.9043
-2332.64,0.97298,0.196927,3,15,0,2337.62,596.092,13.1654,177.808,17.063
-2334.32,0.89901,0.196927,4,15,0,2334.98,593.543,13.1797,178.33,17.0231
-2332.37,0.999323,0.196927,4,15,0,2335.24,595.51,12.9846,179.543,16.8082
-2331.93,0.994733,0.196927,2,7,0,2333.98,593.618,13.0402,181.035,17.143
-2333.64,0.953977,0.196927,3,11,0,2336.26,596.455,12.9213,179.697,17.5001
-2334.09,0.996197,0.196927,3,7,0,2334.27,596.696,12.9084,179.704,17.5084
-2333.18,1,0.196927,3,15,0,2336.47,594.708,13.1788,178.141,17.0843
-2332.63,0.99638,0.196927,4,15,0,2333.95,595.671,13.1288,178.079,17.4996
-2335.12,0.693416,0.196927,3,11,0,2336.86,595.253,13.0814,177.538,17.2996
-2335.87,1,0.196927,3,11,0,2337.07,598.41,13.1951,177.698,17.2205
-2333.81,0.996809,0.196927,4,19,0,2336.92,591.705,12.9502,183.772,17.3553
-2331.77,0.970105,0.196927,3,15,0,2334.79,593.555,12.945,182.171,16.8596
-2332.1,0.983207,0.196927,4,23,0,2333.15,596.156,13.1043,178.758,17.1477
-2337.35,0.719504,0.196927,4,15,0,2338.48,598.433,13.195,174.668,17.6491
-2335.24,0.984851,0.196927,4,31,0,2338.91,594.166,13.0769,178.395,17.8698
-2333.79,1,0.196927,3,11,0,2338.15,596.267,13.1682,178.615,16.9577
