# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 7
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac75ce1be1b.json
# init = 2 (Default)
# random
#   seed = 1928743551
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-7-2490b2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-7-6add8a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.187721
# Diagonal elements of inverse mass matrix:
# 2.59237e-05, 0.0136114, 8.15395e-05, 0.000675131
-2201.98,0.916019,0.187721,4,15,0,2203.57,496.95,11.3954,240.524,14.0357
-2201.51,0.96248,0.187721,4,31,0,2203.55,497.36,11.3368,240.771,14.8091
-2202.74,0.897712,0.187721,4,15,0,2203.83,495.427,11.44,240.885,14.6616
-2203.72,0.990509,0.187721,3,7,0,2203.9,495.113,11.4618,240.87,14.7575
-2202.46,0.989821,0.187721,3,15,0,2204.95,496.717,11.4396,240.34,14.7498
-2202.14,0.988239,0.187721,4,15,0,2202.71,497.02,11.4291,240.286,14.6847
-2200.94,0.911858,0.187721,4,23,0,2203.74,494.446,11.0736,245.743,14.4325
-2202.38,0.97272,0.187721,4,31,0,2204.35,495.774,11.4007,240.726,14.8655
-2202.83,0.943985,0.187721,4,15,0,2204.58,495.598,11.3126,241.549,15.2136
-2202.83,0.164906,0.187721,2,3,0,2212.58,495.598,11.3126,241.549,15.2136
-2204.28,0.893842,0.187721,5,31,0,2207.07,498.655,11.4563,239.056,13.8722
-2206.98,0.814187,0.187721,4,15,0,2208.3,498.135,11.4396,238.522,13.6226
-2201.17,1,0.187721,4,15,0,2207.15,496.562,11.3353,241.754,14.7494
-2201.63,0.997894,0.187721,4,31,0,2202.61,490.554,11.0427,247.515,14.2432
-2202.29,0.995535,0.187721,4,15,0,2203.04,491.22,10.9443,248.382,14.5993
-2201.54,0.993737,0.187721,3,7,0,2202.45,490.973,11.0065,248.013,14.4443
-2202.12,0.942579,0.187721,4,15,0,2202.76,491.392,10.963,248.221,14.2083
-2202.9,0.991715,0.187721,4,15,0,2203.82,491.704,10.9144,248.487,14.3577
-2203,0.942544,0.187721,3,15,0,2208.31,492.122,11.3129,243.691,14.1986
-2201.02,0.979367,0.187721,3,15,0,2204.27,493.598,11.2801,243.992,14.545
-2200.26,0.961549,0.187721,4,31,0,2202.4,493.881,11.2016,244.691,14.2481
-2201.51,0.930522,0.187721,4,15,0,2202.23,493.756,11.1977,244.911,13.8805
-2200.7,0.999138,0.187721,4,19,0,2202.28,494.467,11.1619,243.679,14.7098
-2201.66,0.994025,0.187721,4,31,0,2202.86,496.576,11.3655,241.592,14.1639
-2200.63,0.91638,0.187721,4,23,0,2204.07,493.014,11.0699,245.584,14.3258
-2200.43,0.854789,0.187721,4,23,0,2202.79,494.005,11.2195,243.345,14.2467
-2200.35,0.996821,0.187721,4,15,0,2201.02,496.077,11.2172,242.581,14.2809
-2200.82,0.906839,0.187721,4,15,0,2201.84,494.897,11.2276,242.6,14.5426
-2201.54,0.939925,0.187721,3,9,0,2202.5,494.436,11.2803,243.959,14.5063
-2200.65,0.999202,0.187721,3,15,0,2202.12,493.524,11.2574,243.301,14.3477
-2202.16,0.955985,0.187721,4,15,0,2202.94,497.959,11.3351,241.326,14.6098
-2201.57,0.926444,0.187721,4,15,0,2203.42,497.551,11.3433,240.297,14.4013
-2200.11,0.988647,0.187721,4,15,0,2202.02,495.216,11.2397,242.758,14.6199
-2201.45,0.989826,0.187721,4,15,0,2202.23,497.481,11.2579,241.372,14.2246
-2201.02,0.997793,0.187721,4,15,0,2202.32,494.812,11.3472,242.412,14.4279
-2201.02,0.97039,0.187721,3,15,0,2203.14,495.014,11.2165,243.97,13.9415
-2200.55,0.995498,0.187721,2,7,0,2201.77,494.562,11.1847,243.446,14.1179
-2199.73,0.999303,0.187721,4,15,0,2200.93,493.716,11.1477,244.818,14.3477
-2200.66,0.866803,0.187721,3,15,0,2201.69,495.055,11.2402,243.878,14.3092
-2200.92,0.954372,0.187721,3,15,0,2202,493.106,11.206,243.804,14.3705
-2200.88,0.950742,0.187721,3,15,0,2202.66,493.894,11.1798,245.178,14.6505
-2202.85,0.985887,0.187721,3,15,0,2203.81,490.865,11.193,245.124,14.5865
-2202.4,0.862465,0.187721,3,11,0,2205.56,495.484,11.0737,245.443,14.7201
-2201.98,0.998213,0.187721,4,15,0,2203.6,493.645,11.3439,242.754,14.1399
-2200.71,0.929211,0.187721,3,15,0,2203.93,493.315,11.2794,243.659,14.4245
-2202.1,0.913242,0.187721,4,19,0,2203.8,493.494,10.9881,246.841,14.1292
-2201.36,0.956493,0.187721,4,31,0,2203.17,494.724,11.3235,242.068,14.8291
-2201.87,0.950018,0.187721,3,7,0,2202.33,494.627,11.338,241.952,14.9118
-2201.6,0.900755,0.187721,4,31,0,2204.25,494.903,11.1048,245.079,13.9155
-2200.4,0.964711,0.187721,4,15,0,2202.18,493.365,11.2518,243.714,14.3058
-2200.67,0.998927,0.187721,3,7,0,2200.89,493.604,11.2824,243.655,14.2973
-2202.73,0.94587,0.187721,4,15,0,2204.98,495.785,11.093,244.862,15.0131
-2202.09,0.84524,0.187721,3,7,0,2204.26,495.269,11.117,245.113,14.9067
-2202.31,0.72932,0.187721,3,15,0,2206.55,491.931,11.037,245.983,14.5033
-2200.51,0.998931,0.187721,4,15,0,2202.35,493.816,11.1445,245.479,14.307
-2201.09,0.997517,0.187721,2,7,0,2201.55,491.794,11.1367,245.366,14.3158
-2202.07,0.997119,0.187721,4,15,0,2202.61,494.792,11.1108,245.353,15.0014
-2199.91,0.993783,0.187721,4,15,0,2204.42,494.96,11.225,243.529,14.6305
-2200.29,0.993478,0.187721,2,7,0,2200.68,495.505,11.2022,243.158,14.7295
-2202.97,0.967032,0.187721,4,15,0,2203.45,496.523,11.3949,240.317,15.0648
-2203.53,0.973043,0.187721,3,7,0,2204.22,498.227,11.3937,239.784,15.1417
-2204.46,0.972052,0.187721,3,7,0,2205.63,498.609,11.3911,239.317,15.2278
-2202.79,0.966256,0.187721,3,7,0,2204.88,498.344,11.3727,239.831,14.9408
-2202.49,0.994431,0.187721,4,15,0,2203.59,498.525,11.3325,240.193,14.8253
-2203.48,0.654695,0.187721,2,7,0,2206.85,498.216,11.3609,241.221,14.7604
-2203.01,0.921424,0.187721,2,3,0,2204.99,496.214,11.371,240.161,14.7151
