# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 7
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac742097c31.json
# init = 2 (Default)
# random
#   seed = 1161794825
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-7-5061c0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-7-735d4a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.407257
# Diagonal elements of inverse mass matrix:
# 0.053677, 30.3055, 0.000225688, 0.00046069
-4289.32,0.969054,0.407257,3,7,0,4294.78,35.6914,-18.5803,820.845,181.602
-4289.45,0.727306,0.407257,2,3,0,4292.14,32.1336,-17.7144,831.292,179.575
-4287.66,0.981252,0.407257,3,7,0,4291.47,39.1421,-15.755,829.647,177.176
-4287.78,0.992879,0.407257,3,15,0,4288.06,47.5645,-20.0792,838.907,174.898
-4288.54,0.755058,0.407257,4,15,0,4290.17,56.1849,-19.0789,843.045,178.067
-4288.47,0.994205,0.407257,4,15,0,4288.96,47.9244,-22.626,833.894,174.303
-4290.45,0.778229,0.407257,3,7,0,4291.52,33.9552,-17.53,835.528,182.959
-4287.65,0.912967,0.407257,2,7,0,4292.49,45.7152,-19.5589,839.919,177.562
-4287.76,0.981514,0.407257,2,7,0,4288.23,45.2988,-17.7343,841.068,176.628
-4288.13,0.936817,0.407257,3,15,0,4289.2,39.9471,-13.0127,830.439,179.394
-4288.73,0.941435,0.407257,3,7,0,4289.82,32.6996,-16.7855,823.781,173.271
-4289.57,0.972383,0.407257,3,7,0,4290.2,30.3926,-18.9582,816.666,176.04
-4289.36,0.970264,0.407257,3,7,0,4291.87,31.9875,-13.5636,818.541,181.8
-4287.82,0.891124,0.407257,2,7,0,4291.17,42.2062,-16.5395,838.546,176.973
-4288.56,0.939287,0.407257,2,3,0,4289.49,46.7806,-13.6098,839.02,180.028
-4289.57,0.960766,0.407257,3,15,0,4292.04,35.3236,-15.3736,827.935,169.796
-4292.79,0.948191,0.407257,4,15,0,4294.22,63.3214,-20.5532,863.566,169.419
