# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 7
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7508b1bb5.json
# init = 2 (Default)
# random
#   seed = 1994613582
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-7-686b3a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-7-2f3b85.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.226225
# Diagonal elements of inverse mass matrix:
# 2.90589e-05, 0.00426166, 8.46062e-05, 0.000599542
-2228.34,0.999398,0.226225,4,15,0,2231.3,502.615,7.09076,199.406,15.7539
-2229.62,0.933089,0.226225,4,15,0,2232.68,504.339,7.05249,200.604,16.2164
-2229.72,0.994322,0.226225,1,1,0,2229.8,504.389,7.05135,200.639,16.2305
-2228.77,0.999543,0.226225,4,15,0,2232.51,509.14,6.92996,202.168,13.6504
-2223.69,0.923692,0.226225,4,15,0,2229.88,504.537,6.92667,203.637,14.5506
-2224.28,0.99527,0.226225,4,15,0,2225.32,510.237,7.00386,199.897,14.9914
-2224.48,1,0.226225,4,15,0,2225.69,506.095,7.08863,198.599,14.599
-2225.62,0.945473,0.226225,4,23,0,2227.62,509.401,6.92167,202.452,15.5407
-2223.91,0.99609,0.226225,4,15,0,2226.17,503.349,7.0114,201.15,14.7693
-2224.81,0.912081,0.226225,4,19,0,2226.05,508.451,6.83655,204.227,14.7028
-2224.23,0.986693,0.226225,4,15,0,2226.62,506.64,6.94138,202.572,15.4555
-2224.98,0.814206,0.226225,3,7,0,2225.8,506.043,6.94808,202.991,15.4868
-2225.18,0.978284,0.226225,4,15,0,2226.37,508.281,6.91413,201.667,14.3072
-2224.83,0.881877,0.226225,4,15,0,2227.19,507.442,6.93479,203.17,15.2024
-2223.82,0.859799,0.226225,4,15,0,2226.9,508.676,6.88657,202.782,14.7297
-2225.15,0.969318,0.226225,4,15,0,2225.65,503.56,6.89241,204.902,15.2039
-2225.37,0.901226,0.226225,4,15,0,2227.21,501.932,6.88942,204.694,14.89
-2226.28,0.953949,0.226225,4,15,0,2227.5,511.327,7.05759,197.783,14.6474
-2225.58,1,0.226225,2,3,0,2226.4,510.883,7.05873,198.259,14.6932
-2225.54,0.951044,0.226225,3,7,0,2226.37,510.192,7.06978,197.736,14.8092
-2224.09,0.948575,0.226225,4,15,0,2226.88,509.622,7.02762,199.397,14.662
-2225.23,0.790539,0.226225,4,15,0,2228.03,509.633,7.01833,200.457,14.6888
-2224.06,1,0.226225,4,15,0,2225.83,503.964,7.01475,201.621,15.2013
-2224.54,0.968573,0.226225,4,15,0,2226.28,510.019,7.01364,199.978,15.0636
-2223.74,0.960561,0.226225,4,15,0,2225.18,503.475,7.01794,201.252,14.6514
-2225.7,0.887208,0.226225,4,15,0,2226.91,509.886,6.89196,202.761,14.1946
-2223.45,0.986338,0.226225,4,15,0,2226.44,505.572,7.0032,200.773,15.1846
-2223.28,0.999314,0.226225,4,15,0,2223.97,506.893,7.0206,200.116,14.5013
-2222.95,0.868244,0.226225,3,11,0,2224.12,506.778,6.9671,201.156,14.7691
-2223.26,0.957729,0.226225,3,11,0,2223.76,506.269,6.98006,201.978,14.5719
-2223.43,0.958901,0.226225,3,11,0,2224.95,508.101,6.9313,202.157,15.1624
-2223.69,0.998427,0.226225,4,15,0,2223.92,504.634,6.96091,202.521,14.3402
-2225.72,0.828427,0.226225,4,15,0,2226.77,509.031,6.84834,204.428,15.2553
-2223.82,0.953523,0.226225,3,15,0,2227.47,507.266,6.90134,202.54,15.0832
-2223.44,0.965891,0.226225,2,7,0,2224.63,506.332,6.94577,202.922,14.8886
-2225.01,0.996856,0.226225,4,15,0,2226.07,505.641,7.10155,198.262,15.0087
-2222.91,0.995643,0.226225,4,15,0,2227.56,505.149,6.99242,201.622,14.9373
-2224.49,0.751968,0.226225,3,15,0,2226.51,505.428,6.93408,202.356,14.1877
-2224.17,0.991298,0.226225,4,15,0,2225.05,507.141,6.9436,201.518,14.2828
-2227.79,0.982207,0.226225,4,15,0,2228.28,502.824,6.88873,205.462,15.6388
-2227.12,0.976272,0.226225,3,7,0,2229.14,502.518,6.93419,204.522,15.5353
-2227.97,0.967933,0.226225,4,15,0,2228.68,500.773,6.92382,203.721,15.5341
-2226.41,1,0.226225,2,3,0,2227.93,501.545,6.94748,204.091,15.4016
-2226.97,0.865775,0.226225,3,7,0,2228.24,501.93,6.93355,204.478,15.5268
-2226.55,0.961953,0.226225,2,3,0,2227.65,501.671,6.94403,203.941,15.5289
-2226.49,0.999401,0.226225,4,15,0,2228.28,502.973,6.94222,203.132,15.7341
-2228.43,0.86124,0.226225,3,7,0,2229.76,503.994,6.96915,201.531,16.0013
-2224.1,0.910968,0.226225,4,15,0,2230.18,509.286,6.90934,201.851,14.6367
-2224,0.999797,0.226225,3,15,0,2225.73,504.377,6.88362,204.116,14.6497
-2223.83,0.806225,0.226225,4,31,0,2226.3,508.191,7.03882,199.102,14.6425
-2224.27,0.994292,0.226225,4,31,0,2225.38,507.849,6.99434,200.457,14.1908
-2223.32,0.996882,0.226225,2,7,0,2225.01,506.711,6.99868,200.888,14.3751
-2223.54,0.956986,0.226225,4,15,0,2224.56,508.142,7.00362,200.686,15.1172
-2224.21,0.943817,0.226225,4,15,0,2226.22,506.527,7.0869,198.6,14.8967
-2225.91,0.761909,0.226225,2,7,0,2228.3,508.454,7.12557,197.209,15.0758
-2227.6,0.724668,0.226225,4,31,0,2230.55,504.955,6.87062,205.755,14.3859
-2226.5,0.970937,0.226225,4,15,0,2229.93,508.589,6.98782,201.163,15.7813
-2224.86,1,0.226225,3,7,0,2227.29,507.756,6.94467,202.487,15.4758
-2224.98,0.999525,0.226225,4,15,0,2226.28,505.76,7.0634,200.073,14.2665
-2223.66,0.988635,0.226225,4,15,0,2227.56,506.713,6.9665,202.06,15.2815
-2224.85,0.802497,0.226225,2,7,0,2226.29,506.342,6.9661,202.441,15.4874
-2224.96,0.976665,0.226225,4,15,0,2225.82,506.405,7.01051,201.427,14.2174
-2223.65,0.979957,0.226225,4,31,0,2225.9,504.839,6.95091,203.057,14.4952
-2223.52,0.980958,0.226225,4,15,0,2225.72,508.926,6.93672,202.138,14.7953
-2223.74,0.972703,0.226225,3,15,0,2225.25,505.618,6.88367,204.07,15.0678
-2222.96,0.974383,0.226225,4,15,0,2225.26,507.483,7.00857,200.215,14.817
-2226.03,0.784669,0.226225,4,19,0,2227.15,504.499,6.8477,204.556,14.3526
-2223.87,0.969169,0.226225,4,15,0,2227.02,507.471,6.93873,202.084,15.3748
-2223.29,0.972671,0.226225,4,15,0,2224.72,506.868,6.89212,203.551,14.8445
-2223.72,0.580478,0.226225,5,31,0,2229.09,507.618,6.90539,203.237,14.4834
-2223.04,0.986406,0.226225,4,15,0,2224.33,505.11,6.9962,201.746,14.7781
-2224.92,0.785437,0.226225,4,15,0,2227.89,503.793,7.00157,201.556,14.1485
-2223.19,0.716238,0.226225,3,15,0,2229.21,505.509,6.94493,202.968,14.6482
-2223.09,0.942781,0.226225,4,15,0,2224.25,506.445,6.93771,202.63,15.0983
-2223.34,0.99532,0.226225,4,15,0,2223.97,506.435,6.90193,203.595,14.6495
-2225.01,0.696307,0.226225,4,15,0,2226.57,508.061,6.92782,203.052,14.3459
-2223.72,0.935401,0.226225,4,31,0,2226.18,506.128,6.9907,200.5,14.5779
-2227.34,0.991259,0.226225,4,15,0,2228.17,503.828,7.00108,202.351,15.8426
-2226.95,0.980402,0.226225,3,7,0,2228,503.087,6.99251,201.992,15.8442
-2226.33,0.986717,0.226225,4,15,0,2228.14,501.835,6.99065,202.658,15.5518
-2226.08,0.99048,0.226225,4,15,0,2228.13,509.239,6.81598,204.396,14.5241
-2224.99,0.518955,0.226225,4,31,0,2230.85,503.01,7.03055,201.921,14.7049
-2224.42,0.998554,0.226225,4,15,0,2225.93,507.932,6.87626,202.931,14.5473
-2224.61,0.800608,0.226225,4,15,0,2226.93,502.614,6.91708,203.9,15.0989
-2227.99,0.887489,0.226225,3,7,0,2228.44,499.919,6.87948,205.275,15.0606
-2226.19,0.994406,0.226225,3,7,0,2228.45,501.541,6.90494,205.255,14.8884
-2226.9,0.66897,0.226225,3,7,0,2229.12,501.244,6.92488,205.125,14.8529
-2225.91,0.98816,0.226225,4,15,0,2227.59,511.277,7.01331,198.542,14.865
-2223.82,1,0.226225,3,7,0,2226.06,508.373,7.05128,199.343,14.8808
-2224.84,0.987501,0.226225,4,15,0,2226.41,503.304,6.90369,204.135,14.3512
-2223.68,1,0.226225,3,7,0,2225.18,506.11,6.8877,203.837,14.5049
-2224.29,0.99595,0.226225,3,7,0,2224.57,505.662,6.87893,204.158,14.3652
-2224.51,0.812791,0.226225,2,3,0,2225.09,505.927,6.89124,204.304,14.419
-2224.51,0.64195,0.226225,2,7,0,2227.97,505.927,6.89124,204.304,14.419
-2223.85,0.968007,0.226225,4,31,0,2226.8,506.48,7.01632,200.563,14.264
-2224.08,0.851217,0.226225,4,15,0,2226.58,503.891,6.98253,201.338,14.8371
-2224.05,0.905392,0.226225,4,15,0,2226.15,506.239,6.98444,201.22,15.4526
-2223.57,0.804923,0.226225,4,15,0,2225.83,506.091,7.02947,200.745,14.5152
-2224.78,0.92491,0.226225,4,15,0,2225.83,504.035,7.08247,200.13,14.7502
-2224.13,0.998272,0.226225,4,19,0,2226.39,507.215,6.85084,204.303,14.8406
-2224.06,0.998221,0.226225,4,15,0,2225.26,506.335,6.90017,203.275,15.3378
-2223.53,0.807919,0.226225,4,15,0,2225.58,505.246,6.92028,203.497,15.1203
-2223.85,0.974248,0.226225,4,15,0,2224.86,506.927,7.0459,199.427,14.4429
-2223.85,0.999441,0.226225,3,7,0,2224.11,506.459,7.04698,199.805,14.3899
-2224.23,0.994906,0.226225,4,31,0,2226.19,507.901,6.86255,203.833,14.5295
-2224.42,0.968404,0.226225,3,7,0,2224.89,508.541,6.87273,203.116,14.4876
-2223.52,0.988326,0.226225,4,15,0,2225.43,506.633,6.88759,203.914,14.7982
-2223.15,0.997406,0.226225,4,19,0,2225.02,508.306,7.00999,200.11,14.8007
-2224.07,0.930319,0.226225,3,15,0,2224.93,510.229,6.95322,201.13,14.9842
-2223.42,0.929712,0.226225,3,7,0,2224.96,508.79,6.94543,201.947,14.8957
-2223.35,0.919824,0.226225,2,3,0,2223.77,508.622,6.93242,201.61,14.8961
-2223.35,0.530613,0.226225,2,3,0,2226.03,508.622,6.93242,201.61,14.8961
-2223.98,0.997061,0.226225,4,15,0,2224.73,504.29,6.9171,203.257,14.4236
-2224.37,0.995078,0.226225,4,15,0,2225.38,509.093,6.88777,203.242,14.5278
-2224.84,0.905709,0.226225,2,3,0,2224.96,508.806,6.87487,202.697,14.5172
-2225.9,0.979175,0.226225,4,15,0,2227.06,501.776,6.93066,204.38,15.2851
-2224.66,0.992646,0.226225,4,15,0,2226.23,509.991,6.92337,202.111,14.4233
-2226.33,0.96138,0.226225,4,15,0,2228.14,504.342,7.11276,198.204,14.4985
-2225.02,0.959558,0.226225,4,15,0,2227.41,508.35,7.06075,199.635,15.1423
-2224.76,0.997529,0.226225,3,7,0,2225.61,508.701,7.08108,198.61,15.0301
-2222.85,0.9508,0.226225,4,15,0,2225.66,507.255,6.9855,200.793,14.9224
-2223.02,0.999673,0.226225,4,15,0,2223.22,504.595,6.98235,201.874,14.9619
-2222.82,0.997568,0.226225,4,15,0,2223.33,505.656,6.97983,201.727,14.9977
-2224.23,0.915903,0.226225,4,15,0,2225.44,504.452,6.94008,203.336,14.317
-2224.32,0.986144,0.226225,4,31,0,2225.41,504.386,6.95649,202.114,14.2726
-2223.27,0.977026,0.226225,4,15,0,2230.49,507.781,7.0156,199.81,14.8866
-2223.96,0.959764,0.226225,3,15,0,2225.51,505.327,6.99824,201.291,14.2231
-2223.44,0.99435,0.226225,4,15,0,2225.27,504.46,7.03672,200.525,14.8707
-2224.77,0.911097,0.226225,3,7,0,2225.51,503.338,7.07856,200.086,14.6993
-2223.67,0.999888,0.226225,3,7,0,2225.13,504.49,7.04699,200.162,14.9126
-2222.87,0.986738,0.226225,4,15,0,2225.65,506.545,6.96006,202.133,14.5976
-2227.06,0.800234,0.226225,3,15,0,2228,507.339,6.91606,202.21,13.8107
-2226.83,0.949467,0.226225,4,31,0,2229.23,506.587,6.85689,203.773,14.0244
-2228.34,0.680574,0.226225,2,3,0,2229.72,508.096,6.87217,204.75,14.1001
-2228.64,0.98212,0.226225,4,31,0,2230.28,506.203,7.09741,197.42,15.5916
-2225.01,0.987996,0.226225,4,15,0,2232.27,509.037,6.97348,200,14.3943
-2224.44,0.943121,0.226225,4,15,0,2225.83,509.228,7.02045,200.067,14.454
-2222.93,1,0.226225,3,7,0,2224.46,506.721,7.00491,200.52,14.6106
-2222.91,0.976938,0.226225,4,15,0,2223.96,506.206,7.01156,200.464,14.7283
-2224.29,0.929551,0.226225,3,15,0,2225.34,510.184,6.96068,201.272,14.7284
-2226.47,0.702688,0.226225,4,23,0,2228.06,504.459,7.06354,198.743,14.9492
-2224.58,1,0.226225,4,15,0,2226.87,507.923,6.89651,202.18,15.0553
-2225.74,0.933307,0.226225,4,15,0,2226.3,504.88,7.05472,201.084,14.4537
-2225.6,0.942895,0.226225,4,15,0,2228.79,504.97,7.03344,199.456,15.1885
-2226.55,0.635523,0.226225,2,3,0,2231.01,505.95,7.07802,200.422,15.1874
-2226.76,1,0.226225,3,7,0,2227.12,505.84,7.04726,198.63,15.253
-2227.04,0.98541,0.226225,4,15,0,2229.36,505.819,7.0484,198.831,14.1699
-2225.09,0.999196,0.226225,3,15,0,2229.87,504.28,7.0185,200.28,15.2921
-2223.81,0.98896,0.226225,4,15,0,2225.7,508.422,6.95762,201.831,14.4297
-2224.28,0.930613,0.226225,4,15,0,2225.56,504.12,6.87776,204.783,14.9437
