# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 7
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac744b765de.json
# init = 2 (Default)
# random
#   seed = 848898171
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-7-961134.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-7-81a594.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.3805
# Diagonal elements of inverse mass matrix:
# 0.065063, 36.6381, 0.000282869, 0.000512111
-4385.39,0.994518,0.3805,3,15,0,4387.77,55.9674,-21.7524,820.581,196.091
-4386.1,0.9514,0.3805,2,3,0,4386.29,58.7777,-18.7668,827.143,196.912
-4387.7,0.709696,0.3805,3,15,0,4389.59,38.4571,-23.3321,795.276,189.128
-4385.9,0.998348,0.3805,3,7,0,4388.39,37.2371,-13.2808,800.973,200.078
-4385.77,0.978659,0.3805,3,15,0,4387.17,48.9112,-17.0928,812.705,200.916
-4385.79,0.967092,0.3805,3,7,0,4387.64,57.7491,-22.8009,822.676,198.8
-4386.5,0.793869,0.3805,2,3,0,4387.3,54.3643,-24.0602,828.647,197.882
-4387.06,0.973057,0.3805,3,11,0,4389.48,37.9526,-10.805,793.916,200.021
-4386.4,0.984259,0.3805,3,7,0,4388.76,47.0273,-26.168,818.597,195.034
-4386.25,0.97864,0.3805,3,7,0,4387.35,61.1343,-27.009,824.158,194.678
-4385.33,0.970985,0.3805,3,15,0,4387.49,49.902,-16.1357,815.567,195.234
-4385.7,0.980065,0.3805,3,11,0,4386.38,43.6757,-13.7778,812.394,192.882
-4386.28,0.888522,0.3805,2,3,0,4386.88,41.5848,-14.3786,816.353,193.108
-4386.47,0.993245,0.3805,3,11,0,4387.39,46.7985,-25.9099,817.101,198.334
-4386,0.991244,0.3805,3,15,0,4387.93,42.2126,-19.9282,809.132,189.588
-4386.14,0.938147,0.3805,3,7,0,4386.89,45.3639,-21.8056,814.701,190.034
-4387.32,0.977299,0.3805,4,15,0,4388.06,39.6397,-12.262,806.409,203.995
-4386.72,0.994735,0.3805,3,7,0,4388.01,37.7807,-19.9724,803.548,188.435
-4388.57,0.886864,0.3805,3,7,0,4391.51,27.86,-19.0726,801.343,198.608
-4385.89,1,0.3805,2,3,0,4388.44,39.1042,-17.9683,795.893,197.81
-4387.75,0.969287,0.3805,3,7,0,4388.34,44.9879,-11.3614,818.335,201.028
-4386.74,0.981256,0.3805,3,7,0,4388.56,49.4846,-26.6734,805.814,197.565
-4388.61,0.839719,0.3805,3,7,0,4389.56,43.6541,-14.5188,823.856,202.668
-4390.45,0.913239,0.3805,3,15,0,4392.31,36.4098,-16.3436,778.315,199.292
-4389.14,0.994462,0.3805,4,23,0,4391.53,34.4492,-10.8621,815.185,201.407
-4386.56,0.947089,0.3805,2,3,0,4390.09,39.6769,-16.4198,793.818,199.891
-4385.3,0.999779,0.3805,4,15,0,4386.94,53.1138,-22.748,816.436,196.088
-4385.64,0.738462,0.3805,3,15,0,4389.07,33.734,-14.8237,798.793,192.94
-4385.61,0.957976,0.3805,3,15,0,4386.91,56.1404,-22.6332,816.207,195.25
-4385.64,0.996449,0.3805,4,15,0,4386.99,42.8755,-13.769,803.387,198.615
-4386.22,0.839802,0.3805,3,7,0,4389.42,34.6108,-16.5337,803.188,199.669
-4387.39,0.950919,0.3805,2,3,0,4387.78,41.8277,-10.1071,797.993,198.594
-4386.89,0.998572,0.3805,4,15,0,4387.99,54.8149,-26.1157,829.441,193.371
-4385.17,0.9839,0.3805,2,7,0,4387.66,52.3374,-20.7166,815.088,194.969
