# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 8
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac72dc3f7df.json
# init = 2 (Default)
# random
#   seed = 1753175574
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-8-18ea34.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-8-301b03.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.155608
# Diagonal elements of inverse mass matrix:
# 1.46624e-05, 0.00118072, 2.00514e-05, 0.000552075
-1705.21,0.994556,0.155608,3,7,0,1705.85,519.85,6.88683,270.814,7.39798
-1703.45,0.937994,0.155608,4,15,0,1707.05,519.249,6.81865,272.232,7.35575
-1703.85,0.949571,0.155608,3,13,0,1705.66,520.68,6.84871,271.642,7.32005
-1703.59,1,0.155608,3,11,0,1704.01,520.489,6.83303,272.106,7.41105
-1703.09,0.99971,0.155608,4,31,0,1704.2,520.395,6.83586,271.829,7.2067
-1703.83,0.986131,0.155608,4,15,0,1704.26,522.076,6.83908,271.179,7.26395
-1704.4,0.987761,0.155608,4,15,0,1704.8,518.604,6.85693,271.76,7.26791
-1703.39,0.989712,0.155608,4,31,0,1708.36,520.976,6.78694,272.819,7.5245
-1703.69,0.979033,0.155608,4,31,0,1704.59,519.23,6.80801,272.585,7.48902
-1703.89,0.935749,0.155608,2,7,0,1704.58,519.534,6.80374,272.473,7.49769
-1703.31,0.924631,0.155608,4,31,0,1707.35,520.442,6.83462,271.845,7.53037
-1704.2,0.981567,0.155608,4,31,0,1706.37,522.696,6.77618,272.629,7.41036
-1706.3,0.830298,0.155608,5,31,0,1707.2,519.138,6.78312,273.91,7.25434
-1704.12,0.998175,0.155608,4,31,0,1711.07,521.349,6.79094,272.528,7.64158
-1705.16,0.803494,0.155608,3,7,0,1706.24,521.546,6.78199,272.321,7.56603
-1704.74,0.911988,0.155608,3,11,0,1706.83,520.953,6.79332,273.173,7.42285
-1703.32,0.998722,0.155608,4,19,0,1705.35,520.272,6.84138,271.853,7.38191
-1703.73,0.999947,0.155608,3,11,0,1704.11,519.94,6.85043,271.198,7.44422
