# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 8
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac72974c23c.json
# init = 2 (Default)
# random
#   seed = 219746980
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-8-5227b4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-8-18c641.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.344025
# Diagonal elements of inverse mass matrix:
# 0.0446342, 30.7605, 0.000194484, 0.000579323
-4136,1,0.344025,1,1,0,4136.21,32.2234,-10.5336,704.685,151.969
-4135.79,0.986469,0.344025,3,15,0,4137.09,34.8045,-19.7205,718.69,145.724
-4136.59,0.828428,0.344025,3,15,0,4139.8,32.9088,-24.4721,705.519,150.534
-4135.25,0.964718,0.344025,2,7,0,4138.38,32.9015,-21.2073,710.255,151.395
-4137.67,0.81033,0.344025,3,15,0,4140.86,29.1442,-10.6712,696.915,147.452
-4137.84,1,0.344025,3,7,0,4138.85,27.0551,-11.7901,694.516,147.474
-4138.53,0.890314,0.344025,2,3,0,4139.95,28.2019,-11.5008,694.572,146.272
-4139.07,0.982184,0.344025,3,7,0,4141.7,20.175,-11.2254,698.225,143.486
-4136.58,0.993413,0.344025,4,15,0,4141.45,26.9067,-10.7735,705.153,155.217
-4137.79,0.884003,0.344025,4,15,0,4140.15,30.2438,-11.7622,720.012,155.192
-4137.35,0.990549,0.344025,3,7,0,4139.2,32.5494,-16.8463,699.32,147.296
-4135.66,0.92293,0.344025,2,3,0,4138.94,29.3468,-17.3367,707.412,146.384
-4137.7,0.905824,0.344025,3,15,0,4140.62,37.8212,-30.6158,718.909,153.774
-4136.7,0.962787,0.344025,3,15,0,4139.68,32.2484,-8.58526,714.419,148.47
-4140.07,0.741131,0.344025,3,7,0,4140.52,25.1358,-27.5884,697.427,148.864
-4136.35,0.944462,0.344025,3,7,0,4143.01,37.5161,-11.9795,719.552,155.909
-4134.91,0.9963,0.344025,3,7,0,4136.81,33.5664,-18.9583,708.4,150.348
-4134.41,0.990303,0.344025,2,7,0,4135.65,36.4779,-14.7847,713.938,149.469
-4136.27,0.852099,0.344025,3,11,0,4136.99,35.2666,-15.8991,703.139,149.54
-4137.68,0.946294,0.344025,2,3,0,4138.2,35.3135,-16.714,699.647,150.47
-4135,0.977941,0.344025,3,7,0,4137.89,37.0249,-13.2263,710.971,150.604
-4135.61,0.993054,0.344025,4,15,0,4136.24,53.7682,-26.0457,736.75,150.021
-4137.55,0.913856,0.344025,3,7,0,4138,51.1053,-34.6714,733.447,150.381
-4136.83,0.860662,0.344025,2,7,0,4140.59,48.6868,-27.4784,735.991,147.544
-4138.42,0.931445,0.344025,3,7,0,4139.4,50.282,-28.6767,718.413,145.862
-4135.85,1,0.344025,4,15,0,4138.93,41.6773,-12.9463,716.663,154.183
-4137.03,0.77379,0.344025,3,7,0,4139.55,47.6072,-12.3266,722.772,152.387
-4137.07,0.99908,0.344025,3,15,0,4139.28,28.4762,-19.24,706.538,155.719
-4137.43,0.950821,0.344025,3,7,0,4140.19,23.8177,-12.9411,695.058,152.842
-4140.79,0.838672,0.344025,3,7,0,4142.93,18.7129,-5.5275,707.993,147.774
-4140.35,0.904369,0.344025,2,3,0,4143.11,19.4351,-10.2848,711.267,148.245
-4135.8,0.95266,0.344025,3,7,0,4143.56,33.2233,-18.6641,707.505,145.747
-4138.51,0.95693,0.344025,3,7,0,4140.04,35.3434,-21.6087,714.179,141.042
-4138.26,1,0.344025,1,1,0,4138.58,35.7567,-21.2287,713.577,141.246
-4135.14,1,0.344025,3,7,0,4139.35,44.7464,-15.5555,727.896,151.524
-4134.65,0.991471,0.344025,3,15,0,4136.12,37.321,-16.9579,712.939,147.748
-4135.75,0.901826,0.344025,3,15,0,4136.56,35.6634,-20.6819,721.126,153.414
-4135.19,0.720283,0.344025,2,3,0,4139.76,34.9454,-16.7558,720.067,152.679
-4135.34,0.883338,0.344025,3,7,0,4137.82,34.8848,-13.9316,711.077,146.135
-4134.81,0.986748,0.344025,3,7,0,4135.64,40.5877,-19.8669,717.824,153.932
-4135.4,0.968871,0.344025,3,7,0,4136.44,37.0105,-21.2446,715.574,154.557
-4135.56,0.992772,0.344025,2,3,0,4135.74,36.8561,-22.1006,715.428,154.519
-4135.73,0.974643,0.344025,4,15,0,4136.5,37.274,-21.4802,719.626,154.948
-4135.72,0.98683,0.344025,4,15,0,4136.81,47.7644,-22.2179,733.183,147.309
-4135.74,0.974968,0.344025,4,15,0,4136.72,28.9938,-13.8335,713.359,147.289
-4137.59,0.977962,0.344025,4,15,0,4139.2,51.5002,-26.2964,739.37,145.728
-4138.55,0.688383,0.344025,3,7,0,4141.26,36.0911,-26.0961,727.701,152.517
-4135.44,1,0.344025,2,3,0,4138.52,42.4982,-23.3283,716.372,153.629
-4136.25,0.921032,0.344025,3,15,0,4137,46.5515,-14.1142,718.514,151.368
-4135,1,0.344025,3,11,0,4138.11,39.8229,-13.2696,716.117,151.891
-4134.66,0.882893,0.344025,1,3,0,4136.27,36.4525,-15.4651,719.652,151.571
-4134.54,0.96453,0.344025,3,7,0,4136.17,37.2393,-18.7059,716.106,152.728
-4134.68,0.970317,0.344025,4,15,0,4135.69,40.9138,-17.3324,716.822,153.354
-4135.7,0.873759,0.344025,3,15,0,4137.31,47.8756,-15.4331,721.657,150.313
-4134.73,0.99018,0.344025,3,15,0,4137.3,38.6405,-21.0276,718.529,152.817
-4135.49,0.92033,0.344025,3,7,0,4137.48,35.6506,-12.8818,721.017,152.226
-4138.95,0.810534,0.344025,2,3,0,4140.08,39.7899,-7.81593,717.769,150.312
-4135.34,1,0.344025,2,3,0,4139.98,37.9741,-12.2096,720.57,151.906
-4136.11,0.97402,0.344025,4,15,0,4136.86,47.0655,-14.7275,728.656,154.679
-4134.58,0.946857,0.344025,3,7,0,4136.91,39.471,-18.7267,721.592,152.617
-4134.84,0.928076,0.344025,3,11,0,4135.79,39.0426,-14.6345,713.415,152.036
-4136.9,0.932361,0.344025,3,15,0,4137.29,46.4195,-27.1496,718.307,145.886
-4138.07,0.940666,0.344025,3,15,0,4140.58,65.5151,-22.479,749.25,149.135
-4135.7,0.997244,0.344025,3,7,0,4138.87,52.9722,-27.4018,732.329,148.066
-4137.46,0.939113,0.344025,3,7,0,4138.13,55.8988,-19.5324,739.605,145.907
-4137.97,0.913671,0.344025,4,15,0,4139.69,54.5133,-33.6345,737.212,154.605
-4137,0.964266,0.344025,3,7,0,4139.16,58.7078,-25.225,743.863,154.645
-4138.39,0.919901,0.344025,3,15,0,4142.96,50.5018,-17.3127,735.096,159.267
-4137.63,0.951909,0.344025,3,7,0,4139.26,49.5064,-20.2933,736.394,157.818
-4137.83,0.881605,0.344025,4,15,0,4141.23,43.0217,-30.1584,716.102,145.261
-4139.19,0.952776,0.344025,3,7,0,4140.01,60.2321,-16.0264,737.528,156.717
-4139.94,0.808169,0.344025,4,15,0,4143.72,34.805,-29.7888,701.428,148.014
-4140.8,0.842779,0.344025,3,15,0,4144.17,41.6546,-14.3872,739.691,149.899
-4140.76,0.997946,0.344025,3,7,0,4142.4,44.2997,-12.3366,739.463,149.045
-4135.8,1,0.344025,3,7,0,4141.75,53.1743,-19.9295,735.96,148.295
-4137.14,0.82975,0.344025,2,3,0,4137.62,59.9067,-19.4951,736.348,148.315
-4138.46,0.866252,0.344025,3,7,0,4140.36,50.7966,-28.4823,739.008,144.805
-4137.43,1,0.344025,4,15,0,4139.78,21.4933,-10.9498,694.371,150.025
-4136.15,0.981677,0.344025,2,7,0,4139.1,28.1059,-9.90251,701.06,150.717
-4136.05,0.975583,0.344025,3,15,0,4138.63,32.2626,-11.926,702.568,151.215
-4137.08,0.94159,0.344025,3,15,0,4139.4,38.3749,-14.9797,726.107,156.65
-4135.73,1,0.344025,3,7,0,4137.79,38.7017,-14.4827,709.68,153.479
-4138.04,0.923224,0.344025,4,15,0,4141.98,61.9783,-33.1261,740.955,146.615
-4135.56,0.992788,0.344025,3,7,0,4138.27,53.4151,-20.7649,733.971,153.892
-4134.55,0.896397,0.344025,4,15,0,4137.2,37.2084,-17.7213,719.673,151.918
-4134.4,0.975982,0.344025,3,7,0,4134.89,40.0442,-16.7481,716.496,151.958
-4136.35,0.906792,0.344025,3,7,0,4137.12,44.2674,-17.3111,719.011,144.499
-4135.01,0.990895,0.344025,4,15,0,4136.69,36.8703,-18.5452,722.486,149.776
-4136.79,0.860659,0.344025,3,7,0,4139.15,61.3939,-22.114,737.061,153.872
-4135.61,0.998133,0.344025,3,15,0,4137.53,43.1685,-27.4422,723.814,151.877
-4136.45,0.977856,0.344025,3,15,0,4137.81,44.8843,-22.5843,722.285,157.443
-4136.58,0.993401,0.344025,4,15,0,4138.55,50.3817,-22.2136,730.957,144.317
-4134.54,0.988457,0.344025,3,7,0,4137.4,37.7322,-18.4879,712.274,149.636
-4134.25,0.970623,0.344025,3,15,0,4136.27,38.9066,-19.3218,718.562,150.487
-4134.69,0.986928,0.344025,3,7,0,4135.28,35.8796,-13.4772,717.392,151.146
-4139.81,0.741539,0.344025,2,3,0,4141.63,34.5986,-6.23132,708.703,150.029
-4140.13,0.980224,0.344025,4,15,0,4143.53,55.1966,-38.6231,743.125,150.444
