# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 8
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac74555c292.json
# init = 2 (Default)
# random
#   seed = 1938107410
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-8-869cf6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-8-72c822.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.344142
# Diagonal elements of inverse mass matrix:
# 0.0477292, 29.5873, 0.000457554, 0.000473333
-4607.23,0.157801,0.344142,4,15,0,4611.65,65.8296,-35.5982,711.257,238.141
-4605.41,0.966891,0.344142,3,7,0,4608.76,54.2037,-27.4714,706.676,236.416
-4603.08,0.991698,0.344142,3,7,0,4607.91,56.1733,-12.1467,707.539,241.221
-4602.91,0.976378,0.344142,3,15,0,4603.93,64.0184,-21.5433,718.571,240.751
-4603.95,0.946971,0.344142,4,15,0,4604.54,78.7509,-16.5208,719.868,243.395
-4604.01,0.991909,0.344142,3,15,0,4605.39,60.8237,-14.9906,723.521,238.166
-4603.61,0.995813,0.344142,3,15,0,4604.67,64.0816,-20.7683,705.061,236.851
-4604.51,0.976249,0.344142,3,15,0,4606.01,52.9025,-12.8069,705.295,232.895
-4605.26,0.885058,0.344142,3,15,0,4607.58,40.0628,-11.9513,676.505,245.274
-4605.28,0.927156,0.344142,4,15,0,4607.35,44.2238,-10.9233,707.84,247.617
-4604.29,0.930206,0.344142,3,7,0,4608.76,51.3385,-12.593,700.972,250.723
-4603.78,0.926583,0.344142,2,7,0,4607.2,51.1711,-12.7337,712.719,242.128
-4603.75,0.955623,0.344142,3,7,0,4604.82,51.6792,-15.25,714.187,243.028
-4604.7,0.968015,0.344142,2,3,0,4605.12,50.7875,-13.6734,717.706,243.887
-4604.68,0.998928,0.344142,3,7,0,4606.15,53.8246,-12.3563,718.707,246.226
-4605.26,0.883514,0.344142,3,15,0,4607.81,85.5415,-18.7971,719.092,242.896
-4603.16,0.895421,0.344142,2,3,0,4606.94,72.4902,-20.0534,714.202,244.83
-4603.67,0.969674,0.344142,3,7,0,4604.81,58.832,-15.8945,699.226,236.282
-4605.37,0.972926,0.344142,4,15,0,4607.38,35.3269,-9.32398,680.803,236.658
-4603.83,0.995245,0.344142,4,15,0,4606.29,50.6211,-14.1175,699.028,249.273
-4603.41,0.938494,0.344142,3,7,0,4605.52,65.619,-13.9095,708.208,245.093
-4605.83,0.919276,0.344142,4,15,0,4607.65,58.108,-24.4455,692.301,236.051
-4603.28,0.976354,0.344142,4,15,0,4608.95,54.9121,-11.6303,703.474,239.536
-4602.94,0.985659,0.344142,3,7,0,4603.77,50.9389,-12.6799,699.824,240.891
-4603.74,0.942714,0.344142,2,3,0,4604.21,51.2705,-10.0413,704.622,243.402
-4604.85,0.95267,0.344142,4,15,0,4606.11,84.0979,-21.4311,745.764,238.226
-4604.68,0.991291,0.344142,4,15,0,4606.23,48.2883,-8.83144,707.269,241.377
-4604.13,1,0.344142,2,3,0,4604.83,47.8879,-10.354,707.492,240.808
-4605.8,0.901427,0.344142,2,7,0,4608.36,34.8945,-10.7727,697.613,242.783
-4603.29,0.991744,0.344142,4,15,0,4606.62,62.7017,-21.9952,720.385,243.442
-4604.62,0.839267,0.344142,3,7,0,4606.63,67.8022,-16.872,734.946,243.606
-4603.69,1,0.344142,4,15,0,4605.29,49.9307,-19.0765,700.732,246.301
-4603.58,0.96406,0.344142,3,7,0,4604.67,63.1308,-14.152,701.757,244.426
-4604.3,0.995089,0.344142,3,7,0,4605.48,45.2091,-13.19,704.586,236.464
-4603.29,0.995991,0.344142,3,15,0,4604.99,58.091,-14.522,703.943,236.494
-4602.82,0.999829,0.344142,4,15,0,4603.61,65.4368,-17.1031,721.614,241.306
-4603.64,0.911348,0.344142,4,15,0,4605.1,43.3002,-15.608,691.609,240.281
-4603.69,0.880099,0.344142,3,7,0,4605.92,49.6286,-12.4716,690.718,245.617
-4603.68,0.942155,0.344142,3,7,0,4604.78,46.0975,-13.6513,695.28,246.968
-4602.61,0.995408,0.344142,4,15,0,4604.37,61.9202,-17.8082,714.496,239.803
-4603.18,0.99189,0.344142,3,15,0,4603.48,80.7071,-21.8928,728.64,242.592
-4602.74,0.995673,0.344142,2,7,0,4603.88,70.1044,-21.3786,718.467,243.358
