# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:07:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 8
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac76bf324cb.json
# init = 2 (Default)
# random
#   seed = 59678787
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131707-8-97b29a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131707-8-0c09a7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.237872
# Diagonal elements of inverse mass matrix:
# 7.09622e-05, 0.0185987, 0.000195904, 0.000672077
-2683.92,0.971666,0.237872,3,15,0,2688.54,480.669,7.94617,235.871,26.8183
-2683.41,0.999941,0.237872,3,7,0,2684.35,483.293,7.90889,235.672,26.7815
-2683.47,0.956488,0.237872,4,15,0,2684.05,483.468,7.7777,237.748,27.9462
-2684.28,0.881678,0.237872,4,15,0,2685.39,484.807,7.71549,240.889,27.3349
-2684.28,0.629245,0.237872,1,3,0,2686.65,484.807,7.71549,240.889,27.3349
-2683.61,0.806542,0.237872,3,11,0,2686.22,483.719,7.67739,239.339,27.5274
-2683.22,0.931179,0.237872,2,7,0,2685.58,480.76,7.80449,239.8,26.9436
-2684.04,0.994864,0.237872,4,15,0,2684.19,487.247,7.75665,236.715,27.5052
-2683.22,0.996816,0.237872,4,15,0,2684.72,481.051,7.86405,238.517,27.2103
-2684.47,0.997801,0.237872,3,15,0,2685.16,482.043,7.73661,240.601,26.1022
-2684.13,0.995631,0.237872,4,15,0,2685.13,480.206,7.6371,241.655,28.0851
-2684.19,0.971998,0.237872,4,15,0,2685.06,479.913,7.62621,241.787,26.6277
-2684.81,0.817699,0.237872,2,7,0,2686.69,481.025,7.64113,243.364,26.4462
-2683.53,0.971769,0.237872,4,15,0,2686.66,482.133,7.7447,238.829,27.9935
-2683.8,0.780478,0.237872,2,3,0,2684.67,483.028,7.78135,239.743,27.9968
-2683.1,1,0.237872,4,15,0,2683.81,481.501,7.8165,237.711,27.0117
-2684.13,0.865263,0.237872,2,7,0,2684.55,481.414,7.77736,237.584,27.04
-2682.89,0.994976,0.237872,4,31,0,2687.92,484.046,7.81883,237.1,27.1412
-2683.1,0.97364,0.237872,4,23,0,2683.34,480.556,7.79592,239.967,27.1353
-2683.22,0.998795,0.237872,4,15,0,2683.4,484.36,7.72543,238.546,26.9803
-2686.41,0.973965,0.237872,4,15,0,2689.41,482.816,8.13653,231.012,27.0994
-2686.75,0.959443,0.237872,4,15,0,2688.05,480.228,8.14105,232.262,27.0192
-2687.29,0.994185,0.237872,4,15,0,2689.46,493.332,7.91426,232.954,27.0224
-2684.73,1,0.237872,4,15,0,2687.68,481.152,8.05533,234.013,27.2333
-2684.67,0.998973,0.237872,4,31,0,2686.63,482.082,7.49958,244.825,27.2898
-2683.38,0.974427,0.237872,4,31,0,2685.92,483.803,7.75106,239.502,26.5977
-2683.29,0.934346,0.237872,3,11,0,2684.39,481.379,7.75942,238.534,27.4227
-2685.5,0.755918,0.237872,3,9,0,2686.15,480.722,7.73918,237.865,27.2328
-2683.37,0.708703,0.237872,2,7,0,2688.56,478.661,7.77141,239.723,27.3787
-2683.95,0.846581,0.237872,3,15,0,2685.12,478.654,7.86176,239.583,27.5278
-2683.09,0.835184,0.237872,3,11,0,2685.48,484.241,7.78083,238.281,26.7159
-2685.65,0.684162,0.237872,4,15,0,2688.01,478.569,7.68441,239.859,27.6412
-2685.33,1,0.237872,3,15,0,2687.1,481.37,7.87979,239.558,27.3663
-2684.42,0.907321,0.237872,4,15,0,2687.51,479.821,7.57187,242.653,27.2278
-2684.47,0.841484,0.237872,2,7,0,2686.66,480.862,7.58733,244.468,27.362
-2683.67,0.971137,0.237872,4,15,0,2685.39,478.864,7.61209,243.369,27.0907
-2683.94,0.981587,0.237872,4,15,0,2685.05,486.755,7.85883,235.319,27.9097
-2683.18,0.981578,0.237872,4,15,0,2685.27,483.83,7.77579,239.051,26.7444
-2685.73,0.916215,0.237872,4,15,0,2688.03,483.751,7.48205,243.205,27.7478
-2685.2,0.832573,0.237872,2,3,0,2687.03,483.701,7.47871,243.97,27.5516
-2683.55,0.867204,0.237872,4,31,0,2687.57,483.411,7.92861,234.974,26.9856
-2682.93,0.996552,0.237872,4,31,0,2686.29,483.296,7.78072,239.123,27.5463
-2683.03,0.977805,0.237872,4,15,0,2684.23,483.294,7.83418,238.211,27.0201
-2684.75,0.966068,0.237872,4,15,0,2686.81,488.43,7.92104,234.298,28.0271
-2683.45,0.989513,0.237872,4,15,0,2685.22,480.398,7.7759,240.187,26.575
-2684.32,0.989876,0.237872,4,15,0,2685.36,487.941,7.80816,236.602,28.0304
-2687.34,0.933995,0.237872,4,15,0,2688.48,490.602,7.63474,239.727,28.4563
-2685.45,0.727981,0.237872,4,23,0,2692.53,481.955,7.44446,245.586,27.2787
-2684.85,1,0.237872,3,7,0,2685.95,480.207,7.49957,245.074,27.7918
-2687.48,0.834084,0.237872,4,15,0,2688.6,478.299,7.41244,246.265,26.6686
-2687.35,0.890881,0.237872,4,15,0,2690.4,479.036,7.36121,248.844,27.1916
-2684.87,0.959235,0.237872,3,15,0,2693.05,479.266,7.52261,245.486,27.8478
-2684.51,0.811567,0.237872,4,23,0,2688.51,487.207,7.92091,233.326,27.448
-2683.67,0.97613,0.237872,4,15,0,2686.75,482.655,7.95769,236.176,27.2653
-2682.99,0.989796,0.237872,4,15,0,2684.12,482.464,7.75878,238.789,26.7898
-2682.73,0.995431,0.237872,3,11,0,2684.52,481.519,7.79702,239.015,27.3618
-2683.92,0.858923,0.237872,3,11,0,2684.1,481.342,7.73065,238.688,26.9734
-2684.47,0.998873,0.237872,3,7,0,2686.29,486.886,7.63214,240.726,27.7865
-2683.28,0.999517,0.237872,3,15,0,2685.28,486.518,7.78724,237.457,27.2608
-2684.52,0.775168,0.237872,3,15,0,2686,489.084,7.71492,237.949,27.2982
-2683.66,0.833279,0.237872,3,7,0,2685.71,485.636,7.77777,236.804,27.6425
-2683.07,0.86891,0.237872,4,15,0,2684.88,485.331,7.75262,238.038,27.2766
-2683.14,0.982594,0.237872,4,15,0,2683.73,485.086,7.70017,239.455,27.2183
-2683.9,0.851252,0.237872,4,15,0,2684.7,481.209,7.8237,239.94,27.5299
-2684.86,0.990228,0.237872,3,15,0,2685.99,480.827,7.67768,240.363,28.4904
-2686.87,0.994204,0.237872,3,7,0,2687.4,478.151,7.70838,242.96,29.0188
-2686.77,0.996582,0.237872,4,15,0,2687.94,485.799,7.93406,233.812,25.714
-2683.13,0.991972,0.237872,4,15,0,2687.97,481.608,7.67924,241.043,27.7254
-2684.36,0.919929,0.237872,4,15,0,2686.01,481.283,8.0247,235.043,27.0937
