# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77ff41927.json
# init = 2 (Default)
# random
#   seed = 367986211
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-088f4f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-929417.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.239542
# Diagonal elements of inverse mass matrix:
# 0.0486941, 31.7058, 0.000327006, 0.000730121
-3384.61,0.8735,0.239542,4,31,0,3388.47,33.6773,-19.9224,384.712,63.7782
-3390.45,0.945463,0.239542,3,11,0,3393.8,30.3041,-36.4027,385.258,66.6911
-3388.8,0.937346,0.239542,2,3,0,3391.21,32.4241,-33.3062,385.064,66.5022
-3386.75,0.981472,0.239542,3,7,0,3389.46,30.29,-29.4286,384.127,65.7544
-3386.54,0.961358,0.239542,3,15,0,3390.29,34.1998,-28.8128,386.44,65.8914
-3385.91,0.996853,0.239542,4,15,0,3387.3,39.4883,-16.0725,392.629,62.3169
-3386.46,0.919816,0.239542,4,15,0,3387.04,35.7664,-15.7476,394.688,62.7684
-3385.1,0.994083,0.239542,3,11,0,3389.4,37.6307,-21.6895,389.539,65.6286
-3386.01,0.981826,0.239542,4,15,0,3387.59,42.4403,-29.7687,399.008,62.5918
-3385.99,0.965646,0.239542,3,15,0,3388.6,46.8809,-29.3272,400.598,63.0962
-3384.09,0.88034,0.239542,4,15,0,3390.34,27.1241,-18.1568,382.18,64.985
-3385.62,0.570957,0.239542,4,15,0,3390.48,27.3208,-13.7937,384.264,66.3392
-3384.9,0.997674,0.239542,4,15,0,3386.2,27.0436,-21.8904,382.6,61.6808
-3384.27,0.997977,0.239542,4,15,0,3385.49,32.8612,-18.0477,386.082,65.488
-3384.43,0.807491,0.239542,3,7,0,3386.02,31.5623,-16.8299,384.018,65.3931
-3385.95,0.84453,0.239542,4,15,0,3387.16,27.8703,-14.2698,378.079,62.0466
-3386.41,0.918195,0.239542,4,15,0,3388.69,46.4422,-29.505,400.838,65.6975
