# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7588bbaf0.json
# init = 2 (Default)
# random
#   seed = 150153370
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-0d0685.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-858fea.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.315638
# Diagonal elements of inverse mass matrix:
# 0.053993, 32.233, 0.00026412, 0.000578851
-3863.8,0.994003,0.315638,3,7,0,3865.63,28.3921,-15.0907,563.671,112.809
-3864.4,0.920733,0.315638,3,15,0,3866.37,47.1642,-23.6106,577.057,113.582
-3863.94,0.96965,0.315638,2,7,0,3867.4,41.4532,-25.692,574.348,112.4
-3864,0.990874,0.315638,3,15,0,3864.48,44.2222,-25.3649,575.86,112.431
-3864.86,0.640693,0.315638,2,3,0,3866.82,48.2374,-24.7404,576.458,111.467
-3865.93,0.995333,0.315638,2,7,0,3867.15,42.0729,-31.4372,579.242,110.908
-3865.86,0.883819,0.315638,3,7,0,3867.58,49.3969,-31.5608,583.179,109.775
-3864.08,0.979974,0.315638,2,7,0,3867.66,46.4224,-20.8619,579.631,113.264
-3863.68,0.995001,0.315638,3,15,0,3864.56,34.5246,-22.654,566.293,111.725
-3864.01,0.894503,0.315638,3,7,0,3864.73,30.9402,-18.8478,568.207,112.139
-3863.52,0.991805,0.315638,2,7,0,3864.98,36.3961,-15.7761,569.95,113.25
-3865.64,0.858996,0.315638,3,7,0,3866.71,25.6328,-18.4543,558.653,115.796
-3866.34,0.985323,0.315638,3,15,0,3870.38,19.7358,-13.6674,549.838,113.776
-3865.2,0.992104,0.315638,3,7,0,3867.08,23.2563,-9.72365,556.669,109.508
-3864.71,0.983076,0.315638,3,7,0,3866,25.2475,-16.0676,555.205,113.592
-3866.16,0.980349,0.315638,3,7,0,3867.05,18.8656,-13.9746,551.314,111.924
-3867.85,0.962525,0.315638,2,3,0,3868.1,16.0239,-14.1069,547.863,112.081
-3864.95,0.985632,0.315638,3,7,0,3868.71,22.6367,-10.3263,557.775,111.653
-3863.98,0.99552,0.315638,4,15,0,3865.98,39.2022,-15.8625,568.99,111.487
-3865.8,0.921833,0.315638,3,15,0,3867.64,55.1685,-25.4412,583.903,112.14
-3863.86,1,0.315638,3,11,0,3867.68,32.6489,-20.4466,564.773,114.021
-3863.83,0.956785,0.315638,3,7,0,3864.34,35.7786,-16.2918,572.336,110.727
-3864.19,0.878103,0.315638,2,3,0,3865.19,33.2243,-16.5991,570.842,109.86
-3863.9,0.951486,0.315638,3,15,0,3865.71,35.3926,-14.0707,567.405,110.43
-3863.38,0.973927,0.315638,3,15,0,3867.01,37.0862,-16.9739,571.509,111.68
-3865.67,0.927264,0.315638,3,15,0,3867.45,26.968,-12.7614,557.036,116.649
-3863.78,0.845231,0.315638,4,15,0,3868.19,33.0324,-19.2688,565.345,109.219
-3865.68,0.733789,0.315638,3,15,0,3868,35.7111,-18.8053,577.473,110.451
-3866.36,0.99763,0.315638,4,15,0,3867.33,27.0586,-8.83924,553.609,113.83
-3865.67,0.976009,0.315638,3,15,0,3869.12,32.7415,-20.2362,564.158,117.463
-3864.29,0.994588,0.315638,3,15,0,3866.97,28.8574,-12.3426,562.467,109.318
-3865.66,0.818861,0.315638,2,7,0,3867.82,24.9529,-22.8567,557.078,112.055
-3864.56,0.903674,0.315638,3,15,0,3867.87,33.3138,-13.2586,568.16,108.931
-3864.27,0.998375,0.315638,3,15,0,3865.15,33.3084,-24.9024,566.401,111.108
-3864.59,0.9903,0.315638,4,15,0,3865.67,37.3023,-15.2162,573.689,109.36
-3865.52,1,0.315638,4,15,0,3866.65,27.0338,-20.4191,559.03,107.673
-3863.81,0.946511,0.315638,3,15,0,3867.03,36.975,-17.1538,570.118,109.318
-3864.34,0.938461,0.315638,3,7,0,3865.79,43.5858,-17.0305,576.23,110.776
-3864.61,0.838808,0.315638,3,7,0,3865.68,37.7818,-21.201,564.088,111.01
-3864.2,0.960089,0.315638,3,7,0,3866,42.5991,-17.1029,572.593,111.482
-3864.36,0.973749,0.315638,3,9,0,3865.81,31.7396,-23.4884,566.755,112.789
-3864.37,0.969544,0.315638,3,7,0,3865.28,34.592,-14.7369,564.948,108.881
-3867.59,0.894679,0.315638,3,15,0,3868.12,25.6174,-27.4929,557.169,114.39
-3864.64,0.812578,0.315638,2,7,0,3872.52,33.5831,-12.0254,570.168,113.071
-3863.41,0.949047,0.315638,3,7,0,3865.38,37.2351,-18.0401,567.652,112.643
-3865.24,0.826875,0.315638,2,7,0,3865.65,30.8827,-21.2015,570.241,113.672
-3865.22,0.976912,0.315638,2,7,0,3866.69,41.8228,-19.2226,567.325,110.644
-3863.64,1,0.315638,3,7,0,3865.04,32.7169,-17.0027,569.24,112.495
-3865.13,0.941851,0.315638,2,3,0,3865.35,39.0781,-12.83,568.189,112.699
-3865.23,0.807278,0.315638,3,7,0,3869.23,30.559,-24.1298,566.664,109.071
-3865.02,0.989656,0.315638,4,15,0,3866.74,34.7944,-26.9009,565.319,113.585
-3863.4,0.994298,0.315638,3,15,0,3865.59,32.6573,-17.0283,563.641,112.844
-3865.27,0.821287,0.315638,3,7,0,3866.03,28.4555,-12.114,568.317,112.18
-3864.65,0.999386,0.315638,4,15,0,3865.57,42.9115,-15.7858,575.156,114.434
-3864.71,0.937955,0.315638,3,15,0,3868.25,28.2463,-22.5572,559.78,112.339
-3864.81,0.980081,0.315638,3,15,0,3868.53,29.0949,-23.5125,561.206,110.081
-3863.75,0.959102,0.315638,3,7,0,3865.4,30.9013,-17.3785,565.296,109.563
-3865.75,0.778264,0.315638,3,7,0,3867.53,28.5006,-25.6353,562.306,113.65
-3865.09,0.993788,0.315638,3,15,0,3868.31,34.8123,-20.8247,564.25,116.38
-3864.47,0.919133,0.315638,4,15,0,3867.14,33.9239,-12.3282,563.172,113.16
-3864.32,1,0.315638,3,7,0,3864.68,30.8284,-18.511,558.226,111.578
-3863.69,0.988871,0.315638,3,7,0,3864.71,31.1817,-15.5848,567.285,112.814
-3864.36,0.994411,0.315638,3,7,0,3864.61,34.3111,-17.8207,564.456,115.675
-3866.58,0.888609,0.315638,3,15,0,3868.25,33.1734,-30.7438,564.179,113.858
-3864.31,0.992125,0.315638,3,15,0,3867.38,36.1993,-24.1371,570.045,109.128
-3864.65,0.850739,0.315638,4,15,0,3866.01,32.4277,-20.3512,570.104,109.072
-3865.42,0.929013,0.315638,2,7,0,3867.12,34.4516,-24.6487,569.676,107.634
-3867.67,0.961759,0.315638,2,3,0,3867.91,35.5103,-25.6893,565.139,105.345
-3866.29,0.995448,0.315638,4,15,0,3870.24,50.63,-28.4606,586.453,116.263
-3864.56,0.98869,0.315638,4,15,0,3868.64,37.9565,-20.6811,572.053,107.85
-3865.42,0.853338,0.315638,4,15,0,3866.14,35.2246,-22.3441,573.8,108.253
-3868.24,0.867931,0.315638,2,3,0,3868.42,40.9556,-22.3087,564.675,106.687
-3864.53,1,0.315638,3,15,0,3869.7,49.2171,-25.3791,579.799,112.43
-3865.74,0.998432,0.315638,3,15,0,3867.11,52.4501,-30.1784,588.588,112.166
-3865.95,0.939142,0.315638,3,7,0,3866.69,50.0351,-27.5,588.331,110.16
-3865.55,0.920978,0.315638,3,15,0,3868.33,48.154,-25.7976,575.503,114.766
-3864.29,1,0.315638,2,3,0,3865.47,42.7446,-25.3094,578.014,113.813
-3864.32,0.990282,0.315638,4,15,0,3866.07,27.1341,-15.7821,558.118,109.128
-3864.81,0.979984,0.315638,3,15,0,3865.75,26.6165,-18.4454,557.442,108.848
-3864.87,0.976563,0.315638,3,7,0,3866.49,28.9495,-17.4208,559.101,107.89
-3865.4,0.827677,0.315638,3,15,0,3867.67,31.6932,-21.4129,564.638,106.928
-3868.31,0.591523,0.315638,3,7,0,3870.8,23.5153,-17.5296,567.379,112.945
-3865.3,0.984482,0.315638,2,3,0,3868.92,29.1447,-14.3889,554.581,113.599
-3863.81,0.989171,0.315638,4,15,0,3865.66,38.0633,-18.7934,571.256,109.212
-3864.77,0.930598,0.315638,3,7,0,3866.21,40.2021,-15.6122,577.301,110.4
-3864.17,0.996433,0.315638,3,7,0,3865.36,32.1164,-23.7187,564.99,110.884
-3864.07,0.992935,0.315638,3,7,0,3864.61,41.8968,-16.3763,575.204,111.457
-3863.81,1,0.315638,3,7,0,3864.56,41.3143,-17.542,573.927,110.795
-3863.88,0.986526,0.315638,3,15,0,3864.93,28.8475,-17.3873,558.959,110.79
-3864.25,0.908652,0.315638,3,7,0,3865.9,34.7824,-13.9266,571.501,110.729
-3866.01,0.941428,0.315638,3,7,0,3866.83,27.6987,-23.4492,562.505,115.204
-3864.43,0.989656,0.315638,4,15,0,3868.41,43.079,-16.8122,573.313,110.887
-3865.83,0.865261,0.315638,3,7,0,3867.23,37.5466,-30.5352,566.925,112.764
-3864.67,0.99758,0.315638,2,3,0,3866.07,36.7202,-26.7387,571.065,113.658
-3865.3,0.961272,0.315638,3,15,0,3866.8,34.8328,-19.6395,562.816,116.445
-3864.69,0.998462,0.315638,3,15,0,3866.7,29.2968,-17.2873,560.318,107.898
-3865.76,0.963893,0.315638,4,15,0,3866.96,25.8346,-9.05417,555.793,114.976
-3863.98,0.930579,0.315638,4,15,0,3866.81,29.7286,-21.0153,562.462,110.986
-3864.06,0.983489,0.315638,3,15,0,3865.9,43.1694,-26.2912,576.354,112.064
-3865.09,0.859644,0.315638,4,15,0,3866.13,51.2043,-27.0069,580.655,112.598
-3864.9,0.998653,0.315638,3,7,0,3865.52,50.9833,-22.8416,581.205,111.456
-3864.89,0.947905,0.315638,3,15,0,3866.02,42.4693,-26.318,571.205,109.758
-3864.26,1,0.315638,3,15,0,3865.49,38.5882,-19.3933,573.08,108.483
-3865.51,0.926165,0.315638,3,15,0,3866.78,28.0283,-23.723,559.039,113.988
-3864.29,0.926395,0.315638,2,5,0,3867.06,29.1599,-19.3097,566.319,112.237
-3866.04,0.881945,0.315638,2,7,0,3867.87,28.2196,-12.9332,553.078,109.52
-3869.36,0.85734,0.315638,3,15,0,3871.28,43.4646,-32.2098,564.826,112.006
-3865.67,0.960233,0.315638,3,11,0,3871.24,33.6406,-27.9424,566.071,114.531
-3864.17,0.9962,0.315638,3,11,0,3866.43,39.048,-24.7692,570.503,109.678
-3865.83,0.970547,0.315638,2,7,0,3866.35,36.0523,-29.7838,568.353,108.968
-3864.14,0.96607,0.315638,3,15,0,3866.88,32.0104,-19.4934,567.097,108.872
-3864.66,0.95803,0.315638,2,3,0,3865.14,35.4184,-17.8386,565.673,107.791
-3863.69,1,0.315638,3,7,0,3865.04,35.0723,-22.6545,566.176,111.879
-3863.98,0.957312,0.315638,3,15,0,3864.89,30.5575,-14.5429,563.991,109.081
-3863.62,0.985935,0.315638,3,15,0,3864.97,33.0805,-14.179,566.582,113.358
-3864.28,0.957773,0.315638,4,15,0,3864.87,36.7451,-25.2473,572.416,110.677
-3864.39,0.944504,0.315638,3,15,0,3866.17,43.2311,-23.6668,578.227,109.326
-3866.37,0.543563,0.315638,4,15,0,3869.91,45.5916,-27.0453,586.868,112.667
-3864.68,1,0.315638,2,7,0,3866.88,46.8267,-20.284,575.165,112.99
-3870.52,0.374631,0.315638,4,15,0,3871.76,21.0844,-10.6521,541.835,108.358
-3865.55,0.987113,0.315638,4,15,0,3873.35,35.8934,-18.7363,566.789,117.79
-3864.71,0.904844,0.315638,3,15,0,3867.23,45.5402,-23.5379,580.088,109.007
-3864.66,0.915155,0.315638,4,15,0,3866.33,37.8758,-23.1559,571.923,115.829
-3865.75,0.72242,0.315638,2,3,0,3866.46,41.4215,-23.0532,567.617,115.897
-3865.06,0.95292,0.315638,4,15,0,3867.25,39.4918,-19.351,576.06,107.872
-3863.75,1,0.315638,3,7,0,3866,29.6239,-18.7738,563.922,110.538
-3863.88,0.997796,0.315638,3,15,0,3864.81,42.411,-19.7473,576.408,114.189
-3863.92,0.836411,0.315638,4,15,0,3865.35,34.9685,-16.2263,565.522,109.34
-3864.34,0.962397,0.315638,4,15,0,3865.18,42.934,-25.5212,576.407,114.394
-3864.51,0.875458,0.315638,4,15,0,3865.39,39.4194,-16.1332,567.767,110.229
-3864.42,0.981745,0.315638,4,15,0,3867.54,35.9634,-15.9017,571.342,115.654
-3865.85,0.996,0.315638,4,31,0,3866.9,20.9912,-13.0684,553.501,108.397
-3866.97,0.979456,0.315638,2,3,0,3867.1,20.7081,-12.9573,552.02,106.824
-3866.63,0.945115,0.315638,3,7,0,3870.66,20.4252,-18.4099,552.957,113.677
-3864.44,0.997851,0.315638,3,7,0,3866.9,32.0279,-12.1018,561.042,113.226
-3865.41,0.875008,0.315638,3,7,0,3866.9,29.6855,-17.0973,562.831,117.099
-3865.41,0.979973,0.315638,3,15,0,3867.34,34.0137,-25.0149,564.705,115.628
-3868.61,0.952948,0.315638,3,7,0,3871.77,24.2029,-8.04488,560.296,105.836
-3866.07,1,0.315638,2,3,0,3868.69,25.0981,-10.0326,558.19,107.318
-3865.58,0.954779,0.315638,3,7,0,3867.61,22.0687,-14.5508,552.794,108.816
-3864.9,0.942041,0.315638,4,15,0,3867.44,28.3763,-14.3888,555.185,110.01
-3866.51,0.991781,0.315638,3,7,0,3867.05,18.9447,-13.7683,554.531,113.313
-3864.39,0.959829,0.315638,3,15,0,3867.86,40.408,-18.4164,578.052,110.333
-3864.44,0.984238,0.315638,4,15,0,3865.35,36.0521,-20.824,564.463,109.128
-3865.33,0.941476,0.315638,3,15,0,3866.93,28.2747,-24.2253,564.482,111.171
-3863.97,0.99455,0.315638,4,15,0,3866.96,37.5135,-14.5752,567.848,111.668
