# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac76517bbdf.json
# init = 2 (Default)
# random
#   seed = 609384487
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-176538.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-8ce0a1.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.214503
# Diagonal elements of inverse mass matrix:
# 1.98209e-05, 0.00326498, 5.20874e-05, 0.000632288
-2075.34,0.943346,0.214503,4,31,0,2077.41,595.056,8.33103,217.37,12.6696
-2074.53,0.997906,0.214503,4,15,0,2076.04,593.717,8.3344,218.487,12.2028
-2074.14,0.985806,0.214503,2,7,0,2074.91,594.735,8.30905,218.042,12.2754
-2074.48,0.998867,0.214503,4,15,0,2075.37,595.451,8.35935,217.034,12.2894
-2074.75,0.884407,0.214503,4,31,0,2076.76,594.418,8.23947,220.18,11.9635
-2074.13,0.998225,0.214503,4,23,0,2074.87,595.158,8.33156,217.777,12.3861
-2075.64,0.92166,0.214503,3,7,0,2076.05,597.732,8.3112,216.973,12.2549
-2077.11,0.887985,0.214503,4,31,0,2079.86,598.681,8.23867,218.407,12.5362
-2079.69,0.997847,0.214503,4,15,0,2083.17,598.27,8.23452,219.657,13.1315
-2074.7,1,0.214503,4,15,0,2080.13,594.09,8.33324,218.25,12.5484
-2076.37,0.877699,0.214503,2,7,0,2076.96,593.395,8.33438,217.502,12.6968
-2075.06,0.998076,0.214503,4,15,0,2078.4,595.424,8.24898,219.976,12.567
-2074.5,0.985431,0.214503,3,15,0,2076.74,596.46,8.28553,218.074,12.2616
-2076.64,0.994964,0.214503,4,15,0,2077.57,594.78,8.26883,219.736,12.9357
-2076.41,0.982191,0.214503,4,15,0,2079.17,594.477,8.38479,216.135,11.8937
-2074.72,0.887116,0.214503,4,15,0,2078.72,596.273,8.29084,218.333,12.5911
-2074.17,0.994119,0.214503,3,15,0,2075.11,596.497,8.30087,218.141,12.2738
-2074.21,0.992939,0.214503,5,31,0,2077.08,595.088,8.33739,217.698,12.0476
-2074.09,0.993784,0.214503,4,15,0,2074.79,595.148,8.25501,219.481,12.2056
-2074.16,0.971391,0.214503,4,15,0,2075.15,595.505,8.31249,217.796,12.321
-2076.25,0.992645,0.214503,4,15,0,2077.62,594.558,8.42063,215.638,12.3275
-2074.98,0.979627,0.214503,4,15,0,2077.42,596.616,8.31696,217.688,12.6049
-2075.83,0.944395,0.214503,4,15,0,2076.56,593.167,8.34546,217.726,11.7583
-2076.58,0.983407,0.214503,3,7,0,2077.68,591.559,8.33242,218.473,11.8167
-2075.56,0.899086,0.214503,3,15,0,2079.36,594.711,8.2166,220.074,12.386
-2074.66,0.965039,0.214503,4,15,0,2076.72,596.975,8.26123,219.071,12.3415
-2074.41,0.959536,0.214503,3,11,0,2077.98,595.695,8.27164,219.354,12.3918
-2074.1,0.986571,0.214503,4,15,0,2075.68,595.855,8.27624,218.773,12.3692
-2075.08,0.992172,0.214503,4,15,0,2075.49,594.924,8.23122,220.088,12.5738
-2075.39,0.688839,0.214503,4,31,0,2080.51,595.429,8.29653,218.69,12.7792
-2075.13,0.936668,0.214503,4,15,0,2076.37,594.755,8.26985,218.802,11.8878
-2076.54,0.999677,0.214503,4,19,0,2077.67,595.738,8.39395,216.393,12.7074
-2076.95,0.739683,0.214503,4,31,0,2080.23,594.983,8.33224,218.442,11.6333
-2076.78,0.996158,0.214503,4,15,0,2077.71,595.603,8.33603,218.226,12.8073
-2075.04,0.998807,0.214503,4,15,0,2077.36,595.239,8.33612,218.12,11.9485
-2074.43,0.968073,0.214503,4,15,0,2076.71,595.219,8.33435,218.024,12.3703
-2074.64,0.989825,0.214503,3,15,0,2075.37,595.601,8.27413,219.442,12.0459
-2073.96,0.934625,0.214503,4,15,0,2077.23,594.214,8.28694,219.195,12.2855
-2073.91,0.988502,0.214503,4,15,0,2074.1,594.982,8.29259,218.884,12.1327
-2076.81,0.984165,0.214503,4,15,0,2077.16,598.888,8.22772,219.276,12.5344
-2074.92,0.998333,0.214503,4,15,0,2077.51,592.933,8.3385,218.267,12.5137
-2075.46,0.921419,0.214503,3,15,0,2077.23,593.098,8.33004,218.861,12.5674
-2075.4,1,0.214503,4,15,0,2076.56,595.751,8.34345,217.437,12.7103
-2077.62,0.785722,0.214503,4,15,0,2080.23,600.023,8.30874,217.132,12.16
-2076.85,0.994502,0.214503,4,15,0,2081.1,591.543,8.37196,218.146,11.9009
-2074.32,0.740315,0.214503,4,15,0,2078.79,595.215,8.29704,218.27,11.9599
-2074.18,0.996495,0.214503,4,15,0,2075.93,596.254,8.28294,218.655,12.3663
-2075.79,0.981693,0.214503,3,15,0,2076.5,591.292,8.28848,220.084,12.2638
-2076.83,0.63598,0.214503,3,15,0,2079.85,592.848,8.27588,220.668,12.3917
-2074.34,1,0.214503,4,15,0,2076.97,592.991,8.29353,219.151,12.1991
-2075.42,0.945957,0.214503,4,15,0,2075.93,592.245,8.25571,220.056,12.127
-2074.73,0.998583,0.214503,4,15,0,2076.56,594.259,8.29475,218.96,12.6412
-2074.37,0.997279,0.214503,3,15,0,2075.64,594.528,8.29079,218.945,12.5479
-2075.65,0.969523,0.214503,4,15,0,2077.92,594.921,8.19216,221.198,12.3573
-2076.64,0.891991,0.214503,4,15,0,2077.88,592.294,8.23245,221.118,12.6876
-2076.15,0.849946,0.214503,4,15,0,2078.85,597.679,8.19952,220.348,12.2523
-2076.59,0.908337,0.214503,4,15,0,2078.19,597.329,8.22732,220.141,12.6264
-2076.23,0.999801,0.214503,4,15,0,2077.77,596.29,8.19177,220.27,12.3618
-2075.45,0.954061,0.214503,4,31,0,2079.13,596.441,8.23835,220.008,11.9462
