# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac75dee80e5.json
# init = 2 (Default)
# random
#   seed = 410800732
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-22257b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-4fa339.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.224411
# Diagonal elements of inverse mass matrix:
# 0.0228871, 6.73481e-05, 1.56061e-05, 0.000666189
-1648.46,0.885228,0.224411,4,15,0,1649.75,1317.28,1.30468,209.693,7.03675
-1650.52,0.996221,0.224411,4,15,0,1651.34,1091.2,1.31021,209.418,7.17146
-1648.94,0.953318,0.224411,3,7,0,1651.33,1054.96,1.31327,209.886,7.10379
-1649.38,0.998173,0.224411,2,7,0,1650.14,1024.96,1.31396,209.752,7.13614
-1652.5,0.836207,0.224411,3,7,0,1654.07,1007.65,1.32173,209.011,7.21912
-1656.18,0.631537,0.224411,2,3,0,1657.83,1031.49,1.32021,208.542,7.23586
-1654.99,0.995219,0.224411,3,7,0,1656.71,1043.05,1.31889,208.688,7.23495
-1651.02,0.94271,0.224411,3,7,0,1656.58,1102.21,1.31298,210.41,6.98089
-1649.78,0.994603,0.224411,4,15,0,1655.03,1384.06,1.29951,211.135,6.70846
-1647.63,0.998501,0.224411,3,15,0,1651.15,1268.51,1.28976,210.975,7.00102
-1648.12,0.972577,0.224411,4,15,0,1649.19,1390.71,1.28735,211.461,6.84625
-1649.41,0.987063,0.224411,4,15,0,1653.94,1530.27,1.30538,210.054,6.39312
-1648.8,0.993029,0.224411,4,15,0,1652.54,1005.2,1.3049,210.223,7.13906
-1647.22,0.930775,0.224411,4,15,0,1650.21,1233.15,1.29914,210.87,6.95299
-1649.19,0.922709,0.224411,2,7,0,1652.13,1072.4,1.29056,210.737,6.94211
-1649.19,0.998257,0.224411,3,15,0,1650.83,1721.39,1.30012,209.92,6.83769
-1647.53,0.99771,0.224411,4,15,0,1650.59,1325.37,1.30698,209.668,6.65064
-1647.7,0.986527,0.224411,3,7,0,1648.14,1353.87,1.30663,210.368,6.60605
-1649.31,0.87893,0.224411,4,15,0,1651.27,1591.45,1.29171,211.367,6.7069
-1651.28,0.977917,0.224411,4,15,0,1653.9,1446.93,1.31289,210.069,7.19708
-1650.39,0.991292,0.224411,4,15,0,1652.33,1269.63,1.31041,209.33,7.17183
-1649.52,0.985656,0.224411,4,15,0,1651.77,1152.81,1.30093,210.768,6.42715
-1647.85,0.998159,0.224411,4,15,0,1651.46,1653.53,1.29326,210.979,6.71914
-1646.56,0.995229,0.224411,4,15,0,1649.48,1134.63,1.30844,210.057,6.80292
-1647.14,0.995009,0.224411,4,15,0,1648.01,1448.96,1.30411,210.195,7.02118
-1646.9,0.916367,0.224411,4,15,0,1649.22,1500.37,1.30348,209.962,6.72868
-1647.18,0.994815,0.224411,4,15,0,1648.96,1527.73,1.30714,210.063,6.8684
-1648.21,0.955333,0.224411,4,15,0,1649.22,1116.58,1.28867,211.076,6.89275
-1649.71,0.855148,0.224411,4,15,0,1652.88,1502.9,1.309,209.288,6.76929
-1648.51,1,0.224411,3,7,0,1649.84,1442.81,1.30884,210.332,6.73003
-1648.91,0.942446,0.224411,2,3,0,1650.22,1485.78,1.30685,209.465,6.75714
-1647.96,1,0.224411,4,31,0,1649.89,1466.72,1.29757,210.197,6.5727
-1649.67,0.809848,0.224411,4,15,0,1651.44,1125.1,1.30745,210.701,6.88584
-1649.06,0.999639,0.224411,4,15,0,1650.68,1525.88,1.29655,210.061,6.94026
-1647.26,0.995057,0.224411,4,15,0,1650.75,1182.1,1.29814,210.667,7.07454
-1647.68,0.9227,0.224411,4,15,0,1650.12,1509.05,1.30169,210.086,6.54387
-1649.51,0.818437,0.224411,4,15,0,1652.15,1029.89,1.30901,210.498,7.01277
-1648.08,1,0.224411,2,3,0,1649.84,1007.72,1.30685,210.308,7.0187
-1646.79,0.979737,0.224411,4,15,0,1648.67,1402.34,1.30793,210.093,6.71566
-1646.97,0.960527,0.224411,4,15,0,1647.94,1077.83,1.30128,210.664,6.84497
-1648.06,0.998776,0.224411,4,15,0,1648.58,1383.03,1.31547,209.524,6.79024
-1651.22,0.94885,0.224411,4,15,0,1653.12,1421.5,1.27886,212.03,6.74433
-1647.84,0.972184,0.224411,4,15,0,1652.95,1465.6,1.29492,211.021,6.5875
-1649.78,0.769461,0.224411,4,15,0,1652.25,1536.45,1.28765,210.618,6.82616
-1647.1,0.991256,0.224411,4,31,0,1650.48,1455.64,1.29816,210.285,6.60457
-1647.92,0.941029,0.224411,4,15,0,1649.09,1212.2,1.30902,209.509,6.7307
-1648.27,0.973189,0.224411,4,15,0,1650.35,1303.32,1.28787,211.48,6.91285
-1648.96,0.915446,0.224411,4,15,0,1651.19,1478.72,1.29118,211.424,6.70761
-1647.37,1,0.224411,4,15,0,1649.68,1513.27,1.29873,210.783,6.90631
-1647.61,0.998695,0.224411,4,15,0,1648.8,1168.35,1.29093,211.023,6.64417
-1650.24,0.896478,0.224411,4,15,0,1652.3,1202.98,1.29836,210.225,7.29011
-1651.24,0.990064,0.224411,4,15,0,1653.4,1391.49,1.31154,209.991,7.30583
-1649.11,0.999775,0.224411,4,31,0,1653.09,988.613,1.31473,209.909,6.69026
-1648.09,0.922501,0.224411,2,3,0,1650.11,1001.63,1.31244,209.728,6.76675
-1647.41,0.964483,0.224411,4,15,0,1649.29,1252.67,1.31019,209.571,6.92864
-1646.91,0.999756,0.224411,4,15,0,1647.87,1136.78,1.30538,209.953,6.93383
-1646.54,0.973543,0.224411,4,31,0,1647.83,1399.31,1.2965,210.472,6.92222
-1646.66,0.980377,0.224411,4,15,0,1647.21,1452.4,1.30302,210.435,6.86353
-1648.1,0.995548,0.224411,3,15,0,1648.73,1508.94,1.31019,209.537,6.90763
-1646.8,0.97566,0.224411,2,7,0,1649.36,1391.04,1.30698,209.778,6.84365
-1647.03,0.999568,0.224411,4,15,0,1647.79,1257.34,1.30123,210.207,7.05041
-1646.81,0.987037,0.224411,4,31,0,1648.15,1544.38,1.29583,210.52,6.84393
-1646.22,0.999423,0.224411,4,15,0,1647.2,1239.9,1.30623,210.028,6.71183
-1646.15,0.936942,0.224411,4,15,0,1648.03,1162.35,1.30066,210.378,6.84397
-1645.98,0.943697,0.224411,4,15,0,1646.9,1374.16,1.30126,210.347,6.85404
-1650.44,0.964086,0.224411,3,7,0,1650.75,1961.11,1.30107,210.265,6.56455
-1646.93,0.966124,0.224411,4,15,0,1652.12,1251.67,1.30049,210.439,7.06485
-1646.23,0.997503,0.224411,4,15,0,1647.55,1252.49,1.30677,209.947,6.84126
-1646.63,0.940045,0.224411,2,3,0,1646.85,1243.47,1.30524,209.878,6.87016
-1646.67,0.901529,0.224411,4,15,0,1648.93,1293.13,1.29663,210.585,6.59213
-1646.86,0.995119,0.224411,4,15,0,1648.34,1370.46,1.30202,210.201,7.02567
-1646.25,0.991021,0.224411,4,15,0,1647.43,1221.2,1.2959,210.817,6.80218
-1645.91,0.977652,0.224411,4,15,0,1646.93,1261.62,1.30195,210.355,6.72396
-1646.13,0.990276,0.224411,3,15,0,1647.43,1235.37,1.30094,210.453,6.67003
-1646.59,0.984121,0.224411,3,7,0,1646.92,1239.71,1.30177,210.456,6.59551
-1646.33,0.88583,0.224411,4,15,0,1648.79,1273.88,1.30825,209.896,6.81175
-1646.06,0.96178,0.224411,4,15,0,1646.99,1281.31,1.29579,210.694,6.79743
-1648.29,0.819413,0.224411,4,15,0,1650.63,1391.26,1.30635,210.487,6.63801
-1647.02,0.962045,0.224411,3,7,0,1649.22,1200.3,1.30442,210.47,6.62948
-1647.49,0.871116,0.224411,2,3,0,1648.67,1247.43,1.30506,210.511,6.62226
-1647.36,0.999565,0.224411,4,15,0,1649.34,1400.14,1.31106,209.626,6.8979
-1648.7,0.992231,0.224411,4,15,0,1649.2,1317.92,1.28777,211.354,6.55125
-1647.61,0.784029,0.224411,3,11,0,1652.33,1505.57,1.31011,209.91,6.8799
-1646.11,0.907319,0.224411,2,7,0,1649.14,1406.78,1.30395,210.182,6.79546
-1647.8,0.987808,0.224411,4,15,0,1648.29,1160.4,1.30045,210.448,7.14367
-1646.08,0.996381,0.224411,3,15,0,1648.74,1245.47,1.29692,210.672,6.8573
-1648.39,0.940996,0.224411,3,15,0,1652.21,1041.16,1.30346,210.231,7.12596
-1647.03,0.991096,0.224411,4,15,0,1650.22,1486.13,1.29855,210.394,6.99669
-1648.22,0.957937,0.224411,4,15,0,1648.87,1395.02,1.29389,210.606,7.12837
-1646.66,0.999056,0.224411,4,15,0,1649.13,1307.5,1.30816,209.769,6.86448
-1648.89,0.753602,0.224411,3,11,0,1650.28,1258.47,1.29305,210.306,6.80137
-1647.29,0.988664,0.224411,3,15,0,1649.99,1555.59,1.29684,210.453,6.96544
-1649.17,0.992254,0.224411,3,7,0,1649.9,1532.54,1.2889,211.01,7.12482
-1649.02,0.955715,0.224411,4,15,0,1651.98,1130.57,1.29286,210.78,7.16758
-1651.01,0.955117,0.224411,3,7,0,1652.04,1138.79,1.29221,210.9,7.34069
-1649.31,0.680157,0.224411,2,7,0,1656.02,1163.68,1.29689,210.283,7.17037
-1654.58,0.832412,0.224411,3,15,0,1661.1,1143.46,1.28754,210.691,7.39337
-1655.24,0.815545,0.224411,3,7,0,1659.37,1232.45,1.29289,211.487,7.4917
-1654.14,0.992737,0.224411,4,15,0,1656.59,1307.23,1.31559,209.655,6.22921
-1654,1,0.224411,3,7,0,1655.52,1379.99,1.31711,209.284,6.26496
-1648.14,0.999701,0.224411,3,7,0,1654.32,1442.5,1.3087,209.837,6.51004
-1647.44,0.998793,0.224411,4,15,0,1649.52,1069.16,1.3038,210.269,6.59534
-1647.05,0.996211,0.224411,4,15,0,1648.2,1585.18,1.29875,210.351,6.89398
-1647.95,0.955582,0.224411,4,15,0,1649.56,1614.43,1.30386,209.891,6.92199
-1649.06,0.998268,0.224411,4,15,0,1650.75,1152.33,1.28639,211.602,6.84829
-1649.55,0.810935,0.224411,4,15,0,1652.25,1497.81,1.31677,209.647,6.76575
-1652.07,0.950449,0.224411,4,15,0,1655.41,947.989,1.31706,209.969,6.53915
-1649.36,1,0.224411,4,15,0,1653.33,1076.01,1.31336,209.441,6.5632
-1648.92,1,0.224411,4,15,0,1649.94,1548.75,1.28667,211.158,7.03345
-1648.7,0.996569,0.224411,3,7,0,1649.21,1578.3,1.28907,211.215,7.01553
-1646.91,0.974393,0.224411,4,15,0,1650.15,1321.88,1.29769,210.374,6.58728
-1646.4,0.985696,0.224411,4,15,0,1647.46,1429.77,1.3003,210.523,6.66494
-1647.14,0.961417,0.224411,4,15,0,1648.76,1267.61,1.29184,210.74,6.92656
-1647.57,0.902958,0.224411,4,15,0,1650.24,1313.05,1.30453,210.623,6.82711
-1647.4,0.989059,0.224411,3,11,0,1649.41,1345.59,1.30177,210.766,6.83182
-1648.08,0.991649,0.224411,3,15,0,1649.85,1591.92,1.30217,209.877,6.87329
-1649.04,0.978988,0.224411,3,7,0,1650.05,1795.45,1.30049,210.634,6.81533
-1647.89,1,0.224411,4,15,0,1650.31,1499.77,1.30068,210.582,6.51975
-1649.69,0.896624,0.224411,4,31,0,1651.69,1360.19,1.31686,209.766,6.66062
-1648.89,1,0.224411,3,7,0,1650.05,1292.43,1.30964,209.412,6.60064
-1652.37,0.790369,0.224411,3,7,0,1653.68,1359.39,1.31092,209.061,6.53183
-1648.28,0.930163,0.224411,2,3,0,1653.77,1263.24,1.31064,209.511,6.57666
-1647.51,0.99617,0.224411,2,3,0,1648.43,1251.51,1.31092,209.715,6.5894
-1648.1,0.99397,0.224411,3,7,0,1648.24,1306.96,1.31238,209.7,6.55089
-1649.16,0.876661,0.224411,4,15,0,1650.27,1173.56,1.29662,211.088,7.14806
-1647.93,0.953872,0.224411,3,15,0,1651.96,1283.18,1.3003,209.947,6.94918
-1649.25,0.998099,0.224411,3,11,0,1650.45,1300.42,1.31642,209.833,6.91983
-1646.77,0.988496,0.224411,2,7,0,1650.08,1280.4,1.31046,209.909,6.86803
-1647.44,0.873587,0.224411,2,7,0,1649.06,1288.97,1.31074,209.523,6.89322
-1648.62,0.904515,0.224411,4,15,0,1650,1280.08,1.28812,210.811,6.66316
-1648.68,1,0.224411,4,15,0,1651.17,966.359,1.29741,210.535,6.86646
-1648.41,0.945302,0.224411,4,15,0,1651.92,1041.43,1.31087,209.579,6.70725
-1646.65,0.980104,0.224411,4,15,0,1649.17,1107.16,1.30538,210.201,6.92792
-1646.44,0.998331,0.224411,4,15,0,1647.31,1205.16,1.30529,210.185,6.6439
-1647.31,0.475386,0.224411,3,11,0,1654.66,1143.07,1.29919,210.552,7.07256
-1647.28,0.995274,0.224411,4,15,0,1648.66,1124.71,1.29598,210.772,7.01482
-1646.62,0.993758,0.224411,4,15,0,1647.77,1300.29,1.30043,210.298,7.00705
