# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac775499f43.json
# init = 2 (Default)
# random
#   seed = 1717317285
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-2b37cb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-525531.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.132698
# Diagonal elements of inverse mass matrix:
# 1.26423e-05, 0.00163248, 7.236e-05, 0.000749781
-1674.72,0.976617,0.132698,4,23,0,1676.88,761.384,8.40533,178.419,7.48823
-1672.98,0.997668,0.132698,4,31,0,1675.18,761.694,8.42087,178.11,6.83218
-1672.6,0.964748,0.132698,4,15,0,1673.76,762.759,8.41035,178.023,6.99395
-1674.07,0.920601,0.132698,4,15,0,1676.14,762.591,8.45565,176.9,6.91447
-1675.11,0.817466,0.132698,4,15,0,1677.24,761.546,8.43925,177.277,6.69755
-1677.62,0.888909,0.132698,4,15,0,1679.25,764.78,8.43185,177.179,6.77769
-1677.46,1,0.132698,2,3,0,1677.97,764.695,8.4232,176.886,6.77097
-1675.58,0.895874,0.132698,4,15,0,1678.79,763.713,8.41932,177.144,6.87647
-1676.25,0.473784,0.132698,4,15,0,1682.81,758.617,8.3854,179.708,7.33552
-1675.83,0.862221,0.132698,2,3,0,1677.83,758.933,8.39196,180.112,7.35026
-1676.64,0.904843,0.132698,4,15,0,1677.74,764.308,8.36629,179.626,6.86323
-1674.86,0.89172,0.132698,4,15,0,1678.17,759.965,8.4082,179.339,6.83072
-1673.58,0.978028,0.132698,4,15,0,1675.72,763.584,8.40436,178.332,7.1704
-1673.84,0.988143,0.132698,4,23,0,1676.28,763.193,8.40633,178.412,6.87683
-1674.26,0.805364,0.132698,4,31,0,1676.03,762.896,8.39112,179.157,6.9018
-1674.6,0.945697,0.132698,5,31,0,1675.98,760.042,8.34407,180.738,7.02791
-1672.31,1,0.132698,4,31,0,1675.71,761.637,8.3992,178.959,6.96507
-1672.72,0.966842,0.132698,5,31,0,1673.02,761.612,8.43568,177.417,7.16068
-1673.06,0.966096,0.132698,2,7,0,1674.77,762.819,8.43395,177.265,7.20143
-1673.33,0.994912,0.132698,5,31,0,1675.32,762.362,8.34327,180.47,7.16234
-1672.8,0.994959,0.132698,3,7,0,1673.38,761.443,8.354,180.408,7.14233
-1673.64,0.876867,0.132698,5,35,0,1675.6,763.649,8.40107,177.983,7.13954
-1674.22,0.940086,0.132698,4,31,0,1676.58,761.624,8.40547,178.602,7.47899
-1672.21,0.990859,0.132698,4,23,0,1678.82,762.351,8.39196,178.872,7.12757
-1672.74,0.904803,0.132698,4,23,0,1673.41,761.5,8.38005,179.767,7.04564
-1673.9,0.779266,0.132698,4,19,0,1677.34,761.78,8.40731,178.963,7.23844
-1672.82,0.842262,0.132698,2,7,0,1675.84,762.019,8.40503,178.619,7.29531
-1672.36,0.999554,0.132698,4,23,0,1673.72,761.591,8.40273,178.644,6.90996
-1673.58,0.770302,0.132698,5,31,0,1674.95,761.497,8.44747,177.518,7.23808
-1672.83,0.996806,0.132698,3,15,0,1677.98,762.164,8.4392,177.446,7.18638
-1672.55,0.686919,0.132698,4,19,0,1677.07,762.243,8.39458,178.548,7.06464
-1673.38,0.668706,0.132698,4,19,0,1676.24,761.836,8.41822,177.795,7.27294
-1674.86,0.972842,0.132698,2,7,0,1675.91,763.92,8.42452,177.649,7.27563
-1674.53,0.996981,0.132698,4,31,0,1675.87,760.448,8.41036,178.425,7.40306
-1674.44,0.751817,0.132698,5,31,0,1678.18,762.096,8.33208,180.587,7.08927
