# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac726c474e0.json
# init = 2 (Default)
# random
#   seed = 952649101
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-2f6a4e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-6a2b1c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.174524
# Diagonal elements of inverse mass matrix:
# 3.22791e-05, 0.00635263, 7.50881e-05, 0.000627578
-2277.74,0.988951,0.174524,3,7,0,2280.07,519.857,6.99407,258.857,16.8332
-2269.79,0.999412,0.174524,5,31,0,2278.17,512.35,7.12707,258.374,15.8213
-2269.44,0.998911,0.174524,4,15,0,2269.84,512.087,7.18892,256.626,15.8381
-2269.61,0.97837,0.174524,3,15,0,2270.07,512.63,7.1693,256.642,15.9003
-2272.48,0.977132,0.174524,3,15,0,2274.35,506.276,7.22619,257.261,15.7611
-2275.24,0.706515,0.174524,4,31,0,2278.59,517.41,7.04794,257.24,15.6841
-2270.03,0.955832,0.174524,4,23,0,2277.04,514.011,7.22444,255.414,15.7775
-2269.6,0.977179,0.174524,4,15,0,2270.24,512.45,7.21222,255.874,15.814
-2269.86,0.9446,0.174524,3,15,0,2271.96,512.315,7.13956,258.244,15.8724
-2270.41,0.620021,0.174524,2,7,0,2276.24,514.236,7.09734,258.44,15.6961
-2271.53,0.983355,0.174524,3,7,0,2271.85,515.973,7.05776,258.734,15.8406
-2272.13,0.958541,0.174524,4,31,0,2273.56,506.668,7.18499,258.33,16.2627
-2271.75,0.963963,0.174524,3,7,0,2273.18,507.307,7.20585,258.051,16.2086
-2271.81,0.876637,0.174524,4,31,0,2274.22,508.732,7.17526,257.255,16.4427
-2275.08,0.784561,0.174524,4,15,0,2277.25,511.17,7.02498,259.316,16.3826
-2271.42,1,0.174524,2,7,0,2274.67,511.444,7.07152,259.997,16.4244
-2271.27,0.966468,0.174524,4,15,0,2272.79,512.32,7.06699,258.961,16.3126
-2271.5,0.996971,0.174524,5,31,0,2276.76,512.421,7.28594,254.756,16.4522
-2272.69,0.83044,0.174524,3,15,0,2274.99,510.642,7.20483,255.264,15.9566
-2270.24,0.999681,0.174524,4,19,0,2273.06,511.771,7.25715,255.636,15.9436
-2270.82,0.935647,0.174524,4,15,0,2272.31,515.891,7.17406,255.885,16.2047
-2271,0.882699,0.174524,4,15,0,2273.77,514.612,7.1218,258.137,15.5498
-2271.22,0.98016,0.174524,5,31,0,2272.83,510.023,7.0892,260.232,16.0777
-2270.26,0.994716,0.174524,4,31,0,2271.66,511.211,7.0944,259.111,15.6871
-2270.62,0.939744,0.174524,4,15,0,2272.09,509.339,7.11784,258.788,16.0057
-2270.18,0.928339,0.174524,4,15,0,2271.53,509.85,7.13208,258.893,15.8233
-2270.18,0.947721,0.174524,4,15,0,2270.91,510.321,7.1756,258.024,15.7201
-2271.6,0.84156,0.174524,4,31,0,2273.56,509.489,7.0888,260.472,15.8025
-2271.14,0.999865,0.174524,5,31,0,2273.45,512.396,7.25081,255.051,16.5608
-2274.06,0.983943,0.174524,4,15,0,2274.82,511.372,7.37639,252.658,16.6464
-2273.08,0.990668,0.174524,4,15,0,2275.76,508.102,7.33572,254.564,16.3675
-2269.97,0.986583,0.174524,3,15,0,2274.07,513.474,7.22986,255.42,15.7222
-2270.18,0.922936,0.174524,3,15,0,2271.56,509.111,7.20097,257.259,15.8297
-2270.03,0.993289,0.174524,5,31,0,2271.85,512.138,7.12776,257.941,15.5388
-2271.23,0.996012,0.174524,3,11,0,2271.45,512.806,7.11618,258.466,15.2387
-2273.05,0.922186,0.174524,4,15,0,2273.79,514.661,7.05809,259.877,15.3486
-2272.83,0.877855,0.174524,2,3,0,2274.88,514.73,7.03682,259.205,15.2985
-2271.33,0.984945,0.174524,4,15,0,2273.84,513.725,7.10999,258.092,15.235
-2270.55,0.958957,0.174524,4,31,0,2272.17,514.488,7.0962,257.983,15.6572
-2270.63,0.671715,0.174524,3,15,0,2275.08,510.196,7.20231,257.695,15.8437
-2271.85,0.990153,0.174524,5,31,0,2273.38,510.499,7.26339,254.828,16.5543
-2272.39,0.998903,0.174524,4,31,0,2274.1,517.617,7.21374,254.866,15.7603
-2271.33,0.998471,0.174524,5,31,0,2274.49,514.327,7.16358,256.868,15.2218
-2271.12,1,0.174524,2,3,0,2271.34,514.266,7.16052,256.653,15.2497
-2271.81,0.773801,0.174524,2,3,0,2273.63,514.603,7.1515,256.625,15.1459
-2273.05,0.657818,0.174524,2,3,0,2276.13,515.412,7.14108,257.304,15.0408
-2272.43,1,0.174524,5,31,0,2275.57,514.546,7.12264,257.72,15.0515
-2269.95,0.99512,0.174524,4,15,0,2273.42,510.475,7.12456,258.753,15.9343
-2270.34,0.994704,0.174524,4,31,0,2271.35,509.661,7.24554,255.957,15.7335
-2270.38,0.819083,0.174524,5,31,0,2273.1,512.935,7.0921,258.541,16.2195
-2269.65,0.984033,0.174524,4,23,0,2271.78,513.367,7.20512,255.974,15.9544
-2270.05,0.886317,0.174524,3,15,0,2271.31,513.82,7.19194,255.668,15.7574
-2271.31,0.997438,0.174524,4,15,0,2271.99,510.237,7.08703,259.354,16.4199
-2272.2,0.997815,0.174524,4,15,0,2272.88,513.999,7.21484,255.093,15.1091
-2271.93,0.971797,0.174524,4,15,0,2274.02,510.068,7.28551,254.914,15.2868
-2275.05,0.875845,0.174524,4,15,0,2279.17,505.435,7.32683,255.99,15.8114
-2269.49,0.997527,0.174524,3,11,0,2276.21,512.569,7.18938,256.701,15.8693
-2270.77,0.934624,0.174524,3,9,0,2271.26,509.507,7.22832,255.851,15.8841
-2269.89,1,0.174524,4,15,0,2271.06,512.027,7.19314,256.922,15.5732
-2269.62,0.999818,0.174524,3,15,0,2270.18,511.774,7.18796,256.486,15.7597
-2271.57,0.995672,0.174524,4,15,0,2271.95,507.95,7.12547,259.734,16.1572
-2271.26,0.99989,0.174524,4,31,0,2272.55,516.228,7.09425,257.995,15.7973
-2270.92,1,0.174524,4,15,0,2271.4,515.747,7.09824,257.683,15.7381
-2270.61,0.972526,0.174524,4,15,0,2272.24,514.365,7.1306,257.86,16.2667
-2270.43,0.971186,0.174524,4,15,0,2271.21,513.593,7.11299,258.586,16.105
-2269.96,0.993735,0.174524,5,31,0,2271.51,512.161,7.20954,256.693,15.736
-2270.82,0.919815,0.174524,3,11,0,2271.62,512.133,7.18759,255.715,15.8874
-2271.16,0.99799,0.174524,3,15,0,2272.17,511.112,7.14294,257.244,16.4006
-2272.17,0.997833,0.174524,4,15,0,2275.13,509.076,7.14823,257.852,15.2691
-2270.5,0.999492,0.174524,2,7,0,2272.85,510.056,7.16194,258.173,15.4624
-2269.84,0.985135,0.174524,5,31,0,2271.15,512.868,7.17089,256.725,15.5557
-2271.21,0.935923,0.174524,4,15,0,2271.97,515.492,7.13108,257.6,15.5499
-2270.5,0.969551,0.174524,4,15,0,2272.17,511.831,7.14081,257.117,16.1337
-2271.83,0.824359,0.174524,3,15,0,2276.85,513.3,7.22841,255.413,15.1025
-2270.47,0.916306,0.174524,4,15,0,2272.86,513.95,7.21507,255.174,15.5392
-2270.41,0.99872,0.174524,5,31,0,2271.6,512.08,7.07295,259.265,15.9943
-2271.56,0.841497,0.174524,2,3,0,2271.79,511.797,7.06141,258.942,16.0144
-2270.62,0.998123,0.174524,3,15,0,2276.53,513.214,7.07502,258.595,15.9265
-2271.39,0.918666,0.174524,2,3,0,2271.64,513.796,7.10665,259.115,15.9519
-2271.64,0.999086,0.174524,5,31,0,2272.78,510.677,7.17193,258.444,15.436
-2270.88,0.990857,0.174524,5,31,0,2272.4,510.632,7.21481,256.021,16.4564
-2269.79,0.999721,0.174524,4,15,0,2271.19,512.876,7.1904,256.626,16.183
-2269.8,0.997339,0.174524,5,31,0,2270.27,511.577,7.22062,256.065,15.6293
-2271.66,0.953328,0.174524,4,15,0,2273.56,510.332,7.24567,256.191,16.6448
-2270.22,0.999234,0.174524,4,15,0,2272.96,514.921,7.17844,256.252,16.1187
-2269.65,0.946361,0.174524,4,15,0,2271.01,510.881,7.17327,257.512,16.0665
-2269.64,0.999823,0.174524,4,31,0,2269.83,512.587,7.1363,257.79,16.0543
-2271.92,0.792597,0.174524,3,11,0,2277.59,517.256,7.11648,256.479,15.9417
-2271.59,0.986671,0.174524,2,3,0,2272.2,517.129,7.12976,256.354,15.9125
-2273.4,0.777444,0.174524,2,3,0,2273.86,517.221,7.11716,255.806,15.8871
-2271.76,0.796306,0.174524,4,15,0,2280.7,509.909,7.16553,256.96,15.4065
