# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac73ef2aea1.json
# init = 2 (Default)
# random
#   seed = 1174791655
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-4bbeaf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-52dff3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.29844
# Diagonal elements of inverse mass matrix:
# 0.0564089, 35.9585, 0.000312793, 0.000512047
-4114.31,0.988012,0.29844,3,15,0,4116.55,44.2944,-24.1174,649.593,152.722
-4113.35,0.932884,0.29844,3,15,0,4117.36,33.2428,-16.7499,641.147,148.335
-4112.95,0.938257,0.29844,3,15,0,4115.1,44.7892,-21.1649,649.677,148.213
-4113.95,0.980198,0.29844,3,15,0,4114,55.8921,-19.153,661.976,149.43
-4114.57,0.863073,0.29844,3,15,0,4115.93,35.0622,-19.449,634.509,144.739
-4114.57,0.959091,0.29844,4,15,0,4115.72,47.5603,-16.3803,645.497,146.2
-4116.81,0.981726,0.29844,3,11,0,4117.27,66.8797,-30.791,664.125,148.45
-4116.32,0.881346,0.29844,3,15,0,4121.05,53.1592,-23.569,656.795,140.599
-4114.29,0.958613,0.29844,3,7,0,4116.91,44.6876,-20.4861,654.859,143.126
-4113.57,0.997907,0.29844,3,15,0,4114.86,39.1171,-17.451,644.269,152.18
-4113.92,0.978507,0.29844,3,15,0,4114.95,40.6027,-24.4295,645.443,150.024
-4113.77,0.995756,0.29844,3,15,0,4115.15,50.6725,-22.9878,655.24,151.798
-4114.83,0.972611,0.29844,3,7,0,4115.35,56.8472,-17.1747,665.816,148.619
-4114.42,0.999138,0.29844,3,7,0,4115.68,54.5414,-26.6093,660.928,151.954
-4115.15,0.955007,0.29844,3,7,0,4115.32,53.5997,-28.941,664.165,151.782
-4113.37,0.998408,0.29844,3,15,0,4116.43,40.6146,-20.425,644.341,150.616
-4113.05,0.990116,0.29844,3,11,0,4113.9,45.7492,-21.3334,654.393,147.975
-4112.99,0.981731,0.29844,2,7,0,4114.5,46.4697,-18.7484,653.376,146.975
