# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac714637b8.json
# init = 2 (Default)
# random
#   seed = 195157611
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-518ded.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-73c359.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.17175
# Diagonal elements of inverse mass matrix:
# 0.00139301, 0.000387032, 1.79738e-05, 0.000642237
-1577.19,0.860693,0.17175,4,31,0,1580.33,279.795,1.52543,233.695,6.31672
-1580.44,0.966028,0.17175,4,15,0,1581.26,297.952,1.51396,233.572,5.86086
-1580.14,0.903181,0.17175,3,7,0,1581.71,300.664,1.5084,233.339,5.87597
-1578.13,0.997989,0.17175,3,7,0,1580.34,295.653,1.50648,233.653,5.9824
-1575.13,0.969008,0.17175,4,19,0,1578.68,276.003,1.53136,233.289,6.15569
-1577.53,0.780157,0.17175,4,15,0,1578.28,277.477,1.5501,232.491,6.36594
-1577.32,0.913716,0.17175,5,31,0,1579.96,287.474,1.5288,232.722,5.94253
-1577.93,0.82866,0.17175,4,31,0,1580.53,260.609,1.54693,232.895,5.9132
-1578.08,0.997471,0.17175,4,19,0,1579.08,270.776,1.52672,233.414,6.34935
-1576.44,0.998573,0.17175,4,15,0,1578.79,267.669,1.53716,233.472,6.26602
-1579.13,0.978297,0.17175,4,15,0,1580.07,270.562,1.56235,231.665,6.52887
-1576.16,0.951004,0.17175,4,15,0,1581.92,274.42,1.549,232.093,6.23679
-1576.56,0.904798,0.17175,5,31,0,1579.36,289.86,1.51494,233.497,6.18949
-1578.29,0.852062,0.17175,4,15,0,1579.62,292.807,1.53001,232.747,6.0944
-1577.91,0.911926,0.17175,3,11,0,1581.83,289.551,1.50804,233.592,6.08383
-1576.38,0.997909,0.17175,4,15,0,1579.21,277.818,1.53031,233.555,6.1573
-1576.08,0.900122,0.17175,5,31,0,1578.63,279.31,1.53368,233.274,6.20768
-1576.15,0.987354,0.17175,3,11,0,1577.27,279.77,1.53237,232.68,6.16851
