# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7f6a0cb6.json
# init = 2 (Default)
# random
#   seed = 2018221287
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-73b1fe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-761ecd.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.13081
# Diagonal elements of inverse mass matrix:
# 0.0825891, 21.7635, 0.00127275, 0.000554302
-4176.37,0.925057,0.13081,2,3,0,4178.12,114.419,-12.7891,793.101,158.866
-4178.21,0.953844,0.13081,5,31,0,4179.02,63.681,-11.0895,738.697,156.061
-4176.45,0.995282,0.13081,5,31,0,4178.83,112.84,-12.4572,791.481,162.509
-4176.73,0.944723,0.13081,5,31,0,4177.68,115.146,-20.1816,796.029,160.917
-4178.39,0.832177,0.13081,3,11,0,4179.18,123.135,-21.553,794.352,161.289
-4179.64,0.984301,0.13081,4,31,0,4182.26,64.2276,-5.94792,750.374,155.013
-4181.71,0.770979,0.13081,2,3,0,4183.05,67.284,-5.26522,742.714,154.469
-4182.15,1,0.13081,4,15,0,4184.14,49.7662,-14.0011,725.79,153.107
-4178.53,0.994497,0.13081,4,15,0,4182.73,69.5821,-6.59377,757.76,161.073
-4177.86,0.999637,0.13081,5,31,0,4179.5,84.87,-16.9523,765.925,154.534
-4178.05,0.90116,0.13081,4,23,0,4181.68,89.837,-14.1909,779.033,166.008
-4176.34,0.957639,0.13081,4,23,0,4180.59,100.932,-15.3489,777.181,157.198
-4177.57,0.654907,0.13081,2,7,0,4179.76,92.8587,-15.7089,783.083,157.13
-4176.8,0.981818,0.13081,4,15,0,4178.62,117.867,-13.1096,794.372,158.134
-4178.08,0.996849,0.13081,5,31,0,4179.99,137.341,-20.4492,821.233,155.728
-4176.55,0.8077,0.13081,4,15,0,4179.66,120.638,-19.1976,803.522,161.43
-4177.43,0.85665,0.13081,3,11,0,4178.21,124.719,-18.0621,796.45,161.593
-4178.55,0.996332,0.13081,3,11,0,4180.26,115.306,-20.9023,805.307,163.781
-4178.02,0.984979,0.13081,3,15,0,4182.11,107.661,-19.7217,778.881,161.448
-4178.09,0.999595,0.13081,4,31,0,4178.74,126.898,-14.2467,817.524,161.237
-4181.69,0.902164,0.13081,4,15,0,4182.13,140.089,-25.5923,808.243,165.885
-4180.17,0.985104,0.13081,5,31,0,4183.06,169.143,-23.4935,843.085,164.482
-4176.92,0.992423,0.13081,5,31,0,4181.77,111.259,-16.4945,784.207,162.71
-4177.3,0.87597,0.13081,4,31,0,4180.27,74.9371,-8.74005,759.48,155.388
-4177.96,0.986918,0.13081,4,15,0,4178.39,67.7351,-11.6764,751.541,154.568
-4178.36,0.90891,0.13081,2,7,0,4181.69,74.9268,-8.52548,759.385,153.228
-4178.22,0.999856,0.13081,4,15,0,4178.69,75.631,-8.23533,758.017,153.522
-4179.7,0.641922,0.13081,3,7,0,4183.72,85.5253,-8.72263,758.299,152.918
-4176.35,0.938196,0.13081,4,31,0,4187.03,94.2952,-12.0842,780.753,157.192
-4176.58,0.999193,0.13081,4,15,0,4177.51,79.1844,-14.7308,758.71,159.837
-4176.09,0.969956,0.13081,4,15,0,4177.2,97.2338,-12.5269,773.115,157.935
-4176.47,0.983417,0.13081,4,31,0,4177.72,128.345,-17.8716,811.206,159.298
-4177.39,0.997441,0.13081,4,15,0,4177.59,132.89,-18.4158,813.252,155.907
-4178.31,0.614795,0.13081,2,7,0,4180.2,137.813,-17.7137,810.601,156.551
-4177.35,0.999869,0.13081,4,31,0,4179.13,105.503,-21.0717,783.642,158.576
-4177.59,0.914088,0.13081,5,31,0,4178.8,104.677,-19.7754,793.142,160.802
-4177.59,0.906816,0.13081,4,31,0,4180.82,100.553,-14.8894,786.8,166.653
-4176.56,0.998162,0.13081,3,15,0,4179.51,97.7216,-17.8328,777.384,161.948
-4178.01,0.983469,0.13081,5,31,0,4179.48,61.5989,-13.3244,742.81,160.106
-4177.86,0.997334,0.13081,4,15,0,4178.96,59.3381,-10.4064,738.548,161.929
-4177.84,0.999624,0.13081,5,31,0,4178.99,65.5789,-6.80494,746.081,156.483
-4178.87,0.994827,0.13081,4,31,0,4182.76,50.6504,-7.03436,730.927,162.683
-4177.72,0.976094,0.13081,5,31,0,4181.19,79.1271,-10.6252,757.384,153.288
-4176.77,0.908094,0.13081,4,19,0,4179.4,85.43,-11.9096,774.927,160.931
-4177.08,0.998144,0.13081,4,19,0,4177.59,114.424,-16.3304,786.214,158.788
-4178.05,0.915705,0.13081,4,23,0,4178.9,93.5764,-14.6877,761.884,159.266
-4176.64,0.916906,0.13081,2,3,0,4179.41,95.3023,-14.2618,768.048,158.959
-4177.35,0.967748,0.13081,3,11,0,4177.93,90.1296,-15.0004,780.051,157.499
-4175.9,0.988652,0.13081,3,11,0,4177.52,104.925,-13.6571,781.667,158.807
-4177.72,0.997049,0.13081,4,31,0,4179.97,117.17,-12.6171,794.955,166.115
-4176.75,0.955334,0.13081,4,15,0,4178.51,111.36,-18.6705,787.006,161.519
-4177.13,0.944873,0.13081,5,31,0,4178.87,71.2724,-7.59233,754.681,161.962
-4177.38,0.963845,0.13081,4,15,0,4178.97,61.5932,-8.42601,744.604,162.067
-4176.47,0.830919,0.13081,4,15,0,4180.66,78.9406,-12.3953,757.078,162.642
-4177.36,0.846977,0.13081,2,5,0,4178.2,83.0984,-12.2104,754.202,162.351
-4177.68,0.999084,0.13081,4,23,0,4178.7,81.9431,-13.0261,753.412,156.684
-4177.6,0.977286,0.13081,3,7,0,4178.3,89.7471,-13.0026,759.266,158.381
-4177.77,0.91796,0.13081,4,19,0,4180.33,141.368,-18.8652,814.65,161.651
-4176.74,0.753379,0.13081,2,3,0,4179.33,134.43,-18.2176,812.611,161.539
-4177.85,0.997129,0.13081,5,31,0,4179.02,125.81,-12.2781,807.057,161.554
-4176.36,0.992155,0.13081,3,7,0,4178.43,118.708,-13.3113,799.327,161.333
-4176.37,0.988773,0.13081,4,15,0,4177.15,89.3924,-15.8416,767.086,159.152
-4176.64,0.979252,0.13081,4,31,0,4177.35,99.4256,-14.9503,774.626,156.481
-4176.59,0.821244,0.13081,2,7,0,4178.63,94.0213,-15.2321,780.053,156.952
-4179.34,0.907128,0.13081,4,15,0,4180.69,142.473,-18.7458,812.67,156.394
-4176.87,0.993,0.13081,5,31,0,4180.64,88.9186,-14.0562,766.499,164.875
-4176.23,0.984904,0.13081,4,15,0,4177.23,91.4235,-9.86307,770.961,161.332
-4180.02,0.638085,0.13081,2,3,0,4180.74,101.528,-9.1731,769.589,161.882
-4179.8,0.988507,0.13081,4,15,0,4183.82,76.4248,-11.6179,741.523,158.468
-4176.38,1,0.13081,2,3,0,4179.68,74.6139,-11.9691,753.985,158.513
-4179.12,0.981124,0.13081,4,15,0,4180.22,59.4434,-13.5474,737.193,163.585
-4180.42,0.958108,0.13081,4,31,0,4181.84,53.1717,-16.0282,737.319,161.562
-4178.9,0.91937,0.13081,4,15,0,4182.74,98.9686,-14.271,765.367,157.412
-4176.34,0.975259,0.13081,3,15,0,4180.71,91.965,-14.1687,766.947,158.282
-4176.57,0.973387,0.13081,3,11,0,4177.22,84.4561,-14.6905,762.215,157.345
-4177.28,0.911197,0.13081,4,31,0,4178.82,98.1554,-15.0606,788.174,157.04
-4176.88,0.986177,0.13081,4,23,0,4180.64,84.9155,-8.92063,770.949,158.813
-4177.46,0.917464,0.13081,2,3,0,4178.38,87.4847,-8.40806,763.24,159.028
-4176.67,0.999053,0.13081,4,31,0,4177.82,83.2995,-8.47572,763.981,159.69
-4176.75,0.996041,0.13081,5,31,0,4177.57,83.156,-14.6034,765.157,163.451
-4177.56,0.997293,0.13081,5,31,0,4179.93,147.494,-19.8743,826.25,162.464
-4176.87,1,0.13081,4,15,0,4177.78,137.589,-19.0172,819.589,161.054
-4177.29,0.942456,0.13081,5,31,0,4178.33,61.6587,-7.74646,739.957,158.832
-4176.14,0.959967,0.13081,4,31,0,4180.11,97.2102,-15.5652,774.869,158.006
-4177.67,0.965723,0.13081,4,31,0,4179.44,122.076,-18.1422,797.181,155.347
-4180.36,0.942515,0.13081,5,63,0,4180.97,46.4864,-7.61921,732.658,163.926
-4178.14,0.978126,0.13081,4,15,0,4181.88,66.8074,-7.6781,754.614,163.884
-4177.19,0.994993,0.13081,5,31,0,4179.52,99.1975,-11.3424,777.662,154.586
-4176.33,0.998728,0.13081,4,31,0,4177.6,85.6063,-14.8689,769.293,161.099
-4176.14,0.99384,0.13081,4,15,0,4176.71,93.332,-10.8585,769.385,159.377
-4177.2,0.957752,0.13081,4,23,0,4178.29,76.9568,-10.856,760.506,165.339
-4177.69,0.840406,0.13081,2,7,0,4179.92,80.9762,-11.4675,754.059,165.21
-4176.73,0.997337,0.13081,4,23,0,4179.47,103.031,-13.2997,791.112,157.053
-4177.45,0.996449,0.13081,5,31,0,4178.31,109.413,-11.5679,796.764,157.515
-4178.13,0.991781,0.13081,4,15,0,4178.68,108.023,-10.8697,796.793,157.684
-4177.06,0.996973,0.13081,4,15,0,4178.95,84.4612,-16.3918,768.264,156.958
-4177.82,0.961093,0.13081,4,31,0,4179.13,76.9557,-14.2877,760.409,154.361
-4176.65,0.972489,0.13081,4,15,0,4178.38,85.2632,-9.62853,762.13,156.918
-4176.59,0.982047,0.13081,4,31,0,4179.8,68.9187,-9.82622,748.492,158.215
-4176.69,0.977616,0.13081,5,31,0,4177.47,117.446,-18.2302,804.128,160.149
-4178.49,0.885438,0.13081,2,3,0,4178.55,130.025,-18.591,798.792,159.965
-4176.38,0.898814,0.13081,2,3,0,4179.25,127.004,-18.3061,808.306,159.871
-4176.06,0.9963,0.13081,3,15,0,4178.37,122.319,-15.9418,803.826,160.01
-4175.75,0.816407,0.13081,4,23,0,4178.16,104.14,-12.9998,783.5,161.656
-4176.26,0.983085,0.13081,3,15,0,4177.24,89.3187,-15.2576,771.549,162.016
-4176.98,0.855761,0.13081,3,15,0,4179.71,91.3576,-18.0986,776.131,160.727
-4175.79,0.911364,0.13081,4,31,0,4178.52,90.959,-10.9584,769.805,159.419
-4177.26,0.842199,0.13081,3,15,0,4178.38,97.6231,-10.9079,768.768,159.767
-4175.69,1,0.13081,2,7,0,4178.25,90.4165,-13.0029,773.292,159.886
-4175.93,0.974078,0.13081,4,31,0,4177.64,90.7107,-12.2108,775.603,158.231
-4175.9,0.999901,0.13081,5,31,0,4176.87,81.8125,-11.5197,763.373,161.369
-4177.11,0.808838,0.13081,3,15,0,4180.11,75.2373,-7.84986,754.97,162.917
-4179.38,0.978591,0.13081,4,15,0,4179.94,53.0941,-10.3194,734.97,164.23
-4178.14,0.907573,0.13081,3,7,0,4181.32,56.6017,-7.84112,736.291,163.081
-4176.75,0.994271,0.13081,5,31,0,4180.51,123.47,-13.5068,804.889,162.116
-4177.86,0.840024,0.13081,5,31,0,4179.09,125.894,-18.3746,816.932,160.989
-4177.59,0.98881,0.13081,2,3,0,4178.23,135.675,-18.9286,808.622,161.585
-4177.88,0.997399,0.13081,4,31,0,4180.19,84.3151,-11.3733,771.577,166.657
-4179.26,0.996884,0.13081,5,31,0,4180.33,73.4321,-7.28872,755.605,152.885
-4178.2,0.999544,0.13081,5,31,0,4180.56,66.9461,-11.2987,744.193,165.277
-4180.7,0.987562,0.13081,3,7,0,4180.82,59.6629,-14.3058,742.271,167.279
