# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac752a12527.json
# init = 2 (Default)
# random
#   seed = 163812126
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-839b97.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-2bf77f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.212937
# Diagonal elements of inverse mass matrix:
# 0.0522169, 29.4986, 0.000334877, 0.000572824
-3195.96,0.980753,0.212937,4,15,0,3196.52,19.7562,-10.1137,336.018,50.9156
-3196.52,0.957942,0.212937,4,31,0,3199.27,36.4341,-30.7137,352.542,50.9402
-3196.34,0.774391,0.212937,3,15,0,3200.75,22.7465,-24.66,339.171,50.6444
-3195.85,1,0.212937,4,15,0,3197.13,32.4403,-15.164,349.726,51.4656
-3196.49,0.950842,0.212937,4,31,0,3201,25.1675,-9.6692,342.388,50.5423
-3196.39,0.877517,0.212937,4,31,0,3198.94,31.2636,-29.4213,349.838,50.0412
-3195.86,0.885766,0.212937,4,27,0,3198.47,26.9747,-14.1363,342.597,48.7173
-3195.39,1,0.212937,3,7,0,3195.85,25.8727,-15.0944,343.427,48.6934
-3195.16,0.999816,0.212937,4,15,0,3195.97,22.2668,-14.8215,339.557,49.039
-3194.9,0.997843,0.212937,3,15,0,3195.83,25.7837,-13.4682,342.635,49.8028
-3194.57,0.973921,0.212937,3,7,0,3195.08,25.2242,-15.1256,342.338,49.8156
-3196.81,0.948522,0.212937,4,15,0,3198.32,27.6717,-14.8189,343.68,52.9794
-3198.63,0.698302,0.212937,4,15,0,3202.42,24.9234,-28.0556,342.911,52.5847
-3198.03,0.98178,0.212937,2,3,0,3198.85,25.7928,-27.7513,343.197,52.4668
-3197.95,0.840223,0.212937,1,3,0,3199.54,27.7126,-26.6525,342.107,52.319
-3195.64,0.926333,0.212937,2,7,0,3199.78,26.0822,-22.7055,344.919,50.9596
-3196.11,0.810079,0.212937,3,15,0,3201.06,24.5801,-15.2248,338.841,51.6458
