# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac773e40a38.json
# init = 2 (Default)
# random
#   seed = 48165597
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-90d7d1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-64bcdd.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.195252
# Diagonal elements of inverse mass matrix:
# 0.000180618, 0.00941742, 0.000166716, 0.00077702
-2630.51,0.918287,0.195252,3,15,0,2632.42,689.374,6.89337,219.678,26.1497
-2630.08,0.999713,0.195252,3,11,0,2631.16,688.454,6.90134,219.973,26.0048
-2630.79,0.973184,0.195252,4,15,0,2631.76,688.791,7.0098,216.192,25.7196
-2630.5,0.982821,0.195252,4,31,0,2631.95,687.656,6.8756,221.012,26.2768
-2630.58,0.996243,0.195252,4,31,0,2632.71,690.455,6.85918,221.193,26.4262
-2631.22,0.997516,0.195252,4,31,0,2632.6,680.736,7.05581,216.957,25.6752
-2630.94,0.986611,0.195252,3,15,0,2633.35,686.744,7.01968,216.045,25.8838
-2633.88,0.989891,0.195252,4,15,0,2635.47,688.7,6.88993,221.516,23.997
-2632.36,1,0.195252,3,7,0,2634.09,687.888,6.8587,221.762,24.41
-2630.3,0.983378,0.195252,3,7,0,2632.67,689.171,6.85172,221.816,25.3363
-2629.9,0.977755,0.195252,3,11,0,2631.31,692.145,6.88486,220.301,26.0195
-2631.06,0.978207,0.195252,3,11,0,2632.42,685.745,6.88821,221.755,26.6081
-2629.79,0.99153,0.195252,3,15,0,2632.49,691.209,6.91345,219.766,25.6102
-2630.06,0.94296,0.195252,4,31,0,2632.05,690.085,6.84846,222.233,25.8185
-2631.56,0.830504,0.195252,4,31,0,2633.14,695.22,6.99053,217.091,26.1249
-2633.52,0.993201,0.195252,4,15,0,2634.7,674.429,6.92029,223.345,25.736
-2630.1,0.870636,0.195252,3,15,0,2636.78,685.222,6.92265,219.954,25.6393
-2631.14,0.931676,0.195252,3,11,0,2631.99,699.859,6.91601,217.667,25.6508
-2632.93,0.902121,0.195252,4,15,0,2633.65,675.376,6.9895,218.635,26.4952
-2631.91,0.977663,0.195252,3,7,0,2633.79,676.406,7.00195,219.931,26.0707
-2630.81,0.83602,0.195252,5,31,0,2634.34,691.222,6.84933,220.721,25.4011
-2630.6,0.992695,0.195252,4,21,0,2631.92,689.146,6.93175,219.382,24.9059
-2633.11,0.954535,0.195252,4,15,0,2634.09,679.971,7.12082,213.964,26.468
-2635.2,0.912075,0.195252,4,15,0,2636.1,687.792,7.17505,212.066,25.7385
-2631.86,0.976431,0.195252,4,15,0,2636.28,677.273,7.06712,217.36,25.9872
