# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac73c02b830.json
# init = 2 (Default)
# random
#   seed = 1999431852
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-96b89c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-3b91bc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.173467
# Diagonal elements of inverse mass matrix:
# 3.68409e-05, 0.00348304, 4.76617e-05, 0.000656849
-2103.45,0.961933,0.173467,4,15,0,2105.86,448.042,5.62912,253.869,13.1453
-2104.61,0.979771,0.173467,4,31,0,2107.59,450.076,5.70878,249.917,12.3856
-2105.71,0.998966,0.173467,5,31,0,2107.14,440.841,5.61955,255.449,13.0838
-2105.57,0.999825,0.173467,3,7,0,2105.99,440.88,5.62024,255.483,13.0386
-2103.93,0.999692,0.173467,4,15,0,2107.92,447.482,5.55217,255.628,12.7058
-2104.31,0.856494,0.173467,4,15,0,2106.02,449.375,5.56908,255.13,12.7752
-2104.45,0.731111,0.173467,4,31,0,2108.03,448.745,5.5609,255.375,12.9786
-2103.95,1,0.173467,2,3,0,2104.44,448.605,5.56181,255.076,12.9666
-2101.08,0.982324,0.173467,4,31,0,2104.62,446.431,5.69084,251.964,12.407
-2101.6,0.92879,0.173467,5,31,0,2102.49,446.447,5.669,252.172,12.9318
-2102.32,0.999465,0.173467,4,15,0,2103.19,445.766,5.60178,254.271,12.5938
-2101.6,0.960837,0.173467,4,15,0,2102.97,444.981,5.65301,253.771,12.7455
-2101.15,0.985017,0.173467,4,15,0,2102.59,445.524,5.66753,252.663,12.8494
-2102.47,0.884249,0.173467,2,7,0,2103.63,445.534,5.65639,252.499,13.0187
-2102.78,0.983823,0.173467,2,7,0,2103.14,445.231,5.65762,252.467,13.0394
-2101.21,0.955414,0.173467,3,15,0,2104.32,444.888,5.71193,252.159,12.7782
-2100.99,0.759507,0.173467,3,11,0,2104.81,446.735,5.70965,251.469,12.621
-2101.77,0.769433,0.173467,3,15,0,2105.54,446.062,5.75049,250.765,12.8739
