# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac747ea18dd.json
# init = 2 (Default)
# random
#   seed = 307315590
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-1-97c951.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-1-538689.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.129238
# Diagonal elements of inverse mass matrix:
# 0.0126838, 1.97801e-05, 1.09436e-05, 0.000747032
-1069.36,0.999933,0.129238,5,31,0,1069.72,2100.6,1.65348,210.241,3.07358
-1069.6,0.998289,0.129238,4,31,0,1070.85,2236.1,1.65215,210.313,3.06636
-1070.67,0.939478,0.129238,5,31,0,1071.59,1944.11,1.64942,210.395,2.94969
-1070.03,0.997427,0.129238,4,15,0,1071.42,1839.28,1.65006,210.483,2.97619
-1070.51,0.999266,0.129238,5,31,0,1071.3,2351.04,1.65269,210.23,3.08468
-1070.79,0.969795,0.129238,4,31,0,1072.29,1880.95,1.64976,210.505,2.92082
-1072.67,0.829716,0.129238,4,15,0,1073.47,1818.45,1.6526,210.571,2.92645
-1070.62,0.980031,0.129238,2,3,0,1073.24,1808.58,1.65233,210.405,2.93594
-1070.76,0.99911,0.129238,3,7,0,1071.13,1821.33,1.6525,210.394,2.92502
-1070.84,0.909398,0.129238,5,31,0,1072.74,2051.69,1.65006,210.463,3.19738
-1069.17,0.999939,0.129238,4,15,0,1071.2,2158.61,1.65162,210.359,3.02235
-1069.9,0.994551,0.129238,5,31,0,1070.28,1882.74,1.65154,210.379,3.14693
-1071.79,0.900205,0.129238,4,15,0,1072.08,1997.8,1.65172,210.187,3.19107
-1070.75,0.995998,0.129238,4,31,0,1072.87,1857.8,1.65377,210.084,3.0678
-1069.84,0.98161,0.129238,2,3,0,1071.17,1876.87,1.6545,210.329,3.084
-1069.77,0.970076,0.129238,4,31,0,1071.17,2086,1.6477,210.613,3.08974
-1069.22,0.976919,0.129238,4,31,0,1071.38,1938.89,1.6521,210.293,3.01883
-1069.95,0.928041,0.129238,4,23,0,1071.1,1999.86,1.65332,210.402,2.98525
-1069.99,1,0.129238,5,31,0,1070.3,2050.7,1.64888,210.671,3.06282
-1069.79,0.998982,0.129238,4,31,0,1071.81,2083.46,1.64888,210.635,3.07971
-1070.44,0.879563,0.129238,2,7,0,1071.64,2055.56,1.64993,210.658,3.0697
-1071.53,0.962055,0.129238,5,31,0,1073.39,2175.36,1.65412,210.413,2.99551
-1071.16,0.999633,0.129238,4,23,0,1072.8,1763.59,1.64857,210.671,3.13413
-1070.69,0.88359,0.129238,5,31,0,1073.33,2305.04,1.65382,210.288,2.98101
-1070.41,0.980383,0.129238,5,31,0,1072.44,1802.07,1.6518,210.279,3.11688
-1070.55,0.997037,0.129238,4,31,0,1072.37,2302.94,1.65431,210.197,3.07704
-1072.03,0.942968,0.129238,5,31,0,1073.74,1729.11,1.65128,210.328,2.93768
-1074.44,0.760141,0.129238,5,31,0,1078.54,2028.55,1.65218,210.01,3.1884
-1072.44,0.992969,0.129238,3,7,0,1075.16,1866.92,1.65254,210.593,3.17231
-1070.89,0.997282,0.129238,4,19,0,1073.42,1996.88,1.65591,210.293,3.04352
-1069.51,0.975212,0.129238,2,7,0,1071.43,1978.28,1.65525,210.175,3.04278
-1070.92,0.993509,0.129238,4,23,0,1071.42,1829.49,1.64951,210.51,3.17838
-1072.16,0.995586,0.129238,3,7,0,1072.23,1830.19,1.64852,210.655,3.22067
-1072.46,0.994941,0.129238,5,31,0,1078.55,2029.9,1.65908,209.934,2.94722
-1074.99,0.90565,0.129238,3,7,0,1076.37,2008.38,1.6614,209.891,2.93639
-1071.2,0.997051,0.129238,4,15,0,1076.7,1656.14,1.65313,210.304,2.99688
-1069.85,0.972157,0.129238,3,7,0,1071.78,1754.69,1.6535,210.332,3.03135
-1069.28,0.999945,0.129238,4,15,0,1070.14,1850.12,1.65256,210.341,3.06836
-1070.06,0.981794,0.129238,4,15,0,1071.18,2077.57,1.64942,210.477,3.14906
-1070.21,0.97355,0.129238,5,31,0,1071.26,2029.11,1.65217,210.272,2.92774
-1069.93,0.980479,0.129238,4,15,0,1070.82,2047.66,1.65391,210.122,2.99193
-1070.02,0.95548,0.129238,5,31,0,1071.13,1848.31,1.65097,210.543,3.11606
-1070.28,0.956919,0.129238,5,31,0,1071.77,2309.98,1.6514,210.263,2.98056
-1069.5,0.999609,0.129238,3,15,0,1071.24,2231.67,1.65115,210.402,2.99996
-1069.73,0.972298,0.129238,5,31,0,1070.49,1864.43,1.65109,210.347,3.00468
-1070.76,0.989755,0.129238,5,31,0,1071.84,2341.69,1.65315,210.139,3.06066
-1073.31,0.806514,0.129238,5,31,0,1074.52,1756.9,1.6518,210.143,2.98133
-1069.79,0.99815,0.129238,5,31,0,1073.8,2275.35,1.65056,210.419,3.08201
-1069.65,0.987681,0.129238,5,31,0,1071.03,2085.28,1.65214,210.384,2.95663
-1069.81,0.998641,0.129238,5,31,0,1070.32,1839.68,1.65171,210.375,3.12959
-1070.79,0.996817,0.129238,5,31,0,1072.04,2319.43,1.65252,210.271,2.93088
-1069.34,0.983002,0.129238,4,31,0,1074.94,2159.8,1.64988,210.486,2.99642
-1069.53,0.998742,0.129238,5,31,0,1070.02,1820.87,1.65315,210.351,3.01485
-1070.33,0.970134,0.129238,5,31,0,1072.01,2163.13,1.65033,210.36,2.92826
-1069.25,0.992361,0.129238,5,31,0,1071.96,1937.38,1.65269,210.4,3.03039
-1069.1,0.933942,0.129238,3,11,0,1070.3,1930.74,1.65307,210.288,3.06266
-1071,0.95641,0.129238,3,15,0,1071.79,1738.02,1.6564,210.038,3.10819
-1070.69,0.955801,0.129238,4,31,0,1073.15,2246.15,1.65013,210.602,3.07584
-1069.85,0.998663,0.129238,4,31,0,1071.83,2114.23,1.65149,210.485,2.9782
-1070.06,0.977432,0.129238,5,31,0,1071.22,1881.34,1.65182,210.237,3.07266
-1069.06,0.991482,0.129238,3,15,0,1070.85,2059.41,1.65261,210.282,3.04513
-1069.9,0.96684,0.129238,3,15,0,1071.64,2151.82,1.65432,210.278,3.0442
-1068.97,0.916322,0.129238,3,15,0,1072.92,2047.13,1.65111,210.408,3.05535
-1069.31,0.993653,0.129238,4,15,0,1069.39,1975.95,1.65046,210.422,3.10066
-1070.01,0.918084,0.129238,5,31,0,1071.94,2031.65,1.65116,210.24,3.0176
-1070.5,0.998214,0.129238,3,11,0,1072.44,2224.01,1.65426,210.222,2.95356
-1070.42,0.909167,0.129238,4,15,0,1071.48,2182.15,1.65465,210.198,2.95609
-1070.04,1,0.129238,5,31,0,1071.02,2048.99,1.65219,210.316,3.15865
-1069.79,0.996462,0.129238,5,31,0,1071.8,2146.19,1.64927,210.538,2.95944
-1070.59,0.933187,0.129238,5,31,0,1071.58,2260.2,1.6488,210.651,3.08273
-1070.98,0.999422,0.129238,5,31,0,1072.29,1862.76,1.65738,210.183,3.02983
-1070.15,0.999113,0.129238,4,31,0,1071.52,2180.84,1.64776,210.683,3.07416
-1070.46,0.998991,0.129238,4,31,0,1071.09,1763.62,1.65549,210.284,3.01449
-1070.62,0.999424,0.129238,4,15,0,1071.18,1690,1.65344,210.376,3.00763
-1071.53,0.952196,0.129238,4,31,0,1074.65,2199.77,1.64587,210.592,3.13608
-1072.77,0.868068,0.129238,5,31,0,1075.55,1951.26,1.65612,209.85,3.10707
-1071.37,0.999026,0.129238,5,31,0,1075.96,1841.97,1.64862,210.76,3.1174
-1071.09,0.983665,0.129238,4,25,0,1072.28,1914.23,1.64771,210.455,3.07417
-1069.09,0.989784,0.129238,3,11,0,1071.68,1939.07,1.65178,210.36,3.07812
-1069.88,0.96615,0.129238,4,31,0,1070.11,2034.13,1.65556,210.206,3.04988
-1069.64,0.975811,0.129238,5,31,0,1071.17,2112.56,1.64795,210.572,2.99746
-1070.28,0.987228,0.129238,5,31,0,1072.55,2160.29,1.65482,210.196,3.111
-1069.59,0.988405,0.129238,5,31,0,1071,2042.11,1.65493,210.219,3.03088
-1071.25,0.919933,0.129238,4,31,0,1072.31,2155.23,1.65022,210.583,2.91366
-1070.7,1,0.129238,5,31,0,1071.88,2264.94,1.64808,210.549,2.92876
-1071.15,0.831123,0.129238,2,3,0,1072.51,2276.2,1.64703,210.56,2.93083
-1069.81,0.999026,0.129238,4,31,0,1072.92,2319.03,1.64982,210.433,3.03485
-1072.68,0.922682,0.129238,4,15,0,1073.59,2090.53,1.64262,210.826,3.07311
-1072.03,0.998068,0.129238,4,31,0,1073.58,2125.5,1.6585,209.844,3.0325
-1073.88,0.810621,0.129238,4,31,0,1075.67,2203.42,1.65733,209.75,3.0336
-1071.84,0.997872,0.129238,5,31,0,1076.16,1861.88,1.65474,210.334,2.90374
-1069.35,0.975698,0.129238,5,31,0,1072.22,2007.6,1.65224,210.251,3.00898
-1071.66,0.925526,0.129238,4,15,0,1072.84,1838.21,1.64587,210.831,3.01904
-1071.11,0.999642,0.129238,4,31,0,1073.26,1902.04,1.64661,210.773,3.12751
-1071.52,0.999807,0.129238,5,31,0,1072.33,2408.36,1.65377,210.151,2.94743
-1069.98,0.99998,0.129238,4,15,0,1071.75,2215.58,1.65359,210.183,2.98484
-1069.86,0.984851,0.129238,5,31,0,1070.68,1896.63,1.64872,210.648,3.05019
-1071.16,0.965405,0.129238,5,31,0,1073.99,1994.35,1.65472,210.303,2.91872
-1069.64,0.920391,0.129238,4,15,0,1072.59,1904.3,1.65459,210.151,3.00982
-1070.68,0.987798,0.129238,5,31,0,1072.11,1753.37,1.65291,210.433,2.96923
-1070.86,0.980469,0.129238,4,15,0,1072.27,1728.61,1.65258,210.358,2.95663
-1074.55,0.808503,0.129238,5,31,0,1076.14,2008.43,1.65455,209.974,2.85921
-1072.73,1,0.129238,4,15,0,1075.31,2082.62,1.6493,210.288,2.90327
-1071.12,0.835045,0.129238,2,3,0,1075.29,2055.67,1.65028,210.563,2.90235
-1071.24,0.945287,0.129238,5,31,0,1073.19,1837.62,1.65557,209.992,3.00328
-1070.23,0.955877,0.129238,4,27,0,1072.81,1913.01,1.65514,210.069,2.99598
-1071.95,0.969035,0.129238,5,31,0,1074.77,2145.63,1.6486,210.435,2.87917
-1070.62,0.928333,0.129238,4,15,0,1073.53,2241.97,1.65234,210.456,3.0785
-1071.34,0.963672,0.129238,3,7,0,1071.55,2275.73,1.65195,210.118,3.06251
-1070.81,0.950943,0.129238,4,31,0,1075.03,2325.01,1.6532,210.116,3.01867
-1069.89,0.999987,0.129238,5,31,0,1071.75,1875.11,1.65125,210.532,3.10581
-1070.22,0.985457,0.129238,5,31,0,1072.03,2121.67,1.65465,210.281,2.99049
-1069.59,0.992868,0.129238,3,15,0,1071.49,2034.87,1.65152,210.25,3.03671
-1069.63,0.978075,0.129238,2,7,0,1070.18,2068.86,1.65239,210.448,3.04299
-1069.28,0.99994,0.129238,4,19,0,1070.46,1911.71,1.6518,210.33,3.08634
-1069.6,0.991056,0.129238,4,31,0,1070.96,1869.89,1.65273,210.351,2.97683
-1069.58,0.853657,0.129238,4,31,0,1072.5,1942.22,1.64935,210.567,3.09972
-1072.79,0.617988,0.129238,2,7,0,1074.48,1965.71,1.65013,210.778,3.09944
-1071.17,0.998966,0.129238,4,23,0,1073.68,1866.78,1.6523,210.563,2.98245
-1071.4,0.978605,0.129238,4,31,0,1072.13,1884.49,1.65355,210.052,3.0936
-1069.5,1,0.129238,2,3,0,1071.46,1918.51,1.65395,210.208,3.10047
-1069.2,0.999019,0.129238,5,31,0,1069.84,1975.52,1.65374,210.278,3.01692
-1070.27,0.870168,0.129238,2,7,0,1070.99,1968.2,1.65449,210.367,3.0203
-1069.23,0.909594,0.129238,4,19,0,1072.92,2091.77,1.65078,210.349,3.01089
-1069.38,0.954297,0.129238,5,31,0,1070.43,1844.39,1.65089,210.446,3.04584
-1070.19,0.997966,0.129238,4,15,0,1070.57,1709.33,1.65408,210.294,3.04073
-1069.83,0.921516,0.129238,5,31,0,1071.31,1974.71,1.65275,210.457,3.01729
-1070.32,0.96317,0.129238,3,15,0,1071.24,1969.06,1.65204,210.173,3.05971
-1070.12,0.969325,0.129238,3,15,0,1071.62,1933.28,1.65181,210.549,3.05428
-1071.83,0.994934,0.129238,3,15,0,1072.57,2251.53,1.65571,210.263,3.08325
-1069.28,0.954141,0.129238,3,15,0,1075.93,2027.98,1.65286,210.218,3.04612
-1069.5,0.988346,0.129238,4,15,0,1070.19,2172.12,1.65214,210.275,2.98999
-1070.43,0.937854,0.129238,5,31,0,1071.61,1737.61,1.65051,210.425,3.05376
-1070.6,0.913649,0.129238,4,31,0,1072.75,1890.84,1.65252,210.219,3.15946
-1071.71,0.962058,0.129238,5,31,0,1072.96,1988.25,1.65781,210.176,3.04267
-1072.18,0.998955,0.129238,4,19,0,1073.01,2251.71,1.644,210.929,3.03024
-1069.28,0.996814,0.129238,4,31,0,1074.1,1883.02,1.65349,210.321,3.02554
-1069.07,0.996107,0.129238,4,15,0,1069.4,1963.85,1.65226,210.384,3.01664
-1070.04,0.996899,0.129238,4,15,0,1070.58,1786.72,1.65234,210.429,3.12377
-1070.7,0.990841,0.129238,4,15,0,1071.59,1829.87,1.65381,210.213,3.1764
-1071.06,0.970796,0.129238,4,15,0,1071.89,1715.86,1.65552,210.183,3.16035
-1071.91,0.991099,0.129238,4,15,0,1072.4,1802.03,1.65664,210.072,3.20818
-1070.38,0.883417,0.129238,4,15,0,1073.84,1804.74,1.64956,210.44,3.09138
-1070.22,0.96143,0.129238,4,15,0,1072.14,1843.83,1.65698,210.069,3.05872
-1070.24,0.944363,0.129238,4,31,0,1071.47,2172.69,1.64718,210.672,3.09912
-1069.88,0.998356,0.129238,4,15,0,1070.67,2171.76,1.64827,210.586,3.10088
-1069.52,0.990003,0.129238,4,31,0,1070.31,1860.54,1.65359,210.293,2.99383
-1072.58,0.906642,0.129238,4,31,0,1074.54,2360.85,1.64648,210.671,2.88324
-1074.27,0.97802,0.129238,3,7,0,1074.72,2309.83,1.64584,210.714,2.8337
-1073.67,0.89712,0.129238,5,31,0,1078.99,2452.07,1.6431,210.966,2.99351
-1071.53,0.932505,0.129238,4,31,0,1075.96,1751.74,1.65861,209.935,3.0276
-1072.76,0.90564,0.129238,5,31,0,1074.32,2585.07,1.64914,210.618,3.08183
-1070.05,0.988498,0.129238,4,15,0,1073.71,2182.81,1.65282,210.351,3.11415
-1070.32,0.884415,0.129238,4,31,0,1072.66,1898.6,1.65661,210.184,3.0767
-1069.95,0.978997,0.129238,3,7,0,1070.62,1900.92,1.65628,210.157,3.07162
-1070.35,0.980933,0.129238,5,31,0,1071.56,1839.46,1.65073,210.56,2.9709
-1071.12,0.837658,0.129238,4,23,0,1072.65,2004.69,1.65315,210.518,3.05823
-1071.9,0.941058,0.129238,3,11,0,1073.2,2068.25,1.64989,210.213,3.10277
-1069.45,1,0.129238,2,3,0,1071.75,2108.72,1.65101,210.45,3.1018
-1070.8,0.925488,0.129238,4,15,0,1071.86,1692.95,1.65454,210.185,3.01433
-1070.19,0.999933,0.129238,5,31,0,1071.53,2352.41,1.64943,210.464,3.07669
-1070.2,0.953159,0.129238,5,31,0,1072.2,1950.7,1.65387,210.257,3.16395
-1070.18,0.876841,0.129238,5,31,0,1074.35,1899.96,1.64987,210.534,2.94767
-1069.66,0.981331,0.129238,4,15,0,1070.64,2181.82,1.6533,210.317,3.01814
-1069.26,0.99998,0.129238,4,23,0,1070.39,1911.45,1.65177,210.457,3.06023
-1070.74,0.970987,0.129238,4,15,0,1070.95,2376.34,1.6505,210.282,2.99331
-1069.66,0.994725,0.129238,5,31,0,1071.63,2103.19,1.65045,210.503,3.11319
-1070.99,0.876819,0.129238,3,15,0,1072.58,2146.51,1.65153,210.244,3.17057
-1071.34,0.999319,0.129238,4,31,0,1072.18,2082.36,1.65012,210.347,2.89263
-1071.21,0.999914,0.129238,4,31,0,1072.92,1890.69,1.64715,210.566,2.97087
-1071.08,0.954281,0.129238,4,31,0,1074.07,1855.82,1.65253,210.447,3.19512
-1070.99,0.990887,0.129238,5,31,0,1072.57,2302.82,1.64912,210.374,2.94082
-1071.66,0.934264,0.129238,5,31,0,1073.53,2183.43,1.65476,210.239,2.90214
-1071.89,0.948319,0.129238,2,3,0,1072.38,2187.26,1.65499,210.239,2.90102
-1071.54,0.996399,0.129238,4,31,0,1073.5,1912.55,1.64644,210.611,2.96038
-1071.78,0.863471,0.129238,4,31,0,1074.81,1994.66,1.65492,210.028,2.91711
-1070.16,0.94213,0.129238,4,23,0,1074.03,2012.26,1.65379,210.092,3.07569
-1070.1,0.998903,0.129238,5,31,0,1071.91,2234.43,1.64912,210.533,2.95154
-1069.65,0.917568,0.129238,4,31,0,1071.41,2117.57,1.65442,210.232,3.01145
-1073.48,0.810269,0.129238,4,15,0,1074.33,1880.81,1.65309,210.557,2.90396
-1076.42,0.876542,0.129238,3,7,0,1077.72,1936.59,1.65771,210.305,2.87876
-1074.87,1,0.129238,2,3,0,1077.22,1914.17,1.65733,209.809,2.89797
-1072.67,0.989055,0.129238,2,3,0,1075.34,1877.59,1.65743,209.986,2.89567
-1074.83,0.745595,0.129238,2,7,0,1079.48,1860.29,1.65832,210.156,2.86915
-1075.38,0.995304,0.129238,5,31,0,1076.25,2014.95,1.64607,210.918,3.27374
-1073.58,1,0.129238,2,3,0,1075.73,1987.71,1.64593,210.64,3.25127
-1074.1,0.999559,0.129238,4,15,0,1075.42,2121.51,1.64366,210.776,3.22844
-1069.92,0.999085,0.129238,4,31,0,1076.63,1801.81,1.65443,210.189,3.10148
-1070.38,0.999816,0.129238,4,15,0,1070.67,1739.35,1.65626,210.178,3.0758
-1070.49,0.948339,0.129238,5,31,0,1071.98,1681.87,1.65431,210.323,3.07499
-1070.68,0.982468,0.129238,5,31,0,1073.2,1936.94,1.65548,210.18,2.93215
-1069.66,0.989493,0.129238,4,15,0,1072.01,1879.28,1.65059,210.518,3.10968
-1070.24,0.995526,0.129238,5,31,0,1070.85,2344.21,1.65093,210.384,2.96594
-1070,0.992192,0.129238,5,31,0,1071.43,2148.26,1.64974,210.434,3.13622
-1070.44,0.940477,0.129238,5,31,0,1070.93,2104.22,1.64964,210.598,3.14171
-1072.52,0.903928,0.129238,5,31,0,1073.2,2027.99,1.6563,209.863,2.97943
-1070.56,0.992422,0.129238,5,31,0,1073.61,2054.85,1.64599,210.625,3.04554
-1070.86,0.996957,0.129238,4,15,0,1072.14,2053.78,1.64575,210.783,3.1077
-1071.8,0.999234,0.129238,3,7,0,1071.96,2033.14,1.64448,210.799,3.13958
-1069.73,0.998802,0.129238,4,31,0,1072.22,1914.83,1.64977,210.511,3.12469
-1072.53,0.988404,0.129238,4,15,0,1073.63,2084.3,1.65605,210.098,3.22894
-1071.5,0.999669,0.129238,5,31,0,1074.01,1664.57,1.65126,210.464,2.97537
-1071,0.864325,0.129238,4,15,0,1073.47,1848.56,1.6499,210.331,3.00424
-1072.57,0.982152,0.129238,4,31,0,1075.47,1652.11,1.65204,210.274,3.17361
-1072.09,0.975113,0.129238,2,3,0,1073.12,1689.02,1.65258,210.53,3.17862
-1070.58,0.966318,0.129238,5,31,0,1074.4,1741.98,1.64919,210.593,3.06535
-1071.85,0.910558,0.129238,2,3,0,1071.96,1706.05,1.64865,210.485,3.06987
-1072.66,0.988003,0.129238,4,31,0,1073.86,1720.55,1.64856,210.802,3.00528
-1072.14,0.998011,0.129238,4,15,0,1072.99,1730.61,1.64839,210.463,3.02871
-1071.21,0.971653,0.129238,3,7,0,1073.31,1850.41,1.64759,210.495,3.05471
-1074.46,0.814221,0.129238,3,15,0,1077.27,1955.43,1.65086,210.108,3.19902
-1072.15,1,0.129238,3,15,0,1077.01,2027.03,1.65343,210.531,3.11965
-1070.43,0.989382,0.129238,3,15,0,1074.81,2013.06,1.65026,210.318,3.13781
-1070,1,0.129238,2,7,0,1070.77,2015.16,1.65012,210.398,3.14469
-1069.72,0.999964,0.129238,5,31,0,1070.47,2101.21,1.65209,210.404,2.95999
-1070.07,0.957249,0.129238,5,31,0,1072.78,2346.75,1.64885,210.477,3.04105
-1069.49,0.960312,0.129238,5,31,0,1071.27,2155.61,1.65224,210.283,2.98181
-1070.27,0.989921,0.129238,5,31,0,1072.39,1755.54,1.64989,210.567,3.04978
-1069.68,0.994549,0.129238,4,15,0,1071.14,1862.24,1.65008,210.455,3.00197
-1069.6,0.936492,0.129238,3,7,0,1070.54,1925.69,1.64973,210.596,3.02991
-1071.81,0.956648,0.129238,4,23,0,1072.48,2261.07,1.65628,209.928,3.07136
-1073.12,0.9633,0.129238,5,31,0,1074.33,1649.69,1.64795,210.533,3.04566
-1073.51,0.999002,0.129238,2,7,0,1074.59,1614.63,1.64743,210.802,3.05228
-1069.76,0.987872,0.129238,3,11,0,1075.69,1855.94,1.6501,210.41,3.06317
-1072.5,0.969473,0.129238,4,23,0,1073.73,2021.51,1.64302,210.824,3.02504
-1073.51,0.685794,0.129238,3,7,0,1076.19,1960.56,1.64439,211.041,3.02906
-1072.8,1,0.129238,3,7,0,1074.43,1899.63,1.64339,210.843,3.01811
-1075.33,0.998581,0.129238,4,15,0,1077.56,1966.45,1.64034,211.057,3.14005
-1072.27,0.868327,0.129238,5,31,0,1079.7,2356.46,1.64508,210.866,2.98366
-1073.3,0.833707,0.129238,2,3,0,1074.65,2384.44,1.64523,210.515,2.96438
-1072.23,1,0.129238,5,31,0,1075.68,1713.7,1.65726,210.115,3.20326
-1070.28,0.971495,0.129238,4,15,0,1073.42,1856.33,1.65588,210.053,3.09491
-1069.98,1,0.129238,2,3,0,1070.25,1857.58,1.65604,210.137,3.0966
-1070.97,0.96161,0.129238,5,31,0,1071.97,1936.82,1.64742,210.568,3.15566
-1071.19,0.857159,0.129238,3,7,0,1073.04,1897.4,1.64802,210.768,3.12574
-1071.09,0.96733,0.129238,5,31,0,1074.13,1895.24,1.65133,210.229,2.9641
-1071.31,0.83939,0.129238,2,3,0,1073.59,1913.41,1.65086,210.232,2.97254
-1070.88,0.977076,0.129238,4,15,0,1072.95,2013.46,1.64927,210.309,3.05992
-1069.17,1,0.129238,3,11,0,1071.24,2012.63,1.65113,210.48,3.0565
-1070.56,0.996927,0.129238,3,15,0,1071.67,1812.37,1.65555,210.236,3.14714
-1071.42,0.996704,0.129238,4,15,0,1072.9,1699.62,1.65098,210.481,3.17427
-1071.14,0.992421,0.129238,5,31,0,1074.01,2240.14,1.65485,210.155,2.92952
-1070.87,0.985767,0.129238,5,31,0,1072.29,2140.16,1.64496,210.794,3.04623
-1072.39,0.986286,0.129238,5,31,0,1073.63,1924.44,1.65805,210.032,2.91119
-1069.73,0.977183,0.129238,4,15,0,1073.81,1904.7,1.65168,210.303,3.11589
-1069.37,0.974268,0.129238,5,31,0,1070.22,2128.79,1.6499,210.52,2.99843
-1070.57,0.978423,0.129238,4,15,0,1071.09,2133.04,1.64543,210.725,3.05523
-1069.55,0.952853,0.129238,4,15,0,1071.64,2170.19,1.64904,210.513,3.08593
-1069.43,0.999996,0.129238,5,31,0,1069.76,1990.86,1.65281,210.305,2.96856
-1069.49,0.978163,0.129238,4,31,0,1070.02,1963.06,1.65276,210.244,2.98578
-1069.76,0.993264,0.129238,4,15,0,1070.1,1981.26,1.65179,210.463,2.9658
-1069.95,0.999225,0.129238,5,31,0,1070.65,2239.39,1.64973,210.394,3.09649
-1070.68,0.920372,0.129238,5,31,0,1073.44,2331.29,1.65,210.578,3.01752
-1069.97,0.969404,0.129238,4,15,0,1072.21,2205.64,1.65044,210.516,3.09787
-1070.67,0.897459,0.129238,5,31,0,1072.63,1880.06,1.65226,210.172,3.01273
-1069.57,0.997731,0.129238,4,19,0,1071.01,2021.56,1.65205,210.349,3.132
-1070.3,0.964021,0.129238,3,11,0,1070.92,2033.78,1.65183,210.417,3.17016
-1070.03,0.9339,0.129238,4,15,0,1071.51,2155.99,1.65144,210.217,3.03966
-1069.66,0.900099,0.129238,3,15,0,1071.77,2220.3,1.65136,210.43,3.07404
-1072.05,0.880691,0.129238,4,15,0,1072.82,2115.8,1.65376,210.024,3.15975
-1071.52,0.986793,0.129238,5,31,0,1073.47,1904.66,1.65603,209.95,3.13299
-1070.15,0.977021,0.129238,5,31,0,1074.21,2030.24,1.65175,210.211,3.10256
