# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac71eb7339e.json
# init = 2 (Default)
# random
#   seed = 1439950668
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-2-354b04.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-2-0d84f4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.221702
# Diagonal elements of inverse mass matrix:
# 2.40758e-05, 0.00988457, 0.000126701, 0.000627169
-2239.71,0.99792,0.221702,4,15,0,2241.87,571.73,10.2802,201.235,15.2567
-2239.21,0.849386,0.221702,2,7,0,2241.58,571.903,10.2368,200.254,15.2884
-2239.23,0.981795,0.221702,4,15,0,2241.32,575.413,10.388,197.006,15.0598
-2237.9,0.816473,0.221702,3,7,0,2240.11,573.182,10.4038,197.665,15.194
-2237.86,0.980902,0.221702,3,7,0,2237.98,572.945,10.4025,197.839,15.2259
-2238.5,0.933412,0.221702,4,19,0,2239.16,571.362,10.2919,200.732,15.339
-2238.21,0.995511,0.221702,2,3,0,2238.47,570.848,10.2836,200.29,15.3368
-2239.39,0.810353,0.221702,2,7,0,2240.67,570.702,10.2907,199.535,15.248
-2240.73,0.997818,0.221702,3,15,0,2243.59,575.32,10.5178,194.246,15.1297
-2240.39,0.992513,0.221702,4,15,0,2241.84,572.144,10.5485,195.387,15.296
-2238.25,0.99799,0.221702,4,19,0,2240.4,572.658,10.2827,199.861,15.203
-2238.88,0.931611,0.221702,4,15,0,2239.83,572.015,10.2973,199.821,14.7197
-2238.25,0.580763,0.221702,3,15,0,2241.63,572.295,10.4152,198.004,14.9352
-2238.99,0.761019,0.221702,4,15,0,2240.67,575.092,10.3953,197.366,15.321
-2238.81,0.992923,0.221702,4,15,0,2240.5,570.034,10.4038,198.723,15.0969
-2241.24,0.994929,0.221702,4,15,0,2243.04,573.728,10.427,196.805,16.2688
-2240.9,0.985367,0.221702,2,3,0,2241.38,573.489,10.4371,196.843,16.218
-2239.55,0.967883,0.221702,4,15,0,2242.67,570.668,10.3177,199.675,15.9271
-2238.34,0.996505,0.221702,4,15,0,2240.21,571.59,10.2705,200.69,15.1222
