# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac75acddb6e.json
# init = 2 (Default)
# random
#   seed = 2078583552
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-2-35bccc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-2-8cbcfa.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.119274
# Diagonal elements of inverse mass matrix:
# 2.29122e-05, 0.00527005, 0.00017679, 0.000680385
-1907.34,0.993039,0.119274,5,47,0,1909.1,499.137,7.6979,167.077,9.38206
-1906.62,0.999387,0.119274,4,15,0,1908.15,496.966,7.71891,167.605,9.69962
-1906.33,0.949919,0.119274,4,15,0,1907.17,499.601,7.72931,166.738,9.67306
-1906.87,0.744465,0.119274,2,3,0,1909.17,499.562,7.7224,166.088,9.74502
-1906.92,0.96971,0.119274,4,31,0,1909.81,497.399,7.67125,168.24,9.63717
-1905.82,0.992941,0.119274,5,31,0,1907.09,499.677,7.77513,165.682,9.84861
-1906.36,0.998771,0.119274,5,31,0,1907.23,500.858,7.87396,163.007,9.8614
-1908.19,0.723267,0.119274,4,27,0,1910.77,500.458,7.74948,164.884,9.79875
-1907.26,0.955384,0.119274,5,35,0,1909.65,503.134,7.88526,161.963,9.70138
-1908.59,0.926744,0.119274,5,31,0,1909.88,500.267,7.85473,163.168,10.2354
-1907.2,0.8936,0.119274,4,15,0,1910.77,501.495,7.85759,163.109,10.1167
-1908.11,0.985624,0.119274,5,63,0,1910.58,496.12,7.73976,167.869,9.64812
-1908.87,0.962787,0.119274,5,55,0,1911.06,500.615,7.70985,166.543,10.1771
-1909.1,0.999892,0.119274,5,63,0,1909.58,499.69,7.67055,167.488,9.31929
-1907.52,0.816952,0.119274,5,31,0,1913.09,499.767,7.75648,165.226,9.41584
-1906.35,0.999858,0.119274,4,31,0,1909.31,501.465,7.78539,164.444,9.64541
-1906.15,0.977532,0.119274,3,15,0,1906.99,501.225,7.79612,164.115,9.68013
-1907.18,0.977389,0.119274,5,47,0,1907.67,497.407,7.73897,166.818,9.96646
