# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac72eb66e0a.json
# init = 2 (Default)
# random
#   seed = 344357173
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-2-9276c2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-2-8bd890.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.274508
# Diagonal elements of inverse mass matrix:
# 0.0628873, 35.0158, 0.000452616, 0.000647938
-3718.24,0.864841,0.274508,4,15,0,3721.39,38.1321,-19.358,460.809,92.9673
-3719.79,0.667688,0.274508,3,11,0,3721.21,41.7699,-18.2968,461.982,91.814
-3719.85,0.917407,0.274508,3,7,0,3721.79,34.2222,-17.1533,452.336,92.127
-3718.32,0.999802,0.274508,4,15,0,3720.9,28.6331,-14.4876,449.254,95.5667
-3718.75,0.927222,0.274508,4,15,0,3720.99,44.9255,-20.4576,471.397,97.5541
-3720.21,0.610496,0.274508,3,7,0,3722.11,43.4761,-19.7928,474.06,97.1898
-3721.22,0.993686,0.274508,3,15,0,3727.13,28.4002,-20.6681,450.224,90.3314
-3719.94,0.637064,0.274508,4,15,0,3724.89,45.3629,-18.3964,465.542,99.7233
-3719.59,0.949923,0.274508,3,15,0,3721.5,34.8491,-19.4004,462.202,99.3221
-3720.11,0.915927,0.274508,3,15,0,3723.37,24.7726,-12.2329,445.278,98.7276
-3719.99,1,0.274508,3,7,0,3720.35,23.789,-10.7987,446.491,98.4657
-3720.27,0.9685,0.274508,3,7,0,3720.78,25.1543,-9.9193,446.627,98.8792
-3720.5,0.928955,0.274508,3,11,0,3722.62,37.1108,-22.4366,464.431,90.9999
-3722.44,0.886201,0.274508,4,15,0,3723.18,23.1737,-10.9819,451.511,100.518
-3719.53,0.941618,0.274508,3,15,0,3723.66,38.3681,-15.1379,456.579,98.3071
-3719.97,0.987759,0.274508,4,15,0,3722.01,21.5186,-10.7345,447.751,94.224
-3719.29,0.979434,0.274508,4,31,0,3720.99,45.4191,-23.9455,473.996,95.8115
-3718.23,0.828879,0.274508,4,15,0,3721.18,42.1797,-18.3705,467.776,94.7386
-3720.48,0.949937,0.274508,3,11,0,3720.94,29.5137,-27.9332,452.68,95.3569
-3720.03,0.940323,0.274508,3,15,0,3723.16,46.0835,-27.568,473.301,92.9393
-3720.26,0.99482,0.274508,3,7,0,3720.91,51.2697,-26.5656,479.153,93.8379
-3720.65,0.490615,0.274508,3,7,0,3722.96,57.168,-27.9635,480.824,93.3566
-3718.42,0.978138,0.274508,4,15,0,3721.76,38.6093,-24.0663,460.204,97.01
-3718.27,0.790783,0.274508,2,7,0,3721.87,43.3252,-18.5796,464.187,95.0993
-3717.93,0.999735,0.274508,4,15,0,3718.57,36.5265,-17.448,456.836,95.8525
-3720.55,0.967964,0.274508,4,15,0,3721.33,56.5309,-30.7348,476.912,96.7496
-3718.96,0.897768,0.274508,3,15,0,3723.7,27.17,-14.0862,446.35,95.883
