# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac73c02b830.json
# init = 2 (Default)
# random
#   seed = 1999431852
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-3-96b89c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-3-3b91bc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.221244
# Diagonal elements of inverse mass matrix:
# 3.54249e-05, 0.00313321, 4.55393e-05, 0.000799555
-2106.9,0.931876,0.221244,3,7,0,2107.54,446.374,5.50789,256.686,12.9989
-2106.3,1,0.221244,3,7,0,2107.14,446.952,5.51381,256.688,13.0019
-2103.11,0.633856,0.221244,4,15,0,2110.67,443.695,5.66952,252.51,13.0174
-2102.96,0.979478,0.221244,4,15,0,2104.44,449.041,5.71854,251.163,12.8415
-2102.01,0.944487,0.221244,4,15,0,2103.82,445.405,5.64178,252.994,12.5318
-2102.2,0.672901,0.221244,4,15,0,2106.74,446.782,5.60818,253.823,12.4773
-2103.61,0.844464,0.221244,2,3,0,2103.79,446.541,5.5987,253.693,12.4305
-2101.38,1,0.221244,3,11,0,2103.53,446.923,5.69081,252.258,12.8361
-2102.85,0.991486,0.221244,4,15,0,2103.22,443.277,5.7799,250,12.7634
-2101.62,0.99729,0.221244,3,15,0,2105.27,446.395,5.70287,251.807,13.0492
-2101.11,0.977146,0.221244,4,15,0,2102.37,445.29,5.65824,253.337,12.6773
-2102.19,0.995317,0.221244,3,7,0,2102.26,444.382,5.6302,254.277,12.9136
-2102.24,0.926234,0.221244,4,15,0,2103.5,449.102,5.61578,253.357,12.7237
-2102.37,0.995747,0.221244,4,15,0,2103.67,444.763,5.67062,253.022,13.2044
-2101.99,0.968295,0.221244,3,7,0,2102.74,445.14,5.65319,253.265,13.089
-2102.92,0.888525,0.221244,4,15,0,2104.26,447.209,5.58987,254.88,12.8759
-2105.48,0.845716,0.221244,3,15,0,2108.83,443.256,5.72439,252.652,11.9231
-2103.88,0.854679,0.221244,4,15,0,2107.4,442.692,5.67858,253.241,12.0244
-2102.03,0.7896,0.221244,3,7,0,2105.47,444.114,5.69362,253.162,12.6541
-2103.2,0.96883,0.221244,3,15,0,2106.54,441.916,5.74529,251.259,12.9622
-2102.4,0.910613,0.221244,3,7,0,2104.42,444.676,5.75587,250.123,12.7528
-2102.06,0.950612,0.221244,4,15,0,2103.29,446.756,5.74146,250.31,12.9572
-2102.27,0.800933,0.221244,4,15,0,2105.57,449.371,5.69781,250.937,12.7288
-2101.69,1,0.221244,4,15,0,2102.32,448.432,5.70213,251.216,12.7864
-2105.02,0.579704,0.221244,3,15,0,2106.67,449.315,5.68148,250.437,12.9321
-2104.77,1,0.221244,4,15,0,2106.6,447.424,5.66635,251.563,13.3773
-2104.77,0.759438,0.221244,1,1,0,2105.76,447.424,5.66635,251.563,13.3773
-2104.86,0.942867,0.221244,2,3,0,2105.5,447.888,5.68515,252.735,13.313
-2102.49,0.732622,0.221244,4,15,0,2107.36,447.105,5.6786,252.789,12.2839
-2101.36,0.999221,0.221244,2,7,0,2102.97,446.514,5.67248,252.715,12.3661
-2102.11,0.938261,0.221244,3,15,0,2102.59,446.2,5.6855,251.776,12.216
-2102.13,0.990529,0.221244,4,15,0,2102.8,446.77,5.66084,253.185,13.0428
-2100.92,0.998349,0.221244,3,15,0,2102.85,446.463,5.70327,251.685,12.7431
-2101.63,0.945993,0.221244,4,31,0,2102.7,444.696,5.6635,253.592,12.7901
-2102.43,0.992313,0.221244,4,15,0,2103.11,445.639,5.62555,253.689,12.2545
-2104.06,0.818677,0.221244,4,15,0,2104.86,447.839,5.63016,253.99,12.1459
-2106.34,0.971138,0.221244,4,15,0,2111.25,448.325,5.73682,250.524,13.6758
-2106.02,0.959442,0.221244,4,15,0,2108.41,442.812,5.66942,253.243,11.7802
-2101.18,1,0.221244,3,15,0,2107.34,445.721,5.7167,251.162,12.708
-2104.49,0.87731,0.221244,4,15,0,2106.4,451.139,5.65589,251.103,12.6795
-2103.7,0.673991,0.221244,4,15,0,2109.62,447.691,5.68295,252.895,12.9774
-2103.17,0.964445,0.221244,4,15,0,2104.68,444.188,5.67984,253.767,12.4955
-2103.3,0.743722,0.221244,2,7,0,2106.63,442.299,5.63379,254.369,12.4753
-2103.21,0.802169,0.221244,4,15,0,2106.13,445.951,5.61219,253.687,13.0958
-2105.97,0.952492,0.221244,4,15,0,2106.54,442.99,5.59263,254.835,13.2489
-2103.15,0.996839,0.221244,4,15,0,2108.29,446.85,5.74698,250.735,12.131
-2102.12,0.992626,0.221244,4,15,0,2104.28,448.075,5.7406,250.485,12.6319
