# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77ff41927.json
# init = 2 (Default)
# random
#   seed = 367986211
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-4-088f4f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-4-929417.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.129401
# Diagonal elements of inverse mass matrix:
# 0.0264038, 0.00817491, 0.000148368, 0.000642178
-2567.62,0.953468,0.129401,4,31,0,2568.02,309.933,2.15982,237.678,22.9073
-2568.78,0.98827,0.129401,4,15,0,2569.54,295.298,2.2191,236.482,22.9544
-2567.59,0.903758,0.129401,5,31,0,2572.6,309.049,2.10379,241.426,22.7463
-2566.54,0.972204,0.129401,5,31,0,2569.09,311.216,2.11702,240.199,23.322
-2567.68,0.808869,0.129401,5,31,0,2569.49,362.9,1.94846,244.491,22.905
-2567.28,0.979018,0.129401,5,31,0,2568.77,349.103,2.00534,241.719,22.9942
-2568.54,0.81246,0.129401,4,23,0,2572.65,338.207,2.01359,244.723,24.0797
-2567.47,0.996525,0.129401,4,31,0,2569.53,351.864,2.06359,239.779,22.8125
-2567.94,1,0.129401,5,31,0,2568.74,403.314,1.96128,242.829,24.2749
-2567.45,0.999359,0.129401,5,31,0,2568.34,348.266,1.9672,245.232,22.9058
-2568.18,0.99779,0.129401,4,15,0,2569.09,352.084,1.95333,245.817,22.7275
-2567.68,0.999743,0.129401,5,63,0,2569.77,311.01,2.16172,237.155,23.6322
-2568.73,0.876208,0.129401,4,15,0,2569.82,316.082,2.17552,236.195,23.795
-2567.25,0.952967,0.129401,5,47,0,2570.21,373.049,1.93867,245.938,23.3449
-2567.42,0.959568,0.129401,5,31,0,2568.38,372.365,2.01311,242.059,24.1227
-2567.89,0.992634,0.129401,5,31,0,2568.75,325.365,2.10062,238.328,22.915
-2569.07,0.981266,0.129401,5,31,0,2574.23,454.213,1.91337,243.402,24.0316
-2568.26,0.999144,0.129401,4,31,0,2570.09,414.24,1.95736,242.094,23.905
-2569.44,0.904089,0.129401,2,3,0,2569.56,422.305,1.98559,242.27,23.8671
-2567.91,0.999491,0.129401,5,31,0,2570.44,379.445,2.02795,240.517,23.0443
