# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 5
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac74b25b9be.json
# init = 2 (Default)
# random
#   seed = 924123266
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-5-44f20b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-5-6c75a3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.217687
# Diagonal elements of inverse mass matrix:
# 7.5459e-05, 0.00597635, 8.71852e-05, 0.000741518
-2372.13,0.99564,0.217687,3,15,0,2375.91,475.503,5.59873,241.504,18.3303
-2373.19,0.940271,0.217687,4,15,0,2373.85,475.329,5.52068,244.367,18.2747
-2375.64,0.947478,0.217687,4,15,0,2376.4,470.501,5.55157,244.797,19.0909
-2374.9,0.934037,0.217687,2,3,0,2376.38,470.65,5.52056,243.558,19.0253
-2374.58,0.977949,0.217687,4,15,0,2375.65,477.118,5.64229,240.158,17.5227
-2374.6,0.980789,0.217687,4,15,0,2376.52,467.773,5.51936,244.537,18.4216
-2376.6,0.970907,0.217687,4,31,0,2377.03,476.374,5.72966,235.981,17.9719
-2372.61,0.995663,0.217687,4,15,0,2377.61,472.544,5.53601,242.993,18.4581
-2373.13,0.670243,0.217687,2,7,0,2375.93,475.986,5.57246,242.801,18.328
-2373.36,0.969878,0.217687,4,23,0,2374.85,474.212,5.6548,240.724,18.0116
-2372.74,0.889581,0.217687,3,15,0,2374.88,475.929,5.59102,242.075,18.1935
-2373.85,0.975556,0.217687,4,15,0,2375.73,478.932,5.53755,241.133,18.1245
-2374.84,1,0.217687,4,19,0,2377.97,466.999,5.72042,238.633,18.2901
-2374.69,0.993986,0.217687,4,15,0,2375.8,469.814,5.71113,238.148,17.8294
-2373.22,0.953348,0.217687,4,15,0,2375.81,470.758,5.65914,240.616,18.8854
-2374.43,0.988133,0.217687,4,15,0,2376.54,469.186,5.74244,238.047,18.7086
-2373.28,0.961191,0.217687,4,31,0,2377.49,468.277,5.60253,242.934,18.6276
-2372.2,0.986527,0.217687,3,15,0,2374.18,475.713,5.59122,241.674,18.4254
