# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac76517bbdf.json
# init = 2 (Default)
# random
#   seed = 609384487
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-6-176538.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-6-8ce0a1.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.379088
# Diagonal elements of inverse mass matrix:
# 0.0533083, 33.0707, 0.000355546, 0.000514213
-4131.11,0.817978,0.379088,4,15,0,4132.73,57.2216,-20.3419,641.673,159.867
-4129.34,0.87047,0.379088,3,7,0,4132.42,61.3461,-25.1815,631.733,154.648
-4130.14,0.832363,0.379088,4,15,0,4130.98,28.191,-11.7041,594.782,149.609
-4130.02,0.95517,0.379088,2,7,0,4134.84,22.0711,-8.07517,596.397,150.025
-4128.15,0.980525,0.379088,3,7,0,4130.74,27.736,-12.8745,607.425,152.202
-4129.31,0.696585,0.379088,3,11,0,4133.59,37.6824,-21.533,625.43,154.513
-4128.45,0.927782,0.379088,2,7,0,4130.54,58.5975,-20.7777,629.704,150.09
-4127.51,1,0.379088,3,7,0,4128.39,44.9882,-23.4077,628.836,149.013
-4127.67,1,0.379088,2,7,0,4128.27,42.5591,-23.0295,614.562,150.445
-4128.53,0.98911,0.379088,2,3,0,4128.88,39.5535,-27.6164,619.21,150.519
-4129.13,1,0.379088,2,3,0,4129.41,38.3139,-28.7506,616.117,151.033
-4129.59,0.926434,0.379088,4,15,0,4130.75,38.0636,-29.0369,613.705,147.497
-4131.04,0.744889,0.379088,3,7,0,4132.45,36.9177,-6.79903,616.461,151.585
-4132.12,0.214703,0.379088,3,7,0,4137.69,33.7636,-5.78146,607.291,149.147
-4128.27,1,0.379088,2,3,0,4134.7,33.4708,-14.5702,604.092,152.993
-4129.99,0.91347,0.379088,4,15,0,4130.86,25.0117,-10.2337,612.654,149.428
-4127.66,1,0.379088,2,3,0,4130.02,33.6837,-11.8105,607.658,148.905
-4128.19,0.94459,0.379088,3,15,0,4129.39,50.3748,-21.7714,621.429,147.024
-4132.64,0.827104,0.379088,2,7,0,4135.56,46.2535,-10.297,637.813,151.983
-4129.54,1,0.379088,2,7,0,4133.31,39.2174,-21.4195,605.47,152.451
-4127.09,1,0.379088,2,7,0,4129.71,40.469,-20.9945,620.734,152.376
-4127.18,0.995242,0.379088,4,15,0,4128.45,52.3998,-21.2251,631.434,148.273
-4128.49,0.79921,0.379088,3,15,0,4131.72,49.8791,-27.1461,634.073,147.441
-4127.51,0.968525,0.379088,3,7,0,4128.91,53.4032,-22.8277,633.764,147.644
-4127.25,0.936328,0.379088,4,15,0,4130.13,39.7366,-18.3754,614.691,146.962
-4129.14,0.918349,0.379088,3,7,0,4130.65,44.8478,-11.4138,628.49,153.39
-4126.73,0.992734,0.379088,2,3,0,4129.54,42.6973,-18.4014,617.433,149.951
-4127.16,0.99733,0.379088,3,7,0,4127.27,51.6717,-22.3989,633.809,150.711
-4128.93,0.876668,0.379088,3,7,0,4129.73,51.1154,-25.3819,632.225,156.754
-4129.15,0.581078,0.379088,3,15,0,4132.16,57.3689,-17.5364,628.687,154.431
-4126.99,0.972279,0.379088,2,7,0,4130.65,48.748,-19.735,630.559,152.168
-4127.46,0.983736,0.379088,3,15,0,4128.19,36.7151,-21.6416,612.643,150.618
-4129.31,0.934705,0.379088,2,7,0,4129.96,37.0475,-28.2354,614.078,147.888
-4127.87,0.959676,0.379088,2,7,0,4130.5,33.4752,-21.1694,610.06,149.172
-4127.52,0.975922,0.379088,3,9,0,4130.25,39.9269,-22.717,613.977,149.192
-4127.36,0.937831,0.379088,2,7,0,4129.05,38.4284,-17.2139,612.793,146.891
-4128.53,0.979454,0.379088,4,15,0,4130.22,60.1692,-24.709,637.272,146.681
-4129.32,0.992031,0.379088,3,15,0,4129.8,54.5024,-23.8595,636.858,144.226
-4128.52,1,0.379088,3,7,0,4130.01,55.2178,-29.3189,633.22,147.347
-4126.7,0.959781,0.379088,3,7,0,4129.61,43.7041,-17.6648,622.092,152.496
-4126.89,0.970143,0.379088,3,7,0,4127.14,39.4204,-18.2663,616.345,152.664
-4127.38,0.975591,0.379088,3,15,0,4127.78,48.0335,-17.7237,631.056,153.15
-4128.59,0.9236,0.379088,3,7,0,4129.23,48.1999,-29.4696,630.368,151.896
-4129.9,0.923015,0.379088,3,7,0,4130.81,58.1748,-30.0508,629.187,146.647
-4127.91,1,0.379088,3,7,0,4129.81,53.7105,-23.9719,638.442,149.313
-4128.14,0.983629,0.379088,2,3,0,4128.18,60.6369,-24.4043,634.943,149.231
-4129.85,0.712795,0.379088,3,15,0,4131.72,26.8213,-9.17049,596.161,149.212
-4129.91,0.723405,0.379088,2,3,0,4133.6,24.333,-8.33721,609.282,148.497
-4128.54,0.533516,0.379088,2,3,0,4133.33,25.8964,-14.2363,603.045,148.767
-4127.65,0.996657,0.379088,3,7,0,4128.71,30.6845,-13.8251,605.915,148.419
-4127.88,0.832863,0.379088,2,7,0,4130.16,34.431,-17.4858,620.179,150.77
-4128.34,0.836104,0.379088,2,5,0,4130.74,35.6022,-24.3523,617.193,150.421
-4129.52,0.967843,0.379088,2,7,0,4131.66,34.5814,-22.238,608.859,155.9
-4127.42,0.981732,0.379088,3,7,0,4132.07,53.4053,-25.3979,631.779,152.258
-4127.28,0.903228,0.379088,3,7,0,4128.09,53.3737,-21.3903,635.242,149.7
-4127.69,0.970906,0.379088,3,15,0,4129.47,45.1678,-13.1909,622.971,152.787
-4126.98,0.938714,0.379088,3,11,0,4128.82,51.5323,-20.7348,630.426,152.315
-4128.49,0.683415,0.379088,3,7,0,4130,59.889,-24.1605,632.906,147.932
-4126.98,0.512339,0.379088,2,5,0,4130.91,48.9329,-23.4667,629.056,150.679
-4127.28,0.979603,0.379088,2,7,0,4128.26,52.1754,-23.686,633.758,151.728
-4128.18,0.932496,0.379088,2,7,0,4131.67,53.9154,-29.1274,635.067,150.027
-4130.74,0.979734,0.379088,3,7,0,4130.96,72.1717,-29.3135,657.678,149.858
-4131.51,0.715726,0.379088,2,3,0,4132.24,76.914,-31.373,660.992,149.372
-4130.37,0.990123,0.379088,3,7,0,4133.17,75.2039,-27.8171,654.548,149.786
-4129.85,0.467362,0.379088,3,7,0,4133.77,65.332,-24.3423,650.399,154.97
-4130.5,0.976009,0.379088,3,7,0,4131.58,63.5537,-33.2523,645.909,155.031
-4131.16,0.959931,0.379088,3,7,0,4131.27,61.6175,-34.1349,645.85,155.544
-4128.43,1,0.379088,3,7,0,4131.33,57.534,-20.3274,642.155,149.262
-4129.43,0.785623,0.379088,1,1,0,4129.48,56.9851,-19.6148,645.094,149.13
-4127.11,1,0.379088,3,7,0,4129.61,49.0465,-21.1134,622.937,149.069
-4128.15,0.862762,0.379088,3,11,0,4129.27,32.4026,-12.9495,603.035,150.446
-4128.31,0.944251,0.379088,3,7,0,4129.87,34.0976,-22.1193,617.823,150.282
-4128.13,0.994309,0.379088,3,11,0,4129.39,53.6158,-18.4292,624.29,151.763
-4127.31,0.969898,0.379088,2,7,0,4129.92,50.5031,-21.3381,632.905,152.993
-4129.08,0.952844,0.379088,3,7,0,4129.71,44.164,-24.6074,626.135,144.104
-4129.61,0.805177,0.379088,3,7,0,4131.38,54.6782,-17.2095,625.968,145.976
-4129.2,0.950197,0.379088,3,7,0,4130.17,54.5971,-17.3971,626.189,146.599
-4127.47,0.82597,0.379088,3,11,0,4131.22,34.1883,-16.9043,618.15,150.02
-4127.54,0.938012,0.379088,2,3,0,4128.46,42.895,-13.4604,616.313,151.715
-4127.84,0.868846,0.379088,2,3,0,4128.66,34.2561,-18.6517,618.984,151.03
-4126.65,0.975979,0.379088,4,15,0,4129.79,41.2055,-18.9669,621.744,150.083
-4126.6,0.997051,0.379088,2,7,0,4126.88,42.4834,-17.6276,620.004,151.74
-4127.38,0.98369,0.379088,3,7,0,4127.61,48.4309,-18.0242,628.539,154.432
-4127.49,0.994021,0.379088,3,7,0,4127.84,47.1553,-21.6608,624.888,154.815
-4127.75,0.991013,0.379088,4,15,0,4128.51,55.8272,-20.3637,636.503,148.237
-4126.81,0.985802,0.379088,4,15,0,4128.84,48.354,-19.3322,627.191,152.429
-4126.78,0.914181,0.379088,3,7,0,4128.69,38.6089,-17.2631,617.362,152.26
-4128.31,0.942339,0.379088,4,15,0,4128.78,28.747,-11.7266,611.161,152.766
-4131.63,0.839634,0.379088,2,3,0,4131.94,29.576,-7.14644,596.438,153.465
-4130.99,0.921204,0.379088,4,15,0,4133.25,25.8965,-13.3023,617.135,151.186
-4131.73,0.9512,0.379088,3,11,0,4132.75,40.2257,-23.3764,634.796,147.952
-4131.45,0.786578,0.379088,1,3,0,4135.13,44.39,-26.986,636.694,146.815
-4132.95,0.902177,0.379088,3,7,0,4133.62,52.8776,-30.9647,615.049,148.487
-4128.95,0.855103,0.379088,2,3,0,4134.54,46.7529,-28.5445,631.158,147.471
-4127.92,0.992456,0.379088,3,7,0,4130.36,47.0837,-27.9866,624.264,149.419
-4128.47,0.665387,0.379088,3,7,0,4131.71,51.8114,-16.0292,625.791,155.172
-4128.37,0.943062,0.379088,3,11,0,4129.97,53.289,-22.2202,624.145,147.309
-4127.98,1,0.379088,1,3,0,4129.1,51.6297,-24.0475,627.312,146.158
-4127.6,0.834105,0.379088,3,15,0,4129.11,45.6619,-17.8602,618.415,154.277
-4128.27,0.922305,0.379088,4,15,0,4128.69,37.1678,-17.9261,622.526,154.55
-4129.14,0.63728,0.379088,3,11,0,4133.02,43.2789,-18.2302,633.05,154.297
-4130.07,0.934989,0.379088,3,15,0,4130.84,39.8664,-26.1872,629.659,149.677
-4128.74,0.772445,0.379088,2,3,0,4132.25,43.9751,-29.9573,623.762,149.97
-4130.9,0.973578,0.379088,3,7,0,4131.43,57.6551,-13.8391,642.181,150.536
-4132.23,0.968662,0.379088,3,7,0,4132.61,40.2444,-36.8428,620.172,147.615
-4127.14,0.922081,0.379088,3,7,0,4133.71,43.2278,-19.5878,620.548,146.684
-4128.27,0.988878,0.379088,4,15,0,4129.47,55.6609,-25.0102,634.186,155.375
-4127.44,0.99263,0.379088,3,7,0,4129.45,52.4169,-23.7673,630.244,153.632
-4127.66,0.990444,0.379088,3,7,0,4128.57,57.8073,-24.615,638.908,151.145
-4128.83,0.828268,0.379088,3,15,0,4131.07,32.5089,-22.6361,607.743,152.554
-4128.01,0.993266,0.379088,2,3,0,4129.16,33.6394,-21.6491,611.322,151.661
-4127.36,0.849421,0.379088,2,3,0,4129.42,36.3065,-19.9288,610.684,150.407
-4128.09,0.887636,0.379088,3,11,0,4130.13,42.7238,-21.0668,612.078,148.975
-4126.94,0.997372,0.379088,2,7,0,4128.91,43.01,-16.5256,625.935,150.783
-4131.21,0.883665,0.379088,3,7,0,4131.8,28.451,-13.9124,609.207,159.27
-4128.09,0.998906,0.379088,3,7,0,4132.43,45.4797,-13.7138,620.213,154.566
-4131.44,0.763313,0.379088,2,7,0,4133.85,37.0405,-22.4476,617.424,160.126
-4128.32,0.860011,0.379088,3,7,0,4134.03,49.6257,-13.9459,625.235,153.729
-4127.13,0.960162,0.379088,3,7,0,4128.94,38.1191,-16.6786,619.14,153.349
-4127.61,0.969205,0.379088,3,15,0,4128.5,47.6558,-25.3551,621.156,150.564
-4127.24,0.937589,0.379088,4,15,0,4128.36,46.7681,-17.9273,620.361,153.194
-4128.78,0.94906,0.379088,3,15,0,4130.1,28.8822,-17.1291,607.913,154.104
-4129.09,0.95485,0.379088,4,15,0,4130.07,52.5614,-20.8138,639.27,155.82
-4128.48,0.974042,0.379088,2,3,0,4129.11,57.2025,-21.1726,635.798,156.08
-4128.64,0.839991,0.379088,3,15,0,4131.01,55.1636,-22.7854,638.789,146.069
-4127.04,0.999216,0.379088,4,15,0,4129.15,36.3253,-14.4329,615.913,152.636
-4126.73,0.918337,0.379088,3,11,0,4128.94,47.2293,-17.372,624.998,150.405
-4129.29,0.959039,0.379088,3,7,0,4129.84,31.9511,-14.5044,608.583,157.312
-4127.15,0.951868,0.379088,3,7,0,4131.74,50.2954,-22.9682,629.103,148.042
-4127.06,0.96383,0.379088,4,15,0,4127.74,45.2236,-18.9691,620.037,153.324
-4126.92,0.995569,0.379088,3,15,0,4127.34,39.9155,-14.5605,614.874,149.901
-4126.88,0.993802,0.379088,4,15,0,4127.83,46.0862,-19.1145,623.01,153.14
-4127.3,0.925173,0.379088,3,7,0,4128.03,48.1888,-15.3083,624.073,150.961
-4127.13,0.990957,0.379088,3,7,0,4127.58,45.1458,-24.3298,622.745,149.812
-4129.08,0.897743,0.379088,3,7,0,4130.1,64.7688,-20.4278,643.37,149.48
-4129.03,0.824212,0.379088,3,7,0,4130.52,41.9627,-29.3178,616.17,150.31
-4127.94,0.600539,0.379088,3,7,0,4133.38,30.8464,-19.0626,610.706,150.34
-4128.84,0.980959,0.379088,3,11,0,4130.61,65.3617,-22.9399,645.701,149.381
-4131.14,0.869122,0.379088,3,7,0,4132.3,40.6431,-32.579,615.598,154.435
-4128.27,0.962192,0.379088,3,7,0,4132.2,36.8665,-25.4286,614.854,150.144
-4128.07,0.985042,0.379088,3,15,0,4130.37,30.4867,-15.6619,604.793,152.693
-4129.32,0.942571,0.379088,4,15,0,4131.85,48.391,-31.0426,630.763,147.269
-4129.79,0.98414,0.379088,2,3,0,4130.25,50.791,-33.0781,628.128,146.757
-4131.66,0.908404,0.379088,3,7,0,4132.49,64.7065,-16.8688,643.37,157.868
-4126.87,0.890894,0.379088,3,7,0,4133.65,40.4052,-21.1464,618.052,149.563
-4126.88,0.998684,0.379088,3,11,0,4127.36,43.0356,-22.1823,620.03,149.714
-4128.28,0.905963,0.379088,2,3,0,4128.52,41.9109,-26.3817,615.312,149.297
-4129.01,0.622975,0.379088,2,7,0,4132.67,37.2713,-22.3983,625.691,149.605
-4132.26,0.862281,0.379088,3,15,0,4132.58,21.2078,-7.68009,610.526,152.953
-4129.48,0.985094,0.379088,3,7,0,4133.09,30.5743,-9.4481,599.469,150.389
-4128.59,0.981276,0.379088,3,7,0,4130.56,28.1321,-12.914,603.034,153.675
-4129.87,0.930434,0.379088,3,7,0,4130.97,29.5742,-18.2808,604.19,156.139
-4129.48,0.986888,0.379088,3,7,0,4131.38,39.7223,-9.16058,619.279,154.192
-4131.46,0.821202,0.379088,2,3,0,4132.3,36.7826,-7.17992,619.373,155.311
-4128.73,1,0.379088,2,3,0,4132.13,38.0497,-14.5159,610.585,156.549
-4129.19,0.942027,0.379088,3,7,0,4130.44,36.5383,-16.4383,605.588,155.582
-4127.17,0.897066,0.379088,2,7,0,4132.25,39.5548,-13.3838,614.474,149.448
-4127.07,0.981719,0.379088,3,7,0,4127.89,39.3217,-21.6188,619.373,149.642
-4126.71,0.937375,0.379088,2,7,0,4127.66,41.9401,-18.4631,617.98,151.922
-4128.85,0.956132,0.379088,3,7,0,4129.25,54.542,-19.9197,633.606,144.822
-4127.47,0.997955,0.379088,3,7,0,4129.66,41.8128,-24.0991,617.529,148.909
-4126.78,0.996066,0.379088,3,7,0,4127.96,47.1186,-22.2723,624.458,150.507
-4126.9,0.969277,0.379088,4,15,0,4128.7,38.9257,-16.0168,616.389,147.725
-4131.11,0.520042,0.379088,3,15,0,4133.39,47.1957,-19.9175,610.072,146.899
-4130.42,1,0.379088,2,7,0,4131.76,32.054,-18.8918,623.268,152.722
-4128.8,0.960478,0.379088,2,7,0,4131.64,37.0631,-24.5576,608.723,151.223
-4128.74,0.697704,0.379088,2,3,0,4131.33,42.2078,-21.9673,609.9,151.612
-4128.11,0.948563,0.379088,3,7,0,4132.21,27.9764,-12.9973,602.558,150.28
-4127.15,0.99585,0.379088,3,7,0,4128.38,34.8741,-13.3226,614.983,148.463
-4130.08,0.770194,0.379088,3,7,0,4131.92,22.4205,-13.9163,597.423,151.975
-4132.03,0.871193,0.379088,3,7,0,4134.68,21.8954,-8.33001,596.052,143.322
-4129.66,0.994436,0.379088,3,7,0,4132.78,26.102,-13.4711,600.32,145.084
-4127.8,0.993812,0.379088,3,7,0,4130.69,37.7359,-17.9411,611.842,154.667
-4127.48,0.935887,0.379088,2,7,0,4128.96,38.4463,-12.1551,620.484,149.968
-4128.79,0.911503,0.379088,3,15,0,4130.75,27.4314,-12.4989,600.596,147.156
-4127.81,0.918357,0.379088,4,15,0,4129.62,46.8883,-20.3606,632.519,153.42
-4127.8,0.983471,0.379088,3,7,0,4128.88,42.3824,-23.6162,626.943,148.998
-4127.06,0.98317,0.379088,2,3,0,4128.01,45.4384,-23.8751,622.727,149.64
-4128.75,0.873177,0.379088,2,7,0,4129.29,45.5033,-28.4418,617.953,151.474
-4129.22,0.931431,0.379088,3,7,0,4130.86,56.562,-19.4166,643.167,147.886
-4128.35,0.994037,0.379088,3,7,0,4130.64,57.6034,-21.8601,642.734,149.544
-4128.08,0.934905,0.379088,2,3,0,4128.84,61.3163,-22.9754,637.009,149.565
-4127.41,0.938332,0.379088,3,15,0,4130.74,41.9414,-13.2692,615.971,151.221
-4129.48,0.926615,0.379088,2,7,0,4131.66,32.6841,-7.83197,615.913,151.517
-4128.19,0.852853,0.379088,3,7,0,4131.61,39.7488,-24.8245,617.079,153.47
-4128.78,0.990706,0.379088,4,15,0,4129.43,38.8566,-23.2525,614.426,155.611
-4129.27,0.908161,0.379088,3,7,0,4131.89,49.0492,-14.5907,636.336,153.869
-4128.81,0.714732,0.379088,2,3,0,4131.2,53.4309,-15.3545,625.556,153.496
-4129.42,1,0.379088,2,3,0,4130.49,48.1531,-14.7247,634.977,155.49
-4131.76,0.800636,0.379088,3,7,0,4134.38,34.3402,-33.3119,610.999,149.75
-4129.52,0.960785,0.379088,3,7,0,4132.88,34.3271,-26.8571,608.623,150.521
-4127.11,0.995025,0.379088,3,7,0,4130.44,43.1048,-18.7221,621.935,154.171
-4128.26,0.986103,0.379088,4,15,0,4129.38,57.3064,-24.6282,637.863,146.729
-4131.31,0.760136,0.379088,2,3,0,4131.56,56.2735,-25.5048,643.578,143.366
-4131.12,0.990452,0.379088,4,15,0,4134.32,50.5721,-22.5619,624.461,141.309
-4131.52,0.740708,0.379088,3,15,0,4135.9,59.6145,-23.5418,628.369,143.665
-4128.16,0.969852,0.379088,3,7,0,4132.11,45.1664,-27.6675,626.593,148.545
-4126.85,0.998985,0.379088,4,15,0,4128.94,45.9413,-19.2664,622.303,152.847
-4127.12,0.93422,0.379088,3,15,0,4127.62,40.8441,-17.3429,619.792,154.128
-4128.06,0.982651,0.379088,4,15,0,4129.16,60.2844,-27.3525,638.441,149.661
-4129.54,0.926741,0.379088,3,15,0,4132.6,45.4326,-17.4998,622.784,142.52
-4128.07,0.991843,0.379088,3,7,0,4130.49,42.9878,-23.6582,621.63,145.446
-4128.92,0.800518,0.379088,4,15,0,4130.07,40.1926,-20.2728,607.726,147.869
-4127.41,1,0.379088,2,3,0,4128.85,37.1967,-20.8124,612.024,148.714
-4128.03,0.816373,0.379088,2,7,0,4129.07,35.3215,-21.8151,619.053,149.61
-4128.25,0.984166,0.379088,3,15,0,4129.63,44.6341,-27.2092,618.036,149.437
-4127.62,0.945085,0.379088,2,7,0,4129.51,44.2699,-21.3044,629.684,148.575
-4127.79,0.973977,0.379088,2,3,0,4128.07,46.9543,-20.4615,617.248,148.63
-4128.78,0.9183,0.379088,2,3,0,4129.1,46.9069,-20.872,614.136,148.512
-4129.26,1,0.379088,4,15,0,4131.65,43.9591,-19.4461,614.636,144.169
-4128.83,0.993636,0.379088,3,15,0,4130.73,53.4051,-22.8186,626.484,156.652
-4127.87,0.989572,0.379088,3,7,0,4129.62,46.7069,-21.4134,625.834,155.847
-4127.64,0.970215,0.379088,3,11,0,4129.58,36.294,-20.678,610.814,152.101
-4127.01,0.970251,0.379088,3,7,0,4129.17,51.1336,-18.5497,627.876,151.655
-4129.46,0.412249,0.379088,3,15,0,4131.97,38.4363,-21.2238,625.879,155.548
-4129.92,0.973731,0.379088,4,15,0,4130.96,30.0581,-12.7329,599.238,145.386
-4128.84,0.996473,0.379088,3,7,0,4130.79,30.9486,-12.2291,617.644,153.147
-4128.28,0.999336,0.379088,3,7,0,4129.33,38.132,-16.7942,608.268,154.189
-4127.16,0.960215,0.379088,3,11,0,4129.24,48.0546,-20.2033,624.17,147.331
-4128.71,0.942314,0.379088,3,7,0,4130,38.8977,-10.5514,621.44,147.619
-4129.26,0.769165,0.379088,3,15,0,4131.55,42.8808,-30.5345,617.591,150.219
-4128.64,0.93704,0.379088,2,3,0,4130.32,46.0549,-29.8588,627.264,149.353
-4127.16,0.966662,0.379088,4,15,0,4131.21,40.4845,-22.415,621.371,149.606
-4127.39,0.902677,0.379088,3,11,0,4128.16,48.8311,-21.5393,621.616,148.433
-4127.62,0.73088,0.379088,3,7,0,4129.89,41.9421,-19.8922,613.395,152.855
-4132,0.665076,0.379088,2,7,0,4134.65,40.854,-11.4007,634.428,148.243
-4127.81,1,0.379088,2,3,0,4132.89,47.2931,-19.0635,616.824,150.941
-4127.65,0.975964,0.379088,3,9,0,4128.82,50.7993,-23.6138,632.922,147.334
-4126.75,0.982306,0.379088,3,15,0,4127.96,41.8636,-18.5097,623.656,151.136
-4128.09,0.834171,0.379088,3,11,0,4129.09,41.8744,-17.0397,611.029,148.26
-4126.92,0.990071,0.379088,2,3,0,4128.35,37.4847,-15.6507,616.381,147.838
-4127.93,0.906656,0.379088,2,3,0,4128.73,42.9423,-14.4452,624.142,146.154
-4129.16,0.599119,0.379088,2,3,0,4131.8,50.3576,-15.5442,623.135,145.718
-4127.6,0.914023,0.379088,3,11,0,4131.37,55.3582,-26.3436,635.619,150.77
-4127.16,0.964071,0.379088,3,15,0,4128.99,43.6567,-15.5509,619.811,153.58
-4128.38,0.950476,0.379088,4,15,0,4128.97,28.5265,-16.2932,609.168,147.123
-4127.96,0.981671,0.379088,2,7,0,4130.24,32.9055,-19.4114,607.213,151.748
-4128.72,0.858385,0.379088,2,7,0,4130.17,39.4847,-23.2027,608.657,150.875
-4128.15,0.974416,0.379088,2,7,0,4129.95,37.2268,-24.1313,614.678,147.352
-4127.83,1,0.379088,3,7,0,4128.4,36.9763,-23.3987,614.08,148.358
-4129.74,0.972421,0.379088,3,7,0,4130.71,56.0205,-14.4128,638.473,149.585
-4127.88,0.799801,0.379088,2,7,0,4132.26,53.7432,-20.5095,638.22,148.971
-4129.4,0.958785,0.379088,3,7,0,4130.81,55.5312,-17.2491,634.548,145.304
-4131.51,0.604756,0.379088,3,7,0,4135.21,29.8926,-14.8398,594.998,155.654
-4128.68,0.969698,0.379088,3,7,0,4132.93,39.6019,-14.4239,623.359,156.572
-4131.22,0.661576,0.379088,3,11,0,4135.57,40.6097,-8.31856,609.851,150.967
-4131.09,0.802329,0.379088,2,7,0,4137.59,24.2727,-22.6193,605.563,149.911
-4128.78,0.926008,0.379088,4,15,0,4133.44,46.7499,-25.2223,615.373,149.639
-4127.49,0.977859,0.379088,2,7,0,4129.62,46.5188,-25.7021,622.208,151.131
-4129.5,0.769696,0.379088,3,15,0,4129.92,60.59,-20.1775,629.149,152.683
-4127.48,1,0.379088,1,1,0,4128.87,55.2825,-20.8582,630.047,152.439
-4128.26,0.99208,0.379088,3,11,0,4129.39,32.0954,-16.9005,606.64,146.013
-4126.55,0.986152,0.379088,3,7,0,4129.52,43.8411,-18.6877,623.414,150.513
-4129.76,0.880703,0.379088,3,7,0,4130.67,42.9863,-9.56648,620.22,148.435
-4127.09,0.975536,0.379088,2,7,0,4130.41,35.9813,-19.4238,615.459,150.74
-4127.68,0.952023,0.379088,2,7,0,4128.16,34.865,-19.9501,616.835,152.152
-4127.53,0.993019,0.379088,3,7,0,4128.29,44.1091,-13.1527,624.37,151.764
-4127.75,0.963925,0.379088,3,7,0,4128.35,40.2149,-24.2223,622.562,150.988
-4127.56,0.908942,0.379088,3,15,0,4129.45,37.3285,-20.3492,618.287,153.31
-4126.87,0.873864,0.379088,2,7,0,4128.69,40.674,-15.1961,615.909,151.709
-4127.82,0.991586,0.379088,3,15,0,4128.53,28.4301,-14.3088,606.561,150.242
-4127.01,0.986583,0.379088,3,7,0,4128.54,35.8832,-18.6133,612.777,150.738
-4129.05,0.708007,0.379088,2,7,0,4130.39,33.9845,-20.1438,622.432,150.125
-4127.43,0.985025,0.379088,3,11,0,4129.48,34.2624,-17.6931,607.939,150.226
-4127.87,0.945992,0.379088,3,11,0,4132.94,45.3147,-23.3436,626.661,146.017
-4128.52,0.995493,0.379088,3,7,0,4129.03,46.1959,-27.9901,622.052,146.798
-4128,0.889112,0.379088,3,9,0,4129.4,46.9157,-12.9619,624.181,152.34
-4127.31,0.74285,0.379088,2,3,0,4131.46,45.4027,-15.7664,628.308,152.409
-4131.38,0.858742,0.379088,3,7,0,4133.23,40.2445,-18.3525,614.11,161.234
