# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac775499f43.json
# init = 2 (Default)
# random
#   seed = 1717317285
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-6-2b37cb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-6-525531.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.196674
# Diagonal elements of inverse mass matrix:
# 0.0507507, 17.6814, 0.000753049, 0.000566722
-4130.08,0.995122,0.196674,4,15,0,4131.73,67.63,-10.1352,719.083,160.487
-4128.51,0.999698,0.196674,4,15,0,4131.47,67.6229,-7.91461,724.948,145.447
-4128.72,0.937618,0.196674,4,15,0,4130.67,56.5615,-12.3823,712.473,148.071
-4126.71,0.999739,0.196674,4,31,0,4129.12,95.4009,-10.3427,753.994,152.659
-4126.54,0.814925,0.196674,4,21,0,4128.71,78.1471,-12.9146,732.942,153.709
-4128.05,0.740231,0.196674,2,7,0,4131.14,83.961,-11.6585,729.723,152.498
-4126.2,0.930093,0.196674,2,3,0,4128.8,80.3046,-11.0801,734.084,151.818
-4126.24,0.903912,0.196674,3,9,0,4127.16,79.578,-9.98378,739.583,151.124
-4126.95,0.988862,0.196674,3,15,0,4127.11,71.5334,-10.9416,731.435,148.122
-4126.88,1,0.196674,2,3,0,4127,74.2684,-11.0472,728.234,148.302
-4128.08,0.988438,0.196674,3,15,0,4128.81,70.2847,-15.6639,723.979,154.331
-4129.54,0.978291,0.196674,4,23,0,4130.01,70.2964,-18.8381,730.74,156.224
-4131.11,0.978844,0.196674,3,15,0,4133.82,49.1718,-17.1684,703.836,149.689
-4130.72,0.947587,0.196674,3,15,0,4132.93,48.2263,-15.7694,707.828,149.991
-4133.01,0.916943,0.196674,3,11,0,4135.26,52.6323,-21.1491,703.037,147.758
-4131.68,0.792876,0.196674,4,15,0,4136.75,54.9065,-16.0558,720.898,146.487
-4128.9,0.99795,0.196674,2,7,0,4132.2,60.6414,-15.444,717.899,148.401
-4127.93,0.968568,0.196674,3,15,0,4130.34,60.8324,-12.3256,714.086,151.066
