# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac726c474e0.json
# init = 2 (Default)
# random
#   seed = 952649101
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-6-2f6a4e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-6-6a2b1c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.189445
# Diagonal elements of inverse mass matrix:
# 3.27084e-05, 0.00659607, 7.11518e-05, 0.000660624
-2272.17,0.91741,0.189445,5,31,0,2274.38,508.468,7.08413,259.543,16.2101
-2271.28,0.96002,0.189445,2,3,0,2272.45,508.772,7.10342,259.838,16.2223
-2274.1,0.491,0.189445,2,3,0,2275.31,508.434,7.07327,259.139,16.2076
-2274.63,0.98143,0.189445,2,3,0,2274.92,508.51,7.12366,260.841,16.0881
-2275.72,0.999106,0.189445,4,15,0,2278.83,516.411,7.26088,252.493,16.7477
-2272.93,0.987911,0.189445,4,15,0,2277.28,511.248,7.16778,256.231,16.6649
-2274.61,0.830241,0.189445,2,3,0,2276.11,513.224,7.23982,256.626,16.7678
-2270.96,0.993281,0.189445,4,15,0,2274.8,510.371,7.26344,255.969,16.2718
-2270.14,0.924944,0.189445,4,15,0,2272.12,514.642,7.19989,255.425,15.8887
-2272.17,0.88182,0.189445,4,15,0,2273.26,515.099,7.24904,253.782,16.4681
-2272.35,0.929603,0.189445,4,15,0,2274.66,509.375,7.19622,257.507,15.0641
-2276.61,0.780395,0.189445,4,15,0,2278.23,511.764,7.13491,258.99,14.6183
-2270.11,0.99508,0.189445,4,15,0,2277.86,513.497,7.11686,257.982,16.2141
-2271.38,0.972134,0.189445,3,7,0,2271.69,514.142,7.07272,259.207,16.3902
-2270.55,0.998445,0.189445,4,15,0,2272.8,515.704,7.14482,256.896,16.0033
-2270.89,0.731532,0.189445,3,15,0,2273.65,513.674,7.2147,256.479,16.102
-2270.01,0.998918,0.189445,4,31,0,2271.58,511.728,7.12691,258.368,16.2308
-2270.01,0.986246,0.189445,4,15,0,2270.88,510.781,7.24637,255.97,15.916
