# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac752a12527.json
# init = 2 (Default)
# random
#   seed = 163812126
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-6-839b97.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-6-2bf77f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.213281
# Diagonal elements of inverse mass matrix:
# 0.0543545, 31.1037, 0.000377032, 0.000583024
-3196.04,0.801201,0.213281,3,7,0,3200.62,34.0196,-25.0254,348.689,51.324
-3195.96,0.972863,0.213281,4,31,0,3198.15,21.9532,-13.4247,336.177,50.529
-3195.84,0.984736,0.213281,2,7,0,3196.74,19.8809,-16.0128,338.633,50.5868
-3196.71,0.810332,0.213281,3,11,0,3200.35,21.1841,-15.2732,340.938,51.6625
-3196.36,0.978542,0.213281,3,15,0,3199.92,24.6391,-16.2265,338.568,48.9238
-3195.44,0.977052,0.213281,5,31,0,3197.04,21.6679,-12.5929,337.484,51.1023
-3195.4,0.982921,0.213281,3,15,0,3196.32,22.8154,-19.5123,338.298,50.6035
-3197.31,0.905552,0.213281,4,31,0,3199.59,29.9017,-24.9581,348.416,52.7901
-3194.59,0.962873,0.213281,4,15,0,3198.17,28.0657,-16.2094,344.556,50.7825
-3195.23,0.713021,0.213281,2,3,0,3196.23,28.4325,-16.4463,343.04,50.491
-3197.09,0.991924,0.213281,4,15,0,3198.63,18.2951,-21.3761,334.602,49.8912
-3197.35,0.997528,0.213281,3,7,0,3197.71,18.2168,-22.4045,334.987,49.9826
-3195.25,0.989529,0.213281,3,15,0,3198.51,25.8837,-23.4207,343.119,49.4822
-3194.59,0.994138,0.213281,4,15,0,3195.62,25.4596,-18.1238,342.839,49.5438
-3197.89,0.800607,0.213281,3,15,0,3199.14,32.5065,-22.3306,346.205,48.1072
-3195.38,0.655343,0.213281,2,5,0,3199.73,29.4596,-22.2429,346.951,48.7208
-3197.24,0.934236,0.213281,4,31,0,3198.42,21.8919,-11.1152,338.585,52.7978
-3197.02,0.864719,0.213281,4,23,0,3202.14,29.8275,-20.6191,345.523,53.1339
